#
# 3-day product summary time series for kaweah
#
# Site: kaweah
# Veg Type: SH
# ROI ID Number: 0001
# Lat: 36.4435
# Lon: -118.90925
# Elev: None
# UTC Offset: -8
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:42:39
# Update Date: 2016-06-13
# Update Time: 05:24:37
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2011-07-13,2011,194,8,kaweah_2011_07_14_090000.jpg,36.21496,35.71522,34.84916,0.33448,0.33916,52.97386,10.53397,49.62379,8.21317,43.84846,4.94569,0.3386,0.00191,0.33935,0.33979,0.34021,0.35967,0.01349,0.35945,0.36492,0.37239,75.1903,-9999,0,0,0,0,0.3379,0.33783,0.34002,0.34106,0.36519,0.37444,0.38971,0.39748,0.00167,0.00183,0.00186,0.00191,0.01042,0.01276,0.01249,0.01233,NA
2011-07-14,2011,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33774,0.3377,0.33991,0.34096,0.36542,0.37461,0.38993,0.39776,0.0016,0.00175,0.00178,0.00183,0.01029,0.01259,0.01233,0.01216,NA
2011-07-15,2011,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33758,0.33758,0.3398,0.34085,0.36566,0.37478,0.39015,0.39805,0.00153,0.00168,0.00171,0.00175,0.01015,0.01243,0.01217,0.012,NA
2011-07-16,2011,197,31,kaweah_2011_07_16_120000.jpg,55.50011,50.48524,43.20794,0.33839,0.372,53.58693,14.44827,50.03973,10.0478,44.56212,5.26533,0.33735,0.00245,0.33803,0.33918,0.33988,0.35627,0.03208,0.36452,0.38201,0.38953,75.03375,-9999,0,0,0,0,0.33742,0.33746,0.3397,0.34075,0.36589,0.37495,0.39037,0.39833,0.00146,0.00161,0.00163,0.00167,0.01002,0.01226,0.01201,0.01183,NA
2011-07-17,2011,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33726,0.33734,0.3396,0.34065,0.36612,0.37511,0.39058,0.39861,0.0014,0.00155,0.00156,0.0016,0.00988,0.0121,0.01185,0.01166,NA
2011-07-18,2011,199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33711,0.33722,0.3395,0.34056,0.36635,0.37527,0.3908,0.39888,0.00134,0.00149,0.00149,0.00153,0.00975,0.01194,0.01169,0.0115,NA
2011-07-19,2011,200,33,kaweah_2011_07_19_120000.jpg,77.43223,65.6927,52.01318,0.33665,0.39681,58.52671,17.32996,53.38097,11.44441,46.82341,5.16114,0.33596,0.00331,0.33646,0.33759,0.33909,0.36189,0.03585,0.37357,0.39353,0.40006,74.52796,-9999,0,0,0,0,0.33697,0.33711,0.3394,0.34046,0.36657,0.37544,0.39101,0.39915,0.00128,0.00143,0.00143,0.00146,0.00962,0.01178,0.01153,0.01134,NA
2011-07-20,2011,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33682,0.337,0.3393,0.34037,0.3668,0.37559,0.39122,0.39942,0.00123,0.00137,0.00137,0.0014,0.00949,0.01162,0.01138,0.01118,NA
2011-07-21,2011,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33668,0.33689,0.33921,0.34028,0.36702,0.37575,0.39143,0.39969,0.00118,0.00132,0.00131,0.00134,0.00937,0.01147,0.01123,0.01102,NA
2011-07-22,2011,203,30,kaweah_2011_07_22_120000.jpg,58.25667,50.0924,40.20333,0.3372,0.39216,51.71814,12.22754,47.45078,7.72698,41.86698,2.77502,0.33583,0.00427,0.33715,0.33898,0.34033,0.36174,0.03704,0.37867,0.38962,0.39976,73.96934,-9999,0,0,0,0,0.33655,0.33679,0.33912,0.3402,0.36724,0.37591,0.39163,0.39995,0.00113,0.00127,0.00126,0.00129,0.00924,0.01131,0.01108,0.01087,NA
2011-07-23,2011,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33642,0.33669,0.33904,0.34012,0.36746,0.37606,0.39184,0.40022,0.00108,0.00122,0.00121,0.00124,0.00912,0.01116,0.01093,0.01071,NA
2011-07-24,2011,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33629,0.33659,0.33896,0.34004,0.36767,0.37621,0.39204,0.40048,0.00104,0.00117,0.00116,0.00119,0.00899,0.01101,0.01078,0.01056,NA
2011-07-25,2011,206,33,kaweah_2011_07_25_120000.jpg,55.18699,51.79272,48.31075,0.33352,0.35538,50.36373,13.32572,48.49793,8.62409,45.92849,2.96107,0.33422,0.00494,0.33234,0.33996,0.34099,0.34217,0.03669,0.33507,0.38262,0.38857,73.35971,-9999,0,0,0,0,0.33617,0.33649,0.33888,0.33996,0.36789,0.37636,0.39224,0.40073,0.001,0.00113,0.00112,0.00115,0.00887,0.01086,0.01063,0.01041,NA
2011-07-26,2011,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33605,0.3364,0.3388,0.33989,0.3681,0.37651,0.39243,0.40099,0.00097,0.00109,0.00108,0.00111,0.00875,0.01072,0.01049,0.01027,NA
2011-07-27,2011,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33593,0.33631,0.33872,0.33981,0.36831,0.37666,0.39263,0.40124,0.00094,0.00106,0.00104,0.00107,0.00863,0.01057,0.01035,0.01012,NA
2011-07-28,2011,209,31,kaweah_2011_07_28_120000.jpg,42.93302,40.77933,34.30786,0.34553,0.36378,54.00623,11.3902,50.47505,8.57608,42.56139,7.45392,0.3434,0.00529,0.34313,0.34725,0.34907,0.3659,0.03037,0.36873,0.38132,0.4001,72.70105,-9999,0,0,0,0,0.33582,0.33623,0.33865,0.33975,0.36851,0.3768,0.39282,0.40149,0.00091,0.00102,0.00101,0.00104,0.00852,0.01043,0.01021,0.00998,NA
