#
# 3-day product summary time series for kelloggcorn
#
# Site: kelloggcorn
# Veg Type: AG
# ROI ID Number: 0001
# Lat: 42.437536
# Lon: -85.3225472
# Elev: 288
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:42:43
# Update Date: 2016-06-13
# Update Time: 05:24:37
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:05:54
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2014-05-23,2014,143,3,kelloggcorn_2014_05_24_090312.jpg,114.42984,91.21962,59.02115,0.34465,0.43235,124.53455,7.19315,97.72413,4.85964,61.19281,2.80987,0.34476,0.00025,0.34465,0.34488,0.34502,0.4392,0.00651,0.43729,0.44262,0.44582,67.8345,NA,0,0,0,0,0.34614,0.34532,0.34602,0.34699,0.45737,0.45542,0.46146,0.4477,0.00411,0.00488,0.00444,0.00469,0.02225,0.02364,0.02419,0.02102,NA
2014-05-26,2014,146,9,kelloggcorn_2014_05_26_130312.jpg,127.56466,99.53635,60.18946,0.34647,0.44403,125.34944,9.23098,98.57071,6.81224,60.64084,4.13377,0.3464,0.00143,0.34614,0.3468,0.3484,0.44039,0.0065,0.4378,0.44403,0.44682,68.35912,NA,0,0,0,0,0.34535,0.34484,0.34608,0.34717,0.44605,0.44481,0.45053,0.44012,0.00278,0.00338,0.00308,0.00325,0.01871,0.01988,0.02034,0.01926,NA
2014-05-29,2014,149,12,kelloggcorn_2014_05_29_110312.jpg,132.15352,105.64107,66.15765,0.34756,0.43478,119.23431,8.43516,97.30829,7.29335,62.78513,7.49839,0.34851,0.00356,0.34717,0.35139,0.35378,0.42729,0.01028,0.42886,0.4351,0.43755,68.83301,NA,0,0,0,0,0.34666,0.34643,0.34831,0.34964,0.43529,0.43471,0.44014,0.43292,0.00222,0.00266,0.00242,0.00256,0.01578,0.01677,0.01716,0.01763,NA
2014-06-01,2014,152,11,kelloggcorn_2014_06_01_110312.jpg,134.95825,109.17695,67.3236,0.35053,0.43331,121.65303,11.81635,98.42671,9.30528,60.90645,5.94248,0.35035,0.00294,0.34877,0.35174,0.35461,0.43289,0.00326,0.43331,0.43581,0.43616,69.11983,NA,0,0,0,0,0.35007,0.34999,0.35258,0.35424,0.425,0.42502,0.43017,0.42609,0.00221,0.00257,0.00233,0.00247,0.01352,0.01437,0.0147,0.01613,NA
2014-06-04,2014,155,12,kelloggcorn_2014_06_04_110312.jpg,120.84419,99.34827,56.17864,0.35947,0.43725,123.01439,9.04152,101.98863,6.76633,62.46934,3.71571,0.35472,0.00295,0.35469,0.35761,0.35832,0.42768,0.00785,0.42608,0.43697,0.43805,69.62125,NA,0,0,0,0,0.35556,0.35558,0.35898,0.36107,0.41519,0.41573,0.42063,0.41967,0.00233,0.00269,0.00245,0.00259,0.01194,0.01269,0.01299,0.01479,NA
2014-06-07,2014,158,12,kelloggcorn_2014_06_07_110300.jpg,119.59862,101.65204,62.02389,0.35885,0.4222,117.58177,6.99084,100.38773,5.81239,61.3641,3.20496,0.35935,0.00337,0.35968,0.36088,0.3616,0.42085,0.00327,0.42043,0.42314,0.42347,69.94184,NA,0,0,0,0,0.36313,0.36311,0.36735,0.36993,0.40597,0.40698,0.41166,0.41367,0.00241,0.0028,0.00255,0.0027,0.01101,0.0117,0.01197,0.0136,NA
2014-06-10,2014,161,12,kelloggcorn_2014_06_10_110300.jpg,96.37894,84.42482,44.13783,0.37532,0.42846,107.70875,9.39805,98.6811,8.99183,56.74253,7.68542,0.37508,0.00652,0.37803,0.38004,0.38165,0.40984,0.01629,0.41441,0.41881,0.42492,70.19512,NA,0,0,0,0,0.37367,0.37387,0.37911,0.38224,0.39741,0.39883,0.4033,0.40811,0.00237,0.00277,0.00252,0.00266,0.01062,0.01129,0.01155,0.01257,NA
2014-06-13,2014,164,11,kelloggcorn_2014_06_13_110300.jpg,95.77395,92.9094,47.43172,0.39349,0.40562,98.88893,7.93208,94.47313,8.13368,51.48861,4.43642,0.38575,0.00616,0.38264,0.39222,0.39349,0.40396,0.00412,0.40507,0.40598,0.40812,70.38961,NA,0,0,0,0,0.38606,0.38613,0.39234,0.39604,0.38957,0.39135,0.39562,0.40301,0.00256,0.00289,0.00263,0.00278,0.01064,0.01131,0.01157,0.01171,NA
2014-06-16,2014,167,12,kelloggcorn_2014_06_16_110300.jpg,92.52792,90.03903,48.33814,0.38994,0.40072,89.83516,7.12792,90.04089,7.59364,46.62957,5.30265,0.39768,0.01107,0.39088,0.4035,0.41698,0.39688,0.00828,0.39901,0.40182,0.4032,70.52418,NA,0,0,0,0,0.40174,0.40088,0.40809,0.41245,0.38229,0.38436,0.38845,0.39837,0.00242,0.00277,0.00252,0.00266,0.01085,0.01153,0.0118,0.01101,NA
2014-06-19,2014,170,12,kelloggcorn_2014_06_19_110300.jpg,97.6633,109.09583,52.57926,0.42067,0.37659,94.52936,9.68606,105.46155,11.69221,52.26013,5.87045,0.4176,0.01463,0.42154,0.42311,0.42595,0.37467,0.00944,0.37551,0.37952,0.38589,70.59782,NA,0,0,0,0,0.41686,0.41508,0.42306,0.42804,0.3755,0.37779,0.38173,0.39415,0.00256,0.00289,0.00263,0.00278,0.01109,0.01179,0.01206,0.01047,NA
