#
# 3-day product summary time series for kendall
#
# Site: kendall
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 31.73652
# Lon: -109.94185
# Elev: 1529
# UTC Offset: -7
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:42:46
# Update Date: 2016-06-13
# Update Time: 05:24:39
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:06:14
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-07-06,2012,188,5,kendall_2012_07_06_121224.jpg,100.42815,94.88901,95.1541,0.32667,0.34574,105.2759,5.30551,107.6595,12.31815,102.4765,4.75606,0.34036,0.01857,0.32667,0.363,0.36306,0.33424,0.01025,0.33815,0.34285,0.34458,80.45259,NA,0,0,0,0,0.34036,0.32667,0.363,0.36306,0.33424,0.33815,0.34285,0.34458,0,0,0,0,0,0,0,0,NA
2012-07-09,2012,191,1,kendall_2012_07_10_103934.jpg,120.66496,104.1182,62.28672,0.36269,0.42033,120.665,0,104.1182,0,62.28672,0,0.36269,0,0.36269,0.36269,0.36269,0.42033,0,0.42033,0.42033,0.42033,64.65029,NA,0,0,0,0,0.36269,0.36269,0.36269,0.36269,0.42033,0.42033,0.42033,0.42033,0,0,0,0,0,0,0,0,NA
2012-07-12,2012,194,11,kendall_2012_07_12_115723.jpg,122.23457,107.84905,64.69931,0.36586,0.41466,119.4543,2.66965,106.3472,2.0326,63.19464,2.87686,0.36802,0.00148,0.36802,0.36938,0.36944,0.41339,0.00656,0.41474,0.41521,0.41561,78.28217,NA,0,0,0,0,0.36802,0.36802,0.36938,0.36944,0.41339,0.41474,0.41521,0.41561,0,0,0,0,0,0,0,0,NA
2012-07-15,2012,197,19,kendall_2012_07_15_115717.jpg,115.24945,104.08232,60.82246,0.37152,0.41138,114.2445,4.387,105.4949,2.03031,61.73787,2.8843,0.37483,0.00272,0.37388,0.37728,0.37824,0.40582,0.01083,0.40923,0.40995,0.41044,77.9853,NA,0,0,0,0,0.37483,0.37388,0.37728,0.37824,0.40582,0.40923,0.40995,0.41044,0,0,0,0,0,0,0,0,NA
2012-07-18,2012,200,33,kendall_2012_07_18_115717.jpg,112.38863,102.5333,60.07995,0.37285,0.40868,112.2929,4.65816,104.1083,3.37304,61.48309,8.27029,0.37489,0.00764,0.37645,0.37737,0.37841,0.40435,0.01331,0.40698,0.40849,0.41069,77.52024,NA,0,0,0,0,0.37489,0.37645,0.37737,0.37841,0.40435,0.40698,0.40849,0.41069,0,0,0,0,0,0,0,0,NA
2012-07-21,2012,203,18,kendall_2012_07_21_113114.jpg,111.66368,103.18659,59.42909,0.37621,0.40712,114.2592,3.17425,106.5891,2.81069,62.14893,2.55279,0.37666,0.00154,0.377,0.37789,0.37831,0.40378,0.00545,0.40547,0.40714,0.40822,73.32285,NA,0,0,0,0,0.37666,0.377,0.37789,0.37831,0.40378,0.40547,0.40714,0.40822,0,0,0,0,0,0,0,0,NA
2012-07-24,2012,206,16,kendall_2012_07_24_113110.jpg,112.15606,102.42263,59.2809,0.374,0.40954,111.6783,4.1089,103.7456,2.94773,60.05191,1.92205,0.37665,0.0028,0.37687,0.37881,0.37986,0.40535,0.00466,0.40475,0.4096,0.41073,72.71121,NA,0,0,0,0,0.37665,0.37687,0.37881,0.37986,0.40535,0.40475,0.4096,0.41073,0,0,0,0,0,0,0,0,NA
2012-07-27,2012,209,18,kendall_2012_07_27_113114.jpg,110.85359,100.0405,58.77514,0.37097,0.41107,111.9201,2.5764,105.7383,3.33638,61.33321,2.30104,0.37895,0.00485,0.37894,0.38387,0.38542,0.40124,0.00767,0.4018,0.40812,0.41008,72.39366,NA,0,0,0,0,0.37895,0.37894,0.38387,0.38542,0.40124,0.4018,0.40812,0.41008,0,0,0,0,0,0,0,0,NA
2012-07-30,2012,212,17,kendall_2012_07_30_113124.jpg,108.56764,105.82421,58.38907,0.38795,0.398,110.043,2.52517,109.0672,2.35927,60.90265,2.58121,0.3895,0.00243,0.38879,0.39064,0.39303,0.39304,0.00762,0.39502,0.398,0.40012,71.87598,NA,0,0,0,0,0.3895,0.38879,0.39064,0.39303,0.39304,0.39502,0.398,0.40012,0,0,0,0,0,0,0,0,NA
2012-08-02,2012,215,19,kendall_2012_08_02_113111.jpg,106.82487,106.3445,56.47723,0.39438,0.39617,107.3391,1.36293,108.0045,2.10329,55.96917,1.08912,0.39806,0.00327,0.39744,0.39938,0.40368,0.39565,0.00304,0.39617,0.3969,0.39784,73.35946,NA,0,0,0,0,0.39806,0.39744,0.39938,0.40368,0.39565,0.39617,0.3969,0.39784,0,0,0,0,0,0,0,0,NA
