#
# 3-day product summary time series for konza
#
# Site: konza
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 39.0824
# Lon: -96.5603
# Elev: 443
# UTC Offset: -6
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:43:05
# Update Date: 2016-06-13
# Update Time: 05:24:52
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:07:08
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-05-16,2012,137,25,konza_2012_05_16_103104.jpg,90.00556,90.08696,42.29329,0.40509,0.40473,87.08851,5.09607,87.05616,4.32769,42.96304,2.68782,0.40104,0.00739,0.40119,0.40369,0.40594,0.40108,0.01164,0.40294,0.40508,0.40655,70.35048,NA,0,0,0,0,0.39971,0.39975,0.40325,0.40637,0.39407,0.39493,0.39801,0.40425,0.00612,0.00617,0.00595,0.00634,0.01834,0.01887,0.01774,0.01835,NA
2012-05-19,2012,140,72,konza_2012_05_19_120250.jpg,94.863,95.66549,46.81055,0.40308,0.39969,85.82272,5.89066,87.68892,4.58762,41.88317,3.95782,0.40729,0.00795,0.4083,0.41353,0.41769,0.3984,0.01449,0.40176,0.40568,0.4084,71.01484,NA,0,0,0,0,0.3999,0.40037,0.40397,0.40702,0.39694,0.39781,0.40103,0.40727,0.00524,0.00529,0.0051,0.00543,0.01697,0.01746,0.01641,0.01698,NA
2012-05-22,2012,143,70,konza_2012_05_22_120052.jpg,125.04151,125.04151,125.04151,0.33333,0.33333,90.5628,5.81863,88.08402,6.80709,44.74605,10.27023,0.39481,0.01074,0.39723,0.39925,0.40278,0.40642,0.0151,0.40547,0.40889,0.41476,71.59768,NA,0,0,0,0,0.40002,0.40088,0.40457,0.40754,0.39977,0.40065,0.40401,0.41025,0.00453,0.00457,0.00441,0.00469,0.01568,0.01613,0.01517,0.01569,NA
2012-05-25,2012,146,20,konza_2012_05_25_173544.jpg,74.39459,78.4909,37.88354,0.41144,0.38997,88.0588,4.80407,86.88048,3.62808,38.92155,3.14127,0.40637,0.00599,0.40551,0.41178,0.41469,0.41172,0.01108,0.41398,0.41766,0.42475,71.78376,NA,0,0,0,0,0.4001,0.40131,0.40507,0.40798,0.40257,0.40345,0.40695,0.41318,0.00399,0.00402,0.00388,0.00413,0.01449,0.0149,0.01401,0.0145,NA
2012-05-28,2012,149,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.40014,0.40167,0.40546,0.40831,0.40532,0.40622,0.40985,0.41607,0.00361,0.00364,0.00352,0.00374,0.01339,0.01377,0.01295,0.0134,NA
2012-05-31,2012,152,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.4001,0.40189,0.40571,0.4085,0.40805,0.40896,0.41272,0.41893,0.00338,0.00341,0.00329,0.00351,0.01239,0.01275,0.01199,0.0124,NA
2012-06-03,2012,155,1,konza_2012_06_04_190921.jpg,83.61914,75.4974,38.21848,0.38258,0.42374,83.61914,0,75.4974,0,38.21848,0,0.38258,0,0.38258,0.38258,0.38258,0.42374,0,0.42374,0.42374,0.42374,6.06164,NA,0,0,0,0,0.39993,0.40195,0.40578,0.40852,0.41076,0.41169,0.41557,0.42176,0.00327,0.0033,0.00318,0.00339,0.0115,0.01183,0.01112,0.0115,NA
2012-06-06,2012,158,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39959,0.40181,0.40564,0.40833,0.41345,0.4144,0.41839,0.42456,0.00325,0.00328,0.00316,0.00337,0.01071,0.01101,0.01036,0.01071,NA
2012-06-09,2012,161,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39913,0.4015,0.40531,0.40796,0.41611,0.41708,0.42119,0.42732,0.00327,0.0033,0.00318,0.00339,0.01002,0.0103,0.00969,0.01002,NA
2012-06-12,2012,164,18,konza_2012_06_12_113922.jpg,87.88259,80.66505,34.88437,0.39652,0.432,89.85407,6.74506,82.25775,5.20999,40.29668,4.22776,0.38731,0.01676,0.38906,0.39635,0.40153,0.42307,0.0259,0.42529,0.43118,0.44659,73.6792,NA,0,0,0,0,0.39857,0.40106,0.40481,0.40743,0.41873,0.41973,0.42394,0.43004,0.00329,0.00332,0.0032,0.00341,0.00943,0.0097,0.00912,0.00943,NA
