#
# 3-day product summary time series for laurentides
#
# Site: laurentides
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 45.9881
# Lon: -74.0055
# Elev: 350
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:43:32
# Update Date: 2016-06-13
# Update Time: 05:25:04
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:07:55
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2013-09-20,2013,263,17,laurentides_2013_09_20_120034.jpg,81.48486,73.35256,51.30094,0.35584,0.39529,61.15045,13.21161,57.51362,10.19169,41.69455,5.28694,0.35867,0.00393,0.35983,0.36075,0.36186,0.37896,0.01789,0.38259,0.38861,0.39633,44.79617,NA,0,0,0,0,0.35978,0.36106,0.36281,0.36115,0.37716,0.38327,0.39264,0.41333,0.00401,0.00391,0.00391,0.00437,0.01018,0.01025,0.01055,0.01115,NA
2013-09-23,2013,266,29,laurentides_2013_09_23_120043.jpg,83.35904,70.18663,47.82056,0.34855,0.41397,62.11747,15.02791,55.72502,10.32626,41.55282,4.97907,0.34941,0.00629,0.35022,0.35532,0.35603,0.38587,0.03185,0.3911,0.40799,0.41439,44.0102,NA,0,0,0,0,0.34825,0.34916,0.3521,0.35363,0.38947,0.39757,0.40837,0.41674,0.0025,0.00244,0.00244,0.00288,0.00671,0.00675,0.00695,0.0082,NA
2013-09-26,2013,269,26,laurentides_2013_09_26_120042.jpg,62.7092,52.60431,35.93334,0.3478,0.41461,63.78904,18.83478,55.88007,12.67745,42.67541,7.0743,0.34433,0.005,0.34549,0.34753,0.34868,0.3875,0.03903,0.40644,0.41459,0.41971,42.83054,NA,0,0,0,0,0.34071,0.34127,0.34506,0.34891,0.39655,0.40567,0.41736,0.41792,0.00226,0.0022,0.0022,0.00236,0.0055,0.00554,0.0057,0.00639,NA
2013-09-29,2013,272,9,laurentides_2013_09_30_090102.jpg,86.50072,64.70173,45.58751,0.32879,0.43956,69.11519,23.31597,54.74877,14.18941,41.25869,7.2655,0.33259,0.00673,0.33259,0.33784,0.34039,0.41043,0.03509,0.42333,0.43956,0.44651,40.86614,NA,0,0,0,0,0.33718,0.33743,0.34167,0.34672,0.39862,0.4081,0.4202,0.41679,0.00241,0.00235,0.00235,0.00243,0.00564,0.00568,0.00585,0.00568,NA
2013-10-02,2013,275,27,laurentides_2013_10_02_120159.jpg,90.21991,70.21298,52.71129,0.32942,0.42328,74.19378,20.73929,58.78163,14.09382,44.19118,7.95856,0.33179,0.00584,0.33256,0.33566,0.33651,0.41465,0.02611,0.42127,0.43228,0.4416,40.45377,NA,0,0,0,0,0.33728,0.3373,0.34165,0.34656,0.39659,0.4059,0.418,0.41397,0.00252,0.00245,0.00246,0.00257,0.00598,0.00602,0.0062,0.00569,NA
2013-10-05,2013,278,30,laurentides_2013_10_05_120154.jpg,86.41328,73.79433,56.59467,0.34038,0.39858,64.67772,10.12053,56.5579,7.12379,42.9054,4.08981,0.34463,0.00533,0.34334,0.34892,0.3527,0.39256,0.01786,0.39468,0.40345,0.41112,39.28334,NA,0,0,0,0,0.34261,0.34256,0.34682,0.34909,0.38978,0.3977,0.4092,0.41002,0.00252,0.00245,0.00246,0.00266,0.00618,0.00622,0.00641,0.00597,NA
2013-10-08,2013,281,27,laurentides_2013_10_08_120152.jpg,76.53299,71.02733,51.91084,0.35608,0.38368,62.96243,18.77668,59.90978,16.27617,45.85461,9.70567,0.35422,0.00439,0.35469,0.35828,0.36006,0.36921,0.02556,0.37533,0.38592,0.39407,38.12317,NA,0,0,0,0,0.34875,0.34887,0.35261,0.35385,0.37763,0.38475,0.39535,0.40291,0.00233,0.00227,0.00227,0.00251,0.00584,0.00588,0.00605,0.00614,NA
2013-10-11,2013,284,28,laurentides_2013_10_11_120156.jpg,77.9793,73.45468,55.76938,0.35451,0.37634,61.50632,23.37966,60.99144,19.74566,49.44606,11.08846,0.35365,0.00409,0.35444,0.35717,0.35878,0.34953,0.03057,0.36125,0.37556,0.3775,36.97157,NA,0,0,0,0,0.35446,0.35482,0.35788,0.35855,0.36494,0.37131,0.38109,0.39285,0.00252,0.00245,0.00246,0.00266,0.00618,0.00622,0.00641,0.00638,NA
2013-10-14,2013,287,29,laurentides_2013_10_14_120150.jpg,54.66935,52.40816,41.35601,0.35307,0.36831,58.24118,15.12514,56.67617,11.76117,44.37144,5.85997,0.35528,0.00374,0.35568,0.35808,0.35976,0.36184,0.02878,0.3695,0.37768,0.38924,35.83814,NA,0,0,0,0,0.3555,0.35614,0.35833,0.36016,0.35756,0.36402,0.37306,0.38384,0.00252,0.00245,0.00246,0.00266,0.00618,0.00622,0.00641,0.00662,NA
2013-10-17,2013,290,30,laurentides_2013_10_17_120039.jpg,46.2665,47.26942,41.81644,0.34923,0.34182,57.81078,7.81587,56.96013,6.10005,46.01337,4.10064,0.35408,0.00344,0.35469,0.35625,0.35864,0.35863,0.01945,0.3626,0.37003,0.37462,34.71954,NA,0,0,0,0,0.3549,0.35538,0.35727,0.35949,0.35436,0.35961,0.36958,0.37753,0.00233,0.00227,0.00227,0.00251,0.00584,0.00588,0.00605,0.00639,NA
