#
# 3-day product summary time series for lethbridge
#
# Site: lethbridge
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 49.70919
# Lon: -112.94025
# Elev: 950
# UTC Offset: -7
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:43:47
# Update Date: 2016-06-13
# Update Time: 05:25:14
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:09:05
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2011-12-07,2011,341,12,lethbridge_2011_12_07_153107.jpg,108.61298,93.64728,90.89421,0.31945,0.3705,123.51535,5.34674,78.80231,6.42886,52.4986,13.93677,0.30897,0.00439,0.30895,0.3106,0.31412,0.48738,0.04255,0.50165,0.51618,0.52167,17.58176,NA,0,0,0,0,0.30948,0.31001,0.31131,0.31353,0.47947,0.48263,0.50443,0.51754,0.00279,0.00272,0.00279,0.00288,0.02242,0.0236,0.02424,0.02744,NA
2011-12-10,2011,344,37,lethbridge_2011_12_10_120112.jpg,129.26404,78.91997,46.1231,0.31033,0.5083,127.88591,6.36271,78.47965,4.45008,47.83801,4.90489,0.30869,0.00232,0.30896,0.31022,0.31158,0.50339,0.01365,0.50686,0.50932,0.51838,17.48443,NA,0,0,0,0,0.30971,0.31013,0.31146,0.31359,0.48,0.48339,0.50347,0.51555,0.00219,0.0022,0.00219,0.00233,0.02088,0.02198,0.02218,0.02415,NA
2011-12-13,2011,347,38,lethbridge_2011_12_13_120110.jpg,107.87068,71.80047,50.54319,0.31189,0.46857,119.48718,7.39127,82.68709,6.98933,62.76115,10.70871,0.31195,0.0037,0.31323,0.31428,0.31605,0.45246,0.02907,0.45366,0.47862,0.49356,17.23761,NA,0,0,0,0,0.30993,0.31025,0.3116,0.31366,0.48052,0.48412,0.50257,0.5137,0.00176,0.00179,0.00176,0.0019,0.01943,0.02045,0.02027,0.02124,NA
2011-12-16,2011,350,34,lethbridge_2011_12_16_120109.jpg,122.86507,85.81135,65.44028,0.31305,0.44822,125.37237,6.72289,83.06633,5.29026,57.96684,11.53909,0.31166,0.00447,0.3123,0.31354,0.31492,0.47213,0.03717,0.46546,0.5028,0.51582,17.01329,NA,0,0,0,0,0.31014,0.31037,0.31175,0.31373,0.48103,0.48484,0.50174,0.51201,0.00149,0.00151,0.00149,0.0016,0.01807,0.01902,0.01853,0.01875,NA
2011-12-19,2011,353,38,lethbridge_2011_12_19_120110.jpg,131.3209,79.01537,46.25588,0.30794,0.51179,130.43081,6.38379,80.71725,4.12531,50.14675,5.08945,0.30886,0.00227,0.30883,0.30934,0.31064,0.4994,0.0165,0.50313,0.51005,0.51422,16.9466,NA,0,0,0,0,0.31034,0.31049,0.3119,0.31381,0.48153,0.48554,0.50099,0.51047,0.00137,0.00136,0.00137,0.00144,0.01682,0.0177,0.01696,0.01671,NA
2011-12-22,2011,356,38,lethbridge_2011_12_22_120110.jpg,124.8687,76.86687,46.77467,0.30931,0.50247,126.25834,7.06179,80.00652,5.93294,51.90696,11.66713,0.30973,0.00428,0.3101,0.31268,0.3143,0.4907,0.03525,0.5038,0.50982,0.51536,16.91368,NA,0,0,0,0,0.31052,0.31062,0.31204,0.31389,0.48205,0.48625,0.50033,0.50908,0.00136,0.0013,0.00136,0.00138,0.01567,0.0165,0.01558,0.0151,NA
2011-12-25,2011,359,35,lethbridge_2011_12_25_120112.jpg,128.13657,78.19512,45.97397,0.30992,0.50786,126.39306,6.69014,79.31666,5.0157,49.67617,5.5006,0.31048,0.00259,0.31063,0.31147,0.31216,0.49535,0.01579,0.49904,0.50364,0.5093,16.98579,NA,0,0,0,0,0.3107,0.31074,0.31218,0.31398,0.48257,0.48696,0.49975,0.50784,0.00139,0.0013,0.00139,0.00138,0.01464,0.01541,0.01439,0.01394,NA
2011-12-28,2011,362,37,lethbridge_2011_12_28_120111.jpg,121.34036,80.19509,52.18658,0.31607,0.47824,126.69116,7.12848,80.53395,3.97655,51.44408,4.71643,0.31136,0.00234,0.3108,0.31232,0.31514,0.48987,0.01533,0.49136,0.50012,0.50447,17.12649,NA,0,0,0,0,0.31087,0.31086,0.31232,0.31408,0.48312,0.48769,0.49927,0.50674,0.00144,0.00134,0.00144,0.00142,0.01372,0.01444,0.0134,0.01319,NA
2011-12-31,2011,365,37,lethbridge_2011_12_31_120112.jpg,129.90631,77.86359,44.5165,0.30863,0.51492,125.92804,10.30201,81.13378,3.74702,53.46668,9.24357,0.3114,0.00347,0.31051,0.31225,0.31706,0.48356,0.0361,0.49549,0.50802,0.51517,17.33555,NA,0,0,0,0,0.31102,0.31097,0.31247,0.31418,0.48369,0.48843,0.49888,0.50578,0.00147,0.00138,0.00147,0.00147,0.01291,0.01359,0.0126,0.01281,NA
2012-01-02,2012,2,26,lethbridge_2012_01_02_120111.jpg,132.69031,82.21476,51.1157,0.30905,0.4988,127.46641,6.34535,80.14971,3.61516,50.59227,3.55233,0.31045,0.00209,0.30957,0.31218,0.31339,0.49369,0.00941,0.49784,0.49946,0.5021,17.51184,NA,0,0,0,0,0.31113,0.31105,0.31258,0.31426,0.48408,0.48894,0.49868,0.50522,0.00148,0.0014,0.00148,0.00148,0.01243,0.01308,0.01217,0.01271,NA
