#
# 3-day product summary time series for mammothcave
#
# Site: mammothcave
# Veg Type: DB
# ROI ID Number: 0003
# Lat: 37.1858333333
# Lon: -86.1019444444
# Elev: 226
# UTC Offset: -6
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:44:21
# Update Date: 2016-06-13
# Update Time: 05:25:33
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:11:27
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2006-07-22,2006,203,3,mammothcave_2006_07_22_120000.jpg,53.5006,77.7899,36.3367,0.46406,0.31916,55.88251,2.08785,80.54365,2.9023,46.3712,10.07151,0.44194,0.02525,0.45515,0.4596,0.46228,0.30649,0.01531,0.31535,0.31726,0.3184,73.09496,NA,0,0,0,0,0.44379,0.45289,0.45412,0.45486,0.30957,0.3132,0.31566,0.31627,0.00707,0.00715,0.00673,0.00654,0.01165,0.01323,0.01065,0.0099,NA
2006-07-25,2006,206,3,mammothcave_2006_07_25_120000.jpg,57.82234,82.88672,47.52378,0.44034,0.30719,53.01658,4.85272,76.77562,6.2464,41.85063,4.50841,0.44766,0.00518,0.45119,0.45132,0.4514,0.30883,0.00248,0.30719,0.30976,0.3113,72.48933,NA,0,0,0,0,0.44123,0.44882,0.45075,0.4519,0.30831,0.31101,0.31432,0.31578,0.00568,0.00574,0.00541,0.00525,0.00967,0.01097,0.00884,0.0081,NA
2006-07-28,2006,209,3,mammothcave_2006_07_28_120000.jpg,47.02885,64.09614,43.51352,0.41449,0.30412,45.24982,11.04445,65.05387,13.14732,39.45108,6.69405,0.43515,0.01475,0.44298,0.44548,0.44698,0.29932,0.01413,0.30412,0.30892,0.3118,71.83208,NA,0,0,0,0,0.43884,0.44507,0.44763,0.44917,0.30725,0.30917,0.31322,0.31543,0.00462,0.00467,0.0044,0.00427,0.00807,0.00915,0.00737,0.00667,NA
2006-07-31,2006,212,3,mammothcave_2006_07_31_120000.jpg,61.80984,85.62475,46.8851,0.44064,0.31808,59.23018,2.90199,82.88316,3.12773,47.6462,0.56955,0.43669,0.00329,0.43684,0.43874,0.43988,0.31196,0.00588,0.31375,0.31592,0.31722,71.1254,NA,0,0,0,0,0.43666,0.44166,0.4448,0.44668,0.30634,0.30765,0.31234,0.31521,0.00391,0.00396,0.00372,0.00362,0.00687,0.0078,0.00628,0.00566,NA
2006-08-03,2006,215,3,mammothcave_2006_08_03_120000.jpg,65.47251,87.35058,49.28333,0.4322,0.32395,62.10693,2.4219,85.03863,1.85102,48.43137,1.14417,0.43486,0.002,0.43536,0.43619,0.4367,0.31747,0.0048,0.31594,0.31995,0.32235,70.37154,NA,0,0,0,0,0.43469,0.43859,0.44225,0.44444,0.30558,0.30646,0.31169,0.31511,0.00354,0.00357,0.00336,0.00327,0.00609,0.00691,0.00557,0.00505,NA
2006-08-06,2006,218,2,mammothcave_2006_08_06_120000.jpg,53.95457,75.74854,41.29117,0.44299,0.31553,44.72203,9.23254,66.16797,9.58057,40.29337,0.99779,0.43687,0.00612,0.43687,0.43993,0.44177,0.29284,0.0227,0.29284,0.30419,0.311,69.57284,NA,0,0,0,0,0.43289,0.43584,0.43995,0.44242,0.30503,0.30562,0.3113,0.31515,0.00342,0.00346,0.00325,0.00316,0.00568,0.00645,0.00519,0.00479,NA
2006-08-09,2006,221,3,mammothcave_2006_08_09_120000.jpg,44.3637,64.91416,35.75314,0.44759,0.30589,54.55309,7.21681,73.14004,7.20253,47.92036,11.69333,0.41947,0.0353,0.44114,0.44437,0.4463,0.31039,0.00815,0.30589,0.31386,0.31864,68.73165,NA,0,0,0,0,0.43124,0.43337,0.43787,0.44057,0.30473,0.30515,0.31119,0.31539,0.00347,0.00351,0.0033,0.00321,0.00557,0.00632,0.00509,0.00477,NA
2006-08-12,2006,224,3,mammothcave_2006_08_12_120000.jpg,56.03043,77.37759,44.3178,0.43538,0.31526,50.70234,12.80419,70.49649,15.42319,41.24549,10.15602,0.43609,0.0092,0.43538,0.44154,0.44524,0.31059,0.00666,0.31526,0.3153,0.31532,67.85018,NA,0,0,0,0,0.42969,0.43113,0.43595,0.43884,0.30473,0.30507,0.31139,0.31584,0.00359,0.00363,0.00342,0.00332,0.00565,0.00641,0.00517,0.0049,NA
2006-08-15,2006,227,3,mammothcave_2006_08_15_120000.jpg,31.78212,46.46698,31.63738,0.42286,0.28923,44.87089,11.54888,63.45476,14.48744,38.60478,4.98369,0.42986,0.01262,0.42286,0.43522,0.44264,0.30227,0.01773,0.29025,0.3088,0.31993,66.93051,NA,0,0,0,0,0.42834,0.42926,0.43437,0.43745,0.3049,0.30532,0.31183,0.3164,0.00369,0.00373,0.00351,0.00341,0.0058,0.00658,0.0053,0.00504,NA
2006-08-18,2006,230,3,mammothcave_2006_08_18_120000.jpg,61.18497,82.17651,56.32361,0.41153,0.30641,56.94748,4.56532,77.51655,4.76179,52.42561,3.52331,0.41498,0.0031,0.41437,0.41671,0.41811,0.30446,0.00406,0.30641,0.30729,0.30781,65.97481,NA,0,0,0,0,0.42725,0.42778,0.43318,0.43642,0.3052,0.30587,0.31248,0.31701,0.00376,0.0038,0.00357,0.00347,0.00593,0.00673,0.00542,0.00515,NA
2006-08-21,2006,233,3,mammothcave_2006_08_21_120000.jpg,52.75358,72.26135,46.49046,0.42134,0.30759,52.81203,7.25579,73.00474,7.37776,45.17402,1.11742,0.42631,0.00869,0.42134,0.42993,0.43509,0.30744,0.0173,0.30759,0.31807,0.32436,64.98547,NA,0,0,0,0,0.42627,0.42654,0.43214,0.43551,0.30578,0.30682,0.31344,0.31785,0.00386,0.0039,0.00367,0.00356,0.00605,0.00687,0.00553,0.00525,NA
