#
# 3-day product summary time series for mayberry
#
# Site: mayberry
# Veg Type: WL
# ROI ID Number: 0002
# Lat: 38.04977222
# Lon: -121.7650694
# Elev: -5
# UTC Offset: -8
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:45:07
# Update Date: 2016-06-13
# Update Time: 05:25:47
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:13:55
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2014-03-21,2014,80,68,mayberry_2014_03_21_114500.jpg,119.81148,109.00787,90.39944,0.34148,0.37533,104.21314,18.54587,93.73631,14.71959,78.76019,10.29037,0.33835,0.00574,0.33959,0.34115,0.34182,0.37507,0.0221,0.37247,0.38403,0.40367,52.80381,NA,0,0,0,0,0.34362,0.34461,0.3416,0.34252,0.37444,0.37198,0.38945,0.40495,0.0024,0.0024,0.00225,0.00199,0.00533,0.00511,0.00615,0.00836,NA
2014-03-24,2014,83,69,mayberry_2014_03_24_114500.jpg,117.71369,108.32759,90.48586,0.34224,0.37189,101.227,17.57728,91.72153,14.2332,76.49933,10.18635,0.33998,0.00793,0.34183,0.34309,0.34403,0.37435,0.02223,0.3705,0.38,0.40193,53.98223,NA,0,0,0,0,0.34496,0.34596,0.34373,0.34478,0.37276,0.37056,0.38613,0.40156,0.00228,0.00228,0.00178,0.00161,0.0048,0.0046,0.00531,0.00723,NA
2014-03-27,2014,86,68,mayberry_2014_03_27_121500.jpg,81.54711,76.40501,64.11457,0.34406,0.36722,93.61776,19.80537,85.53212,14.81195,69.79032,9.27811,0.34332,0.0054,0.34444,0.34588,0.34754,0.37332,0.0247,0.37305,0.3911,0.40328,55.15288,NA,0,0,0,0,0.34625,0.34726,0.34576,0.34696,0.37117,0.36922,0.38302,0.39837,0.00216,0.00216,0.00143,0.00132,0.00432,0.00414,0.00459,0.00624,NA
2014-03-30,2014,89,69,mayberry_2014_03_30_114500.jpg,100.59347,94.42661,78.22108,0.34558,0.36815,99.00414,13.01712,91.11005,10.49564,74.13845,8.14977,0.34462,0.0061,0.34602,0.34809,0.34978,0.37389,0.01818,0.37563,0.38412,0.39028,56.31292,NA,0,0,0,0,0.3475,0.34851,0.3477,0.34906,0.36967,0.36797,0.38012,0.39539,0.00205,0.00205,0.00121,0.00112,0.00389,0.00373,0.00399,0.00543,NA
2014-04-02,2014,92,69,mayberry_2014_04_02_114500.jpg,111.50167,104.17816,81.6965,0.35032,0.37495,95.38751,15.93452,88.73288,12.5417,72.33159,10.44157,0.34598,0.00754,0.34808,0.35004,0.35093,0.37086,0.02209,0.37037,0.38095,0.39342,57.45957,NA,0,0,0,0,0.34871,0.34972,0.34956,0.35107,0.36827,0.3668,0.37743,0.39262,0.00194,0.00194,0.00112,0.00101,0.00352,0.00338,0.00353,0.00479,NA
2014-04-05,2014,95,69,mayberry_2014_04_05_114500.jpg,105.1918,101.18568,84.45139,0.34792,0.3617,91.88081,13.96567,87.108,11.78088,71.47933,9.33765,0.34768,0.00552,0.34835,0.35059,0.35235,0.3662,0.01943,0.36285,0.37686,0.38925,58.59014,NA,0,0,0,0,0.34987,0.35089,0.35133,0.353,0.36696,0.36574,0.37497,0.39007,0.00184,0.00184,0.00111,0.00097,0.00322,0.00308,0.0032,0.00434,NA
2014-04-08,2014,98,69,mayberry_2014_04_08_114500.jpg,107.13244,104.68196,81.42296,0.35699,0.36534,94.47273,15.37755,90.52937,12.41907,71.58414,8.55893,0.3527,0.00453,0.35321,0.35672,0.35789,0.36697,0.02094,0.3617,0.3757,0.39716,59.70204,NA,0,0,0,0,0.35098,0.35202,0.35302,0.35484,0.36576,0.36476,0.37272,0.38773,0.00174,0.00174,0.00114,0.00097,0.00297,0.00285,0.003,0.00407,NA
2014-04-11,2014,101,71,mayberry_2014_04_11_114500.jpg,104.34647,99.45648,79.08126,0.35158,0.36887,94.64602,14.24936,90.97246,12.45666,72.48005,8.54402,0.35212,0.00634,0.35313,0.35527,0.35695,0.36584,0.0161,0.36587,0.36904,0.38091,60.79284,NA,0,0,0,0,0.35206,0.35309,0.35464,0.35661,0.36465,0.36389,0.37069,0.38559,0.00166,0.00166,0.00119,0.00099,0.00279,0.00268,0.00292,0.00396,NA
2014-04-14,2014,104,72,mayberry_2014_04_14_114500.jpg,104.57084,101.49125,81.71925,0.35267,0.36337,95.30696,14.54239,92.26965,12.4774,74.08679,8.3823,0.35235,0.00825,0.35335,0.35625,0.35957,0.36322,0.01606,0.36404,0.36866,0.37827,61.86026,NA,0,0,0,0,0.35308,0.35413,0.35619,0.35832,0.36365,0.36311,0.36885,0.38364,0.00158,0.00158,0.00122,0.00102,0.00267,0.00256,0.00293,0.00398,NA
2014-04-17,2014,107,74,mayberry_2014_04_17_114500.jpg,109.65635,106.94447,87.14574,0.35208,0.36101,95.09582,12.51797,93.50132,11.28576,77.20495,8.75208,0.35162,0.00682,0.35279,0.35449,0.35794,0.3573,0.01481,0.35773,0.36252,0.38243,62.90215,NA,0,0,0,0,0.35406,0.35511,0.3576,0.35993,0.36276,0.36245,0.36723,0.3819,0.0015,0.0015,0.00123,0.00103,0.0026,0.0025,0.003,0.00408,NA
