#
# 3-day product summary time series for merbleue
#
# Site: merbleue
# Veg Type: SH
# ROI ID Number: 0001
# Lat: 45.4094
# Lon: -75.5187
# Elev: 69
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:45:17
# Update Date: 2016-06-13
# Update Time: 05:25:53
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:14:23
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-11-18,2012,323,13,merbleue_2012_11_19_090104.jpg,135.89238,84.42096,60.38889,0.30075,0.48412,138.55402,1.93608,85.572,1.19004,61.00565,1.34814,0.30012,0.0014,0.30042,0.30102,0.3012,0.48594,0.0028,0.48594,0.4866,0.48831,24.88908,NA,0,0,0,0,0.30115,0.30081,0.30169,0.30288,0.4798,0.4838,0.4859,0.49148,0.00658,0.00665,0.00701,0.00717,0.02366,0.02588,0.02386,0.02195,NA
2012-11-21,2012,326,47,merbleue_2012_11_21_120105.jpg,139.24045,87.53103,63.1593,0.3019,0.48025,136.49393,8.25566,85.85927,3.5547,64.03331,7.97412,0.29974,0.00615,0.29988,0.30127,0.30239,0.47688,0.02984,0.48144,0.4915,0.50684,24.66787,NA,0,0,0,0,0.29977,0.2999,0.30129,0.30327,0.47511,0.47758,0.4852,0.49278,0.00485,0.0049,0.00516,0.00528,0.01743,0.01907,0.01691,0.01485,NA
2012-11-24,2012,329,44,merbleue_2012_11_24_120105.jpg,141.60453,86.57256,62.26272,0.29807,0.48755,135.28706,6.60824,84.92228,3.56411,66.13921,6.88807,0.29656,0.00623,0.29778,0.29945,0.30051,0.4727,0.02159,0.47312,0.48775,0.49549,24.04128,NA,0,0,0,0,0.29916,0.29974,0.30158,0.30413,0.46847,0.46929,0.48241,0.49299,0.00378,0.00382,0.00403,0.00412,0.0136,0.01488,0.0132,0.01184,NA
2012-11-27,2012,332,48,merbleue_2012_11_27_120105.jpg,123.91054,89.4308,79.6365,0.30525,0.42293,124.51903,9.17651,89.94729,2.35567,78.0791,7.58877,0.3075,0.00812,0.30659,0.30997,0.32138,0.42568,0.03139,0.42944,0.44511,0.4662,23.47183,NA,0,0,0,0,0.2993,0.30028,0.30251,0.30548,0.45988,0.45915,0.47729,0.49118,0.00337,0.0034,0.00359,0.00367,0.01211,0.01325,0.01234,0.01183,NA
2012-11-30,2012,335,43,merbleue_2012_11_30_120922.jpg,139.1064,88.08146,66.00432,0.30042,0.47445,127.4123,6.30776,89.27222,2.55851,76.25097,8.53679,0.30471,0.00409,0.30449,0.3071,0.30819,0.43539,0.02782,0.42918,0.46828,0.47429,22.86769,NA,0,0,0,0,0.30026,0.30159,0.30416,0.30738,0.44916,0.44685,0.47006,0.48739,0.00338,0.00341,0.0036,0.00368,0.01214,0.01328,0.01279,0.01248,NA
2012-12-03,2012,338,42,merbleue_2012_12_03_120106.jpg,117.18005,69.81553,54.04996,0.28964,0.48613,134.75297,8.6212,83.86052,4.33517,69.17855,7.6038,0.29142,0.00726,0.294,0.29726,0.29911,0.46843,0.02386,0.47206,0.48558,0.49079,22.51366,NA,0,0,0,0,0.30199,0.30363,0.30648,0.3098,0.43642,0.43257,0.46071,0.48123,0.00352,0.00355,0.00375,0.00383,0.01264,0.01383,0.01336,0.01288,NA
2012-12-06,2012,341,43,merbleue_2012_12_06_120105.jpg,136.91263,86.5817,64.03006,0.30113,0.47618,133.71353,6.46494,86.32727,1.83165,67.9264,7.21711,0.29978,0.00297,0.30003,0.3017,0.30353,0.46449,0.02394,0.4713,0.47594,0.48149,22.12808,NA,0,0,0,0,0.30441,0.30628,0.30933,0.31262,0.42206,0.41702,0.4487,0.47602,0.00365,0.00369,0.00389,0.00398,0.01312,0.01436,0.01371,0.01369,NA
2012-12-09,2012,344,44,merbleue_2012_12_09_120104.jpg,110.25024,95.02025,95.15652,0.31628,0.36698,112.95152,17.02109,92.08417,7.11777,92.75828,15.16557,0.309,0.01607,0.31618,0.31847,0.32176,0.38011,0.06048,0.3602,0.38518,0.48925,21.80752,NA,0,0,0,0,0.30763,0.30979,0.31298,0.31589,0.40569,0.39902,0.4341,0.46477,0.00373,0.00376,0.00397,0.00406,0.01339,0.01465,0.01359,0.01293,NA
2012-12-12,2012,347,44,merbleue_2012_12_12_120105.jpg,109.87426,94.96029,91.55464,0.32039,0.37071,110.29349,7.47318,94.93869,2.67545,93.28278,10.36629,0.318,0.00397,0.31828,0.32062,0.32378,0.37002,0.03103,0.3657,0.39734,0.40442,21.55309,NA,0,0,0,0,0.31157,0.31396,0.31721,0.31963,0.38748,0.37951,0.41665,0.44823,0.00392,0.00396,0.00417,0.00426,0.01408,0.0154,0.01449,0.01369,NA
2012-12-15,2012,350,44,merbleue_2012_12_15_120104.jpg,130.28973,88.04631,69.75952,0.30561,0.45224,116.67697,10.40246,91.23128,3.67682,86.48783,12.9812,0.30984,0.00456,0.31017,0.31427,0.31527,0.39709,0.04105,0.38858,0.4459,0.45062,21.36577,NA,0,0,0,0,0.31765,0.31987,0.32314,0.32536,0.36195,0.35413,0.3912,0.41954,0.00378,0.00382,0.00403,0.00412,0.0136,0.01488,0.01387,0.01293,NA
