#
# 3-day product summary time series for missouriozarks
#
# Site: missouriozarks
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 38.7441
# Lon: -92.2
# Elev: 219
# UTC Offset: -6
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:45:49
# Update Date: 2016-06-13
# Update Time: 05:26:06
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:15:08
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-03-05,2012,65,27,missouriozarks_2012_03_05_133111.jpg,164.89826,154.27575,136.30253,0.33871,0.36203,178.63479,14.9875,162.16097,14.66932,137.32222,15.36611,0.33917,0.00079,0.33926,0.33952,0.33991,0.37399,0.01104,0.37294,0.37956,0.38561,45.90021,NA,0,0,0,0,0.33823,0.33864,0.33944,0.33961,0.35792,0.35524,0.36977,0.37347,0.00412,0.00416,0.00393,0.00401,0.0138,0.01497,0.01201,0.01394,NA
2012-03-08,2012,68,62,missouriozarks_2012_03_08_120109.jpg,180.30505,167.521,149.69961,0.33671,0.3624,178.24968,16.31141,167.13652,15.55847,151.14201,17.2943,0.33663,0.00291,0.33697,0.33862,0.33945,0.3593,0.01265,0.35844,0.3654,0.37517,47.05793,NA,0,0,0,0,0.33747,0.33789,0.33869,0.339,0.36132,0.35945,0.37141,0.37738,0.00308,0.00311,0.00293,0.00299,0.01123,0.01218,0.00935,0.01134,NA
2012-03-11,2012,71,61,missouriozarks_2012_03_11_120110.jpg,174.31419,168.09477,156.40725,0.33699,0.34946,178.81423,20.57426,167.73878,20.72122,150.10781,23.36028,0.33778,0.0037,0.33882,0.34007,0.34092,0.36074,0.01513,0.35941,0.37387,0.37789,48.22144,NA,0,0,0,0,0.33761,0.33806,0.33893,0.33949,0.36437,0.36326,0.37323,0.38087,0.00241,0.00243,0.0023,0.00234,0.00921,0.00999,0.00746,0.0093,NA
2012-03-14,2012,74,62,missouriozarks_2012_03_14_120112.jpg,151.77581,137.87241,114.99423,0.34073,0.37509,183.23352,19.88207,171.37373,20.71075,149.95805,24.75355,0.33978,0.00156,0.33998,0.34104,0.34153,0.3642,0.01691,0.36053,0.37633,0.38813,49.38819,NA,0,0,0,0,0.33868,0.33914,0.3402,0.3411,0.36708,0.36666,0.3752,0.38396,0.00211,0.00213,0.00201,0.00205,0.0078,0.00846,0.00635,0.00788,NA
2012-03-17,2012,77,65,missouriozarks_2012_03_17_120112.jpg,165.72421,161.74534,156.71403,0.33406,0.34228,178.75533,21.57621,168.20107,22.5399,147.9302,24.66067,0.33978,0.00369,0.34078,0.34164,0.34218,0.36205,0.0158,0.36118,0.36928,0.38137,50.55497,NA,0,0,0,0,0.34056,0.34106,0.34236,0.34366,0.36946,0.36966,0.37714,0.38664,0.00208,0.0021,0.00198,0.00202,0.00703,0.00762,0.00594,0.0071,NA
2012-03-20,2012,80,64,missouriozarks_2012_03_20_120111.jpg,164.98656,147.78999,117.13767,0.34377,0.38377,182.32755,13.54654,172.57004,14.30466,148.84453,16.20987,0.34257,0.00277,0.34315,0.34411,0.34485,0.36239,0.01171,0.35966,0.36825,0.37908,51.72598,NA,0,0,0,0,0.34333,0.34389,0.3455,0.34727,0.37152,0.37228,0.37914,0.38894,0.00215,0.00217,0.00205,0.0021,0.0068,0.00737,0.00597,0.00686,NA
2012-03-23,2012,83,64,missouriozarks_2012_03_23_120112.jpg,186.64811,177.98717,153.08245,0.34379,0.36052,185.81591,17.42956,175.73,19.66862,149.5014,23.1,0.34396,0.00326,0.34453,0.34627,0.34681,0.36459,0.01287,0.36603,0.37436,0.38094,52.92219,NA,0,0,0,0,0.34689,0.34751,0.34949,0.35175,0.37322,0.37447,0.38126,0.39081,0.00224,0.00226,0.00213,0.00218,0.00691,0.00749,0.00616,0.00698,NA
2012-03-26,2012,86,58,missouriozarks_2012_03_26_120112.jpg,190.70095,177.90952,141.42793,0.34882,0.3739,192.35777,17.53847,178.48392,20.0277,142.40132,25.27491,0.34808,0.00315,0.34875,0.34982,0.3521,0.37616,0.01403,0.3802,0.38857,0.39157,54.11225,NA,0,0,0,0,0.35139,0.35208,0.35452,0.35741,0.37455,0.37622,0.38327,0.39223,0.00228,0.00231,0.00218,0.00222,0.00716,0.00777,0.00636,0.00723,NA
2012-03-29,2012,89,63,missouriozarks_2012_03_29_120923.jpg,195.70257,184.63551,136.53148,0.35722,0.37863,195.54372,14.0427,183.25862,18.18119,137.64456,25.6254,0.35525,0.00454,0.35589,0.35774,0.3616,0.3803,0.01754,0.38665,0.39588,0.39765,55.29258,NA,0,0,0,0,0.35664,0.35741,0.36036,0.3639,0.37546,0.37749,0.38495,0.39316,0.00235,0.00237,0.00224,0.00229,0.00741,0.00803,0.00651,0.00748,NA
2012-04-01,2012,92,60,missouriozarks_2012_04_01_120115.jpg,179.45609,170.4604,109.63646,0.37093,0.3905,193.0883,16.62397,185.70769,18.9025,131.52507,29.20132,0.36496,0.00899,0.3663,0.37198,0.37637,0.38019,0.01529,0.38812,0.3924,0.39409,56.46037,NA,0,0,0,0,0.36359,0.36459,0.3681,0.37224,0.37602,0.37836,0.38694,0.39366,0.00229,0.00231,0.00218,0.00223,0.00755,0.00819,0.00644,0.00762,NA
