#
# 3-day product summary time series for monture
#
# Site: monture
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 47.020187
# Lon: -113.128323
# Elev: 1255
# UTC Offset: -7
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:46:19
# Update Date: 2016-01-25
# Update Time: 14:46:21
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:21:04
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2001-06-07,2001,158,2,monture_2001_06_08_120000.jpg,94.24178,119.0998,63.94256,0.42952,0.33987,89.38835,4.85344,112.76163,6.33817,62.34618,1.59639,0.42616,0.00336,0.42616,0.42784,0.42885,0.33786,0.00201,0.33786,0.33887,0.33947,65.06416,NA,0,0,0,0,0.4187,0.41807,0.42291,0.42572,0.33746,0.33807,0.34104,0.34086,0.00699,0.00722,0.00686,0.00676,0.01162,0.01125,0.01175,0.01205,NA
2001-06-10,2001,161,9,monture_2001_06_10_120000.jpg,87.85704,110.12163,65.30744,0.41826,0.33369,91.3097,6.33419,113.08167,5.89452,67.90186,4.18274,0.41534,0.00696,0.41286,0.41826,0.42285,0.33512,0.00991,0.3361,0.34279,0.34316,65.25389,NA,0,0,0,0,0.41971,0.41965,0.42402,0.42661,0.33597,0.33657,0.33948,0.33966,0.00554,0.00572,0.00543,0.00536,0.01052,0.01019,0.01063,0.01103,NA
2001-06-13,2001,164,9,monture_2001_06_13_120000.jpg,78.3367,98.67525,64.78714,0.40809,0.32397,86.17336,6.345,106.16662,6.23379,67.87474,5.02451,0.40814,0.00994,0.40809,0.41521,0.42003,0.33092,0.00575,0.32886,0.33189,0.33593,65.3816,NA,0,0,0,0,0.42032,0.42072,0.42465,0.42704,0.33462,0.33521,0.33806,0.33858,0.00446,0.00461,0.00438,0.00432,0.00953,0.00923,0.00964,0.0101,NA
2001-06-16,2001,167,9,monture_2001_06_16_120000.jpg,90.53049,116.39544,64.00434,0.42961,0.33415,92.05673,2.81068,114.62746,4.09384,64.75397,2.94908,0.42224,0.00815,0.42578,0.42913,0.42968,0.33913,0.00543,0.34056,0.34207,0.34431,65.44742,NA,0,0,0,0,0.42053,0.4213,0.42482,0.42702,0.33341,0.33398,0.33677,0.33763,0.00377,0.0039,0.0037,0.00365,0.00867,0.00839,0.00876,0.00927,NA
2001-06-19,2001,170,9,monture_2001_06_19_120000.jpg,95.59267,121.87456,66.06123,0.42985,0.33715,88.56455,3.80128,111.33426,5.91818,63.61939,3.55073,0.42233,0.01111,0.42356,0.42985,0.4301,0.33603,0.00428,0.33745,0.33977,0.34012,65.4571,NA,0,0,0,0,0.42037,0.42144,0.4246,0.42663,0.33233,0.33289,0.33563,0.33679,0.00346,0.00358,0.00339,0.00335,0.00793,0.00768,0.00802,0.00855,NA
2001-06-22,2001,173,9,monture_2001_06_22_120000.jpg,92.85826,119.2714,66.82275,0.42757,0.33288,90.49806,3.1593,115.82276,4.59155,64.53536,2.55811,0.42758,0.00294,0.42827,0.42912,0.43074,0.33415,0.00235,0.33479,0.33605,0.33643,65.43969,NA,0,0,0,0,0.41986,0.42116,0.42399,0.42587,0.33138,0.33194,0.33463,0.33608,0.00345,0.00357,0.00339,0.00334,0.00733,0.00709,0.00741,0.00793,NA
2001-06-25,2001,176,9,monture_2001_06_25_120000.jpg,94.17151,122.31266,69.56078,0.4276,0.32922,90.14426,2.41716,115.10016,4.04854,65.91281,2.40471,0.42443,0.00347,0.42558,0.4276,0.42801,0.3325,0.0034,0.33259,0.33473,0.33672,65.3634,NA,0,0,0,0,0.41898,0.42046,0.42299,0.42473,0.33058,0.33114,0.33377,0.3355,0.00363,0.00375,0.00356,0.00351,0.00686,0.00664,0.00693,0.00741,NA
2001-06-28,2001,179,9,monture_2001_06_28_120000.jpg,93.57165,119.46729,74.35777,0.41569,0.32558,89.47382,6.43231,114.57961,5.96481,75.10133,6.1642,0.41022,0.0116,0.41491,0.41569,0.42138,0.32026,0.01736,0.32705,0.32933,0.33112,65.22786,NA,0,0,0,0,0.41775,0.41934,0.42162,0.42324,0.32991,0.33047,0.33306,0.33505,0.00388,0.00401,0.00381,0.00375,0.00652,0.00631,0.00659,0.007,NA
2001-07-01,2001,182,9,monture_2001_07_01_120000.jpg,92.02187,119.39769,70.94245,0.42285,0.3259,93.76935,3.42806,118.39526,4.11076,71.40106,2.56753,0.41752,0.00411,0.41883,0.42056,0.42134,0.33066,0.00335,0.33049,0.33318,0.33487,65.03433,NA,0,0,0,0,0.41616,0.41784,0.41992,0.42145,0.32938,0.32994,0.33249,0.33474,0.00415,0.00429,0.00407,0.00401,0.00629,0.00609,0.00636,0.00669,NA
2001-07-04,2001,185,9,monture_2001_07_04_120000.jpg,87.47389,113.48767,73.36801,0.41369,0.31886,91.17962,1.95003,115.39077,2.43704,71.72725,1.61206,0.4146,0.00433,0.41651,0.41728,0.41842,0.32762,0.00398,0.32738,0.33077,0.33155,64.78421,NA,0,0,0,0,0.41391,0.41551,0.41744,0.41893,0.329,0.32957,0.33207,0.33456,0.00444,0.00459,0.00436,0.00429,0.00616,0.00596,0.00623,0.00647,NA
2001-07-07,2001,188,9,monture_2001_07_07_120000.jpg,92.52255,118.45426,75.00295,0.41421,0.32353,93.19035,2.79204,117.19931,4.26514,74.2275,1.83486,0.4117,0.00393,0.41229,0.41467,0.41487,0.32744,0.00409,0.32584,0.32952,0.33223,64.47902,NA,0,0,0,0,0.41102,0.41238,0.4142,0.41573,0.32876,0.32934,0.3318,0.33453,0.00496,0.00513,0.00487,0.0048,0.0061,0.00591,0.00617,0.00633,NA
2001-07-10,2001,191,2,monture_2001_07_09_120000.jpg,85.96499,105.38964,72.22023,0.39985,0.32615,91.41632,5.45133,113.00482,7.61518,73.2658,1.04557,0.40661,0.00676,0.40661,0.40999,0.41202,0.32906,0.00291,0.32906,0.33051,0.33139,64.12027,NA,0,0,0,0,0.40798,0.40916,0.41096,0.41251,0.32867,0.32926,0.33168,0.33463,0.00544,0.00562,0.00533,0.00526,0.0061,0.00591,0.00617,0.00625,NA
