#
# 3-day product summary time series for monture
#
# Site: monture
# Veg Type: GR
# ROI ID Number: 0002
# Lat: 47.020187
# Lon: -113.128323
# Elev: 1255
# UTC Offset: -7
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:47:03
# Update Date: 2016-06-13
# Update Time: 05:26:23
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:19:32
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2010-11-04,2010,308,5,monture_2010_11_04_120000.jpg,180.94834,160.81257,129.91865,0.34094,0.38363,157.22076,31.39053,138.5062,29.66161,112.73424,24.86542,0.33884,0.00195,0.33899,0.34054,0.34078,0.38578,0.00415,0.38681,0.38769,0.39002,27.39082,NA,0,0,0,0,0.33421,0.33375,0.33659,0.33817,0.38503,0.38474,0.39083,0.39563,0.00346,0.00353,0.00365,0.0037,0.0093,0.00973,0.0097,0.01004,NA
2010-11-07,2010,311,9,monture_2010_11_07_120000.jpg,141.52671,125.29148,106.50749,0.33561,0.3791,130.31884,18.89228,116.52174,19.30504,104.77997,20.45617,0.33125,0.00312,0.32973,0.33375,0.33573,0.37181,0.01293,0.37528,0.3791,0.38076,26.78774,NA,0,0,0,0,0.33193,0.33144,0.33424,0.33616,0.37266,0.37206,0.37987,0.38499,0.00292,0.00298,0.00308,0.00312,0.00784,0.0082,0.00831,0.0086,NA
2010-11-10,2010,314,9,monture_2010_11_10_120000.jpg,203.83479,184.31796,156.75772,0.33825,0.37407,146.90125,35.9315,129.50909,33.60374,110.57524,26.56596,0.33371,0.00479,0.33333,0.33825,0.33914,0.37973,0.00897,0.37648,0.38301,0.39108,25.91568,NA,0,0,0,0,0.32983,0.32931,0.33207,0.3343,0.36118,0.36033,0.36964,0.37505,0.00246,0.00252,0.0026,0.00264,0.00663,0.00693,0.00712,0.00737,NA
2010-11-13,2010,317,9,monture_2010_11_13_120000.jpg,98.30693,85.08729,74.43283,0.33002,0.38129,97.82492,14.7187,86.7562,17.19763,82.13391,25.4624,0.32596,0.00481,0.32788,0.32897,0.32969,0.37169,0.02746,0.37908,0.39445,0.39627,25.08546,NA,0,0,0,0,0.32792,0.32738,0.33011,0.3326,0.35063,0.34959,0.36016,0.36584,0.00211,0.00216,0.00223,0.00226,0.00568,0.00594,0.00617,0.00638,NA
2010-11-16,2010,320,9,monture_2010_11_16_120000.jpg,134.44762,133.27456,147.57117,0.32092,0.32374,141.42157,38.21703,139.65447,45.69235,151.51284,62.71703,0.32419,0.00655,0.32092,0.32532,0.33392,0.33709,0.0352,0.32078,0.37289,0.38943,24.30004,NA,0,0,0,0,0.3262,0.32566,0.32835,0.33106,0.34103,0.33987,0.35146,0.35738,0.00186,0.0019,0.00197,0.00199,0.00501,0.00524,0.00544,0.00563,NA
2010-11-19,2010,323,9,monture_2010_11_19_120000.jpg,211.28565,213.19253,228.71974,0.32638,0.32346,180.15761,16.30712,187.09155,14.69394,216.88145,8.99713,0.32007,0.00329,0.31958,0.32014,0.32532,0.30798,0.00704,0.30593,0.30943,0.31686,23.56217,NA,0,0,0,0,0.32468,0.32414,0.3268,0.32969,0.33239,0.33118,0.34357,0.34969,0.00171,0.00175,0.00181,0.00183,0.00461,0.00482,0.00496,0.00513,NA
2010-11-22,2010,326,8,monture_2010_11_22_120000.jpg,188.05509,193.8931,221.8906,0.3211,0.31143,175.23916,10.48012,184.57084,8.08265,220.40295,5.26618,0.31802,0.00292,0.31723,0.32078,0.32153,0.3018,0.00848,0.30117,0.30845,0.31237,22.65683,NA,0,0,0,0,0.32336,0.32285,0.32546,0.32848,0.32476,0.32357,0.3365,0.3428,0.00165,0.00168,0.00174,0.00176,0.00443,0.00463,0.00468,0.00484,NA
2010-11-25,2010,329,9,monture_2010_11_25_120000.jpg,202.16984,206.30874,227.44883,0.32442,0.31791,183.0686,14.23956,192.28071,11.48881,225.51929,6.11871,0.31984,0.00348,0.32005,0.32012,0.3247,0.30427,0.0096,0.30362,0.30838,0.31858,22.23944,NA,0,0,0,0,0.32223,0.32175,0.32433,0.32743,0.31807,0.31697,0.33017,0.33663,0.00164,0.00167,0.00173,0.00175,0.0044,0.0046,0.00456,0.00472,NA
2010-11-28,2010,332,9,monture_2010_11_28_120000.jpg,197.41903,203.67661,226.31706,0.32463,0.31466,184.1523,17.55672,192.36827,16.13417,222.37204,15.83347,0.32108,0.00346,0.32079,0.32336,0.32524,0.30722,0.00982,0.30688,0.31286,0.31699,21.6595,NA,0,0,0,0,0.32127,0.32084,0.32338,0.32652,0.31222,0.31126,0.32453,0.33111,0.00166,0.0017,0.00175,0.00178,0.00446,0.00467,0.00456,0.00472,NA
2010-12-01,2010,335,9,monture_2010_12_01_120000.jpg,182.0497,189.88964,218.84416,0.32142,0.30815,175.76204,16.24753,188.20749,13.6051,224.75171,9.47327,0.31952,0.00291,0.31913,0.32142,0.32323,0.29806,0.00986,0.29343,0.30815,0.30972,21.13704,NA,0,0,0,0,0.32045,0.32007,0.32257,0.32572,0.30711,0.30632,0.31948,0.32618,0.0017,0.00174,0.0018,0.00182,0.00457,0.00478,0.00464,0.0048,NA
