#
# 3-day product summary time series for morganmonroe
#
# Site: morganmonroe
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 39.3231
# Lon: -86.4131
# Elev: 275
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:47:20
# Update Date: 2016-06-13
# Update Time: 05:26:33
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:24:57
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2008-09-01,2008,245,42,morganmonroe_2008_09_01_113137.jpg,64.1724,69.79843,57.96246,0.36366,0.33435,56.46385,9.31528,60.44894,11.18033,52.10747,6.83454,0.35632,0.01577,0.36005,0.36476,0.36689,0.33382,0.00958,0.33462,0.33507,0.33757,58.48705,NA,0,0,0,0,0.35178,0.3568,0.3609,0.36532,0.32807,0.32993,0.33311,0.33644,0.00366,0.00373,0.00357,0.00331,0.0109,0.01122,0.00994,0.00926,NA
2008-09-04,2008,248,66,morganmonroe_2008_09_04_113138.jpg,49.51236,54.5658,50.08786,0.35394,0.32116,47.9715,7.97504,52.23096,8.90791,49.45054,4.73184,0.34744,0.02242,0.35261,0.35619,0.36353,0.31954,0.02337,0.32366,0.32829,0.33323,57.77054,NA,0,0,0,0,0.35276,0.35727,0.36167,0.36572,0.32738,0.32966,0.33295,0.33601,0.00293,0.00299,0.00286,0.00265,0.00829,0.00936,0.00756,0.00656,NA
2008-09-07,2008,251,67,morganmonroe_2008_09_07_113137.jpg,69.83582,75.05342,60.50693,0.36541,0.34001,52.35349,9.76242,56.22318,11.57567,49.79985,6.24753,0.3528,0.02462,0.35854,0.36292,0.36653,0.32978,0.01475,0.33336,0.33478,0.33894,56.68014,NA,0,0,0,0,0.35358,0.35761,0.36227,0.366,0.32714,0.3298,0.3331,0.33598,0.00239,0.00243,0.00233,0.00216,0.00653,0.00785,0.00595,0.00512,NA
2008-09-10,2008,254,43,morganmonroe_2008_09_10_113137.jpg,63.35673,68.67102,57.02301,0.36324,0.33513,53.68343,10.10726,57.73267,11.46535,50.93853,5.74356,0.3535,0.01969,0.35767,0.36318,0.3668,0.32935,0.01881,0.33443,0.33515,0.33541,55.19944,NA,0,0,0,0,0.35424,0.35781,0.36272,0.36615,0.32731,0.33038,0.3336,0.33631,0.00202,0.00206,0.00197,0.00183,0.00565,0.00671,0.00515,0.00479,NA
2008-09-13,2008,257,52,morganmonroe_2008_09_13_113138.jpg,56.55942,61.3284,52.15383,0.36067,0.33262,51.01028,8.90107,56.68978,8.57121,51.09135,7.03691,0.35707,0.01023,0.35774,0.3635,0.36631,0.32013,0.0159,0.32396,0.33347,0.33574,54.44962,NA,0,0,0,0,0.35474,0.35789,0.36301,0.36617,0.32786,0.33139,0.33442,0.33701,0.00183,0.00186,0.00178,0.00165,0.00545,0.00593,0.00497,0.00497,NA
2008-09-16,2008,260,62,morganmonroe_2008_09_16_113138.jpg,65.27301,70.38084,58.20959,0.36304,0.3367,53.60963,9.86754,58.21719,10.50532,51.82425,6.32137,0.35453,0.01656,0.35772,0.36291,0.36593,0.32633,0.01742,0.33205,0.33524,0.33696,53.31475,NA,0,0,0,0,0.35508,0.35783,0.36313,0.36607,0.32882,0.33281,0.33559,0.33807,0.00177,0.0018,0.00172,0.0016,0.00562,0.0055,0.00512,0.0052,NA
2008-09-19,2008,263,63,morganmonroe_2008_09_19_113137.jpg,66.53986,70.96126,58.35206,0.36232,0.33974,55.98251,10.18848,59.45387,11.53233,51.61874,6.74855,0.35428,0.01616,0.35754,0.36294,0.36482,0.33445,0.00975,0.33614,0.33895,0.34112,52.16968,NA,0,0,0,0,0.35524,0.35763,0.36307,0.36581,0.3302,0.33457,0.33711,0.33948,0.00179,0.00182,0.00175,0.00162,0.00583,0.00534,0.00531,0.00533,NA
2008-09-22,2008,266,59,morganmonroe_2008_09_22_113137.jpg,69.90748,75.06549,60.98836,0.36446,0.33942,58.90126,10.17877,62.5408,10.80929,53.5178,6.47626,0.35654,0.00745,0.35857,0.36263,0.36457,0.33564,0.00861,0.33801,0.34004,0.34165,51.01674,NA,0,0,0,0,0.35522,0.35727,0.36281,0.36537,0.33199,0.33665,0.33899,0.34123,0.00185,0.00189,0.00181,0.00168,0.00598,0.00539,0.00545,0.00562,NA
2008-09-25,2008,269,40,morganmonroe_2008_09_25_113137.jpg,72.4516,77.30755,62.18871,0.36475,0.34184,66.39313,28.46484,69.92862,30.86576,60.54327,31.61753,0.35575,0.00809,0.35757,0.36304,0.36448,0.33899,0.00524,0.34026,0.34219,0.34344,49.47175,NA,0,0,0,0,0.35506,0.35681,0.36241,0.36483,0.33424,0.3392,0.34113,0.34314,0.0019,0.00194,0.00186,0.00172,0.00609,0.00551,0.00555,0.00538,NA
2008-09-28,2008,272,60,morganmonroe_2008_09_28_113137.jpg,72.60764,76.71441,60.86798,0.36498,0.34544,57.97049,9.61851,60.96975,9.89542,52.07238,6.2191,0.35583,0.00737,0.35659,0.36131,0.36405,0.33811,0.00948,0.34065,0.34469,0.34637,48.69777,NA,0,0,0,0,0.35478,0.35625,0.36189,0.36421,0.33686,0.34226,0.34362,0.34549,0.00194,0.00198,0.00189,0.00175,0.00638,0.00564,0.00582,0.00562,NA
