#
# 3-day product summary time series for nationalcapital
#
# Site: nationalcapital
# Veg Type: DB
# ROI ID Number: 0002
# Lat: 38.88818
# Lon: -77.069496
# Elev: 28
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 30
# ROI Brightness Max: 765
# Creation Date: 2016-01-25
# Creation Time: 14:49:37
# Update Date: 2016-06-13
# Update Time: 05:26:57
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:28:23
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2009-09-17,2009,260,4,nationalcapital_2009_09_17_140400.jpg,48.31757,49.83834,42.5606,0.35418,0.34337,30.31912,11.08064,31.85061,10.97748,25.73913,10.55609,0.36603,0.01234,0.36258,0.37325,0.38017,0.34559,0.00285,0.34561,0.34812,0.34859,43.88266,NA,0,0,0,0,0.38588,0.38987,0.39711,0.40251,0.35095,0.34934,0.36122,0.37357,0.00538,0.00621,0.00549,0.00534,0.00991,0.01088,0.01087,0.0129,NA
2009-09-20,2009,263,16,nationalcapital_2009_09_19_170200.jpg,42.54289,41.51382,20.23396,0.39806,0.40793,37.1295,6.95524,40.48459,6.84087,25.54376,3.32548,0.39111,0.01108,0.39719,0.39848,0.40111,0.35801,0.02715,0.35692,0.37601,0.39263,52.35857,NA,0,0,0,0,0.38193,0.38539,0.39281,0.39776,0.35291,0.35177,0.36381,0.376,0.0046,0.00539,0.00468,0.00456,0.00904,0.00988,0.00987,0.01177,NA
2009-09-23,2009,266,31,nationalcapital_2009_09_23_120400.jpg,26.20462,28.97066,21.41215,0.37827,0.34215,28.04241,9.06838,30.81164,9.58555,23.24328,5.91933,0.37393,0.01675,0.37769,0.3859,0.39192,0.33979,0.02436,0.33614,0.35527,0.36706,51.18532,NA,0,0,0,0,0.37806,0.38105,0.38853,0.39307,0.35473,0.35403,0.36623,0.37828,0.00393,0.00468,0.00401,0.0039,0.00825,0.00897,0.00895,0.01074,NA
2009-09-26,2009,269,31,nationalcapital_2009_09_26_120400.jpg,28.33918,29.63008,20.38675,0.37815,0.36167,28.22935,9.41317,29.86858,9.38349,19.96864,5.81509,0.38136,0.01641,0.38611,0.39317,0.39746,0.35916,0.0167,0.35968,0.3649,0.36842,50.02142,NA,0,0,0,0,0.37424,0.37686,0.38426,0.38841,0.35642,0.35611,0.36846,0.38039,0.0034,0.00408,0.00347,0.00338,0.00752,0.00814,0.00813,0.0098,NA
2009-09-29,2009,272,32,nationalcapital_2009_09_29_120300.jpg,28.01382,30.44838,21.01907,0.38309,0.35246,27.91222,11.77152,30.25756,11.60282,21.183,5.9041,0.37883,0.01353,0.383,0.3887,0.39305,0.34544,0.02759,0.34656,0.36136,0.37427,48.85083,NA,0,0,0,0,0.3705,0.37281,0.38003,0.38382,0.35794,0.35799,0.3705,0.38232,0.003,0.00361,0.00306,0.00298,0.00688,0.00741,0.0074,0.00896,NA
2009-10-02,2009,275,32,nationalcapital_2009_10_02_120300.jpg,26.19665,28.21635,20.52137,0.37655,0.34959,31.3168,13.21801,33.10361,12.29633,24.28346,8.92708,0.37231,0.01243,0.37618,0.38189,0.38561,0.34771,0.03384,0.34934,0.36542,0.37744,47.68261,NA,0,0,0,0,0.36688,0.36888,0.3759,0.37936,0.3593,0.35966,0.37232,0.38404,0.00274,0.00327,0.00279,0.00272,0.00632,0.00678,0.00677,0.00822,NA
2009-10-05,2009,278,33,nationalcapital_2009_10_05_120300.jpg,35.43013,37.73011,23.9598,0.38849,0.36481,34.46145,12.74347,35.37343,12.2035,24.8082,7.54755,0.37108,0.01619,0.3748,0.38849,0.38951,0.35893,0.03309,0.36003,0.37075,0.39431,46.51951,NA,0,0,0,0,0.36339,0.36509,0.3719,0.37505,0.36047,0.36109,0.3739,0.38554,0.00259,0.00305,0.00264,0.00258,0.00583,0.00625,0.00624,0.00759,NA
2009-10-08,2009,281,33,nationalcapital_2009_10_08_120400.jpg,51.25033,52.35295,37.45662,0.37114,0.36332,48.39353,16.19654,48.68159,14.41613,36.62027,7.21792,0.36173,0.01096,0.3645,0.37073,0.37223,0.35538,0.03004,0.35869,0.3716,0.38797,45.35619,NA,0,0,0,0,0.35999,0.36143,0.36796,0.37084,0.36147,0.3623,0.37526,0.38684,0.00255,0.00294,0.00259,0.00253,0.00543,0.00582,0.00582,0.00707,NA
2009-10-11,2009,284,32,nationalcapital_2009_10_11_120300.jpg,49.88919,49.66943,35.80934,0.36692,0.36855,42.46694,10.90642,41.30498,9.33188,30.49233,5.23602,0.36053,0.00812,0.36317,0.36681,0.36833,0.36836,0.025,0.37383,0.38021,0.38761,44.21968,NA,0,0,0,0,0.35666,0.35791,0.36408,0.3667,0.36234,0.36333,0.37645,0.38798,0.00256,0.0029,0.00261,0.00254,0.00511,0.00549,0.00548,0.00665,NA
2009-10-14,2009,287,31,nationalcapital_2009_10_14_120500.jpg,38.92759,37.53259,28.0688,0.35906,0.37241,43.7494,15.94552,42.6473,14.74252,35.95269,13.20702,0.3487,0.00789,0.34809,0.35552,0.35906,0.35572,0.02606,0.34671,0.36616,0.37803,43.02963,NA,0,0,0,0,0.35345,0.35453,0.36029,0.36268,0.36309,0.3642,0.37747,0.38898,0.0026,0.00291,0.00265,0.00258,0.00487,0.00525,0.00524,0.00634,NA
2009-10-17,2009,290,29,nationalcapital_2009_10_17_120300.jpg,76.87431,75.97567,72.12742,0.3377,0.3417,47.13094,14.32538,45.62561,13.67279,38.81218,13.61492,0.34765,0.00899,0.34347,0.35789,0.36106,0.35793,0.01981,0.35183,0.37475,0.38749,41.96472,NA,0,0,0,0,0.35036,0.35131,0.35663,0.35882,0.36374,0.36493,0.37835,0.38985,0.00266,0.00296,0.00271,0.00264,0.0047,0.0051,0.00509,0.00612,NA
2009-10-20,2009,293,28,nationalcapital_2009_10_20_120800.jpg,62.45069,56.58262,39.83869,0.35615,0.39309,58.42888,19.46864,52.95801,16.18579,39.05188,9.6362,0.34955,0.01129,0.35335,0.35922,0.36045,0.383,0.03399,0.39358,0.40472,0.42002,40.85884,NA,0,0,0,0,0.34744,0.34826,0.35314,0.35515,0.36429,0.36555,0.37911,0.39061,0.00272,0.00303,0.00277,0.0027,0.0046,0.00502,0.00501,0.00599,NA
2009-10-23,2009,296,30,nationalcapital_2009_10_23_120400.jpg,71.37384,62.1293,48.80988,0.34078,0.39149,53.06185,16.15403,48.01799,12.8707,40.51672,8.60858,0.33853,0.00346,0.33776,0.34072,0.34382,0.37016,0.0256,0.38059,0.39057,0.3953,39.79968,NA,0,0,0,0,0.3447,0.34539,0.34988,0.35173,0.36477,0.36607,0.37976,0.39126,0.00277,0.00309,0.00282,0.00275,0.00456,0.005,0.00499,0.00593,NA
2009-10-26,2009,299,27,nationalcapital_2009_10_26_120200.jpg,72.42745,59.54927,45.69936,0.33516,0.40764,65.62006,17.81643,57.28055,14.43575,47.88027,12.56859,0.33504,0.00288,0.3348,0.337,0.33898,0.3818,0.03103,0.38151,0.40702,0.42089,38.7666,NA,0,0,0,0,0.34195,0.34267,0.34648,0.34822,0.36512,0.36642,0.38025,0.39176,0.00279,0.00313,0.00285,0.00277,0.00456,0.00502,0.00502,0.00593,NA
