#
# 3-day product summary time series for ncssm
#
# Site: ncssm
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 36.018446
# Lon: -78.92075
# Elev: 175
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:50:07
# Update Date: 2016-06-13
# Update Time: 05:27:09
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:29:59
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2013-03-21,2013,80,59,ncssm_2013_03_21_143102.jpg,88.46114,89.15585,89.97229,0.33318,0.33059,88.81766,6.0501,91.93184,3.85879,89.42254,3.82831,0.34034,0.00412,0.34084,0.34357,0.34554,0.3285,0.01021,0.32715,0.33478,0.34058,54.8308,NA,0,0,0,0,0.33637,0.33428,0.33148,0.3327,0.33343,0.33431,0.33474,0.33591,0.005,0.00564,0.00668,0.00713,0.01613,0.02124,0.02037,0.01856,NA
2013-03-24,2013,83,130,ncssm_2013_03_24_120104.jpg,88.73562,88.74836,89.44905,0.33247,0.33243,89.80165,5.61154,90.08262,5.52539,89.70601,5.17169,0.33411,0.00214,0.33378,0.33562,0.33734,0.33307,0.0043,0.33337,0.33448,0.3367,55.99599,NA,0,0,0,0,0.33615,0.33561,0.33567,0.33723,0.335,0.33612,0.33806,0.34111,0.00375,0.00434,0.00537,0.00573,0.01392,0.01848,0.01772,0.01585,NA
2013-03-27,2013,86,131,ncssm_2013_03_27_120104.jpg,87.21748,92.23392,88.62131,0.34406,0.32535,89.64816,7.28239,92.02948,4.89781,90.15477,3.54803,0.33858,0.00355,0.33907,0.34098,0.34257,0.32937,0.01072,0.32844,0.33421,0.34723,57.15132,NA,0,0,0,0,0.33682,0.33728,0.33973,0.34162,0.33636,0.33769,0.3411,0.34587,0.00293,0.00343,0.00437,0.00466,0.01201,0.01607,0.01541,0.01357,NA
2013-03-30,2013,89,131,ncssm_2013_03_30_120103.jpg,84.04485,88.80213,85.21062,0.34412,0.32568,87.44249,5.51822,89.38376,4.4323,88.28572,3.7561,0.33715,0.00446,0.33752,0.34097,0.34305,0.32968,0.00837,0.33199,0.33444,0.33806,58.29683,NA,0,0,0,0,0.33809,0.33939,0.34373,0.34595,0.33749,0.339,0.34386,0.35012,0.00257,0.00294,0.0037,0.00395,0.01044,0.01405,0.01348,0.01173,NA
2013-04-02,2013,92,138,ncssm_2013_04_02_120105.jpg,83.9915,87.8406,82.26798,0.34569,0.33054,88.02688,5.6795,90.03732,3.8044,86.75921,3.84208,0.34007,0.00339,0.34042,0.34271,0.3445,0.33219,0.00818,0.32987,0.33454,0.34388,59.42754,NA,0,0,0,0,0.34017,0.34203,0.34766,0.35021,0.33837,0.34003,0.34631,0.35389,0.00253,0.00279,0.00334,0.00357,0.00922,0.01245,0.01194,0.01036,NA
2013-04-05,2013,95,94,ncssm_2013_04_05_120104.jpg,80.78236,86.49632,86.3586,0.34102,0.3185,88.00906,6.03389,88.32208,4.53971,87.89267,3.45567,0.33427,0.00326,0.33286,0.33649,0.33922,0.33282,0.00809,0.33443,0.3353,0.34046,60.17233,NA,0,0,0,0,0.34294,0.34498,0.3514,0.35425,0.339,0.34078,0.34844,0.35727,0.00262,0.00283,0.00324,0.00345,0.00837,0.01127,0.01081,0.00945,NA
2013-04-08,2013,98,140,ncssm_2013_04_08_120103.jpg,85.15947,86.16547,82.36127,0.33965,0.33569,89.90603,5.57505,88.36589,3.48931,82.83674,3.92781,0.3385,0.00336,0.33809,0.34102,0.34348,0.34414,0.00992,0.34561,0.35174,0.35821,61.63639,NA,0,0,0,0,0.34591,0.34785,0.35479,0.35793,0.33937,0.34123,0.35024,0.36032,0.00273,0.00295,0.00329,0.00351,0.00786,0.0105,0.01007,0.00895,NA
2013-04-11,2013,101,139,ncssm_2013_04_11_120104.jpg,87.95425,84.19737,78.12517,0.33642,0.35143,85.05405,6.97873,81.58364,5.42502,71.5057,4.5115,0.34258,0.00556,0.3426,0.34652,0.34994,0.35682,0.00951,0.35671,0.36206,0.36942,62.71033,NA,0,0,0,0,0.35013,0.35134,0.358,0.36142,0.33946,0.34138,0.35171,0.36302,0.00273,0.00303,0.00339,0.00362,0.00762,0.01009,0.00967,0.00878,NA
2013-04-14,2013,104,138,ncssm_2013_04_14_120104.jpg,81.30228,79.22001,59.79642,0.35957,0.36902,85.46385,12.05378,81.68439,8.23689,64.65328,3.98775,0.35226,0.00671,0.35212,0.35891,0.3609,0.36719,0.01964,0.37201,0.38286,0.39101,63.79405,NA,0,0,0,0,0.35551,0.35549,0.36107,0.36475,0.3393,0.34125,0.35287,0.36534,0.00277,0.00311,0.00348,0.00372,0.00758,0.00994,0.00953,0.00882,NA
2013-04-17,2013,107,144,ncssm_2013_04_17_120103.jpg,71.01267,71.82265,51.14844,0.37025,0.36608,69.82903,8.18819,71.16233,4.97926,54.60579,6.44756,0.36394,0.01036,0.3643,0.37069,0.37585,0.35645,0.02684,0.36202,0.37456,0.3906,64.86006,NA,0,0,0,0,0.35979,0.35892,0.36363,0.36756,0.33893,0.3409,0.35376,0.36731,0.00287,0.00318,0.00355,0.00379,0.00766,0.00998,0.00957,0.00897,NA
