#
# 3-day product summary time series for niwot2
#
# Site: niwot2
# Veg Type: EN
# ROI ID Number: 0001
# Lat: 40.03286358
# Lon: -105.54697017
# Elev: 2993
# UTC Offset: -7
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:50:49
# Update Date: 2016-06-13
# Update Time: 05:27:50
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:30:48
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2009-10-02,2009,275,60,niwot2_2009_10_02_124639.jpg,76.90261,101.99119,54.13601,0.43767,0.33001,74.75586,5.76818,103.98546,4.35585,54.52463,3.92309,0.44602,0.01888,0.43876,0.46498,0.4781,0.32007,0.01658,0.32779,0.33019,0.33137,45.73694,NA,0,0,0,0,0.4353,0.43257,0.44589,0.45825,0.31361,0.31774,0.33986,0.33741,0.00438,0.00437,0.0042,0.00415,0.00397,0.0049,0.00644,0.00685,NA
2009-10-05,2009,278,115,niwot2_2009_10_05_120141.jpg,67.2429,100.07252,49.53657,0.46148,0.31009,69.67035,9.55021,98.21259,5.94614,53.39513,6.46722,0.44455,0.0158,0.44216,0.45751,0.4672,0.31375,0.02663,0.32582,0.33195,0.33405,45.35346,NA,0,0,0,0,0.43449,0.43191,0.44503,0.45722,0.31351,0.31764,0.3395,0.33766,0.00418,0.00417,0.004,0.00395,0.00393,0.00486,0.0063,0.00657,NA
2009-10-08,2009,281,120,niwot2_2009_10_08_120141.jpg,51.5884,83.25411,59.51006,0.42837,0.26544,64.25081,10.65906,93.76359,9.11669,60.58173,10.02613,0.42945,0.01794,0.43123,0.44136,0.44986,0.29281,0.02829,0.28853,0.31406,0.33371,44.208,NA,0,0,0,0,0.4337,0.43127,0.44419,0.45622,0.31341,0.31755,0.33915,0.3379,0.00398,0.00397,0.00381,0.00376,0.00389,0.00481,0.00616,0.0063,NA
2009-10-11,2009,284,120,niwot2_2009_10_11_120140.jpg,68.85073,94.40287,45.44898,0.45233,0.3299,71.50887,7.25238,99.16577,3.67632,52.12738,4.88191,0.44552,0.01247,0.4436,0.45286,0.46333,0.32052,0.02346,0.33105,0.33351,0.33484,43.07215,NA,0,0,0,0,0.43294,0.43065,0.44338,0.45524,0.3133,0.31745,0.3388,0.33812,0.00379,0.00378,0.00363,0.00358,0.00386,0.00477,0.00602,0.00603,NA
2009-10-14,2009,287,120,niwot2_2009_10_14_120140.jpg,61.68526,90.15618,41.60552,0.46605,0.31887,69.71569,8.94385,98.17642,5.9059,52.42847,8.85848,0.44683,0.0195,0.44735,0.46516,0.46965,0.31615,0.02679,0.32284,0.33614,0.33746,41.94909,NA,0,0,0,0,0.4322,0.43006,0.44259,0.4543,0.3132,0.31736,0.33846,0.33834,0.00361,0.00359,0.00346,0.00341,0.00382,0.00473,0.00589,0.00578,NA
2009-10-17,2009,290,119,niwot2_2009_10_17_120140.jpg,81.64337,104.18415,55.26152,0.43214,0.33864,78.53816,5.60153,101.8709,4.26342,55.33697,4.44769,0.4322,0.01266,0.43081,0.43751,0.44907,0.33295,0.01713,0.33858,0.34003,0.34101,40.84177,NA,0,0,0,0,0.4315,0.42949,0.44184,0.45339,0.3131,0.31726,0.33812,0.33855,0.00344,0.00342,0.00329,0.00325,0.00379,0.00469,0.00575,0.00554,NA
2009-10-20,2009,293,112,niwot2_2009_10_20_120140.jpg,72.17467,101.26571,46.62393,0.46016,0.32797,69.91544,10.47285,98.46545,7.63967,63.14039,13.21943,0.42603,0.02299,0.43005,0.43988,0.45567,0.30153,0.03437,0.29493,0.33913,0.34165,39.75361,NA,0,0,0,0,0.43081,0.42894,0.44111,0.45251,0.313,0.31717,0.33778,0.33875,0.00327,0.00326,0.00313,0.0031,0.00375,0.00465,0.00562,0.00531,NA
2009-10-23,2009,296,111,niwot2_2009_10_23_120140.jpg,81.50915,101.36746,54.93027,0.42626,0.34275,71.48446,10.36204,95.9985,6.12279,57.47904,11.20454,0.42883,0.02368,0.42653,0.4482,0.45968,0.31684,0.02571,0.32304,0.34065,0.34258,38.68774,NA,0,0,0,0,0.43015,0.42842,0.44041,0.45166,0.31291,0.31707,0.33744,0.33894,0.00312,0.0031,0.00299,0.00295,0.00372,0.0046,0.00549,0.00509,NA
2009-10-26,2009,299,112,niwot2_2009_10_26_120140.jpg,77.39556,99.42224,53.98865,0.43076,0.33533,65.81682,12.26608,93.98703,7.53335,60.79057,10.90968,0.42715,0.02345,0.42439,0.44029,0.46591,0.29651,0.03664,0.31116,0.33253,0.33799,37.6474,NA,0,0,0,0,0.42952,0.42792,0.43974,0.45084,0.31281,0.31698,0.3371,0.33912,0.00298,0.00296,0.00285,0.00281,0.00368,0.00456,0.00537,0.00488,NA
2009-10-29,2009,302,103,niwot2_2009_10_29_120140.jpg,64.98531,102.02022,89.34037,0.39798,0.25351,66.60432,4.44188,98.50826,7.40973,78.02199,19.47949,0.40721,0.0183,0.39721,0.42485,0.43581,0.27702,0.03241,0.2588,0.30717,0.33364,36.63567,NA,0,0,0,0,0.42892,0.42745,0.43911,0.45006,0.31271,0.31689,0.33677,0.33929,0.00284,0.00282,0.00272,0.00269,0.00365,0.00452,0.00525,0.00468,NA
2009-11-01,2009,305,106,niwot2_2009_11_01_120139.jpg,77.21888,97.08377,52.21434,0.42859,0.3409,75.65521,6.30893,96.78861,3.98776,53.49693,4.68152,0.42846,0.00971,0.42744,0.43208,0.44024,0.3346,0.02136,0.34061,0.3437,0.3443,35.65566,NA,0,0,0,0,0.42834,0.427,0.4385,0.44932,0.31261,0.31679,0.33644,0.33946,0.00272,0.0027,0.0026,0.00257,0.00362,0.00448,0.00513,0.00449,NA
2009-11-04,2009,308,95,niwot2_2009_11_04_114640.jpg,80.09952,100.59337,53.78806,0.429,0.3416,76.2517,7.21852,97.27056,4.63513,53.67233,4.09884,0.4282,0.01063,0.42722,0.43194,0.44124,0.33513,0.02268,0.34252,0.34381,0.34513,34.71023,NA,0,0,0,0,0.42779,0.42657,0.43793,0.4486,0.31251,0.3167,0.33612,0.33961,0.0026,0.00259,0.00249,0.00246,0.00358,0.00444,0.00501,0.00431,NA
2009-11-07,2009,311,98,niwot2_2009_11_07_120141.jpg,79.38548,99.93433,52.456,0.43117,0.34251,76.07607,8.24735,98.82043,4.60794,54.29682,4.49802,0.43125,0.01059,0.4287,0.43432,0.45023,0.3314,0.02749,0.34289,0.34517,0.34754,33.80223,NA,0,0,0,0,0.42726,0.42617,0.43739,0.44792,0.31241,0.31661,0.3358,0.33975,0.0025,0.00248,0.00239,0.00236,0.00355,0.0044,0.00489,0.00415,NA
2009-11-10,2009,314,105,niwot2_2009_11_10_120140.jpg,79.95206,100.03997,53.8451,0.42782,0.34191,76.59917,6.29789,97.9862,4.24395,53.06497,3.12316,0.43055,0.01137,0.42793,0.43169,0.45048,0.33607,0.01755,0.34299,0.34491,0.3471,32.93467,NA,0,0,0,0,0.42676,0.4258,0.43687,0.44728,0.31232,0.31651,0.33548,0.33988,0.00241,0.00239,0.0023,0.00228,0.00351,0.00436,0.00478,0.00399,NA
2009-11-13,2009,317,100,niwot2_2009_11_13_120140.jpg,60.45693,92.70265,74.01833,0.40806,0.26612,64.04279,12.56695,88.76352,8.64866,57.48588,7.59805,0.42253,0.01107,0.42449,0.428,0.43302,0.30237,0.03393,0.29334,0.34084,0.34788,32.11053,NA,0,0,0,0,0.42628,0.42544,0.43638,0.44666,0.31222,0.31642,0.33516,0.34,0.00232,0.00231,0.00222,0.0022,0.00348,0.00432,0.00468,0.00385,NA
2009-11-16,2009,320,98,niwot2_2009_11_16_120141.jpg,75.26575,98.31376,76.98077,0.39238,0.30039,72.50603,7.6848,98.37916,5.09708,75.95906,15.55888,0.39921,0.01447,0.39684,0.4096,0.42121,0.29511,0.0373,0.29991,0.33432,0.34013,31.33278,NA,0,0,0,0,0.42583,0.42511,0.43592,0.44606,0.31212,0.31633,0.33484,0.34011,0.00225,0.00223,0.00215,0.00213,0.00345,0.00428,0.00457,0.00373,NA
2009-11-19,2009,323,98,niwot2_2009_11_19_120140.jpg,80.1336,97.93076,52.79174,0.42421,0.34711,78.04955,7.11079,97.12085,5.45248,55.35661,2.75976,0.42116,0.00736,0.42235,0.42556,0.42788,0.33802,0.02026,0.34276,0.34509,0.34736,30.60424,NA,0,0,0,0,0.4254,0.4248,0.43549,0.4455,0.31202,0.31624,0.33453,0.34022,0.00218,0.00217,0.00209,0.00206,0.00342,0.00424,0.00447,0.00361,NA
2009-11-22,2009,326,93,niwot2_2009_11_22_120139.jpg,81.57377,99.08097,54.47143,0.42139,0.34694,67.58674,12.10113,92.7829,6.80078,55.67029,5.10803,0.42977,0.01135,0.42798,0.44013,0.44529,0.3109,0.03688,0.31809,0.34508,0.34696,29.92765,NA,0,0,0,0,0.425,0.42451,0.43508,0.44497,0.31193,0.31615,0.33422,0.34031,0.00213,0.00212,0.00204,0.00201,0.00338,0.00421,0.00437,0.00351,NA
2009-11-25,2009,329,96,niwot2_2009_11_25_120140.jpg,81.2146,98.46822,52.97191,0.42324,0.34908,78.28574,6.90986,96.16336,5.25627,55.35841,3.22088,0.41831,0.00746,0.41983,0.42268,0.42366,0.34018,0.02002,0.34618,0.34757,0.34879,29.23452,NA,0,0,0,0,0.42462,0.42424,0.4347,0.44447,0.31183,0.31606,0.33392,0.3404,0.00208,0.00207,0.00199,0.00197,0.00335,0.00417,0.00428,0.00342,NA
2009-11-28,2009,332,93,niwot2_2009_11_28_120140.jpg,77.87029,97.38009,48.67046,0.43489,0.34776,74.63109,9.41416,95.47534,6.13677,53.48097,4.75415,0.42727,0.01437,0.42528,0.43782,0.44671,0.33262,0.02587,0.34344,0.34645,0.34996,28.74012,NA,0,0,0,0,0.42427,0.424,0.43434,0.44399,0.31173,0.31596,0.33362,0.34047,0.00205,0.00204,0.00196,0.00193,0.00332,0.00413,0.00418,0.00334,NA
2009-12-01,2009,335,92,niwot2_2009_12_01_120140.jpg,60.47181,96.81811,52.76373,0.46092,0.28789,71.68813,7.98193,97.70542,5.10208,64.65066,17.85832,0.41926,0.02593,0.42153,0.43158,0.45961,0.30793,0.03761,0.31764,0.34491,0.34701,28.2337,NA,0,0,0,0,0.42394,0.42378,0.43401,0.44355,0.31164,0.31587,0.33332,0.34053,0.00202,0.00201,0.00193,0.00191,0.00329,0.00409,0.0041,0.00327,NA
2009-12-04,2009,338,88,niwot2_2009_12_04_120139.jpg,66.4618,91.62886,53.8875,0.43226,0.31353,72.66343,7.17287,96.09747,6.15793,68.84398,17.59406,0.40598,0.02022,0.41114,0.42125,0.43068,0.30758,0.03377,0.32611,0.3316,0.34166,27.76027,NA,0,0,0,0,0.42364,0.42359,0.43371,0.44313,0.31154,0.31578,0.33302,0.34059,0.002,0.002,0.00191,0.00189,0.00326,0.00406,0.00401,0.00321,NA
2009-12-07,2009,341,93,niwot2_2009_12_07_120140.jpg,66.89766,99.85109,84.57326,0.3973,0.26618,63.2433,3.53795,95.11393,3.97077,81.58079,6.04621,0.39661,0.00514,0.39664,0.40027,0.40284,0.26366,0.00892,0.26382,0.26731,0.27374,27.40494,NA,0,0,0,0,0.42336,0.42341,0.43343,0.44274,0.31145,0.31569,0.33272,0.34064,0.00198,0.00198,0.0019,0.00188,0.00323,0.00402,0.00393,0.00317,NA
2009-12-10,2009,344,85,niwot2_2009_12_10_120138.jpg,77.68432,96.42399,62.72829,0.40713,0.32801,69.61792,11.22891,90.86256,6.62127,59.77084,4.27872,0.41327,0.01135,0.41081,0.41545,0.43184,0.31409,0.02803,0.32752,0.33377,0.33585,27.11316,NA,0,0,0,0,0.42311,0.42326,0.43319,0.44238,0.31135,0.3156,0.33243,0.34067,0.00198,0.00198,0.00189,0.00187,0.0032,0.00398,0.00385,0.00313,NA
2009-12-13,2009,347,95,niwot2_2009_12_13_120140.jpg,53.51233,80.9818,48.47285,0.4426,0.29247,57.25586,7.24188,85.30011,4.058,54.726,8.0343,0.43261,0.01055,0.42992,0.43534,0.44563,0.29015,0.03206,0.28535,0.31577,0.33079,26.85693,NA,0,0,0,0,0.42288,0.42313,0.43297,0.44205,0.31126,0.31551,0.33214,0.3407,0.00197,0.00198,0.00189,0.00187,0.00317,0.00395,0.00377,0.0031,NA
2009-12-16,2009,350,95,niwot2_2009_12_16_120139.jpg,66.77909,93.84214,48.13786,0.44952,0.31989,67.28222,7.24293,90.38764,5.58947,49.92672,5.14238,0.43578,0.01264,0.43744,0.44563,0.452,0.32371,0.02178,0.3288,0.34129,0.34534,26.68889,NA,0,0,0,0,0.42268,0.42303,0.43278,0.44176,0.31116,0.31542,0.33186,0.34072,0.00197,0.00198,0.00189,0.00187,0.00314,0.00391,0.0037,0.00308,NA
2009-12-19,2009,353,88,niwot2_2009_12_19_120140.jpg,80.18973,98.40856,53.78939,0.42347,0.34507,76.0637,6.99911,94.49895,4.81025,54.52099,3.14365,0.41991,0.01022,0.41879,0.42274,0.42785,0.33739,0.01925,0.34325,0.34583,0.3504,26.58894,NA,0,0,0,0,0.42251,0.42295,0.43262,0.44149,0.31107,0.31533,0.33158,0.34072,0.00198,0.00199,0.00189,0.00187,0.00311,0.00388,0.00363,0.00307,NA
2009-12-22,2009,356,89,niwot2_2009_12_22_120140.jpg,75.66916,96.21805,47.11036,0.43936,0.34553,69.29591,9.14018,94.26527,4.03409,61.63986,14.22898,0.41944,0.02235,0.41877,0.43676,0.4565,0.30815,0.03937,0.32106,0.34557,0.35026,26.57453,NA,0,0,0,0,0.42236,0.42289,0.43248,0.44126,0.31098,0.31524,0.3313,0.34072,0.00198,0.002,0.0019,0.00188,0.00308,0.00384,0.00356,0.00306,NA
2009-12-25,2009,359,92,niwot2_2009_12_25_120139.jpg,55.71434,81.02096,48.19442,0.43812,0.30127,60.83121,10.00476,86.86882,5.66012,59.13173,8.80663,0.42163,0.01811,0.42334,0.43822,0.44384,0.29296,0.02722,0.29747,0.3125,0.32202,26.65728,NA,0,0,0,0,0.42223,0.42285,0.43238,0.44106,0.31088,0.31515,0.33102,0.34071,0.00199,0.00201,0.00191,0.00189,0.00305,0.00381,0.0035,0.00306,NA
2009-12-28,2009,362,95,niwot2_2009_12_28_120141.jpg,80.1653,97.59274,53.79516,0.42147,0.34621,71.29302,8.38004,93.32499,4.71641,53.12495,4.53828,0.42916,0.01678,0.42842,0.44398,0.4546,0.3265,0.02267,0.33615,0.34373,0.34605,26.80824,NA,0,0,0,0,0.42213,0.42284,0.4323,0.44088,0.31079,0.31506,0.33074,0.34069,0.00201,0.00202,0.00192,0.0019,0.00302,0.00377,0.00344,0.00306,NA
2009-12-31,2009,365,85,niwot2_2009_12_31_120140.jpg,75.29012,93.56668,56.96469,0.41434,0.33341,66.88672,11.19981,89.10057,5.64485,53.85448,6.65027,0.42562,0.01368,0.42384,0.43622,0.44545,0.31709,0.0342,0.32995,0.3356,0.35001,27.02684,NA,0,0,0,0,0.42205,0.42285,0.43224,0.44073,0.3107,0.31498,0.33047,0.34066,0.00202,0.00204,0.00193,0.00191,0.00299,0.00374,0.00339,0.00306,NA
2010-01-02,2010,2,63,niwot2_2010_01_02_120140.jpg,48.57269,79.58008,57.79855,0.42796,0.26121,62.39113,9.58355,88.67585,5.89374,56.66849,6.71286,0.42744,0.0112,0.42934,0.43527,0.44132,0.2993,0.02928,0.30253,0.32374,0.33389,27.20979,NA,0,0,0,0,0.42202,0.42287,0.43222,0.44064,0.31063,0.31492,0.33029,0.34063,0.00203,0.00205,0.00194,0.00192,0.00297,0.00371,0.00335,0.00307,NA
2010-01-05,2010,5,93,niwot2_2010_01_05_120140.jpg,52.99517,86.9195,56.44266,0.44266,0.26989,61.5007,11.81301,86.49813,6.51844,54.15777,8.3522,0.42901,0.01456,0.43258,0.43964,0.44621,0.30249,0.03568,0.30386,0.3362,0.34072,27.53954,NA,0,0,0,0,0.42199,0.42292,0.4322,0.44053,0.31054,0.31483,0.33003,0.34059,0.00205,0.00207,0.00196,0.00194,0.00295,0.00368,0.0033,0.00308,NA
2010-01-08,2010,8,97,niwot2_2010_01_08_120139.jpg,79.05611,98.53828,58.93052,0.41661,0.33424,74.90959,6.96633,94.75966,4.91935,62.5723,8.36038,0.40824,0.01274,0.41186,0.41726,0.42162,0.32247,0.02436,0.32985,0.33934,0.34561,27.93901,NA,0,0,0,0,0.42198,0.42298,0.4322,0.44045,0.31045,0.31474,0.32977,0.34053,0.00207,0.00209,0.00198,0.00195,0.00292,0.00365,0.00325,0.00309,NA
2010-01-11,2010,11,98,niwot2_2010_01_11_120140.jpg,81.36253,100.06912,54.44862,0.42424,0.34493,76.47365,7.1373,95.59197,5.22893,55.06841,3.91531,0.4207,0.00813,0.42227,0.42577,0.42981,0.33619,0.02242,0.34266,0.34465,0.34541,28.41366,NA,0,0,0,0,0.422,0.42308,0.43225,0.4404,0.31036,0.31465,0.32951,0.34046,0.00208,0.00211,0.00199,0.00197,0.00289,0.00361,0.00321,0.00311,NA
2010-01-14,2010,14,94,niwot2_2010_01_14_120139.jpg,71.7405,94.81314,45.21928,0.44771,0.33876,74.0313,6.68986,95.52804,3.75535,52.45212,4.79731,0.43076,0.0141,0.43231,0.4443,0.44773,0.33297,0.01758,0.33822,0.34397,0.34589,28.94925,NA,0,0,0,0,0.42207,0.42322,0.43235,0.44041,0.31027,0.31457,0.32925,0.34038,0.0021,0.00212,0.00201,0.00198,0.00286,0.00358,0.00316,0.00313,NA
2010-01-17,2010,17,90,niwot2_2010_01_17_120139.jpg,77.91962,96.42178,48.03796,0.43359,0.35039,71.04113,6.76876,93.94919,3.95629,48.49054,3.56479,0.44041,0.01239,0.44342,0.44991,0.45459,0.33213,0.01866,0.33741,0.34404,0.34864,29.54389,NA,0,0,0,0,0.42217,0.42339,0.43249,0.44047,0.31018,0.31448,0.32899,0.34029,0.00211,0.00214,0.00202,0.00199,0.00284,0.00355,0.00312,0.00315,NA
2010-01-20,2010,20,98,niwot2_2010_01_20_120140.jpg,65.05219,93.53556,48.43522,0.45181,0.31423,66.71255,5.54493,93.81311,2.15092,49.1616,3.57581,0.44759,0.00942,0.45112,0.45437,0.45609,0.31788,0.02004,0.31784,0.3296,0.34292,30.19508,NA,0,0,0,0,0.4223,0.4236,0.43267,0.44057,0.31008,0.31439,0.32874,0.34019,0.00212,0.00215,0.00203,0.00201,0.00281,0.00352,0.00309,0.00317,NA
2010-01-23,2010,23,96,niwot2_2010_01_23_120140.jpg,71.40585,89.84389,52.08831,0.42113,0.33471,61.79103,12.35183,88.73984,8.08934,56.28359,12.61266,0.43012,0.01572,0.42762,0.43976,0.44932,0.29796,0.04193,0.30267,0.33334,0.34619,30.90047,NA,0,0,0,0,0.42246,0.42383,0.43289,0.44071,0.30999,0.31431,0.32849,0.34009,0.00213,0.00216,0.00204,0.00202,0.00279,0.00349,0.00306,0.00319,NA
2010-01-26,2010,26,100,niwot2_2010_01_26_120139.jpg,82.26744,99.27875,52.39388,0.42438,0.35166,69.41994,10.63814,91.52309,6.37514,51.53997,5.48825,0.43129,0.01174,0.42914,0.43979,0.44908,0.32517,0.02992,0.33501,0.34503,0.35002,31.65736,NA,0,0,0,0,0.42265,0.42408,0.43314,0.44087,0.3099,0.31422,0.32825,0.33997,0.00214,0.00217,0.00205,0.00203,0.00276,0.00346,0.00303,0.00321,NA
2010-01-29,2010,29,99,niwot2_2010_01_29_120140.jpg,79.42063,99.40271,63.50306,0.4102,0.32774,72.72718,8.56856,94.11517,5.72309,62.37192,7.25916,0.41081,0.01073,0.41113,0.41938,0.42336,0.31663,0.02552,0.32498,0.33824,0.34462,32.46322,NA,0,0,0,0,0.42286,0.42436,0.43341,0.44106,0.30981,0.31413,0.328,0.33984,0.00215,0.00218,0.00206,0.00203,0.00273,0.00342,0.003,0.00323,NA
2010-02-01,2010,32,101,niwot2_2010_02_01_120139.jpg,76.65168,94.79895,55.02415,0.41859,0.33846,73.03211,6.88266,93.5504,4.91718,52.93567,3.98806,0.42634,0.00696,0.42726,0.43032,0.43419,0.33228,0.01891,0.33857,0.34237,0.34495,33.3154,NA,0,0,0,0,0.42309,0.42465,0.43369,0.44127,0.30972,0.31405,0.32776,0.3397,0.00216,0.00219,0.00207,0.00204,0.00271,0.00339,0.00298,0.00325,NA
2010-02-04,2010,35,106,niwot2_2010_02_04_120141.jpg,60.27544,89.95142,51.11381,0.44676,0.29937,67.05532,8.20024,93.23849,3.68336,52.98246,5.89944,0.43758,0.01106,0.43583,0.44524,0.45398,0.31372,0.02727,0.31834,0.33555,0.34324,34.2113,NA,0,0,0,0,0.42334,0.42496,0.43399,0.4415,0.30964,0.31396,0.32753,0.33954,0.00217,0.0022,0.00208,0.00205,0.00268,0.00336,0.00295,0.00327,NA
2010-02-07,2010,38,105,niwot2_2010_02_07_120140.jpg,58.77367,89.81188,75.56914,0.40067,0.2622,62.63106,6.0924,94.66033,6.2872,72.99674,17.30601,0.4133,0.02467,0.40153,0.44124,0.45222,0.27362,0.02749,0.26388,0.29047,0.31788,35.14795,NA,0,0,0,0,0.42361,0.42527,0.43429,0.44172,0.30955,0.31388,0.32729,0.33938,0.00218,0.00221,0.00209,0.00206,0.00266,0.00333,0.00294,0.00329,NA
