#
# 3-day product summary time series for northattleboroma
#
# Site: northattleboroma
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 41.98369
# Lon: -71.31056
# Elev: 60
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:51:19
# Update Date: 2016-06-13
# Update Time: 05:28:15
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:32:22
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-04-13,2012,104,25,northattleboroma_2012_04_13_110105.jpg,71.61157,46.74845,31.33328,0.31229,0.47839,72.22834,12.9163,47.32913,9.77427,34.02467,10.35129,0.30754,0.01053,0.30788,0.31296,0.31946,0.47297,0.03138,0.47898,0.49198,0.50009,57.59365,NA,0,0,0,0,0.30294,0.30467,0.31148,0.31542,0.48559,0.49107,0.51339,0.52063,0.00932,0.01024,0.01016,0.01053,0.02748,0.0325,0.02844,0.02653,NA
2012-04-16,2012,107,68,northattleboroma_2012_04_16_120924.jpg,66.63975,39.46333,21.36971,0.30958,0.52278,77.75232,23.12159,54.86665,27.70369,41.27225,33.05131,0.31247,0.0141,0.31232,0.323,0.32571,0.46575,0.05337,0.47747,0.50399,0.51614,58.66552,NA,0,0,0,0,0.31104,0.3129,0.31885,0.32228,0.47816,0.48376,0.50573,0.51552,0.00698,0.00767,0.00761,0.00789,0.02397,0.02835,0.02461,0.022,NA
2012-04-19,2012,110,74,northattleboroma_2012_04_19_120104.jpg,46.52402,31.07133,25.44149,0.30156,0.45153,74.5159,13.90111,50.44633,11.45167,34.55593,10.69033,0.31503,0.01515,0.31882,0.32414,0.32648,0.46976,0.03473,0.47304,0.49138,0.50674,59.70908,NA,0,0,0,0,0.31965,0.32162,0.32704,0.33023,0.47092,0.47664,0.49823,0.5101,0.00547,0.00601,0.00596,0.00618,0.02093,0.02475,0.02133,0.01836,NA
2012-04-22,2012,113,74,northattleboroma_2012_04_22_120104.jpg,76.90894,60.76685,39.58585,0.34281,0.43387,78.42508,20.21778,61.84981,26.19389,45.74596,31.61727,0.33119,0.01742,0.33674,0.34108,0.34317,0.4379,0.05159,0.44016,0.47245,0.5058,60.72209,NA,0,0,0,0,0.32844,0.33058,0.33571,0.33883,0.46382,0.46966,0.4908,0.50426,0.00479,0.00526,0.00522,0.00541,0.01837,0.02173,0.01862,0.01564,NA
2012-04-25,2012,116,73,northattleboroma_2012_04_25_120103.jpg,70.68476,48.30481,25.19607,0.33502,0.49023,78.31521,17.01366,56.04006,14.13074,33.77486,12.19493,0.33273,0.01397,0.33603,0.33891,0.34054,0.46917,0.03175,0.47057,0.49023,0.50505,61.70202,NA,0,0,0,0,0.33763,0.34001,0.34512,0.34838,0.45691,0.46285,0.48349,0.49802,0.00471,0.00517,0.00513,0.00532,0.01632,0.0193,0.01649,0.01386,NA
2012-04-28,2012,119,76,northattleboroma_2012_04_28_120103.jpg,73.19287,50.74848,24.69238,0.34143,0.49244,77.67472,11.39674,56.74211,8.49458,33.05861,9.44677,0.33855,0.01306,0.34144,0.34311,0.34424,0.46512,0.03817,0.47265,0.4904,0.49865,62.64633,NA,0,0,0,0,0.34687,0.34956,0.35486,0.3584,0.45026,0.4563,0.47641,0.49158,0.0049,0.00538,0.00534,0.00553,0.01477,0.01747,0.01495,0.01293,NA
2012-05-01,2012,122,76,northattleboroma_2012_05_01_120923.jpg,84.37044,69.91667,38.65557,0.36237,0.43728,83.83527,10.42388,64.16088,12.9957,34.90707,13.75501,0.35009,0.01714,0.35423,0.35864,0.36269,0.46416,0.0393,0.47064,0.49809,0.5068,63.55258,NA,0,0,0,0,0.35653,0.35956,0.36528,0.36932,0.44389,0.45002,0.46961,0.4851,0.00507,0.00557,0.00553,0.00573,0.01372,0.01623,0.01397,0.01267,NA
2012-05-04,2012,125,70,northattleboroma_2012_05_04_120104.jpg,83.40233,75.38344,44.46396,0.37089,0.41034,83.32921,10.94221,69.35023,13.00782,38.32349,14.89536,0.36332,0.01907,0.36697,0.37201,0.37482,0.44112,0.03523,0.44325,0.4721,0.48446,64.41842,NA,0,0,0,0,0.36606,0.36953,0.37586,0.38051,0.43782,0.44403,0.46309,0.47872,0.00518,0.00569,0.00565,0.00585,0.01313,0.01552,0.01349,0.01286,NA
2012-05-07,2012,128,78,northattleboroma_2012_05_07_120108.jpg,74.09919,54.99935,18.52105,0.37257,0.50196,78.82974,15.62647,63.99436,19.23256,31.34,26.98669,0.36997,0.01596,0.37015,0.38032,0.38785,0.46523,0.04478,0.4754,0.48861,0.50009,65.24131,NA,0,0,0,0,0.37724,0.38144,0.3889,0.39438,0.43203,0.43831,0.45682,0.47207,0.00516,0.00567,0.00562,0.00583,0.01289,0.01525,0.01337,0.01319,NA
2012-05-10,2012,131,71,northattleboroma_2012_05_10_120104.jpg,71.70673,61.15432,23.06855,0.39219,0.45987,75.20989,10.73741,66.97165,11.82332,29.38764,10.60768,0.39053,0.02028,0.39312,0.40024,0.40848,0.44137,0.02816,0.44623,0.46232,0.46782,65.76566,NA,0,0,0,0,0.38765,0.39265,0.40134,0.40765,0.4265,0.43286,0.45077,0.46501,0.00534,0.00587,0.00582,0.00604,0.0129,0.01525,0.01348,0.0135,NA
