#
# 3-day product summary time series for nwohiocrop
#
# Site: nwohiocrop
# Veg Type: AG
# ROI ID Number: 0001
# Lat: 41.628419
# Lon: -83.345328
# Elev: 200
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:51:26
# Update Date: 2016-01-25
# Update Time: 14:51:27
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:33:13
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-04-07,2012,98,62,nwohiocrop_2012_04_07_120112.jpg,112.59725,94.52166,58.45322,0.35592,0.42398,107.87278,9.02632,91.36296,7.31396,57.39709,5.95501,0.35602,0.00122,0.35581,0.35612,0.35764,0.42045,0.01311,0.42264,0.42436,0.42657,55.91636,NA,0,0,0,0,0.33727,0.3365,0.33667,0.33772,0.41582,0.41861,0.42113,0.42332,0.01833,0.01807,0.01875,0.01923,0.02518,0.02638,0.02625,0.02729,NA
2012-04-10,2012,101,11,nwohiocrop_2012_04_11_133120.jpg,101.49344,91.09875,59.08227,0.36197,0.40327,100.25979,6.85911,89.40841,4.37543,58.86282,4.70803,0.35979,0.00151,0.36,0.36054,0.36197,0.40331,0.01577,0.40626,0.41244,0.41676,54.71808,NA,0,0,0,0,0.34182,0.34124,0.34167,0.34288,0.41466,0.41612,0.42032,0.42557,0.01724,0.01696,0.01759,0.01805,0.01657,0.01736,0.01727,0.01796,NA
2012-04-13,2012,104,50,nwohiocrop_2012_04_13_120110.jpg,110.83299,93.96101,58.27569,0.35717,0.42131,107.66938,8.51127,91.41773,7.30587,56.8259,6.41117,0.35727,0.00183,0.35699,0.35742,0.35991,0.42107,0.01336,0.42054,0.4249,0.43383,57.75303,NA,0,0,0,0,0.34625,0.34586,0.34653,0.34791,0.41367,0.41414,0.41981,0.4272,0.01621,0.01592,0.01652,0.01695,0.02166,0.0227,0.02258,0.02348,NA
2012-04-16,2012,107,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35057,0.35037,0.35129,0.35283,0.41297,0.41276,0.41965,0.4285,0,0,0,0,0,0,0,0,1
2012-04-19,2012,110,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3548,0.3548,0.35595,0.35765,0.41299,0.4124,0.42023,0.42945,0,0,0,0,0,0,0,0,1
2012-04-22,2012,113,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35896,0.35916,0.36053,0.36238,0.41335,0.41268,0.42118,0.43018,0,0,0,0,0,0,0,0,1
2012-04-25,2012,116,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36305,0.36347,0.36505,0.36705,0.41212,0.41263,0.42198,0.42944,0,0,0,0,0,0,0,0,1
2012-04-28,2012,119,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.36711,0.36773,0.36952,0.37167,0.41122,0.41307,0.42296,0.42861,0,0,0,0,0,0,0,0,1
2012-05-01,2012,122,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.37111,0.37196,0.37394,0.37624,0.41053,0.4118,0.42162,0.42587,0,0,0,0,0,0,0,0,1
2012-05-04,2012,125,64,nwohiocrop_2012_05_04_120116.jpg,108.60916,97.87193,65.41272,0.35996,0.39945,104.03027,9.29901,89.54151,7.87513,58.11151,7.48926,0.35583,0.00286,0.35576,0.35752,0.3597,0.41378,0.01677,0.41584,0.42512,0.42922,64.88958,NA,0,0,0,0,0.37504,0.37613,0.37829,0.38074,0.41349,0.41605,0.42516,0.42961,0.01107,0.01086,0.01126,0.01155,0.02757,0.02889,0.02874,0.02988,NA
