#
# 3-day product summary time series for oregonMP
#
# Site: oregonMP
# Veg Type: EN
# ROI ID Number: 0001
# Lat: 44.4523
# Lon: -121.5574
# Elev: 1253
# UTC Offset: -8
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:52:04
# Update Date: 2016-06-13
# Update Time: 05:28:32
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:37:42
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2011-06-16,2011,167,70,oregonMP_2011_06_16_120118.jpg,103.6886,86.4101,52.25375,0.35655,0.42784,127.17485,24.28466,107.63601,19.64398,74.92942,24.43801,0.34984,0.01259,0.35484,0.35716,0.3582,0.41304,0.01475,0.41527,0.4249,0.43058,68.90398,NA,0,0,0,0,0.35238,0.355,0.3581,0.35943,0.4122,0.41436,0.42587,0.43152,0.00358,0.00365,0.0033,0.00328,0.00885,0.00937,0.00852,0.00849,NA
2011-06-19,2011,170,80,oregonMP_2011_06_19_120113.jpg,103.28746,87.07366,53.20582,0.35749,0.42406,123.47324,17.20644,106.79061,15.38003,72.40722,18.58543,0.3539,0.00896,0.35639,0.35853,0.35973,0.40983,0.01754,0.41086,0.42351,0.42913,68.94462,NA,0,0,0,0,0.35321,0.35621,0.35915,0.36057,0.41101,0.41316,0.42432,0.42998,0.00302,0.00323,0.00279,0.00272,0.00816,0.00863,0.00782,0.00779,NA
2011-06-22,2011,173,81,oregonMP_2011_06_22_120114.jpg,103.90928,88.41142,51.73731,0.36226,0.42576,126.64878,19.78772,109.37484,16.7784,73.26629,20.26638,0.35521,0.01121,0.35971,0.3613,0.3631,0.41143,0.01568,0.41325,0.42404,0.42892,68.94485,NA,0,0,0,0,0.354,0.35737,0.36016,0.36166,0.40988,0.41201,0.42284,0.42851,0.00256,0.00286,0.00236,0.00227,0.00751,0.00794,0.00717,0.00715,NA
2011-06-25,2011,176,84,oregonMP_2011_06_25_120116.jpg,104.22401,88.71672,52.49937,0.36146,0.42464,126.52996,19.19917,108.93694,17.01151,72.47763,20.0449,0.35517,0.01053,0.35866,0.36133,0.36237,0.41296,0.01463,0.41584,0.42441,0.42906,68.90269,NA,0,0,0,0,0.35477,0.35847,0.36113,0.36271,0.4088,0.41091,0.42142,0.42711,0.0022,0.00254,0.00203,0.00193,0.00691,0.00731,0.00658,0.00656,NA
2011-06-28,2011,179,80,oregonMP_2011_06_28_120111.jpg,129.27967,112.50563,70.08197,0.36075,0.41453,125.06162,14.25229,110.0457,12.60356,72.19132,13.93721,0.35853,0.00652,0.35982,0.36282,0.36556,0.40789,0.01987,0.40805,0.42245,0.43078,68.79744,NA,0,0,0,0,0.35551,0.35952,0.36207,0.3637,0.40777,0.40987,0.42008,0.42578,0.00194,0.00227,0.00179,0.00171,0.00636,0.00673,0.00604,0.00602,NA
2011-07-01,2011,182,79,oregonMP_2011_07_01_120114.jpg,101.86819,87.21281,51.49741,0.36251,0.42343,127.22618,22.90629,110.60149,18.6433,75.98675,23.93165,0.3548,0.01363,0.36006,0.36274,0.36429,0.40768,0.01618,0.40954,0.42182,0.42741,68.63139,NA,0,0,0,0,0.35624,0.36051,0.36297,0.36465,0.4068,0.40889,0.4188,0.42452,0.00178,0.00206,0.00164,0.0016,0.00587,0.00621,0.00556,0.00554,NA
2011-07-04,2011,185,81,oregonMP_2011_07_04_120115.jpg,102.41564,88.65567,51.45269,0.36555,0.42229,125.06112,22.15583,109.6784,18.60029,73.55428,22.29195,0.35786,0.01258,0.36263,0.36496,0.36608,0.40774,0.01338,0.41045,0.41848,0.42354,68.40544,NA,0,0,0,0,0.35693,0.36144,0.36384,0.36555,0.40589,0.40796,0.4176,0.42333,0.00171,0.0019,0.00157,0.00156,0.00544,0.00575,0.00515,0.00513,NA
2011-07-07,2011,188,78,oregonMP_2011_07_07_120114.jpg,101.95887,91.03102,54.91438,0.3672,0.41128,125.18165,24.09382,110.57708,18.99245,75.58061,23.58224,0.35784,0.01467,0.36342,0.36677,0.36824,0.40383,0.01267,0.40607,0.41401,0.41888,68.11879,NA,0,0,0,0,0.3576,0.36231,0.36467,0.36641,0.40503,0.40709,0.41647,0.42221,0.00169,0.00179,0.00156,0.00158,0.00507,0.00536,0.00479,0.00478,NA
2011-07-10,2011,191,73,oregonMP_2011_07_10_120116.jpg,101.97759,89.00997,50.37424,0.36878,0.42251,128.50307,21.77138,114.10142,18.11718,78.17905,22.69743,0.35781,0.01319,0.36265,0.36538,0.36783,0.40257,0.01494,0.40573,0.41489,0.42102,67.77492,NA,0,0,0,0,0.35825,0.3631,0.36546,0.36722,0.40422,0.40628,0.41541,0.42116,0.00172,0.00172,0.00159,0.00162,0.00476,0.00504,0.0045,0.00449,NA
2011-07-13,2011,194,75,oregonMP_2011_07_13_120112.jpg,103.17329,90.18899,54.52031,0.36384,0.41622,125.98641,20.38375,112.05535,17.6846,76.79846,21.53401,0.3576,0.01235,0.36166,0.36467,0.36718,0.40216,0.0173,0.40507,0.41381,0.41937,67.37448,NA,0,0,0,0,0.35885,0.36383,0.3662,0.36798,0.40348,0.40553,0.41443,0.42019,0.00177,0.0017,0.00163,0.00167,0.00451,0.00477,0.00428,0.00426,NA
