#
# 3-day product summary time series for oregonYP
#
# Site: oregonYP
# Veg Type: EN
# ROI ID Number: 0001
# Lat: 44.32384
# Lon: -121.605993
# Elev: 977
# UTC Offset: -8
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-03-11
# Creation Time: 16:13:48
# Update Date: 2016-06-13
# Update Time: 05:28:37
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:38:46
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2011-08-18,2011,230,14,oregonYP_2011_08_18_140302.jpg,75.79551,72.26964,39.50554,0.38529,0.40409,80.18287,7.4576,78.04476,7.01181,50.75472,8.00738,0.374,0.00697,0.3706,0.37983,0.38497,0.38429,0.01182,0.38312,0.38881,0.4016,50.48588,NA,0,0,0,0,0.3801,0.3792,0.38612,0.39336,0.38682,0.38602,0.39867,0.40876,0.00343,0.00353,0.00364,0.00414,0.01367,0.01398,0.01339,0.01347,NA
2011-08-21,2011,233,34,oregonYP_2011_08_21_120302.jpg,70.77629,66.36842,31.00575,0.3947,0.42091,77.99564,5.69809,75.08493,5.54104,44.80105,8.55391,0.38026,0.00922,0.38185,0.38682,0.39331,0.39519,0.01527,0.3928,0.40808,0.41645,58.00573,NA,0,0,0,0,0.37952,0.37871,0.38545,0.39241,0.38893,0.38862,0.40108,0.41093,0.00317,0.00325,0.00336,0.00382,0.01184,0.01211,0.01159,0.01166,NA
2011-08-24,2011,236,30,oregonYP_2011_08_24_113302.jpg,79.71319,76.51632,49.99995,0.37103,0.38653,76.88494,6.45951,76.73319,5.21844,47.37327,7.62956,0.38205,0.00772,0.38473,0.38775,0.39133,0.38312,0.02424,0.38646,0.39698,0.40652,55.92709,NA,0,0,0,0,0.37894,0.37821,0.38478,0.39147,0.39095,0.3911,0.40339,0.41301,0.00292,0.003,0.00309,0.00352,0.01026,0.01049,0.01004,0.0101,NA
2011-08-27,2011,239,18,oregonYP_2011_08_27_100302.jpg,76.67157,73.85485,40.77477,0.38607,0.40079,82.68957,9.67755,80.45995,6.82815,51.01806,12.04586,0.37685,0.01282,0.37285,0.38435,0.39483,0.3874,0.03344,0.39384,0.40401,0.418,55.98282,NA,0,0,0,0,0.37836,0.37772,0.38411,0.39054,0.39286,0.39345,0.40558,0.41499,0.00269,0.00276,0.00285,0.00324,0.00894,0.00914,0.00875,0.00881,NA
2011-08-30,2011,242,35,oregonYP_2011_08_30_123303.jpg,72.91358,68.196,31.77906,0.39445,0.42174,78.45221,5.4427,75.62338,5.31021,46.24857,8.53573,0.37836,0.00976,0.37855,0.38423,0.39065,0.3927,0.01463,0.39043,0.40062,0.40974,54.21784,NA,0,0,0,0,0.37779,0.37723,0.38345,0.38963,0.39467,0.39568,0.40764,0.41687,0.00248,0.00254,0.00262,0.00298,0.00791,0.00809,0.00774,0.00779,NA
2011-09-02,2011,245,28,oregonYP_2011_09_02_130301.jpg,80.22277,74.86119,37.45212,0.38882,0.41666,82.6835,5.29712,78.09838,4.77441,48.83249,8.45498,0.37329,0.00951,0.37204,0.3788,0.38841,0.39532,0.0156,0.39387,0.41021,0.41528,53.15004,NA,0,0,0,0,0.37722,0.37673,0.38279,0.38872,0.39637,0.39778,0.40959,0.41865,0.00229,0.00235,0.00242,0.00275,0.00718,0.00734,0.00703,0.00707,NA
2011-09-05,2011,248,37,oregonYP_2011_09_05_120303.jpg,72.07312,80.69384,58.91413,0.3812,0.34048,83.31522,6.84844,77.54666,6.52135,45.93216,10.24576,0.37576,0.00889,0.37622,0.3812,0.38932,0.40436,0.0232,0.40562,0.4258,0.43083,52.39386,NA,0,0,0,0,0.37665,0.37624,0.38213,0.38782,0.39798,0.39976,0.41144,0.42035,0.00211,0.00217,0.00224,0.00255,0.00673,0.00688,0.00659,0.00663,NA
2011-09-08,2011,251,16,oregonYP_2011_09_08_103303.jpg,83.76781,77.34363,36.46155,0.39147,0.42398,79.60634,5.57878,78.24219,5.29796,48.26479,9.40439,0.37995,0.00628,0.37796,0.38525,0.38975,0.38752,0.02803,0.39028,0.41177,0.42058,51.65001,NA,0,0,0,0,0.37608,0.37574,0.38147,0.38693,0.3995,0.40163,0.41319,0.42196,0.00197,0.00202,0.00208,0.00237,0.00654,0.00668,0.0064,0.00644,NA
2011-09-11,2011,254,24,oregonYP_2011_09_11_110301.jpg,78.86694,70.99394,33.51728,0.38714,0.43008,85.80095,4.61692,77.07377,4.3119,44.50977,7.67439,0.37216,0.00861,0.37135,0.37669,0.38548,0.41466,0.01842,0.42012,0.42625,0.43418,50.52115,NA,0,0,0,0,0.37551,0.37524,0.38082,0.38604,0.40094,0.4034,0.41486,0.42351,0.00184,0.00189,0.00195,0.00222,0.00654,0.00668,0.0064,0.00644,NA
2011-09-14,2011,257,43,oregonYP_2011_09_14_123303.jpg,78.11665,68.64952,30.65751,0.38692,0.44028,82.99485,5.59677,74.62892,5.07036,41.50856,7.59653,0.37542,0.00838,0.3762,0.38144,0.38675,0.41774,0.01607,0.41903,0.42885,0.43344,49.37859,NA,0,0,0,0,0.37494,0.37473,0.38016,0.38517,0.40231,0.40506,0.41645,0.425,0.00175,0.00179,0.00185,0.0021,0.00665,0.0068,0.00651,0.00655,NA
