#
# 3-day product summary time series for pointreyes
#
# Site: pointreyes
# Veg Type: SH
# ROI ID Number: 0001
# Lat: 37.9963888889
# Lon: -123.021111111
# Elev: 0
# UTC Offset: -8
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:53:01
# Update Date: 2016-06-13
# Update Time: 05:28:48
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:40:29
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2004-01-23,2004,23,1,pointreyes_2004_01_24_120000.jpg,90.53371,99.60127,68.74471,0.38474,0.34971,90.53371,0,99.60127,0,68.74471,0,0.38474,0,0.38474,0.38474,0.38474,0.34971,0,0.34971,0.34971,0.34971,32.53003,NA,0,0,0,0,0.39314,0.39904,0.39871,0.39489,0.33262,0.33422,0.33816,0.34052,0.00731,0.00903,0.00816,0.0072,0.00991,0.01163,0.01,0.00924,NA
2004-01-26,2004,26,2,pointreyes_2004_01_25_120000.jpg,79.62369,88.40092,57.13656,0.39261,0.35363,80.07844,0.45475,89.29432,0.8934,73.65032,16.51376,0.36916,0.02346,0.36916,0.38088,0.38792,0.33116,0.02247,0.33116,0.3424,0.34914,33.25783,NA,0,1,1,0,0.39387,0.39952,0.39974,0.39668,0.33376,0.3352,0.33897,0.34124,0.00685,0.00847,0.0076,0.00665,0.00934,0.0109,0.00937,0.00865,NA
2004-01-29,2004,29,3,pointreyes_2004_01_29_120000.jpg,38.25024,46.4802,27.89646,0.41269,0.33962,52.35759,16.88628,61.66203,17.49004,37.45957,11.57009,0.40921,0.00742,0.41269,0.41436,0.41537,0.34384,0.00599,0.33962,0.34596,0.34977,34.03757,NA,0,0,0,0,0.39453,0.39993,0.40068,0.39834,0.33488,0.33617,0.33978,0.34195,0.00642,0.00793,0.00707,0.00613,0.00879,0.0102,0.00878,0.0081,NA
2004-02-01,2004,32,3,pointreyes_2004_02_01_120000.jpg,110.19735,120.00178,127.91613,0.33509,0.30771,90.03387,16.74516,99.46996,16.61884,83.8687,33.66096,0.37105,0.02947,0.37078,0.38903,0.39998,0.33415,0.01981,0.33935,0.34737,0.35218,34.86651,NA,0,0,0,0,0.39511,0.40026,0.40151,0.39986,0.33596,0.33712,0.34058,0.34265,0.00602,0.00743,0.00657,0.00565,0.00827,0.00955,0.00822,0.00759,NA
2004-02-04,2004,35,3,pointreyes_2004_02_04_120000.jpg,84.74196,96.13921,61.01962,0.39743,0.35032,74.38561,12.21592,85.54862,12.20733,53.92975,8.30892,0.40074,0.00481,0.39743,0.40248,0.40552,0.34713,0.0045,0.35031,0.35031,0.35032,35.74181,NA,0,0,0,0,0.39561,0.40052,0.40224,0.40125,0.33702,0.33806,0.34137,0.34335,0.00564,0.00695,0.00611,0.00522,0.00778,0.00894,0.0077,0.0071,NA
2004-02-07,2004,38,3,pointreyes_2004_02_07_120000.jpg,74.42609,84.5598,52.14069,0.40052,0.35252,78.42242,14.04598,88.94831,13.50886,57.0034,10.7813,0.39763,0.00706,0.40052,0.40249,0.40367,0.349,0.00451,0.35184,0.35218,0.35238,36.66061,NA,0,0,0,0,0.39602,0.4007,0.40287,0.40249,0.33806,0.33899,0.34215,0.34405,0.00528,0.00651,0.00568,0.00483,0.00733,0.00838,0.00721,0.00666,NA
2004-02-10,2004,41,3,pointreyes_2004_02_10_120000.jpg,91.27093,101.97987,65.87536,0.39355,0.35223,92.70103,3.88379,103.45111,3.60649,66.64156,2.8515,0.39373,0.00184,0.39355,0.39481,0.39556,0.35272,9e-04,0.35223,0.3531,0.35363,37.6201,NA,0,0,0,0,0.39635,0.4008,0.40339,0.4036,0.33908,0.3399,0.34294,0.34476,0.00496,0.0061,0.00529,0.00448,0.00691,0.00786,0.00677,0.00625,NA
2004-02-13,2004,44,3,pointreyes_2004_02_13_110000.jpg,84.21289,94.67572,100.32082,0.33908,0.30161,113.58514,20.81958,130.2149,25.15123,138.4825,27.01118,0.34045,0.00109,0.3405,0.34113,0.34151,0.29765,0.00292,0.29668,0.29914,0.30062,37.94848,NA,1,1,1,1,0.39658,0.40082,0.4038,0.40456,0.34008,0.34081,0.34372,0.34547,0.00467,0.00572,0.00494,0.00419,0.00652,0.00739,0.00636,0.00587,1
2004-02-16,2004,47,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39673,0.40075,0.4041,0.40539,0.34105,0.34172,0.34451,0.34618,0.0044,0.00538,0.00463,0.00393,0.00616,0.00697,0.006,0.00554,1
2004-02-19,2004,50,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.39678,0.4006,0.40428,0.40607,0.34202,0.34262,0.3453,0.3469,0.00417,0.00507,0.00435,0.00373,0.00584,0.0066,0.00568,0.00524,1
