#
# 3-day product summary time series for proctor
#
# Site: proctor
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 44.525
# Lon: -72.866
# Elev: 403
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:53:34
# Update Date: 2016-06-13
# Update Time: 05:29:07
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:44:56
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2008-09-10,2008,254,20,proctor_2008_09_11_122840.jpg,58.69438,53.54285,43.86023,0.34301,0.37601,53.56844,6.55983,49.09822,7.22973,42.72053,4.10302,0.33657,0.00994,0.34149,0.34322,0.34495,0.36852,0.00712,0.36819,0.37174,0.37608,48.72106,NA,0,0,0,0,0.33947,0.34318,0.34669,0.34839,0.34845,0.3496,0.35339,0.35571,0.00407,0.00474,0.00482,0.00425,0.01121,0.01151,0.0111,0.01113,NA
2008-09-13,2008,257,113,proctor_2008_09_13_114637.jpg,52.44441,48.82662,43.06781,0.33828,0.36334,47.54311,7.37592,44.50426,6.92655,41.92196,4.82224,0.33145,0.00866,0.33293,0.33764,0.341,0.35426,0.01287,0.35513,0.36156,0.36717,49.33555,NA,0,0,0,0,0.3363,0.33929,0.34345,0.34567,0.3587,0.36029,0.36442,0.36793,0.00309,0.00361,0.00366,0.00323,0.00853,0.00875,0.00844,0.00846,NA
2008-09-16,2008,260,107,proctor_2008_09_16_114636.jpg,63.96122,59.69573,48.7219,0.34631,0.37105,54.87655,9.0522,50.96067,8.41338,44.57674,4.56235,0.33767,0.00929,0.34009,0.3457,0.34813,0.3637,0.01207,0.36929,0.3726,0.37463,48.18489,NA,0,0,0,0,0.33304,0.33541,0.34005,0.34275,0.36912,0.3711,0.37563,0.38023,0.00244,0.00284,0.00289,0.00255,0.00672,0.0069,0.00665,0.00667,NA
2008-09-19,2008,263,114,proctor_2008_09_19_114637.jpg,61.40748,56.06845,45.81956,0.34336,0.37605,56.09269,7.92018,50.23466,7.94027,43.17638,4.40086,0.3348,0.0098,0.3379,0.34171,0.3443,0.37485,0.0116,0.37595,0.37896,0.38131,47.02508,NA,0,0,0,0,0.32984,0.33169,0.33667,0.33976,0.37892,0.38126,0.38624,0.39178,0.00211,0.00246,0.0025,0.0022,0.00581,0.00596,0.00575,0.00576,NA
2008-09-22,2008,266,109,proctor_2008_09_22_114638.jpg,66.70456,59.05585,47.86058,0.34014,0.3842,58.42025,8.2054,51.42991,7.5716,44.91771,5.76598,0.33155,0.00817,0.3323,0.33887,0.34056,0.37723,0.01379,0.3822,0.38572,0.38909,45.85843,NA,0,0,0,0,0.32664,0.32806,0.33324,0.33666,0.38863,0.39131,0.39677,0.40308,0.00203,0.00237,0.00241,0.00212,0.00561,0.00576,0.00555,0.00556,NA
2008-09-25,2008,269,112,proctor_2008_09_25_114639.jpg,71.12391,59.88915,47.41056,0.33566,0.39862,58.44993,11.76496,49.09595,10.21804,42.1907,5.18206,0.32627,0.00943,0.32515,0.33575,0.33946,0.38896,0.01009,0.38935,0.39741,0.40261,44.68765,NA,0,0,0,0,0.32354,0.32462,0.32988,0.33353,0.39743,0.40042,0.40643,0.41335,0.0021,0.00245,0.00248,0.00219,0.00578,0.00593,0.00572,0.00574,NA
2008-09-28,2008,272,117,proctor_2008_09_28_114639.jpg,63.30909,56.28664,58.74058,0.31562,0.355,55.72111,7.50025,47.19856,8.87963,45.7568,11.84792,0.31706,0.00644,0.31718,0.32072,0.32432,0.37811,0.02438,0.38721,0.39483,0.39835,43.5155,NA,0,0,0,0,0.32039,0.32122,0.32641,0.33023,0.406,0.40926,0.41587,0.42328,0.00218,0.00254,0.00258,0.00227,0.006,0.00616,0.00594,0.00595,NA
2008-10-01,2008,275,112,proctor_2008_10_01_114639.jpg,49.76801,40.41063,40.3222,0.30966,0.38136,54.47841,8.3836,43.04723,7.8191,39.52532,6.50212,0.31286,0.00913,0.31544,0.31846,0.32295,0.39845,0.02033,0.39772,0.4045,0.42714,42.34488,NA,0,0,0,0,0.31737,0.31804,0.32306,0.32696,0.41332,0.41681,0.4241,0.43186,0.00223,0.0026,0.00264,0.00233,0.00615,0.00632,0.00609,0.0061,NA
2008-10-04,2008,278,112,proctor_2008_10_04_120139.jpg,46.72337,30.6272,29.11624,0.28767,0.43885,59.86644,11.86061,45.65009,9.56169,38.97995,5.6287,0.31441,0.00966,0.31632,0.32081,0.32559,0.41374,0.01574,0.40904,0.42349,0.43669,41.17931,NA,0,0,0,0,0.31391,0.31454,0.3191,0.32307,0.42219,0.42586,0.43393,0.44206,0.00227,0.00265,0.00269,0.00237,0.00627,0.00643,0.0062,0.00622,NA
2008-10-07,2008,281,109,proctor_2008_10_07_114637.jpg,81.93305,61.06995,45.20539,0.32448,0.43533,72.11608,14.18418,53.77755,10.40588,42.35034,4.93708,0.31839,0.00859,0.32048,0.32441,0.32674,0.42682,0.01487,0.43168,0.43561,0.44016,40.02325,NA,0,0,0,0,0.31068,0.31135,0.31539,0.31933,0.4294,0.43322,0.44212,0.45046,0.00238,0.00278,0.00282,0.00249,0.00656,0.00674,0.0065,0.00651,NA
