#
# 3-day product summary time series for queens
#
# Site: queens
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 44.565
# Lon: -76.324
# Elev: 126
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:53:59
# Update Date: 2016-06-13
# Update Time: 05:29:14
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:46:52
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2008-05-25,2008,146,10,queens_2008_05_26_141702.jpg,50.1922,62.3603,36.74058,0.4177,0.3362,43.02992,5.03092,51.62698,7.12555,32.26183,3.26781,0.40591,0.00865,0.40631,0.41096,0.41564,0.33929,0.00873,0.33686,0.3399,0.34402,53.84636,NA,0,0,0,0,0.40606,0.40735,0.41217,0.41669,0.33586,0.33521,0.33966,0.34132,0.00639,0.00709,0.0067,0.00625,0.0137,0.01406,0.01474,0.01536,NA
2008-05-28,2008,149,84,queens_2008_05_28_120136.jpg,65.41856,79.61723,47.30139,0.41395,0.34012,52.04587,9.87761,61.7037,13.20974,39.48045,5.91132,0.40062,0.01439,0.40454,0.41138,0.41461,0.33967,0.01225,0.33896,0.34094,0.34485,67.19111,NA,0,0,0,0,0.40361,0.40532,0.41057,0.415,0.33222,0.33157,0.33583,0.33938,0.00518,0.00575,0.00543,0.00507,0.01111,0.0114,0.01195,0.01282,NA
2008-05-31,2008,152,79,queens_2008_05_31_120135.jpg,48.58478,60.54301,36.86707,0.41469,0.33278,42.22606,7.11595,51.83625,8.64199,34.07108,3.86656,0.40366,0.01325,0.40596,0.4115,0.415,0.32895,0.01664,0.32849,0.33808,0.34041,67.61099,NA,0,0,0,0,0.40137,0.40347,0.40911,0.41345,0.32901,0.32834,0.33242,0.33759,0.00425,0.00472,0.00446,0.00415,0.00911,0.00935,0.0098,0.01077,NA
2008-06-03,2008,155,47,queens_2008_06_03_120136.jpg,36.98221,45.47472,31.82452,0.39792,0.32361,37.86593,3.11425,48.34222,4.11197,33.34209,2.3853,0.40415,0.00872,0.40409,0.40745,0.41451,0.31668,0.00852,0.31819,0.32144,0.32694,67.96864,NA,0,0,0,0,0.39934,0.40177,0.40776,0.41202,0.3262,0.3255,0.3294,0.33594,0.0036,0.004,0.00377,0.00352,0.00772,0.00792,0.0083,0.00921,NA
2008-06-06,2008,158,75,queens_2008_06_06_120134.jpg,52.62225,66.54019,42.39613,0.41186,0.32572,41.83067,6.83529,52.70328,8.64603,37.31681,4.83717,0.39884,0.01097,0.4013,0.4067,0.41083,0.31676,0.01446,0.3203,0.32414,0.32718,68.17494,NA,0,0,0,0,0.3975,0.40022,0.40651,0.4107,0.32368,0.32296,0.32669,0.33439,0.00323,0.00359,0.00339,0.00316,0.00692,0.00711,0.00745,0.00814,NA
2008-06-09,2008,161,60,queens_2008_06_09_121433.jpg,51.32309,65.40771,42.98518,0.40953,0.32134,43.76859,7.98884,54.4585,11.63259,38.64225,5.90627,0.39583,0.01546,0.39926,0.40615,0.40958,0.3203,0.01646,0.31831,0.32132,0.33295,68.50663,NA,0,0,0,0,0.39582,0.39878,0.40535,0.40948,0.32143,0.32069,0.32427,0.33293,0.0031,0.00344,0.00325,0.00303,0.00665,0.00682,0.00715,0.00755,NA
2008-06-12,2008,164,81,queens_2008_06_12_120136.jpg,56.9722,73.9743,51.26627,0.40598,0.31267,44.53773,7.24678,54.84008,10.92963,40.54553,5.83832,0.38996,0.01522,0.3947,0.4022,0.40598,0.31891,0.01599,0.31484,0.31774,0.33053,68.68293,NA,0,0,0,0,0.39434,0.39749,0.40429,0.40838,0.31953,0.31875,0.32217,0.33157,0.00312,0.00346,0.00327,0.00305,0.00669,0.00686,0.0072,0.00735,NA
2008-06-15,2008,167,56,queens_2008_06_15_120136.jpg,56.59793,73.48575,51.58319,0.40451,0.31155,40.46405,6.66475,49.62752,9.76192,37.35623,5.35736,0.38767,0.01786,0.39092,0.40069,0.40546,0.31804,0.02139,0.31375,0.31729,0.34189,68.76591,NA,0,0,0,0,0.39304,0.39634,0.40333,0.40739,0.31795,0.31713,0.32041,0.33032,0.0032,0.00355,0.00336,0.00313,0.00686,0.00704,0.00738,0.00738,NA
2008-06-18,2008,170,52,queens_2008_06_18_070135.jpg,34.56335,39.21851,33.77066,0.36465,0.32136,39.54651,5.91187,49.4282,8.74651,36.89972,4.69969,0.39117,0.01559,0.39469,0.40117,0.40669,0.31448,0.01604,0.31453,0.3182,0.3225,68.84822,NA,0,0,0,0,0.39189,0.39529,0.40243,0.40648,0.31656,0.3157,0.31887,0.32913,0.0033,0.00367,0.00346,0.00323,0.00708,0.00727,0.00762,0.00757,NA
2008-06-21,2008,173,77,queens_2008_06_21_120135.jpg,48.45861,61.65042,42.76432,0.40328,0.31699,42.66584,7.55351,52.75382,10.31028,39.4594,5.34822,0.38931,0.01451,0.39277,0.3995,0.40299,0.31625,0.01785,0.31725,0.32019,0.32323,68.84769,NA,0,0,0,0,0.39092,0.39437,0.40164,0.40569,0.31565,0.31473,0.31777,0.32806,0.00337,0.00374,0.00353,0.00329,0.00722,0.00741,0.00777,0.00776,NA
