#
# 3-day product summary time series for quickbird
#
# Site: quickbird
# Veg Type: SH
# ROI ID Number: 0001
# Lat: 41.928871
# Lon: -109.30387
# Elev: 2257
# UTC Offset: -7
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:54:19
# Update Date: 2016-06-13
# Update Time: 05:29:23
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:48:25
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2014-05-23,2014,143,41,quickbird_2014_05_23_130005.jpg,118.6708,99.53868,69.09168,0.34646,0.41305,108.92979,4.21741,95.03996,2.07575,67.82548,4.05878,0.34969,0.00116,0.35004,0.35048,0.35081,0.4008,0.01266,0.40488,0.40922,0.41305,68.72802,NA,0,0,0,0,0.34982,0.35001,0.3507,0.35099,0.39882,0.40106,0.40479,0.41169,0.00123,0.00111,0.00119,0.00141,0.00876,0.00832,0.00816,0.00991,NA
2014-05-26,2014,146,75,quickbird_2014_05_26_120007.jpg,108.90113,92.65329,65.4142,0.34706,0.40792,110.84746,5.40379,95.91607,4.08343,68.08819,3.96226,0.34899,0.00149,0.34879,0.35012,0.35079,0.40331,0.00936,0.40334,0.40819,0.41322,69.23309,NA,0,0,0,0,0.35028,0.35042,0.35116,0.35155,0.40172,0.40394,0.40769,0.41344,0.00093,0.00085,0.00092,0.00109,0.00786,0.00754,0.00733,0.00828,NA
2014-05-29,2014,149,23,quickbird_2014_05_28_190005.jpg,106.27636,97.24323,72.18418,0.35271,0.38547,111.07071,4.22992,95.66704,3.33786,64.86053,3.90465,0.35226,0.00167,0.35262,0.3536,0.35406,0.40903,0.00936,0.41213,0.41489,0.41654,69.38879,NA,0,0,0,0,0.35053,0.35064,0.35143,0.35191,0.40452,0.40672,0.4105,0.41522,0.00074,0.00069,0.00073,0.00087,0.00706,0.00683,0.00657,0.00697,NA
2014-06-01,2014,152,1,quickbird_2014_06_02_130005.jpg,99.40683,85.16515,58.76514,0.34999,0.40851,99.40683,0,85.16515,0,58.76514,0,0.34999,0,0.34999,0.34999,0.34999,0.40851,0,0.40851,0.40851,0.40851,68.20329,NA,0,0,0,0,0.35057,0.35067,0.35151,0.35207,0.40722,0.40939,0.41321,0.41702,0.00066,6e-04,0.00065,0.00077,0.00634,0.00618,0.00591,0.00597,NA
2014-06-04,2014,155,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35042,0.35052,0.3514,0.35205,0.40983,0.41197,0.41583,0.41885,0.00066,0.00058,0.00063,0.00074,0.00573,0.00562,0.00533,0.00531,NA
2014-06-07,2014,158,84,quickbird_2014_06_07_120007.jpg,108.41074,90.3128,59.50083,0.34975,0.41983,113.822,5.61591,97.12664,4.45274,65.10328,4.34778,0.35183,0.00202,0.35153,0.35291,0.3538,0.41239,0.01106,0.41351,0.41841,0.42053,70.74658,NA,0,0,0,0,0.3501,0.35021,0.35114,0.35185,0.41236,0.41447,0.41837,0.42073,0.00068,6e-04,0.00064,0.00076,0.00521,0.00513,0.00485,0.00494,NA
2014-06-10,2014,161,84,quickbird_2014_06_10_120007.jpg,109.52996,89.87162,58.03866,0.3491,0.42546,115.47317,6.03679,96.70832,5.25675,64.13397,4.12614,0.34997,0.0013,0.35009,0.35093,0.35158,0.41799,0.00737,0.41671,0.42119,0.42872,70.992,NA,0,0,0,0,0.34958,0.3497,0.35068,0.35146,0.41481,0.41687,0.42082,0.42264,7e-04,0.00062,0.00066,0.00079,0.00479,0.00471,0.00446,0.00481,NA
2014-06-13,2014,164,83,quickbird_2014_06_13_120008.jpg,122.58771,100.86373,67.52344,0.34664,0.4213,115.76229,7.26173,97.82964,4.62579,66.85376,7.49129,0.34889,0.0022,0.34928,0.35015,0.35075,0.41296,0.01984,0.41866,0.42241,0.42546,71.17664,NA,0,0,0,0,0.34884,0.34901,0.35002,0.35088,0.41716,0.41917,0.42318,0.4246,0.00071,0.00063,0.00067,8e-04,0.00447,0.00438,0.00416,0.00482,NA
2014-06-16,2014,167,84,quickbird_2014_06_16_120008.jpg,115.15601,92.9859,58.71722,0.34845,0.43152,115.84595,6.66997,95.4979,3.25237,63.37676,8.52232,0.34768,0.00336,0.34823,0.34896,0.35011,0.42197,0.023,0.42756,0.42962,0.43352,71.29962,NA,0,0,0,0,0.34798,0.34819,0.34924,0.35015,0.41941,0.42137,0.42545,0.4266,0.00071,0.00063,0.00068,8e-04,0.00423,0.00412,0.00394,0.00492,NA
2014-06-19,2014,170,84,quickbird_2014_06_19_120006.jpg,122.23395,99.41342,66.24887,0.34531,0.42458,116.28623,6.03194,98.67775,6.05594,71.23725,14.01758,0.34503,0.00437,0.34625,0.34685,0.34802,0.40772,0.02677,0.41516,0.42315,0.42872,71.36147,NA,0,0,0,0,0.34689,0.34711,0.34818,0.34909,0.42156,0.42346,0.42761,0.42868,0.00067,0.00061,0.00065,0.00077,0.00407,0.00393,0.00379,0.00502,NA
