#
# 3-day product summary time series for readingma
#
# Site: readingma
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 42.5304
# Lon: -71.1272
# Elev: 100
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:54:33
# Update Date: 2016-06-13
# Update Time: 05:29:30
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:48:46
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-03-05,2012,65,5,readingma_2012_03_06_151649.jpg,130.82348,105.41366,96.55307,0.31676,0.39311,123.27614,14.41931,102.85689,7.21482,102.23348,3.28577,0.31305,0.00362,0.31355,0.31676,0.317,0.37413,0.02315,0.38665,0.39311,0.3934,24.02568,NA,0,0,0,0,0.31059,0.31155,0.31498,0.31539,0.3931,0.39978,0.40411,0.4066,0.00355,0.0039,0.00381,0.00384,0.00881,0.0087,0.00759,0.00735,NA
2012-03-08,2012,68,60,readingma_2012_03_08_120103.jpg,116.8839,90.0815,77.62924,0.31653,0.4107,119.57366,11.42402,91.95762,7.96474,82.98511,8.22621,0.31218,0.00426,0.31198,0.31582,0.31691,0.4059,0.01668,0.40768,0.41287,0.41778,43.31805,NA,0,0,0,0,0.31219,0.3128,0.31594,0.31686,0.39531,0.40146,0.40575,0.40869,0.00256,0.00292,0.00284,0.00277,0.00772,0.00762,0.00664,0.00644,NA
2012-03-11,2012,71,57,readingma_2012_03_11_120104.jpg,113.72935,87.22794,75.94991,0.31501,0.41071,122.01214,13.89651,94.16085,9.92724,84.75923,9.75376,0.31278,0.00471,0.31455,0.31629,0.3174,0.40528,0.01733,0.41071,0.41309,0.41887,44.48964,NA,0,0,0,0,0.31369,0.31391,0.31681,0.31818,0.39735,0.40299,0.40726,0.41063,0.00199,0.00228,0.00223,0.00215,0.00676,0.00667,0.00582,0.00564,NA
2012-03-14,2012,74,58,readingma_2012_03_14_120923.jpg,112.70117,86.73816,80.08407,0.31031,0.40319,112.24801,9.46109,87.6714,7.2802,82.39286,8.21875,0.31032,0.00435,0.31016,0.31256,0.31574,0.39768,0.01877,0.40304,0.40902,0.41142,45.66511,NA,0,0,0,0,0.31506,0.31485,0.31756,0.31932,0.39921,0.40438,0.40864,0.41239,0.00181,0.002,0.00195,0.00196,0.00595,0.00587,0.00512,0.00496,NA
2012-03-17,2012,77,64,readingma_2012_03_17_120103.jpg,107.71748,80.52098,74.53534,0.30643,0.40992,117.52676,12.61462,89.92477,9.6369,80.83749,8.64589,0.31169,0.00447,0.3106,0.31594,0.31809,0.40765,0.01618,0.41167,0.41437,0.4179,46.84166,NA,0,0,0,0,0.31623,0.31569,0.31824,0.32026,0.40089,0.40563,0.40988,0.41399,0.00185,0.00197,0.00192,0.00201,0.00529,0.00522,0.00455,0.00441,NA
2012-03-20,2012,80,60,readingma_2012_03_20_120102.jpg,117.07102,90.93928,75.45828,0.32081,0.41299,125.99888,13.45641,98.71189,11.20649,83.00664,11.79365,0.32076,0.00262,0.32112,0.32239,0.32311,0.40995,0.01523,0.41225,0.41446,0.4194,48.01653,NA,0,0,0,0,0.31725,0.31636,0.31881,0.32102,0.4024,0.40673,0.411,0.41543,0.00194,0.00204,0.00199,0.0021,0.00479,0.00472,0.00412,0.00399,NA
2012-03-23,2012,83,61,readingma_2012_03_23_120104.jpg,115.39317,91.98347,75.36538,0.32533,0.40812,122.08106,13.18386,97.27848,11.36531,81.86321,10.49941,0.32275,0.00352,0.32384,0.32551,0.32625,0.40559,0.01338,0.40843,0.41068,0.41577,49.1863,NA,0,0,0,0,0.31806,0.31696,0.31935,0.3216,0.40373,0.4077,0.41199,0.41671,0.00199,0.00212,0.00207,0.00216,0.00444,0.00438,0.00382,0.0037,NA
2012-03-26,2012,86,65,readingma_2012_03_26_120103.jpg,122.62046,96.53236,79.96286,0.32273,0.40994,123.14862,11.58199,98.6268,10.48723,85.29433,12.06237,0.32117,0.00155,0.32099,0.32273,0.32317,0.40171,0.01412,0.40408,0.40994,0.41245,50.34811,NA,0,0,0,0,0.31845,0.31746,0.31982,0.32168,0.40489,0.40852,0.41284,0.41782,0.00198,0.00217,0.00211,0.00214,0.00422,0.00417,0.00364,0.00352,NA
2012-03-29,2012,89,67,readingma_2012_03_29_120103.jpg,118.82024,93.40586,83.57709,0.31577,0.40169,120.08162,11.78352,94.56571,9.55781,83.57274,9.55881,0.317,0.00269,0.31693,0.31932,0.32013,0.40284,0.01381,0.40494,0.40915,0.41473,51.49937,NA,0,0,0,0,0.31867,0.31791,0.32028,0.32164,0.40588,0.40919,0.41354,0.41877,0.00205,0.00223,0.00218,0.00222,0.00413,0.00408,0.00356,0.00345,NA
2012-04-01,2012,92,70,readingma_2012_04_01_120101.jpg,121.57807,95.55609,82.27721,0.31915,0.40606,121.1701,11.21747,95.66949,9.31631,85.68847,10.6099,0.31605,0.00321,0.31532,0.31922,0.32011,0.40091,0.0191,0.4069,0.41098,0.4155,52.63717,NA,0,0,0,0,0.31729,0.31706,0.3196,0.32036,0.40666,0.4097,0.41411,0.41953,0.00199,0.00217,0.00212,0.00215,0.00413,0.00407,0.00355,0.00344,NA
