#
# 3-day product summary time series for rosemount
#
# Site: rosemount
# Veg Type: AG
# ROI ID Number: 0001
# Lat: 44.7143
# Lon: -93.0898
# Elev: 287
# UTC Offset: -6
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:54:39
# Update Date: 2016-06-13
# Update Time: 05:29:30
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2008-04-01,2008,92,2,rosemount_2008_04_01_120000.jpg,149.503,149.5224,149.44704,0.3334,0.33336,146.2536,3.24939,146.4,3.1224,146.362,3.08504,0.33347,8e-05,0.33347,0.33351,0.33354,0.33313,0.00023,0.33313,0.33325,0.33332,50.42359,-9999,0,0,0,0,0.33347,NA,0.33351,NA,NA,NA,NA,0.33332,0,NA,0,NA,NA,NA,NA,0,NA
2008-04-02,2008,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33322,NA,0.33339,NA,NA,NA,NA,0.33708,0,NA,0,NA,NA,NA,NA,0,NA
2008-04-03,2008,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33309,NA,0.33335,NA,NA,NA,NA,0.34209,0,NA,0,NA,NA,NA,NA,0,NA
2008-04-04,2008,95,2,rosemount_2008_04_04_120000.jpg,141.066,136.5158,131.48846,0.33372,0.34485,135.7054,5.36065,131.5266,4.98915,127.6297,3.85876,0.33307,0.00065,0.33307,0.33339,0.33359,0.34363,0.00121,0.34363,0.34424,0.3446,51.57863,-9999,0,0,0,0,0.33307,NA,0.33339,NA,NA,NA,NA,0.3446,0,NA,0,NA,NA,NA,NA,0,NA
2008-04-05,2008,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33322,NA,0.33353,NA,NA,NA,NA,0.34308,0,NA,0,NA,NA,NA,NA,0,NA
2008-04-06,2008,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33349,NA,0.33375,NA,NA,NA,NA,0.34026,0,NA,0,NA,NA,NA,NA,0,NA
2008-04-07,2008,98,3,rosemount_2008_04_07_120000.jpg,132.495,130.2643,128.08129,0.33329,0.339,132.6239,0.99245,131.1927,0.92523,129.2843,0.87899,0.33373,0.00032,0.33386,0.33396,0.33401,0.33738,0.00147,0.33769,0.33835,0.33874,52.71628,-9999,0,0,0,0,0.33373,NA,0.33396,NA,NA,NA,NA,0.33874,0,NA,0,NA,NA,NA,NA,0,NA
2008-04-08,2008,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33392,NA,0.33412,NA,NA,NA,NA,0.33799,0,NA,0,NA,NA,NA,NA,0,NA
2008-04-09,2008,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33408,NA,0.33426,NA,NA,NA,NA,0.33659,0,NA,0,NA,NA,NA,NA,0,NA
2008-04-10,2008,101,2,rosemount_2008_04_10_120000.jpg,135.9091,135.7695,133.94015,0.33472,0.33507,136.8973,0.98816,136.3175,0.54808,134.8269,0.8867,0.33408,0.00064,0.33408,0.3344,0.33459,0.3355,0.00043,0.3355,0.33571,0.33584,53.83371,-9999,0,0,0,0,0.33408,NA,0.3344,NA,NA,NA,NA,0.33584,0,NA,0,NA,NA,NA,NA,0,NA
