#
# 3-day product summary time series for russellsage
#
# Site: russellsage
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 32.456961
# Lon: -91.974322
# Elev: 20
# UTC Offset: -6
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:54:46
# Update Date: 2016-06-13
# Update Time: 05:29:36
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:49:42
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2013-11-19,2013,323,4,russellsage_2013_11_20_150001.jpg,107.2816,80.49666,48.89656,0.34012,0.45329,110.2419,1.976,82.07917,0.92799,49.85627,0.5909,0.33893,0.00109,0.33917,0.33977,0.33998,0.45519,0.00263,0.45411,0.45608,0.45817,21.31904,NA,0,0,0,0,0.33962,0.33959,0.3413,0.3426,0.46959,0.47032,0.47487,0.48163,0.00442,0.00439,0.00477,0.00681,0.01214,0.01142,0.01117,0.01197,NA
2013-11-22,2013,326,57,russellsage_2013_11_22_120002.jpg,66.18948,45.02469,23.20936,0.33495,0.4924,81.45346,28.32585,58.37329,19.82663,33.03705,9.35082,0.33647,0.00481,0.33528,0.34155,0.34356,0.4686,0.0183,0.47177,0.47958,0.49054,37.48178,NA,0,0,0,0,0.33456,0.33411,0.33731,0.33765,0.46309,0.46394,0.46856,0.47517,0.00293,0.00291,0.00316,0.0043,0.01126,0.01055,0.01032,0.01105,NA
2013-11-25,2013,329,38,russellsage_2013_11_25_120001.jpg,56.46355,39.59845,24.22885,0.32919,0.46939,67.11271,14.44417,47.01779,9.3113,29.04709,5.00688,0.32851,0.00138,0.32856,0.3295,0.3299,0.46745,0.01017,0.46811,0.47258,0.47997,36.8662,NA,0,0,0,0,0.32966,0.32926,0.33204,0.33322,0.45683,0.45779,0.46248,0.46894,0.00415,0.00413,0.00448,0.00653,0.01055,0.00989,0.00967,0.01036,NA
2013-11-28,2013,332,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32549,0.32537,0.32684,0.32931,0.45081,0.45187,0.45664,0.46296,0,0,0,0,0,0,0,0,1
2013-12-01,2013,335,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32237,0.32262,0.32243,0.32596,0.44503,0.44618,0.45104,0.45722,0,0,0,0,0,0,0,0,1
2013-12-04,2013,338,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32041,0.32109,0.31906,0.32323,0.4395,0.44073,0.44568,0.45174,0,0,0,0,0,0,0,0,1
2013-12-07,2013,341,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32353,0.32387,0.32326,0.3208,0.43421,0.43548,0.44053,0.44648,0,0,0,0,0,0,0,0,1
2013-12-10,2013,344,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32752,0.3273,0.32901,0.31876,0.42913,0.43042,0.4356,0.44144,0,0,0,0,0,0,0,0,1
2013-12-13,2013,347,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32943,0.32936,0.33056,0.31788,0.4243,0.42559,0.43091,0.43665,0,0,0,0,0,0,0,0,1
2013-12-16,2013,350,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32946,0.3294,0.3305,0.32044,0.41973,0.42101,0.42647,0.43212,0,0,0,0,0,0,0,0,1
2013-12-19,2013,353,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32922,0.32914,0.33023,0.32358,0.41542,0.41673,0.42231,0.42787,0,0,0,0,0,0,0,0,1
2013-12-22,2013,356,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32958,0.32948,0.3307,0.32615,0.41137,0.41269,0.41839,0.42388,0,0,0,0,0,0,0,0,1
2013-12-25,2013,359,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32993,0.32982,0.33118,0.32974,0.40754,0.40882,0.41468,0.4201,0,0,0,0,0,0,0,0,1
2013-12-28,2013,362,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32991,0.32981,0.33121,0.33157,0.40396,0.40519,0.41122,0.41657,0,0,0,0,0,0,0,0,1
2013-12-31,2013,365,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32973,0.32973,0.33104,0.33156,0.40065,0.40184,0.40802,0.41331,0,0,0,0,0,0,0,0,1
2014-01-02,2014,2,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32957,0.32962,0.33087,0.33155,0.39859,0.3998,0.40606,0.41131,0,0,0,0,0,0,0,0,1
2014-01-05,2014,5,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3292,0.3293,0.33049,0.33126,0.39574,0.39698,0.40336,0.40856,0,0,0,0,0,0,0,0,1
2014-01-08,2014,8,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32896,0.3291,0.33018,0.33075,0.39315,0.39442,0.40092,0.40607,0,0,0,0,0,0,0,0,1
2014-01-11,2014,11,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.32914,0.32934,0.33017,0.33062,0.39082,0.39212,0.39874,0.40384,0,0,0,0,0,0,0,0,1
2014-01-14,2014,14,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3299,0.3301,0.33055,0.32969,0.38874,0.39006,0.39681,0.40187,0,0,0,0,0,0,0,0,1
2014-01-17,2014,17,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33073,0.33092,0.33103,0.32979,0.38689,0.38825,0.39511,0.40014,0,0,0,0,0,0,0,0,1
2014-01-20,2014,20,3,russellsage_2014_01_20_143001.jpg,75.15116,64.05389,54.15329,0.33127,0.38866,70.86588,3.5862,59.33773,3.77577,48.99441,3.93792,0.33111,0.00036,0.33127,0.33136,0.33141,0.39577,0.0051,0.39827,0.39932,0.39995,28.92923,NA,0,0,0,0,0.33161,0.33182,0.33197,0.33143,0.38523,0.38669,0.39357,0.39852,0.00496,0.00493,0.00535,0.0071,0.00892,0.00901,0.00882,0.00944,NA
2014-01-23,2014,23,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33286,0.33313,0.33357,0.33202,0.38379,0.38544,0.3922,0.39702,0.00455,0.00453,0.00492,0.00541,0.009,0.00893,0.00873,0.00935,1
