#
# 3-day product summary time series for sanford
#
# Site: sanford
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 42.726777
# Lon: -84.464482
# Elev: 268
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:54:52
# Update Date: 2016-06-13
# Update Time: 05:29:40
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:50:09
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2014-06-07,2014,158,39,sanford_2014_06_07_140102.jpg,111.74255,113.3903,117.01182,0.33141,0.32659,63.23671,8.69947,72.10197,7.68378,52.45858,11.8825,0.38517,0.01011,0.38784,0.38942,0.39044,0.3373,0.01753,0.34164,0.35289,0.35481,70.12004,NA,0,0,0,0,0.38351,0.38658,0.38843,0.38944,0.33304,0.33906,0.34875,0.35423,0.0044,0.00483,0.00517,0.00533,0.01643,0.01769,0.01653,0.01513,NA
2014-06-10,2014,161,84,sanford_2014_06_10_120104.jpg,62.14468,69.13357,47.77709,0.3861,0.34707,60.80027,6.11017,70.84531,4.45597,53.98038,8.11944,0.38179,0.00917,0.38515,0.38728,0.38886,0.32774,0.02861,0.33559,0.34596,0.35162,70.34199,NA,0,0,0,0,0.38249,0.38522,0.3874,0.3892,0.33287,0.33845,0.34757,0.35228,0.00298,0.00327,0.0035,0.00361,0.01322,0.01424,0.01317,0.01115,NA
2014-06-13,2014,164,84,sanford_2014_06_13_120105.jpg,61.35513,69.12996,50.0008,0.38302,0.33994,61.92141,5.43923,70.2247,4.68492,53.36042,7.3333,0.3789,0.00969,0.38162,0.38502,0.38759,0.33398,0.01885,0.33865,0.34609,0.34983,70.50168,NA,0,0,0,0,0.38149,0.38396,0.38639,0.38877,0.33282,0.338,0.34665,0.35078,0.00237,0.0026,0.00279,0.00288,0.01076,0.01158,0.01064,0.0087,NA
2014-06-16,2014,167,84,sanford_2014_06_16_120105.jpg,68.23811,73.87518,49.10401,0.38634,0.35686,63.11376,6.23976,70.06468,4.51827,52.53993,6.539,0.37756,0.00801,0.38033,0.38257,0.38508,0.33968,0.02105,0.34586,0.3522,0.35471,70.59892,NA,0,0,0,0,0.38047,0.38275,0.38538,0.38815,0.33292,0.33771,0.34602,0.3497,0.00237,0.0026,0.00279,0.00287,0.00911,0.00981,0.00901,0.00775,NA
2014-06-19,2014,170,82,sanford_2014_06_19_120105.jpg,60.18582,69.13734,50.11875,0.38529,0.33541,60.02247,3.37411,70.40396,3.01497,52.42939,4.19827,0.38501,0.00612,0.38477,0.38757,0.3922,0.32834,0.01508,0.33176,0.33593,0.34349,70.63294,NA,0,0,0,0,0.3795,0.38165,0.38439,0.38736,0.33317,0.33759,0.34571,0.34905,0.0025,0.00275,0.00294,0.00303,0.00823,0.00886,0.00822,0.00777,NA
2014-06-22,2014,173,84,sanford_2014_06_22_120104.jpg,60.05165,67.40199,47.58096,0.38508,0.34308,60.89324,4.33686,69.63371,3.88039,52.57672,6.04863,0.38041,0.00581,0.3825,0.38453,0.38538,0.33282,0.01866,0.33566,0.34553,0.3498,70.63031,NA,0,0,0,0,0.37854,0.38061,0.38341,0.38639,0.33355,0.33762,0.34566,0.3488,0.00258,0.00283,0.00304,0.00313,0.00796,0.00857,0.00804,0.00813,NA
2014-06-25,2014,176,84,sanford_2014_06_25_120105.jpg,62.67272,71.2884,49.9803,0.38756,0.34072,62.48533,5.88492,72.39562,6.36618,59.09023,15.10314,0.37455,0.01438,0.37904,0.38209,0.3864,0.32385,0.02492,0.32962,0.33919,0.34583,70.5807,NA,0,0,0,0,0.37731,0.37945,0.38226,0.38496,0.33402,0.33777,0.34582,0.34896,0.00254,0.00279,0.00299,0.00308,0.00808,0.0087,0.00822,0.00839,NA
2014-06-28,2014,179,84,sanford_2014_06_28_120105.jpg,59.59215,67.80209,54.50174,0.37275,0.32762,62.65365,4.39277,70.39408,3.67322,54.89407,5.72239,0.37483,0.00771,0.3762,0.38008,0.3822,0.33347,0.01334,0.33322,0.34279,0.35023,70.46907,NA,0,0,0,0,0.37599,0.37827,0.38107,0.38336,0.33455,0.33802,0.34614,0.3495,0.00274,0.00301,0.00323,0.00332,0.00836,0.009,0.00853,0.00856,NA
2014-07-01,2014,182,83,sanford_2014_07_01_120104.jpg,65.77294,71.65698,51.92366,0.37843,0.34736,61.88892,5.28803,68.74289,4.11598,52.05956,4.54123,0.3763,0.00628,0.37768,0.37972,0.38137,0.33861,0.01916,0.34238,0.34957,0.35283,70.29631,NA,0,0,0,0,0.37481,0.37706,0.37982,0.38173,0.33526,0.33848,0.34685,0.35065,0.00259,0.00284,0.00305,0.00314,0.00858,0.00924,0.00873,0.00852,NA
2014-07-04,2014,185,83,sanford_2014_07_04_120104.jpg,62.15503,67.93408,50.15641,0.3769,0.34484,63.28867,4.86361,69.72492,4.21417,54.38668,8.05779,0.37257,0.00906,0.37591,0.37808,0.37921,0.33824,0.01835,0.34467,0.34866,0.3506,70.06352,NA,0,0,0,0,0.37382,0.37602,0.37871,0.38029,0.33621,0.33917,0.34803,0.35209,0.00274,0.00301,0.00323,0.00332,0.00875,0.00942,0.00889,0.009,NA
2014-07-07,2014,188,82,sanford_2014_07_07_120104.jpg,54.52747,61.18909,46.72101,0.37669,0.33568,61.404,5.67189,68.19076,5.20769,52.1776,4.23535,0.37507,0.00717,0.37611,0.37947,0.38115,0.33758,0.01476,0.34166,0.34953,0.35475,69.77159,NA,0,0,0,0,0.37315,0.37542,0.37813,0.37953,0.33722,0.33997,0.34938,0.35378,0.00259,0.00284,0.00305,0.00314,0.00898,0.00966,0.0092,0.0087,NA
2014-07-10,2014,191,84,sanford_2014_07_10_120104.jpg,59.62835,68.53518,55.84053,0.37247,0.32406,61.51106,7.06218,67.81177,5.8376,53.26769,6.64147,0.37156,0.00937,0.3746,0.37698,0.37826,0.33652,0.01921,0.33997,0.35332,0.35616,69.4228,NA,0,0,0,0,0.37263,0.37499,0.37771,0.37901,0.33813,0.34074,0.35058,0.35548,0.00274,0.00301,0.00323,0.00332,0.00912,0.00982,0.00942,0.009,NA
2014-07-13,2014,194,83,sanford_2014_07_13_120104.jpg,65.54818,70.42367,50.58197,0.3775,0.35136,63.83081,4.65237,69.64686,3.76438,53.52118,5.28833,0.37262,0.0085,0.37524,0.37766,0.37881,0.34138,0.01485,0.34219,0.35133,0.35458,69.01831,NA,0,0,0,0,0.37217,0.3745,0.37721,0.37856,0.33903,0.34157,0.3517,0.35675,0.00259,0.00284,0.00305,0.00314,0.00885,0.00953,0.00909,0.0087,NA
2014-07-16,2014,197,83,sanford_2014_07_16_120104.jpg,71.17365,75.74897,53.82782,0.37733,0.35454,63.68476,7.66861,70.21883,7.19183,55.36755,7.0686,0.37094,0.00915,0.37304,0.37657,0.37828,0.3362,0.01885,0.33775,0.3513,0.3573,68.56011,NA,0,0,0,0,0.37184,0.37413,0.37678,0.37823,0.34002,0.34251,0.35288,0.35793,0.00274,0.00301,0.00323,0.00332,0.00861,0.00927,0.00881,0.009,NA
