#
# 3-day product summary time series for sedgwick
#
# Site: sedgwick
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 34.69685
# Lon: -120.0484
# Elev: 381
# UTC Offset: -8
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:55:17
# Update Date: 2016-06-13
# Update Time: 05:29:46
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2008-09-19,2008,263,8,sedgwick_2008_09_19_120000.jpg,175.0768,161.43505,145.7995,0.33471,0.363,172.9543,2.39261,161.9167,1.63409,146.52618,1.26112,0.33634,0.00136,0.33664,0.33754,0.33779,0.35926,0.00305,0.35872,0.36267,0.36297,56.76896,-9999,0,0,0,0,0.33605,0.33638,0.33719,0.33758,0.35823,0.35852,0.36102,0.36228,0.00103,0.00111,0.00114,0.00125,0.0022,0.0023,0.00226,0.00225,NA
2008-09-20,2008,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33606,0.33637,0.33716,0.33754,0.35823,0.35852,0.36103,0.36231,0.00095,0.00102,0.00109,0.00119,0.00217,0.00226,0.00223,0.00222,NA
2008-09-21,2008,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33607,0.33636,0.33712,0.33751,0.35823,0.35853,0.36105,0.36234,0.00088,0.00093,0.00103,0.00113,0.00214,0.00223,0.0022,0.00219,NA
2008-09-22,2008,266,6,sedgwick_2008_09_22_090000.jpg,165.3876,157.61386,145.40304,0.33649,0.35309,164.9655,11.44537,155.4286,10.52769,142.2958,8.24426,0.33585,0.00124,0.33618,0.33648,0.33694,0.35643,0.00303,0.3559,0.35787,0.36017,55.59398,-9999,0,0,0,0,0.33608,0.33634,0.33708,0.33747,0.35824,0.35853,0.36107,0.36237,0.00082,0.00085,0.00098,0.00108,0.00211,0.0022,0.00217,0.00216,NA
2008-09-23,2008,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33609,0.33633,0.33705,0.33744,0.35824,0.35854,0.36108,0.36241,0.00076,0.00079,0.00093,0.00103,0.00209,0.00217,0.00214,0.00213,NA
2008-09-24,2008,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3361,0.33632,0.33701,0.33741,0.35825,0.35854,0.3611,0.36244,0.00071,0.00073,0.00088,0.00098,0.00206,0.00214,0.00211,0.0021,NA
2008-09-25,2008,269,9,sedgwick_2008_09_25_120000.jpg,171.3921,162.01472,149.34164,0.33561,0.35503,173.7623,2.46234,162.8912,0.9656,148.45352,1.00711,0.33578,0.00074,0.33592,0.33644,0.3366,0.35818,0.00335,0.36044,0.36072,0.36185,54.41506,-9999,0,0,0,0,0.3361,0.33631,0.33698,0.33737,0.35825,0.35855,0.36112,0.36247,0.00066,0.00068,0.00084,0.00094,0.00203,0.00211,0.00208,0.00207,NA
2008-09-26,2008,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3361,0.33629,0.33694,0.33734,0.35826,0.35856,0.36114,0.3625,0.00062,0.00064,8e-04,9e-04,0.002,0.00208,0.00205,0.00205,NA
2008-09-27,2008,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33611,0.33628,0.33691,0.33731,0.35826,0.35856,0.36115,0.36253,0.00059,6e-04,0.00076,0.00086,0.00197,0.00205,0.00202,0.00202,NA
2008-09-28,2008,272,9,sedgwick_2008_09_28_120000.jpg,176.4676,163.13664,148.15868,0.33446,0.36179,172.3956,2.98736,161.1926,2.13416,145.59297,2.29912,0.3364,0.00129,0.33671,0.33735,0.33789,0.35976,0.00164,0.36054,0.36059,0.36176,53.23519,-9999,0,0,0,0,0.33611,0.33627,0.33687,0.33728,0.35827,0.35857,0.36117,0.36257,0.00056,0.00058,0.00073,0.00082,0.00194,0.00203,0.00199,0.00199,NA
2008-09-29,2008,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33611,0.33625,0.33684,0.33724,0.35828,0.35858,0.36119,0.3626,0.00054,0.00056,7e-04,0.00079,0.00192,0.002,0.00196,0.00197,NA
2008-09-30,2008,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3361,0.33624,0.3368,0.33721,0.35828,0.35859,0.36121,0.36263,0.00052,0.00056,0.00067,0.00076,0.00189,0.00197,0.00194,0.00194,NA
2008-10-01,2008,275,9,sedgwick_2008_10_01_120000.jpg,176.4698,163.02971,149.89454,0.33313,0.36059,171.9914,3.52885,161.0768,3.15803,146.29659,2.96797,0.33602,0.00133,0.33589,0.33685,0.3373,0.35879,0.00214,0.35939,0.36059,0.36127,52.05745,-9999,0,0,0,0,0.3361,0.33623,0.33676,0.33718,0.35829,0.35859,0.36122,0.36266,0.00051,0.00055,0.00064,0.00073,0.00186,0.00194,0.00191,0.00191,NA
2008-10-02,2008,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.3361,0.33621,0.33673,0.33714,0.3583,0.3586,0.36124,0.3627,0.00051,0.00055,0.00062,7e-04,0.00184,0.00192,0.00188,0.00189,NA
2008-10-03,2008,277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33609,0.3362,0.33669,0.33711,0.3583,0.35861,0.36126,0.36273,5e-04,0.00056,6e-04,0.00068,0.00181,0.00189,0.00186,0.00186,NA
