#
# 3-day product summary time series for sedgwick
#
# Site: sedgwick
# Veg Type: SH
# ROI ID Number: 0001
# Lat: 34.69685
# Lon: -120.0484
# Elev: 381
# UTC Offset: -8
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:55:20
# Update Date: 2016-06-13
# Update Time: 05:29:45
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2008-09-19,2008,263,8,sedgwick_2008_09_19_120000.jpg,138.61305,131.02616,120.87378,0.33552,0.35495,136.0971,2.47547,130.3818,2.1022,120.47377,1.3616,0.33693,0.00123,0.33704,0.33813,0.33822,0.3517,0.00274,0.35049,0.35494,0.3551,56.76896,-9999,0,0,0,0,0.33702,0.33717,0.3378,0.33789,0.34958,0.35059,0.35242,0.35344,0.00085,0.00099,0.00101,0.00106,0.00248,0.00239,0.00242,0.0025,NA
2008-09-20,2008,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33702,0.33718,0.33782,0.33792,0.34969,0.35068,0.35253,0.35358,0.00081,0.00094,0.00096,0.00101,0.00244,0.00236,0.00238,0.00246,NA
2008-09-21,2008,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33702,0.33719,0.33783,0.33795,0.34979,0.35078,0.35265,0.35372,0.00077,0.00088,0.00092,0.00097,0.0024,0.00232,0.00234,0.00242,NA
2008-09-22,2008,266,6,sedgwick_2008_09_22_090000.jpg,130.86291,127.29039,119.22737,0.3373,0.34677,131.8669,8.38618,127.7472,6.72834,119.23997,4.33633,0.33716,0.00069,0.33735,0.33745,0.33782,0.34783,0.00503,0.34897,0.35024,0.35228,55.59398,-9999,0,0,0,0,0.33703,0.3372,0.33784,0.33798,0.34989,0.35088,0.35276,0.35386,0.00073,0.00083,0.00087,0.00092,0.00236,0.00228,0.0023,0.00238,NA
2008-09-23,2008,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33703,0.33721,0.33785,0.33801,0.35,0.35097,0.35287,0.354,7e-04,0.00079,0.00083,0.00088,0.00232,0.00225,0.00227,0.00234,NA
2008-09-24,2008,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33703,0.33722,0.33786,0.33804,0.35009,0.35106,0.35298,0.35414,0.00067,0.00074,0.00079,0.00084,0.00228,0.00221,0.00223,0.0023,NA
2008-09-25,2008,269,9,sedgwick_2008_09_25_120000.jpg,137.23095,132.84497,123.70859,0.33735,0.34849,137.958,3.04337,132.2091,2.16105,122.36572,1.37011,0.33681,0.00086,0.33668,0.33767,0.33774,0.35142,0.00228,0.35277,0.35306,0.35415,54.41506,-9999,0,0,0,0,0.33703,0.33723,0.33786,0.33807,0.35019,0.35116,0.35309,0.35427,0.00064,7e-04,0.00076,8e-04,0.00225,0.00218,0.00219,0.00226,NA
2008-09-26,2008,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33704,0.33723,0.33787,0.33809,0.35029,0.35125,0.3532,0.3544,0.00061,0.00067,0.00072,0.00076,0.00221,0.00214,0.00216,0.00223,NA
2008-09-27,2008,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33704,0.33724,0.33788,0.33812,0.35039,0.35134,0.3533,0.35454,0.00058,0.00063,0.00069,0.00073,0.00217,0.00211,0.00212,0.00219,NA
2008-09-28,2008,272,9,sedgwick_2008_09_28_120000.jpg,141.18185,134.09174,124.30719,0.33558,0.35332,136.186,3.6748,130.6127,2.89396,120.44731,2.98109,0.33731,0.00118,0.33783,0.33819,0.33841,0.35166,0.00151,0.35174,0.35293,0.35334,53.23519,-9999,0,0,0,0,0.33704,0.33725,0.33788,0.33814,0.35048,0.35143,0.35341,0.35467,0.00056,6e-04,0.00066,7e-04,0.00214,0.00208,0.00209,0.00215,NA
