#
# 3-day product summary time series for shahariya
#
# Site: shahariya
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 31.599908
# Lon: 34.832867
# Elev: 240
# UTC Offset: 2
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:55:36
# Update Date: 2016-06-13
# Update Time: 05:29:57
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:52:25
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2011-07-01,2011,182,16,shahariya_2011_07_01_120000.jpg,128.95693,89.63216,61.14,0.32042,0.46101,135.19194,7.22942,93.3262,6.54704,64.21912,6.84024,0.31876,0.00194,0.31877,0.31993,0.3204,0.46235,0.01039,0.46117,0.47156,0.47336,80.84502,NA,0,0,0,0,0.31879,0.3186,0.31977,0.32197,0.46124,0.45687,0.46992,0.47832,0.00535,0.00553,0.00668,0.00759,0.01092,0.01094,0.01313,0.01542,NA
2011-07-04,2011,185,24,shahariya_2011_07_04_120000.jpg,123.02068,83.96244,58.38296,0.3164,0.46359,133.80535,8.13704,91.83067,7.36955,63.51333,7.91062,0.31754,0.00212,0.31752,0.31878,0.32003,0.46354,0.01249,0.46159,0.47179,0.48233,80.73982,NA,0,0,0,0,0.31845,0.31825,0.31957,0.32185,0.45587,0.45209,0.46457,0.4732,0.00459,0.00474,0.00574,0.00652,0.00942,0.00948,0.01137,0.01346,NA
2011-07-07,2011,188,23,shahariya_2011_07_07_120000.jpg,122.7495,85.18041,60.84297,0.31692,0.4567,126.60514,6.57868,87.57192,6.18316,60.83357,7.20488,0.31844,0.00217,0.31854,0.31991,0.32054,0.46108,0.0124,0.45692,0.47183,0.47812,80.52858,NA,0,0,0,0,0.31813,0.31792,0.31939,0.32173,0.45087,0.44763,0.45959,0.46843,0.00395,0.00408,0.00493,0.0056,0.00813,0.00821,0.00985,0.01175,NA
2011-07-10,2011,191,23,shahariya_2011_07_10_120000.jpg,125.02111,86.595,61.75104,0.31677,0.45734,125.02447,9.92323,86.44509,8.56297,59.29437,9.90391,0.31943,0.00345,0.31942,0.32075,0.32327,0.46313,0.01558,0.45888,0.47471,0.48593,80.25312,NA,0,0,0,0,0.31784,0.31762,0.31924,0.32163,0.44632,0.44357,0.45505,0.46408,0.00342,0.00354,0.00428,0.00486,0.00708,0.00717,0.0086,0.01032,NA
2011-07-13,2011,194,22,shahariya_2011_07_13_120000.jpg,92.68527,69.51155,58.33015,0.31521,0.42029,97.16986,19.60312,71.81118,14.40435,56.68324,14.2116,0.31833,0.00613,0.3164,0.31851,0.32911,0.43172,0.03147,0.43101,0.44577,0.46478,79.91398,NA,0,0,0,0,0.31759,0.31735,0.3191,0.32154,0.4422,0.43989,0.45093,0.46015,0.00303,0.00313,0.00378,0.00429,0.00626,0.00635,0.00762,0.00917,NA
2011-07-16,2011,197,11,shahariya_2011_07_16_170000.jpg,105.13467,76.39734,62.47507,0.31309,0.43087,102.23361,9.80733,77.03131,7.87391,64.50534,9.31139,0.3163,0.00343,0.31721,0.318,0.31882,0.42014,0.01029,0.41485,0.42783,0.43658,79.21041,NA,0,0,0,0,0.31736,0.31711,0.31898,0.32146,0.43844,0.43651,0.44717,0.45655,0.00275,0.00284,0.00344,0.0039,0.00568,0.00575,0.0069,0.0083,NA
2011-07-19,2011,200,13,shahariya_2011_07_19_140000.jpg,110.94475,83.95598,72.00358,0.31455,0.41567,103.80969,15.24428,77.93739,13.14923,65.37823,13.83014,0.31559,0.00351,0.31441,0.31747,0.32121,0.42285,0.01669,0.41583,0.41963,0.43843,79.04945,NA,0,0,0,0,0.31716,0.3169,0.31889,0.3214,0.43503,0.43343,0.44373,0.45327,0.00259,0.00268,0.00324,0.00368,0.00533,0.00538,0.00645,0.0077,NA
2011-07-22,2011,203,15,shahariya_2011_07_22_120000.jpg,101.91485,76.60725,63.2746,0.31683,0.42149,101.23701,16.50716,75.72134,13.8301,61.46417,14.66397,0.3181,0.00443,0.31812,0.32006,0.32255,0.42708,0.01404,0.42544,0.43702,0.44574,78.34032,NA,0,0,0,0,0.31698,0.31671,0.31881,0.32135,0.43192,0.43061,0.4406,0.45029,0.00253,0.00261,0.00316,0.00359,0.00517,0.00519,0.00623,0.00737,NA
2011-07-25,2011,206,21,shahariya_2011_07_25_120000.jpg,102.081,76.96599,61.43728,0.32005,0.42448,107.15106,7.2191,80.66599,6.95646,66.93967,8.77646,0.31674,0.003,0.31646,0.3183,0.32005,0.42145,0.01023,0.42271,0.43062,0.43396,77.94767,NA,0,0,0,0,0.31684,0.31655,0.31875,0.3213,0.4292,0.42812,0.43782,0.44766,0.00253,0.00262,0.00317,0.0036,0.00515,0.00515,0.00618,0.00724,NA
2011-07-28,2011,209,22,shahariya_2011_07_28_120000.jpg,115.97167,88.55372,75.69348,0.31602,0.41386,111.87409,8.99044,84.77806,8.06107,71.15205,9.18113,0.31668,0.00365,0.31609,0.31966,0.32018,0.41851,0.00948,0.4169,0.42326,0.43198,77.31297,NA,0,0,0,0,0.31673,0.31642,0.31872,0.32128,0.4269,0.42599,0.43545,0.44542,0.00257,0.00266,0.00321,0.00365,0.00521,0.00519,0.00622,0.00724,NA
