#
# 3-day product summary time series for shalehillsczo
#
# Site: shalehillsczo
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 40.6499999
# Lon: -77.9
# Elev: 310
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-04-06
# Creation Time: 16:32:06
# Update Date: 2016-06-13
# Update Time: 05:30:03
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:52:55
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-05-19,2012,140,70,shalehillsczo_2012_05_19_120109.jpg,106.05376,111.28206,73.20464,0.38302,0.36502,101.0398,4.31136,105.66943,5.01464,74.70141,2.41561,0.3753,0.00846,0.37813,0.38173,0.38281,0.35892,0.00726,0.36115,0.36534,0.36676,69.46365,NA,0,0,0,0,0.3722,0.37384,0.38021,0.38322,0.34547,0.34721,0.35315,0.35761,0.00355,0.00362,0.00369,0.0032,0.00759,0.0085,0.00839,0.00839,NA
2012-05-22,2012,143,79,shalehillsczo_2012_05_22_120110.jpg,107.05178,115.08457,75.96424,0.38606,0.35911,93.56432,7.76006,102.53649,8.5823,80.5494,6.79976,0.37017,0.01284,0.37311,0.37931,0.38289,0.338,0.01468,0.34015,0.34701,0.35315,70.0427,NA,0,0,0,0,0.37258,0.37454,0.38128,0.38466,0.34391,0.34559,0.35151,0.35585,0.00297,0.00294,0.0029,0.00252,0.00691,0.00774,0.00765,0.00765,NA
2012-05-25,2012,146,73,shalehillsczo_2012_05_25_120109.jpg,100.54936,110.56897,76.1575,0.38489,0.35001,92.10092,5.35117,101.59561,6.00079,81.64205,6.19323,0.3688,0.01085,0.36974,0.37753,0.38241,0.33452,0.01405,0.33599,0.34348,0.34809,70.56701,NA,0,0,0,0,0.37286,0.3751,0.38212,0.38581,0.34245,0.34407,0.34997,0.35421,0.00249,0.0024,0.00233,0.00202,0.00628,0.00703,0.00696,0.00696,NA
2012-05-28,2012,149,77,shalehillsczo_2012_05_28_120110.jpg,96.72792,109.92226,74.86986,0.39046,0.34359,90.84989,7.92436,99.59127,10.54864,79.62921,10.82035,0.36839,0.01837,0.36906,0.38424,0.39154,0.33695,0.01441,0.33615,0.34473,0.34687,71.03297,NA,0,0,0,0,0.37304,0.37552,0.38274,0.38666,0.34108,0.34266,0.34854,0.35268,0.00213,0.00204,0.00198,0.00171,0.0057,0.00639,0.00633,0.00633,NA
2012-05-31,2012,152,72,shalehillsczo_2012_05_31_120109.jpg,96.73312,109.20857,73.94359,0.39019,0.34562,93.15556,7.09695,103.12147,9.61837,77.41743,7.39916,0.37617,0.01476,0.38048,0.38729,0.39077,0.34057,0.01502,0.34396,0.34777,0.35317,71.31213,NA,0,0,0,0,0.37311,0.37579,0.38313,0.3872,0.33981,0.34135,0.34723,0.35127,0.00188,0.00183,0.00182,0.00158,0.00518,0.00581,0.00576,0.00576,NA
2012-06-03,2012,155,78,shalehillsczo_2012_06_03_120109.jpg,96.85965,107.53273,78.14041,0.3806,0.34283,94.61564,5.42228,104.92247,6.05794,79.58377,5.37714,0.37575,0.00907,0.37704,0.38195,0.38487,0.33897,0.0118,0.34021,0.34446,0.35026,71.79066,NA,0,0,0,0,0.37309,0.37594,0.38332,0.38746,0.33865,0.34014,0.34603,0.34998,0.00175,0.00175,0.0018,0.00157,0.00473,0.0053,0.00527,0.00526,NA
2012-06-06,2012,158,79,shalehillsczo_2012_06_06_120923.jpg,100.49657,111.92742,77.58262,0.38595,0.34653,97.7258,6.06015,107.53186,6.27991,79.20418,7.04696,0.37794,0.01354,0.38148,0.38792,0.39035,0.3435,0.01483,0.34653,0.35305,0.35559,72.09368,NA,0,0,0,0,0.37299,0.37596,0.38333,0.3875,0.33759,0.33904,0.34496,0.34882,0.0017,0.00176,0.00186,0.00161,0.00435,0.00487,0.00485,0.00484,NA
2012-06-09,2012,161,81,shalehillsczo_2012_06_09_120109.jpg,98.63965,110.86519,74.03627,0.391,0.34788,94.13044,4.53155,104.64299,5.32287,78.72774,5.05097,0.37693,0.01214,0.38148,0.38689,0.38948,0.33915,0.01203,0.33981,0.34675,0.35059,72.30364,NA,0,0,0,0,0.37281,0.37587,0.38319,0.38734,0.33663,0.33806,0.34401,0.34779,0.00172,0.00181,0.00193,0.00167,0.00404,0.00453,0.00451,0.0045,NA
2012-06-12,2012,164,80,shalehillsczo_2012_06_12_120123.jpg,81.34572,88.91437,83.66281,0.35016,0.32036,91.12722,4.97395,102.01065,5.90584,82.29908,8.27811,0.37035,0.01471,0.37208,0.38021,0.39002,0.33091,0.0133,0.33307,0.34155,0.34606,72.46708,NA,0,0,0,0,0.37254,0.37565,0.38281,0.38684,0.33579,0.33718,0.34319,0.34689,0.00176,0.00187,0.00195,0.00169,0.00381,0.00427,0.00425,0.00425,NA
2012-06-15,2012,167,80,shalehillsczo_2012_06_15_120107.jpg,113.78164,127.86878,84.65046,0.39187,0.3487,92.70193,5.83629,102.85308,6.27976,78.2178,4.40703,0.37549,0.01033,0.37804,0.38354,0.38602,0.33842,0.01052,0.34089,0.34564,0.34836,72.56663,NA,0,0,0,0,0.37217,0.37531,0.38214,0.38595,0.33505,0.33642,0.34249,0.34611,0.00181,0.0019,0.00196,0.0017,0.00366,0.00411,0.00408,0.00408,NA
2012-06-18,2012,170,56,shalehillsczo_2012_06_18_120109.jpg,89.63763,100.88297,83.90743,0.36761,0.32663,89.15162,6.89932,99.31037,7.04864,82.1196,7.17346,0.36682,0.01173,0.36709,0.37719,0.38031,0.32928,0.01399,0.32781,0.3424,0.34575,72.59831,NA,0,0,0,0,0.37172,0.37484,0.38131,0.38487,0.33441,0.33576,0.34191,0.34546,0.00185,0.00194,0.00201,0.00175,0.00359,0.00402,0.00399,0.00399,NA
2012-06-21,2012,173,81,shalehillsczo_2012_06_21_120109.jpg,91.48722,103.40799,80.7558,0.37514,0.3319,89.76478,3.84879,100.05134,4.42613,83.85958,6.90073,0.36564,0.01271,0.36943,0.37645,0.38021,0.32811,0.01231,0.32786,0.3346,0.34184,72.60211,NA,0,0,0,0,0.37122,0.37423,0.38045,0.38381,0.33387,0.33521,0.34144,0.34493,0.00188,0.00197,0.00206,0.00179,0.00358,0.00402,0.00397,0.00397,NA
2012-06-24,2012,176,79,shalehillsczo_2012_06_24_113921.jpg,94.9519,105.1421,75.44684,0.38158,0.3446,92.64717,5.27225,102.86727,5.48039,80.51605,9.0044,0.37282,0.0138,0.37695,0.38296,0.3854,0.33573,0.01305,0.33924,0.34376,0.34604,72.55647,NA,0,0,0,0,0.37051,0.37333,0.37949,0.38268,0.33343,0.33475,0.34108,0.3445,0.00189,0.00193,0.00199,0.00173,0.00363,0.00407,0.00402,0.00402,NA
2012-06-27,2012,179,75,shalehillsczo_2012_06_27_120108.jpg,96.93958,107.01457,74.90622,0.38376,0.34763,91.84979,5.49872,100.95607,6.63869,77.7442,5.24573,0.37297,0.01015,0.37546,0.38072,0.38337,0.33954,0.01214,0.34016,0.34373,0.34942,72.44824,NA,0,0,0,0,0.36957,0.37214,0.3784,0.38138,0.33309,0.3344,0.34081,0.34418,0.00192,0.00192,0.00193,0.00168,0.00373,0.00417,0.00411,0.00411,NA
