#
# 3-day product summary time series for shenandoah
#
# Site: shenandoah
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 38.6167
# Lon: -78.35
# Elev: 1037
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:56:14
# Update Date: 2016-06-13
# Update Time: 05:30:07
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:53:53
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2009-09-14,2009,257,15,shenandoah_2009_09_14_120200.jpg,76.49806,60.81963,32.9089,0.35729,0.44939,76.49806,0,60.81963,0,32.9089,0,0.35729,0,0.35729,0.35729,0.35729,0.44939,0,0.44939,0.44939,0.44939,54.5278,NA,0,0,0,0,0.35713,0.35685,0.35718,0.35731,0.45805,0.42624,0.46942,0.46905,0.00884,0.01073,0.00983,0.0084,0.02808,0.0197,0.03837,0.03377,NA
2009-09-17,2009,260,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35429,0.35416,0.35484,0.35502,0.45639,0.42609,0.46884,0.46892,0,0,0,0,0,0,0,0,1
2009-09-20,2009,263,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.35157,0.35158,0.35262,0.35284,0.45475,0.42595,0.46828,0.46881,0,0,0,0,0,0,0,0,1
2009-09-23,2009,266,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34899,0.34913,0.35051,0.35078,0.45314,0.4258,0.46772,0.4687,0,0,0,0,0,0,0,0,1
2009-09-26,2009,269,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34655,0.3468,0.34851,0.34883,0.45156,0.42565,0.46716,0.46858,0,0,0,0,0,0,0,0,1
2009-09-29,2009,272,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34423,0.34459,0.34662,0.347,0.45001,0.4255,0.46659,0.46845,0,0,0,0,0,0,0,0,1
2009-10-02,2009,275,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34204,0.34252,0.34484,0.34528,0.4485,0.42535,0.46599,0.46829,0,0,0,0,0,0,0,0,1
2009-10-05,2009,278,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33999,0.34057,0.34318,0.34367,0.44704,0.4252,0.46536,0.4681,0,0,0,0,0,0,0,0,1
2009-10-08,2009,281,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33808,0.33875,0.34163,0.34218,0.44563,0.42506,0.46468,0.46787,0,0,0,0,0,0,0,0,1
2009-10-11,2009,284,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.33631,0.33704,0.3402,0.3408,0.44426,0.42492,0.46395,0.46758,0,0,0,0,0,0,0,0,1
