#
# 3-day product summary time series for sherman
#
# Site: sherman
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 38.03661389
# Lon: -121.7540028
# Elev: -5
# UTC Offset: -8
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-06-02
# Creation Time: 13:51:13
# Update Date: 2016-06-13
# Update Time: 05:30:09
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:55:19
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2014-01-02,2014,2,51,sherman_2014_01_02_114500.jpg,119.83171,112.53012,86.46714,0.35295,0.37585,109.67066,14.62402,101.57269,13.74752,78.21861,11.58577,0.35098,0.00462,0.35177,0.35363,0.35518,0.37917,0.00867,0.37693,0.38261,0.39206,29.22198,NA,0,0,0,0,0.35083,0.3512,0.35309,0.35475,0.38153,0.37825,0.38554,0.3968,0.00469,0.00449,0.00403,0.00455,0.00437,0.00414,0.00463,0.00668,NA
2014-01-05,2014,5,51,sherman_2014_01_05_114500.jpg,123.26465,113.46545,89.33292,0.34799,0.37804,108.54188,12.40998,99.20088,11.50374,76.75968,9.86721,0.34868,0.00339,0.34842,0.35112,0.35281,0.38179,0.01063,0.37858,0.38493,0.39459,29.5637,NA,0,0,0,0,0.34989,0.35013,0.35254,0.3541,0.37975,0.37719,0.38351,0.39436,0.00293,0.00281,0.00244,0.00275,0.00296,0.00287,0.00321,0.00463,NA
2014-01-08,2014,8,51,sherman_2014_01_08_114500.jpg,112.83711,104.99533,78.20821,0.35467,0.38115,102.53545,15.87422,94.31951,14.05398,72.49745,11.02512,0.35007,0.00296,0.34992,0.35229,0.35399,0.38033,0.01342,0.37776,0.38646,0.40025,29.96987,NA,0,0,0,0,0.34874,0.34898,0.35157,0.35295,0.37842,0.37648,0.38201,0.39233,0.00264,0.00253,0.00253,0.00286,0.00236,0.00226,0.00252,0.00364,NA
2014-01-11,2014,11,50,sherman_2014_01_11_114500.jpg,107.96477,101.9025,79.96087,0.3516,0.37251,103.74923,14.2721,95.61413,13.45546,74.57268,11.07034,0.34898,0.00327,0.3494,0.35149,0.35242,0.37894,0.01085,0.37639,0.38218,0.39396,30.43899,NA,0,0,0,0,0.34744,0.34783,0.34998,0.3511,0.3776,0.37612,0.3811,0.39087,0.00283,0.00271,0.0025,0.00282,0.00235,0.00217,0.00243,0.0035,NA
2014-01-14,2014,14,51,sherman_2014_01_14_114500.jpg,123.31178,113.33896,91.46035,0.34543,0.37582,114.18575,12.95842,105.02671,12.85658,84.97212,12.53921,0.34529,0.00282,0.34597,0.34681,0.34769,0.37609,0.01226,0.37427,0.37811,0.39244,30.96931,NA,0,0,0,0,0.34611,0.34672,0.34818,0.34908,0.37729,0.37609,0.38076,0.39003,0.00295,0.00282,0.00267,0.00301,0.0025,0.0023,0.00256,0.0037,NA
2014-01-17,2014,17,51,sherman_2014_01_17_114500.jpg,126.67938,117.24849,92.51104,0.3485,0.37653,117.49335,13.55659,108.29136,13.27283,88.74092,13.31431,0.3444,0.00376,0.34552,0.34695,0.34787,0.37417,0.00943,0.37492,0.37806,0.38049,31.55894,NA,0,0,0,0,0.34448,0.34534,0.3462,0.34715,0.37737,0.37635,0.38091,0.38966,0.00295,0.00282,0.00267,0.00301,0.00257,0.00238,0.00266,0.00384,NA
2014-01-20,2014,20,52,sherman_2014_01_20_114500.jpg,124.59948,113.61338,93.18774,0.34283,0.37598,115.34098,14.06066,104.57646,13.33896,84.95565,11.59732,0.34295,0.00278,0.34334,0.34474,0.34594,0.37871,0.00806,0.37714,0.38261,0.3874,32.20582,NA,0,0,0,0,0.34402,0.34484,0.34602,0.34698,0.37862,0.37737,0.3823,0.39055,0.00273,0.00261,0.00239,0.00269,0.00253,0.00235,0.00263,0.00379,NA
2014-01-23,2014,23,53,sherman_2014_01_23_114500.jpg,128.69283,117.1368,93.24597,0.34546,0.37954,113.38068,17.39065,102.5139,15.42472,81.7212,13.56059,0.34444,0.00377,0.34574,0.34738,0.34865,0.38095,0.01659,0.37814,0.3824,0.39442,32.90769,NA,0,0,0,0,0.34409,0.34476,0.34652,0.34761,0.38036,0.37857,0.38413,0.39202,0.00295,0.00282,0.00267,0.00301,0.00273,0.00246,0.00274,0.00396,NA
2014-01-26,2014,26,54,sherman_2014_01_26_114500.jpg,123.14711,111.91397,87.46624,0.34699,0.38182,108.99468,15.78433,98.0654,13.95415,77.14687,11.13098,0.34494,0.00274,0.3451,0.34708,0.3482,0.38329,0.01233,0.38103,0.38754,0.39547,33.66208,NA,0,0,0,0,0.34422,0.34467,0.34711,0.34868,0.38345,0.38085,0.38781,0.39651,0.00295,0.00282,0.00267,0.00301,0.00273,0.00246,0.00274,0.00396,NA
2014-01-29,2014,29,55,sherman_2014_01_29_114500.jpg,80.54941,73.74855,56.32089,0.35015,0.38244,99.65646,13.86437,90.15651,11.1812,70.37181,8.25236,0.34643,0.00296,0.34677,0.34794,0.34983,0.38244,0.0142,0.37913,0.38636,0.39483,34.46621,NA,0,0,0,0,0.34364,0.3439,0.34692,0.34898,0.38546,0.38186,0.38989,0.39915,0.00273,0.00261,0.00267,0.00301,0.00258,0.00235,0.00263,0.00379,NA
2014-02-01,2014,32,57,sherman_2014_02_01_114500.jpg,123.41878,113.43799,92.29371,0.34464,0.37496,104.23479,15.70471,92.37507,15.80617,71.6416,15.40976,0.3444,0.00532,0.34409,0.34758,0.35139,0.3903,0.01986,0.38576,0.39849,0.40809,35.3172,NA,0,0,0,0,0.34534,0.34554,0.34694,0.34918,0.38571,0.38162,0.39048,0.40018,0.00295,0.00282,0.00267,0.00301,0.00273,0.00246,0.00274,0.00396,NA
