#
# 3-day product summary time series for shiningrock
#
# Site: shiningrock
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 35.390159
# Lon: -82.774967
# Elev: 1500
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:56:41
# Update Date: 2016-01-25
# Update Time: 14:56:42
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:55:32
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2000-08-08,2000,221,2,shiningrock_2000_08_09_120000.jpg,67.41912,93.35188,31.80188,0.48476,0.3501,72.48552,5.06639,97.83767,4.4858,33.78775,1.98587,0.47963,0.00514,0.47963,0.48219,0.48373,0.35486,0.00476,0.35486,0.35724,0.35867,68.61604,NA,0,0,0,0,0.48378,0.47937,0.48742,0.49646,0.33417,0.33468,0.34324,0.34902,0.00596,0.00621,0.00769,0.00883,0.01304,0.01311,0.01204,0.01265,NA
2000-08-11,2000,224,4,shiningrock_2000_08_11_150000.jpg,79.98248,105.33645,40.13273,0.46722,0.35477,67.35267,12.34954,92.10069,13.13461,31.71559,6.96915,0.48416,0.01437,0.48351,0.49583,0.49977,0.35142,0.00608,0.35056,0.356,0.35821,67.81945,NA,0,0,0,0,0.4839,0.48147,0.48974,0.49723,0.33958,0.33995,0.34855,0.35436,0.00488,0.00484,0.00618,0.00733,0.0119,0.01197,0.01099,0.01152,NA
2000-08-14,2000,227,9,shiningrock_2000_08_14_120000.jpg,99.78217,129.56876,39.23245,0.48242,0.37151,89.79682,17.17252,115.81603,19.0835,36.20407,5.32911,0.4796,0.00768,0.4793,0.48323,0.48671,0.36938,0.0131,0.3723,0.3815,0.38198,67.54642,NA,0,0,0,0,0.48337,0.4827,0.49105,0.49718,0.34478,0.34502,0.35366,0.35951,0.00402,0.00386,0.00504,0.00612,0.01085,0.01091,0.01002,0.01048,NA
2000-08-17,2000,230,9,shiningrock_2000_08_17_120000.jpg,35.26118,56.64859,18.81083,0.51164,0.31847,75.71231,21.63454,100.14699,22.68418,29.6686,6.01833,0.48992,0.01533,0.48604,0.49294,0.51335,0.3631,0.02368,0.36764,0.38535,0.38706,66.70532,NA,0,0,0,0,0.48217,0.48305,0.49132,0.4963,0.34977,0.34991,0.35859,0.36447,0.00341,0.00329,0.00427,0.00522,0.0099,0.00994,0.00913,0.00954,NA
2000-08-20,2000,233,9,shiningrock_2000_08_20_120000.jpg,49.88949,68.01045,35.4286,0.44356,0.32538,48.56324,14.14341,68.01188,16.29469,26.41404,5.88128,0.47641,0.01754,0.47671,0.49408,0.49559,0.33667,0.01577,0.33277,0.3479,0.35696,65.83201,NA,0,0,0,0,0.4804,0.48253,0.49068,0.49476,0.35456,0.35462,0.36332,0.36925,0.00305,0.00307,0.00385,0.00462,0.00904,0.00908,0.00834,0.00871,NA
2000-08-23,2000,236,7,shiningrock_2000_08_23_120000.jpg,61.78242,85.88202,26.76278,0.49237,0.3542,62.09337,17.50327,84.00778,17.47522,29.24362,7.46256,0.48042,0.02105,0.48564,0.49499,0.49977,0.35003,0.02727,0.3542,0.35954,0.37542,64.92759,NA,0,0,0,0,0.47809,0.48115,0.48919,0.49257,0.35915,0.35914,0.36786,0.37386,0.00289,0.0031,0.00374,0.00432,0.00829,0.00832,0.00764,0.00798,NA
2000-08-26,2000,239,9,shiningrock_2000_08_26_120000.jpg,97.11525,123.42995,39.38431,0.47486,0.37362,79.63901,18.73072,102.22111,20.63957,32.27892,5.58696,0.47777,0.00713,0.47539,0.48252,0.48509,0.36934,0.01569,0.36482,0.37362,0.39263,63.99343,NA,0,0,0,0,0.47516,0.47889,0.4867,0.48964,0.36353,0.36347,0.37222,0.37831,0.00289,0.0032,0.0038,0.00423,0.00764,0.00767,0.00705,0.00736,NA
2000-08-29,2000,242,9,shiningrock_2000_08_29_120000.jpg,92.74112,117.73023,37.49119,0.47479,0.37401,75.77236,19.25552,97.72849,21.55995,31.23984,7.33522,0.479,0.0093,0.47777,0.48885,0.49154,0.36747,0.01466,0.37,0.37401,0.38582,63.03123,NA,0,0,0,0,0.47161,0.47574,0.48325,0.48599,0.3677,0.36761,0.37638,0.38256,0.00295,0.0033,0.00391,0.00428,0.00711,0.00714,0.00656,0.00685,NA
2000-09-01,2000,245,8,shiningrock_2000_09_01_120000.jpg,65.99761,88.05514,26.4762,0.48776,0.36558,54.07556,12.0198,73.24484,14.13216,28.44899,4.97781,0.47025,0.01592,0.47131,0.48051,0.48951,0.34527,0.01311,0.34043,0.35167,0.36616,62.04299,NA,0,0,0,0,0.46763,0.47178,0.47912,0.48186,0.37167,0.37157,0.38035,0.38662,0.00304,0.00337,0.00403,0.0044,0.0067,0.00672,0.00618,0.00645,NA
2000-09-04,2000,248,9,shiningrock_2000_09_04_120000.jpg,39.15779,56.99912,20.41517,0.48896,0.33591,50.02647,11.80468,68.23622,11.09401,32.65873,13.45953,0.4605,0.03638,0.47582,0.48744,0.4945,0.3318,0.00749,0.33532,0.33591,0.33854,61.03079,NA,0,0,0,0,0.46298,0.46659,0.47382,0.47696,0.37544,0.37534,0.38412,0.39048,0.00311,0.00335,0.00409,0.00451,0.00639,0.00642,0.0059,0.00617,NA
