#
# 3-day product summary time series for silaslittle
#
# Site: silaslittle
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 39.9138
# Lon: -74.596
# Elev: 31
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:58:10
# Update Date: 2016-06-13
# Update Time: 05:30:23
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:58:56
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-05-01,2012,122,37,silaslittle_2012_05_01_120105.jpg,43.40153,49.19968,12.49473,0.46814,0.41297,51.28734,13.8364,54.59095,8.29031,17.36385,3.09259,0.44635,0.02213,0.45173,0.45981,0.46854,0.41144,0.03326,0.40396,0.42816,0.4589,65.70365,NA,0,0,0,0,0.44514,0.44963,0.45806,0.4659,0.41497,0.41669,0.43267,0.44353,0.01791,0.01981,0.01891,0.01733,0.02988,0.032,0.03025,0.0317,NA
2012-05-04,2012,125,66,silaslittle_2012_05_04_120110.jpg,51.80447,59.82889,16.07032,0.4685,0.40566,50.11801,12.88236,56.47861,8.87395,16.06153,4.22345,0.46359,0.02228,0.46784,0.478,0.49377,0.40551,0.02947,0.40924,0.42291,0.44283,66.39358,NA,0,0,0,0,0.4664,0.47101,0.47975,0.49009,0.4009,0.40159,0.41688,0.43077,0.01376,0.01523,0.01454,0.01298,0.02478,0.02654,0.02509,0.02679,NA
2012-05-07,2012,128,64,silaslittle_2012_05_07_120105.jpg,54.34306,62.43799,16.63285,0.468,0.40733,50.70264,10.83,58.76892,7.24663,14.96599,3.53699,0.47477,0.02016,0.47919,0.48646,0.50124,0.4046,0.02896,0.40658,0.42118,0.43621,67.38045,NA,0,0,0,0,0.48447,0.48929,0.49836,0.51054,0.3881,0.38775,0.40251,0.41925,0.01088,0.01203,0.01149,0.01017,0.02067,0.02214,0.02093,0.0227,NA
2012-05-10,2012,131,39,silaslittle_2012_05_10_120106.jpg,59.77591,69.60216,16.4796,0.47719,0.40982,49.00356,12.15852,57.94911,7.18692,15.68459,3.66805,0.47579,0.03461,0.48435,0.49687,0.50569,0.39512,0.04489,0.39243,0.41224,0.44047,67.90267,NA,0,0,0,0,0.49921,0.50432,0.51378,0.52757,0.37665,0.37523,0.38966,0.40916,0.00932,0.01031,0.00984,0.0089,0.01761,0.01886,0.01783,0.01949,NA
2012-05-13,2012,134,14,silaslittle_2012_05_14_093104.jpg,41.13285,62.91063,12.48158,0.53989,0.353,42.26389,6.89295,64.1568,5.88602,13.13741,1.83802,0.53758,0.01071,0.53615,0.54411,0.55236,0.35175,0.024,0.3577,0.36398,0.37266,68.88868,NA,0,0,0,0,0.51042,0.51596,0.52586,0.54085,0.36654,0.36404,0.37832,0.40044,0.00884,0.00978,0.00934,0.00875,0.01561,0.01671,0.0158,0.0172,NA
2012-05-16,2012,137,57,silaslittle_2012_05_16_120105.jpg,34.40453,59.592,10.50767,0.57024,0.32922,41.00405,7.33675,63.98058,9.13735,13.12186,2.25154,0.54196,0.03386,0.54879,0.55873,0.56592,0.34653,0.03796,0.3414,0.35122,0.37333,69.57392,NA,0,0,0,0,0.51842,0.52447,0.53486,0.55089,0.35765,0.35407,0.36835,0.39281,0.00897,0.00992,0.00947,0.00911,0.01456,0.01559,0.01474,0.01581,NA
2012-05-19,2012,140,74,silaslittle_2012_05_19_120106.jpg,54.33984,84.24072,17.96241,0.53813,0.34712,45.34589,10.49319,68.62246,10.40864,16.15963,3.07489,0.52929,0.05497,0.54218,0.55103,0.57576,0.34586,0.04879,0.34019,0.34702,0.36816,70.21018,NA,0,0,0,0,0.52379,0.5304,0.54127,0.55759,0.34986,0.34523,0.3596,0.38613,0.00931,0.0103,0.00983,0.00943,0.01428,0.01529,0.01445,0.01521,NA
2012-05-22,2012,143,44,silaslittle_2012_05_22_113104.jpg,34.10363,62.83778,10.44895,0.58513,0.31757,34.73233,6.1468,62.73792,5.24019,14.76051,3.09036,0.56019,0.01966,0.56188,0.57293,0.58141,0.30794,0.02464,0.30663,0.31657,0.33324,70.79666,NA,0,0,0,0,0.52711,0.53427,0.54558,0.56126,0.34305,0.33744,0.35197,0.38026,0.00963,0.01065,0.01017,0.00963,0.0145,0.01552,0.01468,0.0152,NA
2012-05-25,2012,146,20,silaslittle_2012_05_25_093104.jpg,37.52807,61.13071,15.75313,0.5343,0.32801,37.20897,5.74036,63.7236,6.54112,15.7779,2.66375,0.54644,0.01068,0.54506,0.55506,0.56117,0.31753,0.02162,0.32339,0.33013,0.33859,71.33069,NA,0,0,0,0,0.52619,0.53393,0.54575,0.55967,0.33747,0.33085,0.34571,0.37552,0.00956,0.01057,0.01009,0.00959,0.01488,0.01593,0.01506,0.01552,NA
2012-05-28,2012,149,53,silaslittle_2012_05_28_113104.jpg,40.20986,69.09866,19.59228,0.53606,0.31194,43.12308,8.88462,63.74725,8.63617,19.21879,3.07045,0.50667,0.04438,0.5189,0.53316,0.54023,0.34032,0.04819,0.33481,0.35077,0.36001,71.81015,NA,0,0,0,0,0.52053,0.52893,0.54132,0.55563,0.33322,0.32554,0.34094,0.37204,0.00942,0.01042,0.00995,0.00993,0.01522,0.0163,0.01541,0.01594,NA
