#
# 3-day product summary time series for silverton
#
# Site: silverton
# Veg Type: AG
# ROI ID Number: 0001
# Lat: 44.9986
# Lon: -122.6948
# Elev: None
# UTC Offset: -8
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:58:26
# Update Date: 2016-06-13
# Update Time: 05:30:29
# Final Processing Date: 2016-06-13
# Final Processing Time: 19:59:44
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2013-07-22,2013,203,45,silverton_2013_07_22_120108.jpg,90.05461,82.32302,35.78166,0.39548,0.43262,90.96208,3.38475,81.17051,3.45417,35.48404,3.25983,0.39105,0.01025,0.39473,0.39731,0.39958,0.43833,0.01179,0.43531,0.44274,0.44448,64.95082,NA,0,0,0,0,0.40078,0.40317,0.40362,0.40658,0.42024,0.41791,0.42672,0.43562,0.00882,0.009,0.00914,0.00922,0.0183,0.02002,0.01728,0.01633,NA
2013-07-25,2013,206,84,silverton_2013_07_25_120109.jpg,91.84959,81.71448,35.78649,0.39032,0.43874,92.59923,2.47978,81.82523,3.42214,37.22563,3.30807,0.38661,0.00862,0.38854,0.39254,0.39496,0.43778,0.01124,0.43748,0.4413,0.44524,64.53685,NA,0,0,0,0,0.38983,0.39182,0.39431,0.39728,0.43455,0.43277,0.44115,0.44866,0.00687,0.00701,0.00683,0.00689,0.01497,0.01661,0.01401,0.013,NA
2013-07-28,2013,209,83,silverton_2013_07_28_120109.jpg,92.45352,79.14167,36.4646,0.38038,0.44436,92.38916,5.00543,78.87128,5.29983,35.53818,5.35752,0.38156,0.00805,0.38164,0.38568,0.38986,0.44747,0.01555,0.44552,0.4582,0.46904,63.8717,NA,0,0,0,0,0.37948,0.38113,0.3852,0.38811,0.44777,0.44629,0.45463,0.46105,0.00548,0.00559,0.00535,0.00539,0.01235,0.01387,0.01149,0.01052,NA
2013-07-31,2013,212,83,silverton_2013_07_31_120108.jpg,73.01354,57.30415,19.96929,0.3813,0.48583,85.14345,8.6417,69.45364,6.85785,29.07069,5.83444,0.3785,0.00835,0.37976,0.38392,0.38625,0.46415,0.02032,0.45906,0.47574,0.48788,63.16012,NA,0,0,0,0,0.36975,0.3711,0.37625,0.37905,0.45989,0.45845,0.46714,0.4728,0.00466,0.00476,0.00468,0.00472,0.01048,0.01183,0.00974,0.00891,NA
2013-08-03,2013,215,78,silverton_2013_08_03_120109.jpg,91.15988,73.31027,32.86894,0.37149,0.46195,90.55587,5.74599,73.41146,4.45132,32.36671,3.80487,0.37413,0.00691,0.37401,0.37932,0.3832,0.46144,0.00967,0.46238,0.46655,0.46902,62.39968,NA,0,0,0,0,0.36085,0.36192,0.3677,0.37035,0.47055,0.46909,0.47828,0.48351,0.00436,0.00444,0.0046,0.00463,0.00935,0.01048,0.00874,0.00812,NA
2013-08-06,2013,218,78,silverton_2013_08_06_120110.jpg,96.37722,76.47643,35.43997,0.36716,0.4627,97.65254,7.12105,77.51327,5.623,38.14992,4.85731,0.36358,0.00773,0.36569,0.36921,0.37286,0.45805,0.00954,0.45782,0.46253,0.46981,61.59497,NA,0,0,0,0,0.35291,0.35374,0.35977,0.36227,0.47966,0.47818,0.4879,0.49295,0.00439,0.00448,0.00479,0.00483,0.00889,0.00979,0.00839,0.00798,NA
2013-08-09,2013,221,78,silverton_2013_08_09_120112.jpg,96.22216,73.32942,42.4919,0.34582,0.45379,105.04128,9.50279,77.04401,8.23887,42.69476,6.19601,0.34262,0.00572,0.34293,0.34729,0.34994,0.46814,0.01631,0.46624,0.4799,0.48669,60.74792,NA,0,0,0,0,0.34561,0.34625,0.35182,0.35411,0.48739,0.48569,0.49629,0.50151,0.00454,0.00463,0.00496,0.005,0.00886,0.0096,0.00844,0.00816,NA
2013-08-12,2013,224,78,silverton_2013_08_12_120111.jpg,102.52738,67.2183,33.86323,0.33013,0.50355,103.75788,9.56591,69.89334,6.42675,37.78484,4.42493,0.3306,0.00409,0.33044,0.33321,0.33503,0.49085,0.01219,0.49177,0.49788,0.50225,59.87949,NA,0,0,0,0,0.33899,0.33947,0.3439,0.3459,0.49371,0.49164,0.50339,0.50916,0.00468,0.00477,0.0051,0.00515,0.00906,0.0097,0.00865,0.00841,NA
2013-08-15,2013,227,78,silverton_2013_08_15_120110.jpg,111.64452,82.78769,48.05877,0.34141,0.46041,109.28469,12.31135,77.0989,8.05939,42.06188,6.62467,0.33736,0.00578,0.33855,0.34212,0.34318,0.4783,0.03038,0.47939,0.49536,0.50532,58.97724,NA,0,0,0,0,0.33367,0.33402,0.33723,0.33902,0.49822,0.49601,0.5086,0.51502,0.00478,0.00488,0.00523,0.00527,0.00934,0.00997,0.00893,0.00865,NA
2013-08-18,2013,230,78,silverton_2013_08_18_120110.jpg,128.07442,88.16713,50.88,0.33006,0.47946,120.34177,12.01602,82.37385,8.74843,46.84363,6.46946,0.33005,0.00387,0.32985,0.3321,0.33283,0.48265,0.01523,0.4806,0.48927,0.50373,58.04328,NA,0,0,0,0,0.32838,0.3286,0.33109,0.33273,0.50152,0.49883,0.51292,0.52101,0.00475,0.00485,0.005,0.00504,0.00956,0.01023,0.00911,0.00876,NA
