#
# 3-day product summary time series for smokylook
#
# Site: smokylook
# Veg Type: DB
# ROI ID Number: 0002
# Lat: 35.632529
# Lon: -83.943113
# Elev: 801
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-05-24
# Creation Time: 15:10:04
# Update Date: 2016-06-13
# Update Time: 05:30:45
# Final Processing Date: 2016-06-13
# Final Processing Time: 20:02:10
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2002-07-04,2002,185,3,smokylook_2002_07_04_140000.jpg,88.19406,92.59902,66.17809,0.37494,0.3571,85.4087,1.96979,90.06407,1.79327,62.19649,3.51634,0.37906,0.00444,0.37701,0.38112,0.38359,0.35944,0.00365,0.3571,0.36085,0.36309,68.497,NA,0,0,0,0,0.37645,0.37652,0.3784,0.38056,0.35613,0.35501,0.36019,0.36329,0.00928,0.00835,0.00718,0.00694,0.01636,0.01852,0.0163,0.0161,NA
2002-07-07,2002,188,3,smokylook_2002_07_07_140000.jpg,50.38763,56.99055,45.46688,0.37286,0.32966,69.88892,15.58905,75.76444,14.70428,57.11185,10.11449,0.37393,0.00431,0.37286,0.37626,0.3783,0.34286,0.00955,0.34694,0.34945,0.35096,68.40488,NA,0,0,0,0,0.37781,0.37781,0.38076,0.38302,0.35703,0.35588,0.36122,0.36442,0.00763,0.00687,0.00538,0.0052,0.01407,0.01593,0.01402,0.01385,NA
2002-07-10,2002,191,3,smokylook_2002_07_10_140000.jpg,78.58953,82.94498,57.30004,0.37903,0.35913,86.63694,8.83706,90.35136,7.88337,60.785,2.4946,0.37975,0.00382,0.37903,0.38189,0.38361,0.36374,0.00868,0.35913,0.36751,0.37254,68.26094,NA,0,0,0,0,0.37896,0.37888,0.38268,0.38499,0.35789,0.35672,0.36219,0.36547,0.00633,0.00569,0.00422,0.00408,0.01211,0.01371,0.01207,0.01192,NA
2002-07-13,2002,194,3,smokylook_2002_07_13_140000.jpg,128.40396,127.59855,111.55527,0.34715,0.34934,89.18903,28.17867,91.29938,26.16353,68.19105,30.68059,0.37317,0.01885,0.38115,0.38618,0.3892,0.36129,0.00977,0.36124,0.36726,0.37087,68.06294,NA,0,0,0,0,0.37989,0.37973,0.38417,0.38649,0.3587,0.35753,0.3631,0.36644,0.00538,0.00484,0.00369,0.00357,0.01051,0.01189,0.01047,0.01034,NA
2002-07-16,2002,197,3,smokylook_2002_07_16_140000.jpg,93.39921,97.76029,64.66623,0.38214,0.36509,89.85253,2.86518,93.79614,3.11392,61.40176,2.55207,0.38276,0.00305,0.38214,0.38445,0.38584,0.36668,0.00344,0.36509,0.36827,0.37018,67.80885,NA,0,0,0,0,0.38061,0.38037,0.38521,0.38749,0.35948,0.3583,0.36396,0.36735,0.00478,0.0043,0.00363,0.00351,0.00927,0.0105,0.00924,0.00913,NA
2002-07-19,2002,200,3,smokylook_2002_07_19_140000.jpg,38.21285,41.0896,27.81107,0.38361,0.35675,67.48456,21.36894,70.72168,21.45779,45.71471,12.71098,0.38415,0.00561,0.38361,0.38744,0.38974,0.3648,0.0109,0.35744,0.36882,0.37565,67.49722,NA,0,0,0,0,0.38113,0.38083,0.38581,0.388,0.36021,0.35904,0.36475,0.36817,0.00449,0.00404,0.00376,0.00363,0.00842,0.00952,0.00838,0.00828,NA
2002-07-22,2002,203,3,smokylook_2002_07_22_133000.jpg,78.19478,82.34585,55.11073,0.38185,0.3626,66.02654,15.17277,70.67829,14.58324,45.88601,7.99126,0.38689,0.00542,0.38441,0.38941,0.39241,0.35932,0.01271,0.3626,0.36779,0.3709,71.34175,NA,0,0,0,0,0.38148,0.38112,0.38605,0.38814,0.3609,0.35975,0.36548,0.36892,0.00445,0.004,0.00392,0.00379,0.0079,0.00894,0.00787,0.00778,NA
2002-07-25,2002,206,3,smokylook_2002_07_25_140000.jpg,74.18035,77.69156,51.88735,0.38129,0.36406,77.18057,2.22931,81.03049,2.5913,53.9713,3.44723,0.38196,0.0037,0.38129,0.38404,0.38569,0.36387,0.00502,0.36406,0.36699,0.36875,66.69915,NA,0,0,0,0,0.38165,0.38124,0.38575,0.38767,0.36155,0.36043,0.36615,0.36959,0.00453,0.00408,0.004,0.00387,0.00766,0.00867,0.00763,0.00754,NA
2002-07-28,2002,209,3,smokylook_2002_07_28_140000.jpg,54.67227,58.4898,35.60637,0.39316,0.3675,42.75424,8.55933,47.41782,8.14379,33.40054,2.61292,0.38263,0.00745,0.37781,0.38548,0.39009,0.34375,0.01725,0.33672,0.35211,0.36134,66.21303,NA,0,0,0,0,0.38164,0.38116,0.38506,0.3868,0.36215,0.36108,0.36676,0.37017,0.00465,0.00418,0.00412,0.00398,0.00762,0.00863,0.00759,0.0075,NA
2002-07-31,2002,212,3,smokylook_2002_07_31_140000.jpg,68.39641,70.86087,44.17742,0.3863,0.37287,67.89408,7.82771,71.49212,7.56221,46.1049,3.32334,0.38517,0.00265,0.3863,0.387,0.38743,0.36545,0.00815,0.36938,0.37112,0.37217,65.66968,NA,0,0,0,0,0.38145,0.38092,0.38364,0.38517,0.36272,0.36169,0.36731,0.37068,0.00476,0.00428,0.00401,0.00387,0.0077,0.00872,0.00767,0.00758,NA
