#
# 3-day product summary time series for smokypurchase
#
# Site: smokypurchase
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 35.59
# Lon: -83.0775
# Elev: 1550
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:59:18
# Update Date: 2016-01-25
# Update Time: 14:59:19
# Final Processing Date: 2016-06-13
# Final Processing Time: 20:06:56
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2003-08-21,2003,233,3,smokypurchase_2003_08_21_140000.jpg,62.8299,74.13858,51.60544,0.39315,0.33318,63.02994,10.73921,74.3056,10.86063,58.66383,7.00499,0.3787,0.01141,0.37767,0.38541,0.39005,0.32019,0.01521,0.32854,0.33086,0.33226,59.70475,NA,0,0,0,0,0.37818,0.37911,0.38487,0.38802,0.30741,0.31188,0.3147,0.31623,0.00939,0.00949,0.00893,0.00878,0.01216,0.0129,0.01279,0.01261,NA
2003-08-24,2003,236,3,smokypurchase_2003_08_24_140000.jpg,92.09758,103.39392,81.48469,0.3733,0.33251,69.83207,21.62856,82.68177,21.3457,61.08509,16.68744,0.38934,0.01136,0.39647,0.39736,0.39789,0.32304,0.01527,0.33251,0.33381,0.33458,59.08379,NA,0,0,0,0,0.38079,0.3818,0.38673,0.38944,0.31272,0.31688,0.31938,0.32095,0.00755,0.00763,0.00742,0.00734,0.01104,0.01172,0.01119,0.01102,NA
2003-08-27,2003,239,2,smokypurchase_2003_08_27_140000.jpg,36.51348,45.50553,43.68494,0.36201,0.29047,62.49542,25.98194,73.42557,27.92004,64.3386,20.65366,0.3654,0.00338,0.3654,0.36709,0.3681,0.30621,0.01574,0.30621,0.31408,0.3188,57.79323,NA,0,0,0,0,0.38292,0.38402,0.38809,0.39041,0.3178,0.32168,0.32391,0.32551,0.00615,0.00622,0.00618,0.00616,0.01002,0.01063,0.00978,0.00964,NA
2003-08-30,2003,242,2,smokypurchase_2003_08_30_140000.jpg,37.80544,45.40566,25.27486,0.41854,0.34848,46.45681,8.65137,55.09532,9.68966,32.26852,6.99366,0.4128,0.00574,0.4128,0.41567,0.41739,0.34737,0.00111,0.34737,0.34793,0.34826,57.12549,NA,0,0,0,0,0.38457,0.38577,0.38893,0.39089,0.32267,0.32626,0.32835,0.32999,0.00521,0.00527,0.00527,0.00526,0.00909,0.00965,0.00859,0.00847,NA
2003-09-02,2003,245,3,smokypurchase_2003_09_02_140000.jpg,71.61395,82.97707,56.14692,0.39375,0.33982,61.48344,14.70794,71.8826,16.37405,49.92752,10.45245,0.39202,0.00122,0.39128,0.39252,0.39326,0.33421,0.00566,0.33634,0.33808,0.33913,56.0985,NA,0,0,0,0,0.38565,0.38692,0.38925,0.39088,0.3273,0.33063,0.33275,0.33442,0.00471,0.00476,0.00467,0.00465,0.00827,0.00877,0.00764,0.00753,NA
2003-09-05,2003,248,2,smokypurchase_2003_09_04_140000.jpg,168.56325,167.73201,175.4264,0.32778,0.3294,105.08858,63.47468,109.17227,58.55974,112.02426,63.40214,0.34356,0.01578,0.34356,0.35145,0.35618,0.31243,0.01698,0.31243,0.32092,0.32601,55.04411,NA,0,0,0,0,0.38613,0.38747,0.38899,0.39032,0.3317,0.33478,0.33709,0.33881,0.00457,0.00462,0.00436,0.00431,0.00755,0.00802,0.00691,0.00681,NA
2003-09-08,2003,251,1,smokypurchase_2003_09_09_140000.jpg,33.44812,40.67126,32.92489,0.37995,0.31247,33.44812,0,40.67126,0,32.92489,0,0.37995,0,0.37995,0.37995,0.37995,0.31247,0,0.31247,0.31247,0.31247,53.23573,NA,0,0,0,0,0.38603,0.38742,0.38816,0.38923,0.33587,0.33871,0.34131,0.34306,0.00462,0.00468,0.00426,0.00419,0.00696,0.00738,0.00641,0.00632,NA
2003-09-11,2003,254,2,smokypurchase_2003_09_10_140000.jpg,62.02608,73.94644,49.21059,0.39932,0.33494,72.90189,10.87581,84.83404,10.8876,57.63679,8.42619,0.39456,0.00476,0.39456,0.39694,0.39837,0.33806,0.00311,0.33806,0.33961,0.34054,52.8676,NA,0,0,0,0,0.3853,0.38671,0.38682,0.38768,0.33981,0.34243,0.34535,0.34714,0.00478,0.00484,0.00431,0.00421,0.00648,0.00687,0.00612,0.00603,NA
2003-09-14,2003,257,3,smokypurchase_2003_09_14_140000.jpg,43.71998,51.6739,38.71364,0.38532,0.32601,55.50132,22.02527,63.27377,21.24332,52.85004,20.27632,0.37273,0.01196,0.37622,0.38077,0.3835,0.32032,0.01171,0.32601,0.32848,0.32996,51.75267,NA,0,0,0,0,0.38397,0.38539,0.38502,0.38573,0.34351,0.34592,0.3492,0.35102,0.00491,0.00497,0.00442,0.0043,0.00611,0.00649,0.006,0.00591,NA
2003-09-17,2003,260,2,smokypurchase_2003_09_17_140000.jpg,69.77762,78.99448,49.027,0.39937,0.35277,61.35357,8.42405,69.87788,9.1166,42.73835,6.28865,0.40204,0.00267,0.40204,0.40337,0.40417,0.35265,0.00012,0.35265,0.35271,0.35275,50.24631,NA,0,0,0,0,0.38203,0.38343,0.38283,0.38343,0.34697,0.34919,0.35281,0.35466,0.005,0.00506,0.00456,0.00443,0.00586,0.00621,0.00601,0.00592,NA
