#
# 3-day product summary time series for smokypurchase
#
# Site: smokypurchase
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 35.59
# Lon: -83.0775
# Elev: 1550
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:59:35
# Update Date: 2016-01-25
# Update Time: 14:59:36
# Final Processing Date: 2016-06-13
# Final Processing Time: 20:10:13
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2003-08-21,2003,233,3,smokypurchase_2003_08_21_140000.jpg,159.89565,146.83586,108.75256,0.35341,0.38484,141.03544,27.15768,130.96108,23.79095,98.25558,17.11162,0.35387,0.00089,0.35341,0.35426,0.35478,0.38018,0.00431,0.38126,0.38305,0.38413,59.70475,NA,0,0,0,0,0.358,0.3583,0.36028,0.36147,0.38388,0.38539,0.38717,0.38943,0.00625,0.00629,0.0064,0.00653,0.00896,0.00907,0.00862,0.00839,NA
2003-08-24,2003,236,3,smokypurchase_2003_08_24_140000.jpg,170.78735,158.47072,119.23672,0.35334,0.3808,156.44164,28.84867,147.32305,25.28948,110.62119,18.76904,0.35585,0.00223,0.35545,0.3571,0.35809,0.37685,0.00415,0.37864,0.37972,0.38037,59.08379,NA,0,0,0,0,0.35742,0.35772,0.3596,0.36074,0.38338,0.38491,0.38672,0.38891,0.00551,0.0056,0.0057,0.00581,0.00867,0.00877,0.00834,0.00814,NA
2003-08-27,2003,239,3,smokypurchase_2003_08_27_140000.jpg,78.38507,75.17674,55.49347,0.3596,0.37495,94.84103,52.26734,90.46799,47.35452,68.81135,34.65347,0.35667,0.00222,0.35617,0.35789,0.35891,0.36729,0.01395,0.37495,0.37708,0.37836,58.12167,NA,0,0,0,0,0.35683,0.35713,0.35892,0.36,0.38289,0.38444,0.38627,0.38841,0.00486,0.00499,0.00507,0.00517,0.00838,0.00848,0.00807,0.00789,NA
2003-08-30,2003,242,3,smokypurchase_2003_08_30_140000.jpg,127.0062,117.32895,82.41619,0.35908,0.38869,119.60468,29.42318,111.18257,26.01229,77.98436,20.58208,0.36138,0.00533,0.35908,0.36391,0.36682,0.38734,0.00096,0.38675,0.38772,0.38831,57.12549,NA,0,0,0,0,0.35622,0.35653,0.35823,0.35925,0.3824,0.38397,0.38583,0.3879,0.0043,0.00445,0.00452,0.00461,0.0081,0.00819,0.0078,0.00765,NA
2003-09-02,2003,245,3,smokypurchase_2003_09_02_140000.jpg,171.15089,158.32716,118.19442,0.35367,0.38231,164.82209,16.91003,153.20786,14.93293,114.15068,11.60281,0.35462,0.00123,0.35382,0.35509,0.35585,0.38129,0.00101,0.38164,0.38197,0.38218,56.0985,NA,0,0,0,0,0.35559,0.3559,0.35751,0.35848,0.38192,0.3835,0.38539,0.38741,0.00384,0.00399,0.00406,0.00414,0.00783,0.00791,0.00754,0.00742,NA
2003-09-05,2003,248,3,smokypurchase_2003_09_05_140000.jpg,75.88753,72.19216,53.02824,0.35897,0.37735,103.56101,34.11354,100.92161,35.90539,89.62646,47.58722,0.34855,0.01353,0.35724,0.35811,0.35862,0.36098,0.02219,0.37599,0.37667,0.37708,55.04411,NA,0,0,0,0,0.35493,0.35525,0.35678,0.35769,0.38144,0.38304,0.38496,0.38692,0.00348,0.00362,0.00369,0.00376,0.00757,0.00764,0.0073,0.00719,NA
2003-09-08,2003,251,2,smokypurchase_2003_09_08_140000.jpg,60.33045,57.41166,40.12535,0.36367,0.38216,79.96094,19.63049,75.91994,18.50829,54.95933,14.83398,0.3608,0.00287,0.3608,0.36224,0.3631,0.37983,0.00233,0.37983,0.381,0.38169,53.60189,NA,0,0,0,0,0.35426,0.3546,0.35604,0.3569,0.38097,0.38258,0.38453,0.38643,0.00321,0.00334,0.0034,0.00346,0.00732,0.00739,0.00705,0.00697,NA
2003-09-11,2003,254,2,smokypurchase_2003_09_10_140000.jpg,157.29979,147.15086,110.42321,0.35469,0.37915,167.04626,9.74647,155.48174,8.33088,117.28906,6.86586,0.35358,0.00111,0.35358,0.35413,0.35447,0.37977,0.00062,0.37977,0.38008,0.38027,52.8676,NA,0,0,0,0,0.35358,0.35394,0.3553,0.35611,0.38049,0.38212,0.3841,0.38595,0.00304,0.00313,0.00319,0.00325,0.00707,0.00713,0.00682,0.00676,NA
2003-09-14,2003,257,3,smokypurchase_2003_09_14_140000.jpg,115.38445,107.71532,78.95683,0.35661,0.382,112.22066,17.97124,105.78131,15.26354,80.73709,11.74301,0.35438,0.00254,0.3557,0.35615,0.35643,0.37499,0.00644,0.37653,0.37926,0.3809,51.75267,NA,0,0,0,0,0.3529,0.35328,0.35456,0.35533,0.38002,0.38167,0.38367,0.38548,0.00294,0.003,0.00306,0.00312,0.00683,0.00689,0.0066,0.00655,NA
2003-09-17,2003,260,3,smokypurchase_2003_09_17_140000.jpg,120.4295,113.12632,87.14458,0.35275,0.37552,107.86556,27.49405,101.58205,24.09143,77.06535,17.05183,0.35481,0.00159,0.35507,0.35584,0.35631,0.37478,0.00741,0.37552,0.37949,0.38187,50.62463,NA,0,0,0,0,0.35222,0.35263,0.35383,0.35455,0.37956,0.38122,0.38325,0.385,0.00292,0.00294,0.00299,0.00305,0.00661,0.00666,0.00638,0.00635,NA
2003-09-20,2003,263,3,smokypurchase_2003_09_20_140000.jpg,194.56929,180.42798,139.35706,0.35079,0.37828,176.34905,20.49767,163.81104,19.69965,126.97265,16.1293,0.35069,0.00018,0.35079,0.35081,0.35082,0.37774,0.00264,0.37828,0.37947,0.38019,49.487,NA,0,0,0,0,0.35152,0.35196,0.35309,0.35377,0.37909,0.38077,0.38283,0.38453,0.00293,0.00293,0.00298,0.00303,0.00639,0.00644,0.00617,0.00616,NA
2003-09-23,2003,266,3,smokypurchase_2003_09_23_140000.jpg,172.91716,162.54692,126.21236,0.35208,0.37454,139.10733,50.16442,131.5859,45.81065,102.04229,36.17898,0.35431,0.00362,0.35208,0.35575,0.35795,0.37192,0.00363,0.37443,0.37449,0.37452,48.34331,NA,0,0,0,0,0.3508,0.35128,0.35234,0.35297,0.37863,0.38032,0.38241,0.38407,0.00297,0.00294,0.00299,0.00305,0.00618,0.00623,0.00598,0.00598,NA
