#
# 3-day product summary time series for snakerivermn
#
# Site: snakerivermn
# Veg Type: DB
# ROI ID Number: 0002
# Lat: 46.120556
# Lon: -93.24467
# Elev: 1181
# UTC Offset: -6
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:59:54
# Update Date: 2016-06-13
# Update Time: 05:30:54
# Final Processing Date: 2016-06-13
# Final Processing Time: 20:11:01
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2011-01-08,2011,8,3,snakerivermn_2011_01_08_120000.jpg,68.41581,60.26328,45.18973,0.3466,0.39349,68.39706,0.08133,60.2437,0.01783,45.10037,0.0662,0.34674,0.00013,0.34672,0.34681,0.34687,0.39367,0.00033,0.39349,0.39381,0.394,21.70617,NA,0,0,0,0,0.3425,0.34094,0.34368,0.34554,0.37396,0.37016,0.3734,0.37566,0.00256,0.00271,0.0026,0.00262,0.00811,0.0067,0.00729,0.00746,NA
2011-01-11,2011,11,4,snakerivermn_2011_01_11_120000.jpg,50.23995,46.95513,40.93096,0.33994,0.36373,54.02262,9.91331,49.46104,8.07717,41.24812,4.48208,0.34131,0.00283,0.34001,0.3416,0.34435,0.37184,0.01066,0.36684,0.37432,0.38371,22.13276,NA,0,0,0,0,0.3424,0.34106,0.34373,0.34548,0.37375,0.37037,0.37374,0.37604,0.00219,0.00232,0.00222,0.00224,0.00756,0.0065,0.00706,0.00722,NA
2011-01-14,2011,14,3,snakerivermn_2011_01_14_120000.jpg,42.59101,40.6019,36.68371,0.3387,0.35529,56.92796,13.36659,52.81894,10.72698,45.05498,6.22593,0.34064,0.00349,0.3387,0.34212,0.34416,0.3651,0.01567,0.35529,0.37125,0.38083,22.65359,NA,0,0,0,0,0.34231,0.34117,0.34377,0.34543,0.37355,0.37058,0.37408,0.37642,0.00187,0.00198,0.0019,0.00192,0.00704,0.00631,0.00683,0.007,NA
2011-01-17,2011,17,3,snakerivermn_2011_01_17_120000.jpg,48.05457,45.79306,42.00634,0.33708,0.35372,53.39413,8.75836,49.9631,6.41475,42.78112,1.72607,0.34142,0.00433,0.33985,0.34359,0.34583,0.36345,0.01663,0.35372,0.37029,0.38023,23.20163,NA,0,0,0,0,0.34222,0.34128,0.34382,0.34537,0.37337,0.37078,0.37441,0.37678,0.00161,0.00171,0.00164,0.00165,0.00656,0.00612,0.00661,0.00677,NA
2011-01-20,2011,20,4,snakerivermn_2011_01_20_120000.jpg,64.54039,58.34709,45.62163,0.34625,0.38301,52.21653,10.45677,47.58478,9.07089,39.02496,5.1598,0.34195,0.00465,0.34181,0.34642,0.34673,0.37458,0.00887,0.37444,0.38322,0.38361,23.84376,NA,0,0,0,0,0.34215,0.34138,0.34385,0.34532,0.3732,0.37097,0.37473,0.37714,0.00142,0.00151,0.00145,0.00146,0.00611,0.00594,0.00639,0.00656,NA
2011-01-23,2011,23,3,snakerivermn_2011_01_23_120000.jpg,43.08381,39.44298,34.35347,0.33746,0.36861,50.8799,10.35255,46.52407,8.96546,39.19403,4.99135,0.33975,0.00489,0.33746,0.34201,0.34473,0.37094,0.00958,0.36861,0.37614,0.38066,24.50547,NA,0,0,0,0,0.34208,0.34148,0.34389,0.34526,0.37305,0.37117,0.37505,0.37749,0.0013,0.00138,0.00132,0.00133,0.0057,0.00577,0.00619,0.00635,NA
2011-01-26,2011,26,3,snakerivermn_2011_01_26_120000.jpg,40.27488,36.78925,32.85238,0.3347,0.36641,44.77728,4.7302,41.34393,4.73209,35.79023,2.54833,0.33862,0.00539,0.33491,0.34057,0.34397,0.36705,0.00314,0.36641,0.36879,0.37022,25.24013,NA,0,0,0,0,0.34202,0.34157,0.34392,0.34521,0.37291,0.37135,0.37536,0.37783,0.00123,0.0013,0.00125,0.00126,0.00532,0.0056,0.00598,0.00614,NA
2011-01-29,2011,29,3,snakerivermn_2011_01_29_120000.jpg,43.69898,40.3625,35.90938,0.33644,0.36425,56.07401,8.7664,50.16124,6.96412,39.90754,2.87849,0.34267,0.00444,0.3451,0.34579,0.3462,0.38211,0.01267,0.38977,0.39104,0.39179,26.04734,NA,0,0,0,0,0.34196,0.34166,0.34395,0.34516,0.37279,0.37154,0.37566,0.37817,0.0012,0.00128,0.00122,0.00123,0.00499,0.00543,0.00579,0.00595,NA
2011-02-01,2011,32,1,snakerivermn_2011_02_01_120000.jpg,64.31368,58.19403,45.82807,0.3457,0.38206,64.31368,0,58.19403,0,45.82807,0,0.3457,0,0.3457,0.3457,0.3457,0.38206,0,0.38206,0.38206,0.38206,26.57827,NA,0,0,0,0,0.34191,0.34173,0.34398,0.34511,0.37269,0.37172,0.37596,0.3785,0.00121,0.00128,0.00123,0.00124,0.00469,0.00527,0.0056,0.00576,NA
2011-02-04,2011,35,2,snakerivermn_2011_02_04_120000.jpg,62.51065,56.79883,45.24006,0.34518,0.37989,52.57505,9.9356,47.85263,8.94621,39.80653,5.43352,0.3404,0.00478,0.3404,0.34279,0.34423,0.37386,0.00603,0.37386,0.37688,0.37868,27.74344,NA,0,0,0,0,0.34187,0.3418,0.344,0.34505,0.37261,0.37189,0.37624,0.37882,0.00123,0.00131,0.00125,0.00126,0.00444,0.00511,0.00542,0.00557,NA
2011-02-07,2011,38,2,snakerivermn_2011_02_07_120000.jpg,44.53369,40.74554,34.82068,0.33926,0.37081,54.12409,9.5904,49.30369,8.55815,40.29069,5.47001,0.34252,0.00326,0.34252,0.34415,0.34513,0.37578,0.00498,0.37578,0.37827,0.37976,28.66792,NA,0,0,0,0,0.34183,0.34186,0.34401,0.34499,0.37255,0.37206,0.37653,0.37913,0.00127,0.00134,0.00129,0.0013,0.00423,0.00496,0.00525,0.0054,NA
2011-02-10,2011,41,3,snakerivermn_2011_02_10_120000.jpg,57.87883,52.56101,42.13187,0.3445,0.37935,53.92091,9.47369,49.47794,7.92138,40.92501,4.48866,0.34232,0.0034,0.3445,0.34472,0.34485,0.37206,0.01053,0.37935,0.37951,0.3796,29.63236,NA,0,0,0,0,0.34181,0.34193,0.34403,0.34494,0.37251,0.37223,0.3768,0.37944,0.00129,0.00137,0.00131,0.00132,0.00405,0.00482,0.00508,0.00523,NA
2011-02-13,2011,44,4,snakerivermn_2011_02_13_120000.jpg,59.80624,54.88283,44.73527,0.34426,0.37514,51.16152,8.79857,46.88342,8.16626,39.31369,5.61461,0.34076,0.00345,0.34075,0.34418,0.34423,0.37199,0.00315,0.37271,0.37479,0.375,30.63365,NA,0,0,0,0,0.34182,0.34203,0.34405,0.34489,0.37249,0.37239,0.37707,0.37974,0.00131,0.00139,0.00133,0.00134,0.00392,0.00468,0.00492,0.00507,NA
2011-02-16,2011,47,3,snakerivermn_2011_02_16_120000.jpg,54.57618,49.8141,39.9083,0.34522,0.37822,53.92883,2.45988,50.50842,1.25749,42.51904,2.18709,0.34367,0.0025,0.34522,0.34544,0.34557,0.3669,0.01316,0.37404,0.37613,0.37738,31.66866,NA,0,0,0,0,0.34183,0.34213,0.34408,0.34484,0.37248,0.37255,0.37734,0.38003,0.00133,0.00141,0.00135,0.00136,0.00381,0.00455,0.00477,0.00492,NA
2011-02-19,2011,50,2,snakerivermn_2011_02_18_120000.jpg,58.38781,52.84441,42.34942,0.34408,0.38017,51.17004,7.21777,46.77178,6.07263,39.28664,3.06278,0.34039,0.00369,0.34039,0.34224,0.34334,0.3719,0.00828,0.3719,0.37603,0.37852,32.7344,NA,0,0,0,0,0.34184,0.3422,0.34409,0.34478,0.37249,0.3727,0.37759,0.38032,0.00135,0.00143,0.00137,0.00138,0.00374,0.00442,0.00463,0.00477,NA
2011-02-22,2011,53,2,snakerivermn_2011_02_22_120000.jpg,60.27333,54.89619,44.3492,0.34414,0.37784,56.52329,3.75005,52.07706,2.81912,42.38421,1.965,0.34496,0.00082,0.34496,0.34538,0.34562,0.37416,0.00369,0.37416,0.376,0.37711,33.85123,NA,0,0,0,0,0.34183,0.34222,0.34407,0.34471,0.37251,0.37284,0.37784,0.38059,0.00136,0.00145,0.00139,0.0014,0.0037,0.0043,0.00449,0.00463,NA
2011-02-25,2011,56,2,snakerivermn_2011_02_24_120000.jpg,58.57637,53.00167,42.3487,0.34433,0.38055,56.53487,2.04149,53.21597,0.2143,45.90014,3.55144,0.34192,0.00241,0.34192,0.34313,0.34385,0.36341,0.01714,0.36341,0.37198,0.37712,34.946,NA,0,0,0,0,0.34174,0.34213,0.344,0.34461,0.37254,0.37299,0.37808,0.38086,0.00134,0.00142,0.00136,0.00138,0.00368,0.00419,0.00436,0.0045,NA
2011-02-28,2011,59,2,snakerivermn_2011_02_28_120000.jpg,59.05943,53.77157,43.56368,0.34382,0.37763,52.32319,6.73624,48.49526,5.27631,41.48103,2.08264,0.34047,0.00335,0.34047,0.34214,0.34315,0.36661,0.01103,0.36661,0.37212,0.37543,35.70345,NA,0,0,0,0,0.34159,0.3419,0.34389,0.3445,0.37258,0.37312,0.37832,0.38113,0.00132,0.0014,0.00134,0.00135,0.00368,0.00408,0.00425,0.00438,NA
2011-03-03,2011,62,2,snakerivermn_2011_03_02_120000.jpg,53.64462,49.85616,40.1096,0.34716,0.37354,47.35035,6.29428,43.79908,6.05708,36.92732,3.18228,0.34126,0.0059,0.34126,0.34421,0.34598,0.36917,0.00437,0.36917,0.37136,0.37267,37.24285,NA,0,0,0,0,0.34142,0.34164,0.34376,0.34438,0.37263,0.37325,0.37855,0.38138,0.00133,0.00141,0.00135,0.00136,0.0037,0.00398,0.00414,0.00427,NA
2011-03-06,2011,65,3,snakerivermn_2011_03_06_120000.jpg,40.23537,36.39465,31.28431,0.33726,0.37285,46.93191,5.00523,43.17514,4.91814,36.26537,3.53825,0.34132,0.00353,0.34083,0.34335,0.34485,0.37138,0.00555,0.37285,0.37509,0.37643,38.41502,NA,0,0,0,0,0.34128,0.3414,0.34363,0.34426,0.37269,0.37338,0.37877,0.38163,0.00137,0.00146,0.0014,0.00141,0.00373,0.00389,0.00403,0.00416,NA
