#
# 3-day product summary time series for snipelake
#
# Site: snipelake
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 60.6103
# Lon: -154.3199
# Elev: 706
# UTC Offset: -9
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 14:59:58
# Update Date: 2016-01-25
# Update Time: 14:59:59
# Final Processing Date: 2016-06-13
# Final Processing Time: 20:12:02
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2010-08-12,2010,224,8,snipelake_2010_08_12_120000.jpg,69.36555,56.9054,27.691,0.36961,0.45054,104.34457,31.47673,91.85572,29.35829,56.78579,22.5893,0.36434,0.00396,0.36427,0.36793,0.3685,0.41679,0.01692,0.41266,0.42496,0.43919,44.01297,NA,0,0,0,0,0.36498,0.36475,0.3674,0.36825,0.42272,0.42108,0.43348,0.44264,0.00223,0.00231,0.00245,0.00269,0.01465,0.01465,0.01703,0.01828,NA
2010-08-15,2010,227,12,snipelake_2010_08_15_120000.jpg,87.91356,80.96959,57.40095,0.35782,0.38851,99.14425,25.50479,87.72239,22.8816,57.62721,16.60719,0.35915,0.00217,0.35885,0.36047,0.36116,0.40644,0.00976,0.40703,0.41053,0.41712,43.40671,NA,0,0,0,0,0.36059,0.36064,0.36266,0.36349,0.42306,0.42158,0.43397,0.44253,0.00155,0.0016,0.00191,0.0021,0.01288,0.01288,0.01497,0.01617,NA
2010-08-18,2010,230,12,snipelake_2010_08_18_120000.jpg,68.16281,58.32529,38.88114,0.3527,0.41219,82.33628,18.97488,69.78237,18.37776,42.49912,15.31354,0.3591,0.00331,0.3597,0.36172,0.36311,0.42737,0.02021,0.42535,0.44822,0.4532,42.47032,NA,0,0,0,0,0.35642,0.3567,0.35835,0.35915,0.42308,0.42176,0.43411,0.44215,0.00122,0.00126,0.00152,0.00167,0.01131,0.01132,0.01316,0.0143,NA
2010-08-21,2010,233,12,snipelake_2010_08_21_120000.jpg,107.89512,91.79049,59.69968,0.35388,0.41596,100.17775,17.17645,87.17052,14.98141,58.81787,10.13696,0.35406,0.00103,0.35413,0.35433,0.35474,0.40685,0.00577,0.40598,0.41113,0.41566,41.5035,NA,0,0,0,0,0.35255,0.35297,0.35447,0.35526,0.42275,0.4216,0.43388,0.44144,0.00117,0.00121,0.0013,0.00142,0.00998,0.00999,0.01161,0.01268,NA
2010-08-24,2010,236,12,snipelake_2010_08_24_120000.jpg,117.66727,98.19895,66.65831,0.34758,0.41649,117.69291,25.93534,100.55529,22.21131,70.07293,16.62321,0.34887,0.00247,0.34949,0.35061,0.35191,0.40825,0.01287,0.41541,0.41653,0.41943,40.50828,NA,0,0,0,0,0.349,0.34952,0.35101,0.35177,0.42205,0.42107,0.43326,0.44038,0.00124,0.00128,0.00121,0.00133,0.00889,0.00889,0.01034,0.01133,NA
2010-08-27,2010,239,12,snipelake_2010_08_27_120000.jpg,72.33925,52.89438,28.31383,0.34448,0.47112,82.4557,15.21948,65.47062,14.27721,41.97758,11.35231,0.34433,0.00296,0.34511,0.34643,0.34745,0.43695,0.02049,0.43607,0.45219,0.46128,39.48665,NA,0,0,0,0,0.34573,0.34629,0.34792,0.34866,0.42096,0.42018,0.43221,0.43893,0.00128,0.00133,0.00122,0.00134,0.00804,0.00805,0.00936,0.01026,NA
2010-08-30,2010,242,12,snipelake_2010_08_30_120001.jpg,75.65347,56.74915,33.60338,0.34185,0.45573,90.06307,21.25191,71.11325,17.88657,45.68543,12.3285,0.34332,0.00229,0.34446,0.34512,0.3454,0.43724,0.01505,0.43632,0.45185,0.45571,38.44062,NA,0,0,0,0,0.34265,0.34316,0.34525,0.34597,0.41949,0.41891,0.43074,0.43711,0.00127,0.00131,0.00126,0.00139,0.00744,0.00744,0.00865,0.00947,NA
2010-09-02,2010,245,12,snipelake_2010_09_02_120001.jpg,58.8803,46.47301,32.74856,0.33651,0.42635,91.95754,25.5635,72.26599,22.34912,47.66943,17.02777,0.34066,0.00181,0.34087,0.34185,0.34237,0.43751,0.0152,0.43377,0.45052,0.45604,37.37244,NA,0,0,0,0,0.34004,0.34045,0.34301,0.3437,0.41767,0.4173,0.4289,0.43497,0.00132,0.00137,0.0013,0.00143,0.00706,0.00706,0.00821,0.00893,NA
2010-09-05,2010,248,12,snipelake_2010_09_05_120001.jpg,82.02434,60.38645,37.55608,0.33554,0.45577,95.74201,17.8857,74.70755,16.17892,50.19593,13.278,0.33837,0.0016,0.33816,0.33981,0.33993,0.43647,0.01504,0.43401,0.4492,0.45519,36.28394,NA,0,0,0,0,0.33842,0.33873,0.34108,0.34177,0.41553,0.41537,0.42672,0.43253,0.00132,0.00137,0.00133,0.00146,0.00687,0.00687,0.00798,0.00862,NA
2010-09-08,2010,251,12,snipelake_2010_09_08_120001.jpg,73.2456,51.28635,30.65777,0.33048,0.47197,87.45569,15.13871,66.48116,13.52887,44.30661,10.68254,0.33484,0.00292,0.33503,0.33638,0.33917,0.44311,0.01985,0.44346,0.46207,0.46752,35.17776,NA,0,0,0,0,0.33751,0.33783,0.33972,0.34039,0.41309,0.41315,0.42424,0.42985,0.00127,0.00131,0.00135,0.00148,0.00682,0.00683,0.00794,0.0085,NA
2010-09-11,2010,254,12,snipelake_2010_09_11_120001.jpg,80.19349,58.94736,37.93195,0.3329,0.45288,121.50174,19.21326,102.38025,19.16679,78.78383,18.08692,0.33797,0.00184,0.33841,0.33939,0.33965,0.40445,0.02108,0.40006,0.41705,0.42797,34.05643,NA,0,0,0,0,0.33703,0.33736,0.33872,0.33938,0.41038,0.41064,0.42149,0.42695,0.00132,0.00137,0.00141,0.00155,0.00689,0.0069,0.00802,0.00853,NA
2010-09-14,2010,257,12,snipelake_2010_09_14_120001.jpg,140.08374,115.43099,86.70045,0.33731,0.40934,132.16384,5.88468,113.43653,3.03878,89.60739,2.38564,0.33841,0.00072,0.33864,0.33896,0.33904,0.39413,0.0089,0.39185,0.39969,0.4087,32.92247,NA,0,0,0,0,0.33718,0.33755,0.33808,0.3388,0.40729,0.40775,0.41832,0.42369,0.00127,0.00131,0.00136,0.0015,0.00701,0.00702,0.00815,0.00865,NA
2010-09-17,2010,260,12,snipelake_2010_09_17_120001.jpg,90.93714,72.11281,52.65508,0.33431,0.42158,117.12862,22.53806,98.31092,22.02638,76.44768,19.80137,0.33637,0.00217,0.33716,0.33835,0.33865,0.40424,0.01611,0.4059,0.42066,0.42199,31.77839,NA,0,0,0,0,0.33739,0.3378,0.33789,0.33872,0.40373,0.40441,0.41463,0.41999,0.00132,0.00137,0.00136,0.0015,0.00713,0.00713,0.00829,0.00878,NA
