#
# 3-day product summary time series for southerngreatplains
#
# Site: southerngreatplains
# Veg Type: AG
# ROI ID Number: 0001
# Lat: 36.697
# Lon: -97.487
# Elev: 314
# UTC Offset: -6
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 15:00:13
# Update Date: 2016-06-13
# Update Time: 05:31:02
# Final Processing Date: 2016-06-13
# Final Processing Time: 20:12:49
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-05-16,2012,137,59,southerngreatplains_2012_05_16_120136.jpg,142.62563,82.74265,37.29307,0.31502,0.543,150.58509,6.13938,92.50474,5.15006,49.00515,6.22287,0.31669,0.00168,0.31646,0.31711,0.3179,0.5161,0.01419,0.51689,0.52614,0.53089,72.81728,NA,0,0,0,0,0.31691,0.31691,0.31761,0.31849,0.51466,0.51502,0.52167,0.52699,0.00774,0.00765,0.0084,0.00861,0.01911,0.02144,0.01874,0.01754,NA
2012-05-19,2012,140,105,southerngreatplains_2012_05_19_120103.jpg,138.22819,96.81811,61.46786,0.32652,0.46618,151.20122,7.07388,95.79817,4.42102,54.45565,5.97284,0.31778,0.00338,0.31802,0.31899,0.32058,0.50183,0.01739,0.50532,0.51018,0.51505,73.24639,NA,0,0,0,0,0.31799,0.318,0.31885,0.32007,0.51406,0.5144,0.52169,0.52715,0.0057,0.00563,0.00619,0.00634,0.01606,0.01801,0.01544,0.01445,NA
2012-05-22,2012,143,38,southerngreatplains_2012_05_21_190104.jpg,149.74823,99.9283,63.18106,0.31941,0.47865,149.57825,4.87126,95.60576,4.58898,55.70071,5.73958,0.31775,0.00148,0.31744,0.31859,0.31893,0.49757,0.01144,0.49727,0.50777,0.51298,73.6462,NA,0,0,0,0,0.31885,0.31886,0.31984,0.3213,0.51335,0.51371,0.5215,0.52711,0.00445,0.0044,0.00483,0.00495,0.01355,0.01519,0.0128,0.01198,NA
2012-05-25,2012,146,17,southerngreatplains_2012_05_24_190104.jpg,157.15852,93.01632,48.7768,0.31114,0.5257,146.36379,7.93855,90.22498,5.38327,44.79117,4.41342,0.32069,0.00323,0.32244,0.32279,0.32306,0.52043,0.00893,0.51742,0.52235,0.53337,73.27789,NA,0,0,0,0,0.31951,0.31952,0.32061,0.32225,0.51247,0.51288,0.52105,0.5268,0.00396,0.00391,0.0043,0.00441,0.01161,0.01302,0.01088,0.01019,NA
2012-05-28,2012,149,15,southerngreatplains_2012_05_29_122941.jpg,145.26749,92.31499,49.42387,0.32165,0.50615,147.79524,3.29707,92.98722,3.63829,47.91586,5.2972,0.32202,0.00393,0.3205,0.32237,0.32846,0.51233,0.01708,0.50971,0.52639,0.5304,75.06086,NA,0,0,0,0,0.31997,0.31999,0.32114,0.32289,0.51144,0.51194,0.52035,0.52622,0.00397,0.00392,0.00431,0.00442,0.01025,0.0115,0.00967,0.00905,NA
2012-05-31,2012,152,74,southerngreatplains_2012_05_31_120103.jpg,133.4229,79.73153,36.39433,0.3195,0.53466,148.15767,7.18065,91.54958,5.5319,46.42733,5.42822,0.31993,0.003,0.31971,0.32062,0.32174,0.51826,0.01335,0.5191,0.52615,0.53253,75.47002,NA,0,0,0,0,0.32026,0.32028,0.32147,0.32327,0.51035,0.51097,0.5195,0.52548,0.00416,0.00411,0.00451,0.00462,0.00945,0.0106,0.00909,0.00851,NA
2012-06-03,2012,155,75,southerngreatplains_2012_06_03_120103.jpg,152.39287,94.90663,47.61815,0.32181,0.51673,147.44224,7.70069,90.30976,5.75892,43.79854,6.38794,0.32073,0.00323,0.32029,0.32173,0.32317,0.52429,0.01751,0.52897,0.53443,0.53791,75.83356,NA,0,0,0,0,0.32033,0.32034,0.32154,0.32332,0.50926,0.51004,0.51858,0.52466,0.00429,0.00424,0.00465,0.00477,0.00912,0.01022,0.00898,0.00841,NA
2012-06-06,2012,158,78,southerngreatplains_2012_06_06_120103.jpg,147.16329,94.60963,52.14862,0.32189,0.50069,148.2871,4.55536,91.57495,2.99613,46.07462,3.57418,0.32027,0.00197,0.32051,0.32144,0.32233,0.51874,0.01038,0.51867,0.5258,0.53113,76.13755,NA,0,0,0,0,0.32023,0.32023,0.32142,0.32313,0.50823,0.50919,0.51769,0.52384,0.00438,0.00432,0.00475,0.00487,0.00913,0.01024,0.00917,0.00859,NA
2012-06-09,2012,161,74,southerngreatplains_2012_06_09_120103.jpg,144.49467,91.55392,46.79582,0.32369,0.51086,146.56643,7.38021,89.19885,3.87247,44.24367,4.03712,0.31864,0.00407,0.31978,0.32139,0.32263,0.52352,0.01241,0.52487,0.53018,0.53751,76.38149,NA,0,0,0,0,0.31984,0.31986,0.321,0.32246,0.50715,0.50833,0.51665,0.52284,0.00436,0.00431,0.00473,0.00485,0.00931,0.01044,0.00943,0.00883,NA
2012-06-12,2012,164,75,southerngreatplains_2012_06_12_120104.jpg,143.1443,88.65802,45.72552,0.31946,0.51578,146.01229,5.50158,90.29471,4.03891,46.76487,4.50876,0.31898,0.00232,0.31888,0.32005,0.32125,0.51609,0.01162,0.51874,0.52406,0.52705,76.56314,NA,0,0,0,0,0.31934,0.3194,0.32046,0.32164,0.50598,0.50743,0.51537,0.52159,0.0046,0.00455,0.005,0.00512,0.00952,0.01068,0.00964,0.00902,NA
