#
# 3-day product summary time series for teddy
#
# Site: teddy
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 46.8947222222
# Lon: -103.3775
# Elev: 853
# UTC Offset: -7
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 15:01:49
# Update Date: 2016-06-13
# Update Time: 05:32:53
# Final Processing Date: 2016-06-13
# Final Processing Time: 20:14:38
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2010-06-10,2010,161,26,teddy_2010_06_10_120200.jpg,130.68278,130.51157,118.07159,0.34412,0.34457,119.0207,22.94842,118.34363,22.68516,106.44854,20.82243,0.3442,0.00519,0.34564,0.34739,0.34849,0.34618,0.00659,0.34723,0.3517,0.35331,66.16148,NA,0,0,0,0,0.34616,0.34672,0.34803,0.34985,0.34705,0.34804,0.35004,0.35157,0.00172,0.00182,0.00169,0.00176,0.01244,0.01216,0.01226,0.01315,NA
2010-06-13,2010,164,24,teddy_2010_06_14_050200.jpg,78.84122,78.25234,75.67815,0.33618,0.33871,109.07115,30.83207,108.19288,30.60335,96.61592,27.32729,0.34463,0.00282,0.34559,0.34645,0.34745,0.34768,0.00596,0.34937,0.35139,0.3523,66.26973,NA,0,0,0,0,0.34675,0.3473,0.34874,0.35064,0.34689,0.34788,0.34994,0.35152,0.00149,0.00158,0.00145,0.00151,0.01134,0.01108,0.01112,0.01192,NA
2010-06-16,2010,167,15,teddy_2010_06_16_060100.jpg,122.1473,120.39159,99.89718,0.35157,0.3567,132.77483,25.17237,133.2633,25.22236,119.53001,21.10391,0.34521,0.00443,0.34575,0.34711,0.34862,0.34397,0.00502,0.34495,0.34547,0.34556,66.38431,NA,0,0,0,0,0.34727,0.34782,0.34937,0.35133,0.34678,0.34776,0.34989,0.35153,0.0013,0.00138,0.00124,0.00129,0.01032,0.01009,0.01007,0.0108,NA
2010-06-19,2010,170,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.34772,0.34827,0.34992,0.35193,0.3467,0.34768,0.34987,0.35158,0.00114,0.0012,0.00108,0.00112,0.0094,0.00919,0.00913,0.00979,NA
2010-06-22,2010,173,21,teddy_2010_06_22_120000.jpg,138.35397,137.61343,116.58638,0.35056,0.35245,114.27211,29.51218,115.8355,27.88703,99.94135,21.38997,0.35067,0.00337,0.35056,0.3509,0.35508,0.34403,0.01217,0.34765,0.35015,0.35307,66.52682,NA,0,0,0,0,0.34809,0.34864,0.35038,0.35242,0.34665,0.34763,0.34989,0.35166,0.00101,0.00106,0.00095,0.00098,0.00858,0.00838,0.00829,0.00889,NA
2010-06-25,2010,176,34,teddy_2010_06_25_120100.jpg,129.6575,130.3046,112.20046,0.35013,0.34839,114.11799,30.32311,114.68461,29.31521,98.51747,24.77102,0.35035,0.00716,0.35087,0.35426,0.3577,0.34784,0.01153,0.34775,0.35173,0.35717,66.46601,NA,0,0,0,0,0.34839,0.34895,0.35074,0.3528,0.34663,0.34759,0.34994,0.35178,0.00091,0.00096,0.00086,0.00089,0.00785,0.00767,0.00756,0.00811,NA
2010-06-28,2010,179,37,teddy_2010_06_28_120100.jpg,137.23416,136.73975,116.70589,0.35,0.35127,117.19998,29.53727,118.7165,29.39018,101.51386,24.20436,0.35147,0.00494,0.35123,0.35451,0.35643,0.34678,0.00635,0.34807,0.34993,0.35135,66.39646,NA,0,0,0,0,0.34862,0.34919,0.35102,0.35309,0.34664,0.3476,0.35002,0.35195,0.00084,0.00089,8e-04,0.00084,0.00723,0.00706,0.00695,0.00745,NA
2010-07-01,2010,182,37,teddy_2010_07_01_120100.jpg,150.16941,151.63209,126.01584,0.35443,0.35101,125.47479,25.63147,126.62813,26.40048,105.38484,22.75125,0.35419,0.0043,0.3545,0.35567,0.3581,0.35159,0.00586,0.35063,0.35191,0.35521,66.24038,NA,0,0,0,0,0.34877,0.34936,0.35122,0.35327,0.3467,0.34764,0.35014,0.35216,8e-04,0.00085,0.00078,0.00081,0.0067,0.00655,0.00644,0.00691,NA
2010-07-04,2010,185,39,teddy_2010_07_04_120100.jpg,134.50976,134.20616,109.66217,0.35469,0.35549,111.8932,28.03751,112.2544,28.16034,91.75184,22.75161,0.35511,0.00503,0.35463,0.35789,0.36118,0.35423,0.00604,0.35338,0.35726,0.35816,66.02271,NA,0,0,0,0,0.34887,0.34947,0.35134,0.35336,0.34681,0.34773,0.3503,0.35242,0.00078,0.00083,0.00077,8e-04,0.00628,0.00614,0.00604,0.00648,NA
2010-07-07,2010,188,37,teddy_2010_07_07_120100.jpg,147.04849,144.76969,118.98432,0.35241,0.35795,110.413,32.85174,110.80417,32.60132,94.30174,26.02121,0.35038,0.00489,0.35117,0.35309,0.35476,0.34896,0.00654,0.35047,0.35395,0.35521,65.74425,NA,0,0,0,0,0.3489,0.34952,0.35138,0.35337,0.34697,0.34786,0.35052,0.35274,0.00078,0.00082,0.00078,0.00081,0.00595,0.00582,0.00576,0.00617,NA
