#
# 3-day product summary time series for thompsonfarm2N
#
# Site: thompsonfarm2N
# Veg Type: DB
# ROI ID Number: 0002
# Lat: 43.1086
# Lon: -70.9505
# Elev: 23
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 15:02:10
# Update Date: 2016-06-13
# Update Time: 05:33:04
# Final Processing Date: 2016-06-13
# Final Processing Time: 20:16:12
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2010-05-17,2010,137,18,thompsonfarm2N_2010_05_17_130200.jpg,165.81977,132.38546,72.24694,0.35736,0.44761,152.4089,8.54464,125.57258,4.80344,76.36435,5.07433,0.35433,0.00483,0.35478,0.35719,0.35791,0.4299,0.01445,0.4332,0.43957,0.44291,66.09135,NA,0,0,0,0,0.35733,0.35814,0.36004,0.36192,0.42032,0.41402,0.42769,0.43719,0.00247,0.00264,0.00259,0.00273,0.00995,0.01038,0.01058,0.01085,NA
2010-05-20,2010,140,36,thompsonfarm2N_2010_05_20_120200.jpg,154.17632,125.74492,70.6518,0.35868,0.43978,139.271,15.47656,121.10925,9.46589,77.75895,5.99758,0.35808,0.00489,0.35903,0.36009,0.36245,0.41093,0.02071,0.40265,0.43229,0.43719,66.67454,NA,0,0,0,0,0.35629,0.3571,0.35898,0.36072,0.41567,0.41137,0.42482,0.43301,0.00184,0.00197,0.00204,0.00221,0.00845,0.00928,0.00938,0.00922,NA
2010-05-23,2010,143,36,thompsonfarm2N_2010_05_23_120200.jpg,157.8823,130.07331,75.10572,0.35827,0.43486,144.6622,12.71661,122.63466,8.01081,75.65074,4.29338,0.35754,0.00443,0.35851,0.3594,0.36114,0.42122,0.01533,0.42629,0.43325,0.43493,67.29234,NA,0,0,0,0,0.35522,0.35602,0.35792,0.35954,0.41139,0.40889,0.42214,0.42917,0.00144,0.00154,0.00164,0.00181,0.00719,0.00829,0.00831,0.00784,NA
2010-05-26,2010,146,36,thompsonfarm2N_2010_05_26_120400.jpg,147.97445,124.55981,78.21374,0.35513,0.42188,137.1376,12.35558,119.17064,9.44338,78.66734,5.15125,0.35561,0.00595,0.35669,0.35923,0.36111,0.40895,0.01202,0.41083,0.41821,0.42196,67.77651,NA,0,0,0,0,0.35413,0.35492,0.35686,0.3584,0.40749,0.40657,0.41965,0.42568,0.00126,0.00135,0.00139,0.00154,0.00619,0.00742,0.00739,0.00675,NA
2010-05-29,2010,149,36,thompsonfarm2N_2010_05_29_120100.jpg,135.14067,119.53303,79.88388,0.35729,0.40394,135.2121,10.04637,118.91878,6.66273,82.73524,5.22676,0.35301,0.00447,0.35413,0.35582,0.35706,0.40112,0.01403,0.40129,0.41479,0.41795,68.33339,NA,0,0,0,0,0.35306,0.35382,0.35582,0.35731,0.404,0.40444,0.41738,0.42256,0.00124,0.00132,0.00128,0.00138,0.00546,0.00668,0.00661,0.00595,NA
2010-06-01,2010,152,36,thompsonfarm2N_2010_06_01_120200.jpg,124.89761,111.09102,82.92329,0.34834,0.39164,133.1112,11.67599,116.81166,7.47654,84.09086,5.12225,0.34959,0.00446,0.35012,0.35268,0.35498,0.39806,0.01808,0.40299,0.41354,0.41803,68.71461,NA,0,0,0,0,0.352,0.35276,0.35482,0.35628,0.40092,0.4025,0.41534,0.41981,0.00129,0.00138,0.00128,0.00132,0.00499,0.00606,0.00599,0.00545,NA
2010-06-04,2010,155,35,thompsonfarm2N_2010_06_04_120300.jpg,116.00587,106.08883,82.54927,0.34824,0.38079,128.0385,15.15039,115.91475,9.89957,85.03884,3.33735,0.35218,0.00498,0.35243,0.35571,0.35718,0.38805,0.01749,0.38834,0.40251,0.40917,69.03961,NA,0,0,0,0,0.35088,0.35162,0.35381,0.35529,0.39826,0.40075,0.41351,0.41744,0.00133,0.00143,0.00131,0.00133,0.00476,0.00558,0.00552,0.00519,NA
2010-06-07,2010,158,32,thompsonfarm2N_2010_06_07_120300.jpg,122.70227,111.07094,89.52802,0.34355,0.37953,134.5673,13.3925,121.51069,7.81992,92.07491,6.0185,0.34906,0.00557,0.3501,0.35307,0.35456,0.38581,0.01773,0.38531,0.39741,0.41272,69.39079,NA,0,0,0,0,0.34972,0.35042,0.35281,0.35434,0.39598,0.39915,0.41186,0.41542,0.00137,0.00147,0.00135,0.00136,0.00469,0.00522,0.0052,0.00511,NA
2010-06-10,2010,161,36,thompsonfarm2N_2010_06_10_120200.jpg,119.38285,113.26446,91.60898,0.34931,0.36817,129.966,14.22071,117.46319,9.10029,89.87488,5.88922,0.34829,0.00384,0.34908,0.3509,0.35269,0.3845,0.0166,0.38232,0.39862,0.40953,69.64246,NA,0,0,0,0,0.34868,0.34936,0.35189,0.35347,0.39406,0.39769,0.41038,0.41373,0.00141,0.00151,0.00139,0.00141,0.00473,0.00498,0.005,0.00515,NA
2010-06-13,2010,164,36,thompsonfarm2N_2010_06_13_120200.jpg,130.96223,123.72981,96.40163,0.35241,0.37301,129.0251,7.55321,120.08279,6.35137,94.91036,5.87341,0.349,0.0036,0.34893,0.3512,0.35256,0.37502,0.01106,0.37405,0.38321,0.38834,69.77727,NA,0,0,0,0,0.34783,0.34853,0.35095,0.35262,0.39244,0.39637,0.40905,0.41232,0.00135,0.00144,0.00139,0.00144,0.00483,0.00485,0.00491,0.00526,NA
2010-06-16,2010,167,26,thompsonfarm2N_2010_06_16_080100.jpg,134.05071,114.01967,87.64376,0.33963,0.3993,136.3904,11.86861,120.80672,6.90996,91.28445,7.00961,0.34675,0.00522,0.34788,0.35003,0.35127,0.39102,0.01754,0.38851,0.40982,0.41386,69.96614,NA,0,0,0,0,0.3471,0.34784,0.35001,0.35178,0.39109,0.39517,0.40787,0.41116,0.00135,0.00144,0.00141,0.00146,0.00495,0.0048,0.00491,0.0054,NA
2010-06-19,2010,170,36,thompsonfarm2N_2010_06_19_120100.jpg,144.29883,121.75687,86.48596,0.34537,0.40931,138.0162,12.52369,118.98186,8.8352,86.4239,5.05592,0.34635,0.00538,0.34771,0.34969,0.35123,0.40137,0.01331,0.40608,0.41182,0.41538,70.07041,NA,0,0,0,0,0.34646,0.34724,0.34923,0.35106,0.38998,0.3941,0.40681,0.41021,0.00141,0.00151,0.00145,0.00148,0.00506,0.00482,0.00497,0.00552,NA
2010-06-22,2010,173,36,thompsonfarm2N_2010_06_22_120100.jpg,136.50343,118.50491,87.33536,0.34616,0.39873,131.561,12.55164,116.21374,8.47639,87.86555,6.05076,0.34626,0.00427,0.34674,0.34893,0.35102,0.39145,0.01436,0.39035,0.40148,0.41078,70.08154,NA,0,0,0,0,0.34588,0.34673,0.34868,0.35058,0.38938,0.3932,0.40597,0.40972,0.00135,0.00144,0.00141,0.00146,0.0051,0.00487,0.00505,0.00556,NA
