#
# 3-day product summary time series for thompsonfarm2N
#
# Site: thompsonfarm2N
# Veg Type: EN
# ROI ID Number: 0001
# Lat: 43.1086
# Lon: -70.9505
# Elev: 23
# UTC Offset: -5
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 15:02:23
# Update Date: 2016-06-13
# Update Time: 05:32:55
# Final Processing Date: 2016-06-13
# Final Processing Time: 20:17:18
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2009-01-11,2009,11,7,thompsonfarm2N_2009_01_12_080500.jpg,69.81295,64.36818,70.18891,0.31496,0.3416,87.83554,12.33621,74.73701,10.05917,61.07698,13.69954,0.3347,0.01213,0.33701,0.33932,0.34644,0.39393,0.03064,0.39525,0.42293,0.42449,25.04825,NA,0,0,0,0,0.33729,0.34064,0.34222,0.34648,0.40249,0.40662,0.41747,0.42561,0.00471,0.00455,0.00418,0.00417,0.00887,0.00881,0.00756,0.00736,NA
2009-01-14,2009,14,24,thompsonfarm2N_2009_01_14_122900.jpg,79.5777,64.80288,44.99958,0.34218,0.4202,72.00877,10.90171,59.23902,9.75723,41.83608,7.69319,0.34194,0.00732,0.34181,0.34597,0.34916,0.41669,0.01515,0.41854,0.42389,0.4352,25.5318,NA,0,0,0,0,0.33801,0.34055,0.34309,0.34723,0.40413,0.40815,0.41968,0.42807,0.00401,0.004,0.00352,0.00349,0.00825,0.00818,0.00693,0.00672,NA
2009-01-17,2009,17,24,thompsonfarm2N_2009_01_17_121400.jpg,86.17021,73.2341,53.54888,0.3439,0.40464,86.13727,9.32737,76.54582,14.26685,65.96163,27.47583,0.33695,0.01103,0.34148,0.34468,0.34867,0.38567,0.04377,0.4076,0.41602,0.42673,26.34986,NA,0,0,0,0,0.3387,0.3405,0.34391,0.34795,0.40571,0.40962,0.42177,0.4304,0.00341,0.00352,0.00297,0.00293,0.00767,0.00758,0.00634,0.00613,NA
2009-01-20,2009,20,24,thompsonfarm2N_2009_01_20_121400.jpg,109.47186,92.92197,79.32161,0.32984,0.38859,98.11244,10.66497,85.44301,8.94235,76.92633,13.05307,0.32831,0.00572,0.32679,0.3338,0.33659,0.37772,0.0258,0.37498,0.3908,0.40301,27.02888,NA,0,0,0,0,0.33931,0.34049,0.34463,0.34858,0.4072,0.411,0.42373,0.43259,0.00294,0.00311,0.00254,0.0025,0.00713,0.00703,0.0058,0.0056,NA
2009-01-23,2009,23,24,thompsonfarm2N_2009_01_23_122800.jpg,70.09518,57.95865,39.27875,0.34637,0.4189,80.67732,14.4077,67.80668,9.8901,46.97988,6.11593,0.34658,0.00671,0.3459,0.3517,0.35504,0.40997,0.03506,0.41275,0.42575,0.44359,27.7591,NA,0,0,0,0,0.33985,0.34051,0.34526,0.34914,0.40861,0.4123,0.42557,0.43464,0.0026,0.00277,0.00225,0.00221,0.00663,0.00652,0.00532,0.00512,NA
2009-01-26,2009,26,24,thompsonfarm2N_2009_01_26_122700.jpg,95.5671,74.41037,48.08211,0.34124,0.43826,82.37743,9.71622,66.9007,7.68549,45.3013,6.11065,0.3437,0.00491,0.34284,0.34696,0.35032,0.42334,0.01827,0.42066,0.43866,0.44408,28.41349,NA,0,0,0,0,0.34034,0.34057,0.34581,0.34964,0.40993,0.41351,0.42727,0.43654,0.00238,0.0025,0.00207,0.00205,0.00617,0.00606,0.00489,0.0047,NA
2009-01-29,2009,29,25,thompsonfarm2N_2009_01_29_121800.jpg,92.70866,77.03782,51.83141,0.34768,0.4184,83.898,8.83379,71.22529,8.94535,54.59529,17.42819,0.34023,0.01143,0.34454,0.34868,0.35223,0.40357,0.04106,0.41542,0.43168,0.44572,29.24767,NA,0,0,0,0,0.3408,0.34067,0.34632,0.35011,0.41114,0.4146,0.42883,0.43829,0.00226,0.00231,0.002,0.00199,0.00575,0.00565,0.00452,0.00434,NA
2009-02-01,2009,32,27,thompsonfarm2N_2009_02_01_121200.jpg,76.17723,66.62068,44.49745,0.3557,0.40672,78.87465,11.44117,63.95713,9.12794,43.44966,6.13497,0.34323,0.00674,0.34417,0.3468,0.35011,0.42324,0.01405,0.42164,0.43142,0.43901,30.19812,NA,0,0,0,0,0.34124,0.34079,0.3468,0.35055,0.41224,0.41559,0.43024,0.43989,0.00224,0.0022,0.002,0.00201,0.00539,0.00528,0.00421,0.00404,NA
2009-02-04,2009,35,24,thompsonfarm2N_2009_02_04_120600.jpg,81.84729,67.97171,52.80396,0.33546,0.40394,77.01051,9.62763,63.41308,8.62797,45.66302,10.17793,0.34122,0.00725,0.34174,0.3469,0.34959,0.4154,0.02093,0.41937,0.42727,0.43576,31.15689,NA,0,0,0,0,0.34164,0.34094,0.3472,0.35095,0.41323,0.41647,0.43151,0.44133,0.00226,0.00214,0.00204,0.00206,0.00507,0.00497,0.00396,0.0038,NA
2009-02-07,2009,38,26,thompsonfarm2N_2009_02_07_120500.jpg,78.47216,68.82655,45.71202,0.35659,0.40657,76.78084,13.38587,64.13152,10.92052,43.43453,7.67237,0.34736,0.00987,0.34694,0.35655,0.35894,0.41617,0.02602,0.41875,0.43129,0.44468,32.10217,NA,0,0,0,0,0.34197,0.34111,0.34753,0.35127,0.41413,0.41726,0.43264,0.44262,0.00231,0.00212,0.00209,0.0021,0.0048,0.0047,0.00377,0.00362,NA
