#
# 3-day product summary time series for tonzi
#
# Site: tonzi
# Veg Type: DB
# ROI ID Number: 0001
# Lat: 38.43091667
# Lon: -120.9658861
# Elev: 177
# UTC Offset: -8
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 15:02:47
# Update Date: 2016-06-13
# Update Time: 05:33:13
# Final Processing Date: 2016-06-13
# Final Processing Time: 20:19:01
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2011-10-26,2011,299,20,tonzi_2011_10_27_070342.jpg,120.24262,79.67932,55.09403,0.31245,0.47151,100.90434,9.17002,73.81063,4.83455,54.55653,3.40608,0.32205,0.00335,0.32242,0.32348,0.32505,0.43965,0.013,0.43986,0.4445,0.45456,38.61363,NA,0,0,0,0,0.32274,0.32325,0.32457,0.32645,0.44567,0.44414,0.45665,0.47102,0.00474,0.00465,0.00483,0.00483,0.0108,0.01031,0.0133,0.01594,NA
2011-10-29,2011,302,58,tonzi_2011_10_29_120158.jpg,92.07211,68.21945,52.46175,0.32065,0.43276,101.6115,10.03526,74.65077,5.30064,56.0338,3.93667,0.32147,0.00359,0.32218,0.32343,0.32475,0.43689,0.0155,0.43672,0.44537,0.45508,38.27604,NA,0,0,0,0,0.32155,0.32208,0.32355,0.32542,0.44696,0.44529,0.45804,0.47188,0.00409,0.00401,0.00417,0.00417,0.00972,0.00928,0.01197,0.01455,NA
2011-11-01,2011,305,50,tonzi_2011_11_01_120114.jpg,94.26247,68.31606,51.46391,0.31917,0.44039,101.34945,9.32601,73.44325,4.68583,53.8762,3.54058,0.3213,0.00369,0.32144,0.32309,0.32605,0.44272,0.01441,0.44013,0.45032,0.45907,37.30103,NA,0,0,0,0,0.32041,0.32096,0.32256,0.32443,0.44815,0.44635,0.45931,0.47267,0.00354,0.00348,0.00361,0.00361,0.00873,0.00834,0.01076,0.01327,NA
2011-11-04,2011,308,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31931,0.31988,0.32161,0.32346,0.44924,0.44732,0.46045,0.4734,0.0031,0.00305,0.00316,0.00316,0.00785,0.00749,0.00967,0.01209,1
2011-11-07,2011,311,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31826,0.31884,0.32069,0.32252,0.45021,0.4482,0.46148,0.47405,0.00277,0.00272,0.00282,0.00282,0.00707,0.00675,0.00871,0.01102,1
2011-11-10,2011,314,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31726,0.31784,0.3198,0.32161,0.45107,0.44898,0.46237,0.47462,0.00254,0.00249,0.00259,0.00258,0.0064,0.00611,0.00789,0.01007,1
2011-11-13,2011,317,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.31631,0.31689,0.31894,0.32072,0.45181,0.44965,0.46313,0.4751,0.00239,0.00235,0.00243,0.00243,0.00585,0.00558,0.0072,0.00923,1
2011-11-16,2011,320,26,tonzi_2011_11_16_123100.jpg,105.71625,73.86065,52.58094,0.31815,0.45536,105.34649,10.01209,71.68073,7.99916,49.16452,7.19006,0.3167,0.0037,0.31805,0.31929,0.32044,0.46667,0.01883,0.46339,0.48458,0.49175,32.47803,NA,0,0,0,0,0.3154,0.31598,0.31812,0.31988,0.45242,0.45022,0.46374,0.47549,0.00231,0.00227,0.00235,0.00235,0.0054,0.00516,0.00666,0.00852,NA
2011-11-19,2011,323,52,tonzi_2011_11_19_120100.jpg,106.10727,72.73766,52.05507,0.31502,0.45954,98.3483,13.67316,66.94673,9.55515,46.92343,9.43777,0.31498,0.00558,0.31521,0.31993,0.32135,0.46435,0.03714,0.46336,0.48881,0.50591,32.24113,NA,0,0,0,0,0.31455,0.31512,0.31735,0.31909,0.45291,0.45068,0.46421,0.47578,0.00228,0.00224,0.00233,0.00233,0.00507,0.00484,0.00624,0.00792,NA
2011-11-22,2011,326,50,tonzi_2011_11_22_120100.jpg,106.34084,72.23749,51.69616,0.3137,0.4618,100.99,10.54601,66.98722,9.81076,46.42654,9.09249,0.31174,0.00664,0.31395,0.31668,0.3187,0.47333,0.02662,0.46002,0.49567,0.51832,31.56591,NA,0,0,0,0,0.31374,0.3143,0.31661,0.31833,0.45326,0.45102,0.46452,0.47599,0.00228,0.00224,0.00232,0.00232,0.00482,0.0046,0.00594,0.00744,NA
