#
# 3-day product summary time series for tonzi
#
# Site: tonzi
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 38.43091667
# Lon: -120.9658861
# Elev: 177
# UTC Offset: -8
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 15:02:55
# Update Date: 2016-06-13
# Update Time: 05:33:18
# Final Processing Date: 2016-06-13
# Final Processing Time: 20:20:00
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2011-10-26,2011,299,18,tonzi_2011_10_27_080144.jpg,52.64787,29.61085,24.79056,0.27661,0.49181,90.79272,24.06586,56.44282,18.31024,40.62067,12.22734,0.29705,0.01394,0.30017,0.30777,0.31029,0.48724,0.02405,0.48158,0.48729,0.49824,38.61363,NA,0,0,0,0,0.29947,0.30261,0.31049,0.31177,0.4783,0.47258,0.4857,0.50443,0.00654,0.00613,0.00601,0.00575,0.01492,0.01733,0.02326,0.02363,NA
2011-10-29,2011,302,52,tonzi_2011_10_29_120158.jpg,107.99535,72.43669,53.67375,0.30942,0.46131,89.24875,25.74875,56.44616,19.46653,41.99545,12.90253,0.2969,0.01465,0.30002,0.30825,0.31044,0.47874,0.02406,0.47337,0.48079,0.49457,38.27604,NA,0,0,0,0,0.29917,0.30209,0.30962,0.3115,0.48222,0.47646,0.49166,0.50964,0.00571,0.00535,0.00524,0.00496,0.01322,0.01536,0.02078,0.02183,NA
2011-11-01,2011,305,44,tonzi_2011_11_01_120114.jpg,107.4539,71.16111,52.50577,0.3079,0.46493,91.10237,24.94183,58.23401,19.33389,43.3301,12.94103,0.29834,0.01537,0.30244,0.30957,0.31247,0.47644,0.02434,0.47132,0.48035,0.49401,37.30103,NA,0,0,0,0,0.29876,0.30148,0.3087,0.31114,0.486,0.48021,0.49734,0.51469,0.00499,0.00467,0.00458,0.0043,0.01172,0.01361,0.01854,0.02013,NA
2011-11-04,2011,308,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.29823,0.30078,0.30772,0.31068,0.48966,0.48385,0.50272,0.51957,0.00439,0.00411,0.00403,0.00377,0.01041,0.01209,0.01658,0.01855,1
2011-11-07,2011,311,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.29755,0.29995,0.30666,0.3101,0.49321,0.48739,0.50778,0.52428,0.00391,0.00366,0.00359,0.00336,0.00931,0.01082,0.01489,0.01709,1
2011-11-10,2011,314,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.29672,0.29902,0.30554,0.3094,0.49664,0.49082,0.51254,0.5288,0.00355,0.00333,0.00326,0.00308,0.00842,0.00977,0.01346,0.01576,1
2011-11-13,2011,317,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.29579,0.298,0.30437,0.30861,0.49993,0.49412,0.51704,0.53313,0.0033,0.00309,0.00303,0.0029,0.00772,0.00896,0.01231,0.01455,1
2011-11-16,2011,320,22,tonzi_2011_11_16_123100.jpg,90.90404,57.67514,40.0597,0.30574,0.48189,84.42273,16.8073,50.39108,11.79472,33.24626,8.64779,0.2983,0.00894,0.29895,0.30364,0.30572,0.50411,0.03103,0.49056,0.53768,0.54773,32.47803,NA,0,0,0,0,0.29478,0.29692,0.30317,0.30774,0.50308,0.49729,0.52128,0.53726,0.00314,0.00294,0.00288,0.0028,0.0072,0.00837,0.01142,0.01348,NA
2011-11-19,2011,323,48,tonzi_2011_11_19_120100.jpg,94.7905,61.50095,43.36923,0.30803,0.47476,82.07862,15.28952,47.88807,11.37283,30.26019,10.23671,0.29706,0.01074,0.29922,0.30585,0.31108,0.51626,0.04963,0.52113,0.55992,0.57858,32.24113,NA,0,0,0,0,0.29372,0.29581,0.30196,0.30681,0.50608,0.50031,0.52526,0.5412,0.00306,0.00286,0.00281,0.00277,0.00687,0.00797,0.01077,0.01255,NA
2011-11-22,2011,326,41,tonzi_2011_11_22_120100.jpg,95.90254,59.82946,40.28655,0.30522,0.48925,81.35168,12.68157,46.87287,10.62509,29.60715,9.76911,0.29525,0.01021,0.29366,0.3041,0.30913,0.51999,0.04373,0.5117,0.5604,0.58093,31.56591,NA,0,0,0,0,0.29256,0.29462,0.30072,0.30579,0.50896,0.50322,0.52899,0.54494,0.00302,0.00283,0.00278,0.00276,0.00666,0.00774,0.01035,0.01174,NA
