#
# 3-day product summary time series for torgnon-ld
#
# Site: torgnon-ld
# Veg Type: DN
# ROI ID Number: 0001
# Lat: 45.82376
# Lon: 7.56089
# Elev: 2091
# UTC Offset: 1
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 15:03:02
# Update Date: 2016-06-13
# Update Time: 05:33:19
# Final Processing Date: 2016-06-13
# Final Processing Time: 20:20:59
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2012-03-14,2012,74,6,torgnon-ld_2012_03_15_115500.jpg,123.87257,121.46959,122.55061,0.33018,0.33671,119.77222,5.01076,116.18739,6.79287,115.93643,8.7539,0.33017,0.00028,0.33025,0.33032,0.3304,0.34072,0.00653,0.33712,0.34079,0.34835,42.09057,NA,0,0,0,0,0.33222,0.3322,0.33102,0.33144,0.34067,0.33806,0.34079,0.34697,0.00628,0.00657,0.00591,0.00536,0.01033,0.01248,0.01001,0.00998,NA
2012-03-17,2012,77,24,torgnon-ld_2012_03_17_120000.jpg,118.71114,117.07962,118.84507,0.33014,0.33474,123.49385,10.04664,120.97185,11.09788,121.57899,12.38066,0.33046,0.00073,0.33034,0.33112,0.33158,0.3377,0.00617,0.33691,0.33814,0.34127,43.25183,NA,0,0,0,0,0.33148,0.33147,0.33096,0.3314,0.34098,0.33866,0.34153,0.34748,0.00532,0.00555,0.0048,0.00436,0.00817,0.00986,0.00791,0.00789,NA
2012-03-20,2012,80,24,torgnon-ld_2012_03_20_120000.jpg,140.72467,136.623,137.37757,0.32943,0.33932,119.76481,15.22786,116.5334,15.55308,116.36984,16.06024,0.33039,0.00098,0.33045,0.33116,0.33177,0.33984,0.00484,0.33917,0.34174,0.34401,44.41053,NA,0,0,0,0,0.33082,0.33082,0.33091,0.33136,0.34117,0.33914,0.34211,0.34777,0.00451,0.00471,0.00393,0.00357,0.00657,0.00794,0.00637,0.00635,NA
2012-03-23,2012,83,23,torgnon-ld_2012_03_23_120000.jpg,124.07212,121.21474,120.87373,0.33104,0.33885,120.57383,5.66386,116.09271,6.72172,114.74197,8.08623,0.33036,0.00077,0.33053,0.33094,0.33142,0.34336,0.00579,0.34143,0.34455,0.35194,45.56381,NA,0,0,0,0,0.33023,0.33024,0.33085,0.33132,0.34125,0.33951,0.34252,0.34786,0.00387,0.00404,0.00333,0.00302,0.00557,0.00673,0.0054,0.00538,NA
2012-03-26,2012,86,24,torgnon-ld_2012_03_26_120000.jpg,121.5715,119.00863,119.09386,0.33088,0.338,115.32016,9.24532,111.00915,9.31536,109.76386,9.88539,0.33026,0.00101,0.33017,0.33092,0.3314,0.34326,0.00749,0.34003,0.34326,0.35267,46.70896,NA,0,0,0,0,0.32969,0.3297,0.3308,0.33127,0.34129,0.33984,0.34286,0.34786,0.00341,0.00357,0.00299,0.00272,0.00513,0.0062,0.00498,0.00496,NA
2012-03-29,2012,89,24,torgnon-ld_2012_03_29_120000.jpg,121.93832,117.82469,118.13239,0.32922,0.34071,115.40822,4.78764,111.02566,5.32377,110.08819,6.45582,0.32993,0.00116,0.32948,0.33063,0.33169,0.34309,0.00495,0.341,0.34422,0.3489,47.84332,NA,0,0,0,0,0.3292,0.32921,0.33074,0.33121,0.34126,0.34008,0.34309,0.34775,0.00313,0.00327,0.00286,0.0026,0.0051,0.00615,0.00494,0.00492,NA
2012-04-01,2012,92,24,torgnon-ld_2012_04_01_120000.jpg,114.16487,109.69206,108.99711,0.32955,0.34299,110.49239,7.26739,106.185,7.79216,104.39773,8.44417,0.33069,0.00105,0.33059,0.33166,0.33194,0.34431,0.00565,0.3429,0.34641,0.35244,48.96434,NA,0,0,0,0,0.32878,0.32879,0.33068,0.33115,0.34115,0.34024,0.3432,0.34749,0.003,0.00313,0.00286,0.00259,0.00524,0.00633,0.00508,0.00506,NA
2012-04-04,2012,95,24,torgnon-ld_2012_04_04_120000.jpg,130.68585,129.06735,129.53056,0.33155,0.33571,106.67127,20.54126,103.40296,21.24893,103.05581,22.23612,0.33011,0.00112,0.33049,0.33093,0.33144,0.34143,0.00725,0.34089,0.34659,0.35132,50.06968,NA,0,0,0,0,0.32847,0.32847,0.33064,0.3311,0.34103,0.34038,0.34326,0.34719,0.00298,0.00311,0.00292,0.00265,0.00543,0.00656,0.00526,0.00525,NA
2012-04-07,2012,98,24,torgnon-ld_2012_04_07_120000.jpg,90.85951,87.02342,87.5078,0.32791,0.34236,95.63812,10.48614,91.45547,10.09461,90.15022,9.59413,0.3298,0.00114,0.32986,0.33049,0.33113,0.34492,0.00405,0.34386,0.34608,0.348,51.15726,NA,0,0,0,0,0.3283,0.32829,0.33062,0.33108,0.34097,0.34056,0.34335,0.34694,0.00304,0.00318,0.00301,0.00273,0.00558,0.00674,0.00541,0.00539,NA
2012-04-10,2012,101,24,torgnon-ld_2012_04_10_120000.jpg,139.22216,137.44677,140.23157,0.32969,0.33395,121.63031,15.33179,118.63739,16.75525,118.84569,18.27783,0.33031,0.00102,0.33025,0.33096,0.33155,0.3394,0.00557,0.34007,0.3432,0.34536,52.22512,NA,0,0,0,0,0.32819,0.32816,0.33059,0.33103,0.34071,0.34057,0.34319,0.34634,0.00313,0.00327,0.00305,0.00277,0.00557,0.00672,0.0054,0.00538,NA
