#
# 3-day product summary time series for torgnon-nd
#
# Site: torgnon-nd
# Veg Type: GR
# ROI ID Number: 0001
# Lat: 45.8444
# Lon: 7.5781
# Elev: 2160
# UTC Offset: 1
# Image Count Threshold: 1
# Days to Aggregate: 3
# Sun Elevation Min: 5.0
# Time of Day Min: 00:00:00
# Time of Day Max: 23:59:59
# ROI Brightness Min: 100
# ROI Brightness Max: 665
# Creation Date: 2016-01-25
# Creation Time: 15:03:05
# Update Date: 2016-06-13
# Update Time: 05:33:20
# Final Processing Date: 2016-06-13
# Final Processing Time: 20:21:44
#
date,year,doy,image_count,midday_filename,midday_r,midday_g,midday_b,midday_gcc,midday_rcc,r_mean,r_std,g_mean,g_std,b_mean,b_std,gcc_mean,gcc_std,gcc_50,gcc_75,gcc_90,rcc_mean,rcc_std,rcc_50,rcc_75,rcc_90,max_solar_elev,snow_flag,outlierflag_gcc_mean,outlierflag_gcc_50,outlierflag_gcc_75,outlierflag_gcc_90,smooth_gcc_mean,smooth_gcc_50,smooth_gcc_75,smooth_gcc_90,smooth_rcc_mean,smooth_rcc_50,smooth_rcc_75,smooth_rcc_90,smooth_ci_gcc_mean,smooth_ci_gcc_50,smooth_ci_gcc_75,smooth_ci_gcc_90,smooth_ci_rcc_mean,smooth_ci_rcc_50,smooth_ci_rcc_75,smooth_ci_rcc_90,int_flag
2013-04-14,2013,104,1,torgnon-nd_2013_04_15_170000.jpg,174.8792,175.43393,178.87897,0.33151,0.33046,174.8792,0,175.43393,0,178.87897,0,0.33151,0,0.33151,0.33151,0.33151,0.33046,0,0.33046,0.33046,0.33046,22.73493,NA,0,0,0,0,0.33582,0.33577,0.33562,0.33616,0.32781,0.3312,0.33211,0.33126,0.00328,0.00336,0.00319,0.00332,0.01502,0.01498,0.01543,0.01613,NA
2013-04-17,2013,107,23,torgnon-nd_2013_04_17_120000.jpg,186.56596,191.53701,196.73648,0.3332,0.32455,182.93586,17.99234,187.01584,15.58886,191.97777,14.0563,0.33284,0.00091,0.33283,0.33316,0.33384,0.32506,0.00742,0.32658,0.32824,0.33067,54.58786,NA,0,0,0,0,0.33449,0.33448,0.33452,0.33499,0.32742,0.32973,0.33112,0.33118,0.00278,0.00285,0.00268,0.00279,0.01217,0.01232,0.01269,0.01307,NA
2013-04-20,2013,110,23,torgnon-nd_2013_04_20_120000.jpg,161.82765,170.83098,178.80807,0.334,0.3164,159.55299,15.0658,164.72864,17.2371,170.35438,18.46052,0.33294,0.00108,0.33324,0.33367,0.33385,0.32288,0.00476,0.32115,0.32731,0.33009,55.62811,NA,0,0,0,0,0.33331,0.33333,0.33355,0.33395,0.32714,0.32849,0.33038,0.33129,0.00237,0.00242,0.00226,0.00235,0.00996,0.0102,0.0105,0.01069,NA
2013-04-23,2013,113,7,torgnon-nd_2013_04_22_170000.jpg,117.17926,131.93135,148.37543,0.33191,0.2948,167.91059,26.07887,174.96069,22.27454,181.94006,18.32554,0.33334,0.00107,0.3331,0.33403,0.33476,0.31861,0.01177,0.32385,0.32683,0.32893,51.62917,NA,0,0,0,0,0.33224,0.33229,0.33266,0.33302,0.32691,0.32741,0.3298,0.33152,0.00204,0.00209,0.00194,0.00202,0.00843,0.00866,0.00891,0.00905,NA
2013-04-26,2013,116,16,torgnon-nd_2013_04_26_120000.jpg,127.16894,127.34572,130.91486,0.3304,0.32994,147.12742,21.46987,148.33867,22.44631,151.63465,23.24944,0.33173,0.00092,0.33189,0.33238,0.33275,0.32926,0.00178,0.32963,0.33053,0.33143,57.61049,NA,0,0,0,0,0.3313,0.33136,0.33187,0.33219,0.32669,0.32649,0.32939,0.33185,0.0018,0.00185,0.00171,0.00178,0.00757,0.00771,0.00793,0.00813,NA
2013-04-29,2013,119,22,torgnon-nd_2013_04_29_120000.jpg,136.28177,136.11831,139.46217,0.33049,0.33089,146.13156,12.53162,148.76643,14.40523,152.63154,16.15184,0.33238,0.001,0.33238,0.33296,0.3337,0.32687,0.00565,0.32889,0.33135,0.33274,58.54756,NA,0,0,0,0,0.33054,0.33061,0.33124,0.33153,0.32661,0.32584,0.32925,0.33238,0.00166,0.0017,0.00158,0.00165,0.00728,0.00729,0.0075,0.00782,NA
2013-05-02,2013,122,20,torgnon-nd_2013_05_02_120000.jpg,176.10787,174.48565,175.79313,0.33148,0.33456,160.40621,22.07924,159.35177,21.84956,160.3185,21.64939,0.33191,0.00091,0.33174,0.33275,0.33316,0.33407,0.00159,0.3346,0.33494,0.33506,59.44508,NA,0,0,0,0,0.32996,0.33005,0.33077,0.33106,0.32682,0.32559,0.32951,0.33326,0.00159,0.00163,0.00154,0.0016,0.00738,0.00727,0.00748,0.00793,NA
2013-05-05,2013,125,12,torgnon-nd_2013_05_04_170000.jpg,159.93345,158.68684,159.15742,0.33214,0.33474,171.25136,21.03285,170.59042,20.57873,171.48621,20.19957,0.33231,0.00047,0.33222,0.33252,0.33297,0.33352,0.00208,0.33458,0.33474,0.33504,59.98507,NA,0,0,0,0,0.32955,0.32963,0.33043,0.33072,0.32717,0.32562,0.33004,0.33433,0.00158,0.00162,0.00155,0.00161,0.00764,0.00746,0.00768,0.0082,NA
2013-05-08,2013,128,20,torgnon-nd_2013_05_08_120000.jpg,207.0307,205.24374,206.67497,0.3316,0.33449,173.01908,27.47574,172.03615,27.35919,172.66891,27.27965,0.33227,0.00071,0.33256,0.33283,0.33293,0.33418,0.00091,0.33394,0.33455,0.33563,61.11131,NA,0,0,0,0,0.32926,0.32934,0.33017,0.33048,0.32764,0.32592,0.33083,0.33557,0.00161,0.00165,0.00158,0.00165,0.0079,0.0077,0.00793,0.00848,NA
2013-05-11,2013,131,19,torgnon-nd_2013_05_11_110000.jpg,197.70583,196.5844,197.03357,0.33245,0.33434,159.30102,26.65595,155.86639,28.2204,154.35074,29.92049,0.33192,0.00091,0.33189,0.33259,0.33306,0.34018,0.00801,0.33717,0.34274,0.35366,61.87522,NA,0,0,0,0,0.32915,0.32921,0.33004,0.33039,0.32856,0.32674,0.33213,0.33731,0.00165,0.00169,0.00163,0.0017,0.00813,0.00795,0.00819,0.00873,NA
