#
# Transition date estimate for acadia
#
# Site: acadia
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2007
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:24
# Spline RMSE gcc_mean: 0.21906
# Spline RMSE gcc_50: 0.26216
# Spline RMSE gcc_75: 0.23586
# Spline RMSE gcc_90: 0.18207
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
acadia,DB,0001,rising,gcc_90,2007-05-11,2007-05-17,2007-05-26,2007-05-05,2007-05-11,2007-05-17,2007-05-14,2007-05-20,2007-05-29,0.34709,0.36449,0.3998,0.33543,0.42306
acadia,DB,0001,rising,gcc_90,2008-05-16,2008-05-19,2008-05-25,2008-05-07,2008-05-07,2008-05-07,2008-08-29,2008-08-29,2008-08-29,0.3523,0.36368,0.38418,0.33742,0.39775
acadia,DB,0001,rising,gcc_90,2009-05-05,2009-05-11,2009-05-20,2009-04-29,2009-05-08,2009-05-14,2009-05-08,2009-05-14,2009-05-23,0.34575,0.36285,0.39875,0.33718,0.4225
acadia,DB,0001,rising,gcc_90,2010-04-26,2010-04-29,2010-05-08,2010-04-20,2010-04-26,2010-05-02,2010-04-29,2010-05-02,2010-05-11,0.35112,0.3615,0.40011,0.33777,0.4275
acadia,DB,0001,rising,gcc_90,2011-05-08,2011-05-17,2011-05-29,2011-04-29,2011-05-14,2011-05-20,2011-05-14,2011-05-20,2011-06-01,0.34146,0.3577,0.40664,0.33003,0.43692
acadia,DB,0001,rising,gcc_90,2012-05-07,2012-05-10,2012-05-19,2012-05-01,2012-05-07,2012-05-13,2012-05-10,2012-05-13,2012-05-22,0.35572,0.36789,0.42029,0.33592,0.44575
acadia,DB,0001,rising,gcc_90,2013-05-05,2013-05-11,2013-05-23,2013-04-29,2013-05-08,2013-05-17,2013-05-08,2013-05-14,2013-05-26,0.34877,0.36341,0.41395,0.33568,0.44599
acadia,DB,0001,rising,gcc_90,2014-05-08,2014-05-17,2014-05-29,2014-04-14,2014-05-14,2014-05-20,2014-05-14,2014-05-20,2014-06-01,0.34456,0.36085,0.40999,0.33324,0.43954
acadia,DB,0001,rising,gcc_90,2015-05-05,2015-05-14,2015-05-23,2015-04-23,2015-05-08,2015-05-17,2015-05-11,2015-05-17,2015-05-26,0.34437,0.36208,0.39589,0.33474,0.42647
acadia,DB,0001,rising,gcc_75,2007-05-08,2007-05-14,2007-05-26,2007-04-29,2007-05-08,2007-05-17,2007-05-11,2007-05-17,2007-05-29,0.344,0.35843,0.38819,0.33218,0.41387
acadia,DB,0001,rising,gcc_75,2008-05-16,2008-05-22,2008-05-31,2008-05-07,2008-05-07,2008-05-07,2008-08-29,2008-08-29,2008-08-29,0.34263,0.35589,0.37942,0.33629,0.39392
acadia,DB,0001,rising,gcc_75,2009-04-29,2009-05-08,2009-05-17,2009-04-23,2009-05-02,2009-05-11,2009-05-05,2009-05-11,2009-05-20,0.34181,0.35782,0.38318,0.33365,0.41108
acadia,DB,0001,rising,gcc_75,2010-04-20,2010-04-29,2010-05-08,2010-04-14,2010-04-23,2010-05-02,2010-04-23,2010-05-02,2010-05-11,0.34433,0.36284,0.39171,0.33547,0.42294
acadia,DB,0001,rising,gcc_75,2011-05-05,2011-05-14,2011-05-26,2011-04-29,2011-05-11,2011-05-20,2011-05-08,2011-05-17,2011-05-29,0.33962,0.35523,0.39317,0.3282,0.43386
acadia,DB,0001,rising,gcc_75,2012-05-01,2012-05-10,2012-05-22,2012-04-25,2012-05-04,2012-05-13,2012-05-04,2012-05-13,2012-05-25,0.34705,0.36852,0.40323,0.33438,0.44463
acadia,DB,0001,rising,gcc_75,2013-05-02,2013-05-11,2013-05-23,2013-04-26,2013-05-08,2013-05-14,2013-05-08,2013-05-14,2013-05-26,0.34559,0.36435,0.40709,0.33469,0.4422
acadia,DB,0001,rising,gcc_75,2014-05-08,2014-05-17,2014-05-29,2014-04-26,2014-05-11,2014-05-20,2014-05-11,2014-05-20,2014-06-01,0.34431,0.36373,0.40037,0.33211,0.43744
acadia,DB,0001,rising,gcc_75,2015-05-02,2015-05-11,2015-05-23,2015-04-23,2015-05-05,2015-05-14,2015-05-05,2015-05-14,2015-05-26,0.34217,0.35919,0.39097,0.33302,0.42226
acadia,DB,0001,rising,gcc_50,2007-05-05,2007-05-11,2007-05-23,2007-04-23,2007-05-05,2007-05-14,2007-05-11,2007-05-14,2007-05-26,0.33898,0.34774,0.36786,0.33063,0.39482
acadia,DB,0001,rising,gcc_50,2008-05-16,2008-05-22,2008-06-03,2008-05-07,2008-05-07,2008-05-07,2008-08-29,2008-08-29,2008-08-29,0.33976,0.34828,0.36315,0.33366,0.38288
acadia,DB,0001,rising,gcc_50,2009-04-26,2009-05-02,2009-05-14,2009-04-17,2009-04-26,2009-05-05,2009-05-02,2009-05-08,2009-05-17,0.33884,0.34747,0.37101,0.33181,0.39193
acadia,DB,0001,rising,gcc_50,2010-04-20,2010-04-26,2010-05-08,2010-04-08,2010-04-20,2010-04-29,2010-04-23,2010-04-29,2010-05-11,0.34486,0.35434,0.38359,0.33351,0.40911
acadia,DB,0001,rising,gcc_50,2011-05-05,2011-05-14,2011-05-26,2011-04-26,2011-05-08,2011-05-20,2011-05-08,2011-05-17,2011-05-29,0.33751,0.35329,0.38672,0.32555,0.42746
acadia,DB,0001,rising,gcc_50,2012-04-28,2012-05-13,2012-05-31,2012-04-19,2012-05-04,2012-05-22,2012-05-04,2012-05-19,2012-06-03,0.34385,0.35997,0.39307,0.33202,0.43815
acadia,DB,0001,rising,gcc_50,2013-05-02,2013-05-11,2013-05-23,2013-04-23,2013-05-05,2013-05-14,2013-05-08,2013-05-14,2013-05-26,0.34055,0.35392,0.38475,0.33169,0.4201
acadia,DB,0001,rising,gcc_50,2014-05-05,2014-05-17,2014-05-29,2014-04-26,2014-05-11,2014-05-20,2014-05-11,2014-05-20,2014-06-01,0.34081,0.36203,0.39292,0.33063,0.4309
acadia,DB,0001,rising,gcc_50,2015-05-02,2015-05-11,2015-05-23,2015-04-17,2015-05-02,2015-05-14,2015-05-05,2015-05-14,2015-05-26,0.34204,0.3569,0.38369,0.33027,0.41824
acadia,DB,0001,rising,gcc_mean,2007-05-05,2007-05-11,2007-05-23,2007-04-23,2007-05-05,2007-05-14,2007-05-08,2007-05-14,2007-05-26,0.33961,0.34826,0.36823,0.3311,0.39527
acadia,DB,0001,rising,gcc_mean,2008-05-16,2008-05-22,2008-06-03,2008-05-07,2008-05-07,2008-05-07,2008-08-29,2008-08-29,2008-08-29,0.339,0.3476,0.36224,0.33328,0.38119
acadia,DB,0001,rising,gcc_mean,2009-04-29,2009-05-05,2009-05-17,2009-04-20,2009-04-29,2009-05-08,2009-05-02,2009-05-08,2009-05-20,0.34163,0.34974,0.37503,0.33215,0.39506
acadia,DB,0001,rising,gcc_mean,2010-04-20,2010-04-26,2010-05-08,2010-04-08,2010-04-20,2010-04-29,2010-04-23,2010-04-29,2010-05-11,0.34485,0.35387,0.38142,0.33374,0.40587
acadia,DB,0001,rising,gcc_mean,2011-05-05,2011-05-14,2011-05-26,2011-04-29,2011-05-08,2011-05-20,2011-05-11,2011-05-17,2011-05-29,0.33556,0.34975,0.38058,0.32585,0.41965
acadia,DB,0001,rising,gcc_mean,2012-04-28,2012-05-10,2012-05-28,2012-04-19,2012-05-04,2012-05-19,2012-05-04,2012-05-16,2012-05-31,0.34346,0.35862,0.39066,0.3318,0.43322
acadia,DB,0001,rising,gcc_mean,2013-04-29,2013-05-08,2013-05-20,2013-04-14,2013-05-02,2013-05-14,2013-05-05,2013-05-11,2013-05-23,0.34028,0.35175,0.37506,0.33184,0.40516
acadia,DB,0001,rising,gcc_mean,2014-05-05,2014-05-17,2014-05-29,2014-04-26,2014-05-11,2014-05-20,2014-05-11,2014-05-20,2014-06-01,0.34036,0.36009,0.38924,0.33049,0.42628
acadia,DB,0001,rising,gcc_mean,2015-05-02,2015-05-11,2015-05-23,2015-04-17,2015-05-02,2015-05-14,2015-05-05,2015-05-14,2015-05-26,0.34121,0.35496,0.37888,0.33062,0.40879
acadia,DB,0001,falling,gcc_90,2015-10-23,2015-10-17,2015-10-05,2015-10-29,2015-10-23,2015-10-14,2015-10-20,2015-10-14,2015-10-02,0.34612,0.36498,0.38427,0.33265,0.42647
acadia,DB,0001,falling,gcc_90,2014-10-20,2014-10-14,2014-10-02,2014-10-23,2014-10-17,2014-10-11,2014-10-17,2014-10-11,2014-09-29,0.34714,0.36508,0.39302,0.33474,0.43954
acadia,DB,0001,falling,gcc_90,2013-10-11,2013-10-08,2013-09-26,2013-10-17,2013-10-17,2013-10-02,2013-09-29,2013-09-29,2013-09-23,0.35175,0.36297,0.39682,0.33332,0.44615
acadia,DB,0001,falling,gcc_90,2012-10-13,2012-10-07,2012-09-16,2012-10-19,2012-10-13,2012-09-25,2012-10-10,2012-10-04,2012-09-13,0.35314,0.36807,0.40059,0.33568,0.44575
acadia,DB,0001,falling,gcc_90,2011-10-14,2011-10-05,2011-09-05,2011-10-20,2011-10-11,2011-09-20,2011-10-11,2011-10-02,2011-09-02,0.34859,0.3663,0.39158,0.33592,0.43692
acadia,DB,0001,falling,gcc_90,2010-10-17,2010-10-14,2010-10-05,2010-10-23,2010-10-17,2010-10-11,2010-10-14,2010-10-11,2010-10-02,0.34748,0.35873,0.38755,0.33003,0.4275
acadia,DB,0001,falling,gcc_90,2009-10-26,2009-10-20,2009-10-02,2009-11-01,2009-10-23,2009-10-14,2009-10-23,2009-10-17,2009-09-29,0.3475,0.35927,0.38389,0.33777,0.4225
acadia,DB,0001,falling,gcc_90,2008-10-16,2008-10-13,2008-10-04,2008-10-19,2008-10-16,2008-10-10,2008-10-13,2008-10-10,2008-10-01,0.34498,0.35298,0.37517,0.33718,0.39762
acadia,DB,0001,falling,gcc_90,2007-10-20,2007-10-14,2007-10-02,2007-10-26,2007-10-20,2007-10-11,2007-10-17,2007-10-11,2007-09-29,0.35061,0.36667,0.38713,0.33731,0.42306
acadia,DB,0001,falling,gcc_75,2015-10-26,2015-10-20,2015-10-05,2015-11-04,2015-10-26,2015-10-14,2015-10-23,2015-10-17,2015-10-02,0.34706,0.359,0.38229,0.33231,0.42226
acadia,DB,0001,falling,gcc_75,2014-10-23,2014-10-14,2014-09-29,2014-10-29,2014-10-20,2014-10-08,2014-10-20,2014-10-11,2014-09-26,0.34487,0.36031,0.38966,0.33302,0.43744
acadia,DB,0001,falling,gcc_75,2013-10-14,2013-10-08,2013-09-23,2013-10-17,2013-10-17,2013-10-02,2013-09-29,2013-09-29,2013-09-20,0.34529,0.36149,0.39483,0.33236,0.44256
acadia,DB,0001,falling,gcc_75,2012-10-13,2012-09-28,2012-09-04,2012-10-19,2012-10-04,2012-09-13,2012-10-07,2012-09-25,2012-09-01,0.34615,0.36537,0.40014,0.33469,0.44463
acadia,DB,0001,falling,gcc_75,2011-10-14,2011-10-02,2011-09-08,2011-10-23,2011-10-11,2011-09-20,2011-10-11,2011-09-29,2011-09-05,0.34678,0.36249,0.38766,0.33438,0.43386
acadia,DB,0001,falling,gcc_75,2010-10-26,2010-10-17,2010-10-02,2010-11-28,2010-10-23,2010-10-05,2010-10-23,2010-10-14,2010-09-23,0.33922,0.35688,0.38177,0.3282,0.42294
acadia,DB,0001,falling,gcc_75,2009-10-26,2009-10-17,2009-09-29,2009-11-04,2009-10-23,2009-10-11,2009-10-20,2009-10-14,2009-09-26,0.34442,0.35587,0.37804,0.33547,0.41108
acadia,DB,0001,falling,gcc_75,2008-10-16,2008-10-10,2008-09-28,2008-10-25,2008-10-16,2008-10-07,2008-10-13,2008-10-07,2008-09-25,0.34227,0.353,0.37228,0.33365,0.39376
acadia,DB,0001,falling,gcc_75,2007-10-23,2007-10-17,2007-09-29,2007-11-01,2007-10-23,2007-10-11,2007-10-20,2007-10-14,2007-09-26,0.34663,0.35803,0.38078,0.33628,0.41387
acadia,DB,0001,falling,gcc_50,2015-10-26,2015-10-17,2015-10-02,2015-11-04,2015-10-26,2015-10-14,2015-10-23,2015-10-14,2015-09-29,0.34187,0.35822,0.38045,0.33062,0.41824
acadia,DB,0001,falling,gcc_50,2014-10-23,2014-10-14,2014-09-26,2014-11-01,2014-10-20,2014-10-05,2014-10-20,2014-10-11,2014-09-23,0.34279,0.35607,0.38808,0.33027,0.4309
acadia,DB,0001,falling,gcc_50,2013-10-20,2013-10-11,2013-09-26,2013-12-04,2013-10-17,2013-10-02,2013-10-14,2013-09-29,2013-09-23,0.34179,0.35362,0.38445,0.33072,0.42038
acadia,DB,0001,falling,gcc_50,2012-10-07,2012-09-28,2012-09-13,2012-10-19,2012-10-04,2012-09-16,2012-10-04,2012-09-22,2012-09-10,0.34522,0.36011,0.39242,0.33169,0.43815
acadia,DB,0001,falling,gcc_50,2011-10-14,2011-10-02,2011-09-08,2011-10-26,2011-10-11,2011-09-20,2011-10-08,2011-09-26,2011-09-05,0.34351,0.35636,0.38397,0.33202,0.42746
acadia,DB,0001,falling,gcc_50,2010-11-01,2010-10-17,2010-09-29,2010-12-10,2010-10-26,2010-10-05,2010-10-23,2010-10-11,2010-09-23,0.33441,0.34881,0.37171,0.32555,0.40911
acadia,DB,0001,falling,gcc_50,2009-10-26,2009-10-14,2009-09-29,2009-11-10,2009-10-26,2009-10-11,2009-10-17,2009-10-08,2009-09-26,0.33983,0.35127,0.36704,0.33351,0.39193
acadia,DB,0001,falling,gcc_50,2008-10-16,2008-10-07,2008-09-25,2008-10-28,2008-10-16,2008-10-07,2008-10-10,2008-10-04,2008-09-22,0.33701,0.34787,0.36525,0.33181,0.38281
acadia,DB,0001,falling,gcc_50,2007-10-29,2007-10-20,2007-10-02,2007-12-13,2007-10-29,2007-10-14,2007-10-20,2007-10-14,2007-09-26,0.34043,0.34927,0.36831,0.33364,0.39482
acadia,DB,0001,falling,gcc_mean,2015-10-26,2015-10-20,2015-10-05,2015-11-04,2015-10-26,2015-10-17,2015-10-23,2015-10-17,2015-10-02,0.34198,0.35255,0.37618,0.33009,0.40879
acadia,DB,0001,falling,gcc_mean,2014-10-23,2014-10-11,2014-09-23,2014-11-01,2014-10-17,2014-10-02,2014-10-17,2014-10-08,2014-09-20,0.3415,0.35758,0.384,0.33062,0.42628
