#
# Transition date estimate for ahwahnee
#
# Site: ahwahnee
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2009
# Year max: 2011
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:24
# Spline RMSE gcc_mean: 0.02229
# Spline RMSE gcc_50: 0.02408
# Spline RMSE gcc_75: 0.02052
# Spline RMSE gcc_90: 0.02106
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ahwahnee,GR,0001,rising,gcc_90,2009-03-18,2009-04-02,2009-04-17,2009-03-15,2009-03-15,2009-03-15,2009-05-23,2009-05-23,2009-05-23,0.34353,0.35032,0.36618,0.33796,0.38534
ahwahnee,GR,0001,rising,gcc_90,2010-03-15,2010-03-30,2010-04-23,2010-03-06,2010-03-24,2010-04-14,2010-03-21,2010-04-02,2010-04-26,0.34141,0.34939,0.36616,0.33593,0.38862
ahwahnee,GR,0001,rising,gcc_90,2011-04-02,2011-04-08,2011-04-20,2011-03-27,2011-04-05,2011-04-11,2011-04-05,2011-04-11,2011-04-23,0.34214,0.35386,0.37672,0.33354,0.39828
ahwahnee,GR,0001,rising,gcc_75,2009-03-15,2009-03-30,2009-04-20,2009-03-09,2009-03-15,2009-03-15,2009-03-18,2009-05-23,2009-05-23,0.34189,0.34889,0.36805,0.33659,0.38385
ahwahnee,GR,0001,rising,gcc_75,2010-03-15,2010-03-30,2010-04-23,2010-03-09,2010-03-24,2010-04-17,2010-03-18,2010-04-02,2010-04-26,0.34008,0.3482,0.36409,0.33449,0.38662
ahwahnee,GR,0001,rising,gcc_75,2011-04-02,2011-04-08,2011-04-20,2011-03-27,2011-04-05,2011-04-11,2011-04-05,2011-04-11,2011-04-23,0.34005,0.35165,0.3745,0.33242,0.39493
ahwahnee,GR,0001,rising,gcc_50,2009-03-15,2009-03-27,2009-04-20,2009-03-09,2009-03-15,2009-03-15,2009-03-18,2009-05-23,2009-05-23,0.34093,0.3474,0.3644,0.33481,0.38164
ahwahnee,GR,0001,rising,gcc_50,2010-03-12,2010-04-02,2010-04-23,2010-03-06,2010-03-24,2010-04-14,2010-03-18,2010-04-05,2010-04-26,0.33759,0.34582,0.36226,0.33238,0.38155
ahwahnee,GR,0001,rising,gcc_50,2011-04-02,2011-04-08,2011-04-20,2011-03-27,2011-04-05,2011-04-14,2011-04-05,2011-04-11,2011-04-23,0.33738,0.34739,0.37021,0.33062,0.39004
ahwahnee,GR,0001,rising,gcc_mean,2009-03-18,2009-04-05,2009-04-20,2009-03-15,2009-03-15,2009-03-15,2009-05-23,2009-05-23,2009-05-23,0.3399,0.34539,0.36045,0.33432,0.37834
ahwahnee,GR,0001,rising,gcc_mean,2010-03-18,2010-04-08,2010-04-26,2010-03-09,2010-03-30,2010-04-20,2010-03-21,2010-04-11,2010-04-29,0.33764,0.3447,0.35908,0.3324,0.37924
ahwahnee,GR,0001,rising,gcc_mean,2011-03-30,2011-04-08,2011-04-20,2011-03-24,2011-04-02,2011-04-11,2011-04-02,2011-04-11,2011-04-23,0.33541,0.34735,0.3678,0.32936,0.38572
ahwahnee,GR,0001,falling,gcc_90,2011-09-05,2011-08-18,2011-07-28,2011-09-14,2011-08-27,2011-08-06,2011-08-30,2011-08-15,2011-07-25,0.37205,0.3767,0.38485,0.36847,0.39828
ahwahnee,GR,0001,falling,gcc_90,2010-11-07,2010-10-11,2010-09-08,2010-11-16,2010-10-20,2010-09-17,2010-10-17,2010-10-05,2010-09-05,0.33992,0.34791,0.36806,0.33354,0.38862
ahwahnee,GR,0001,falling,gcc_90,2009-10-05,2009-09-23,2009-08-27,2009-10-11,2009-09-29,2009-09-08,2009-10-02,2009-09-20,2009-08-24,0.34162,0.34859,0.36294,0.33593,0.38534
ahwahnee,GR,0001,falling,gcc_75,2011-09-02,2011-08-18,2011-07-25,2011-09-14,2011-08-24,2011-08-06,2011-08-27,2011-08-12,2011-07-22,0.36922,0.37301,0.38211,0.36552,0.39493
ahwahnee,GR,0001,falling,gcc_75,2010-11-07,2010-10-08,2010-09-08,2010-11-16,2010-10-20,2010-09-17,2010-10-17,2010-09-29,2010-09-05,0.33838,0.34617,0.36573,0.33242,0.38662
ahwahnee,GR,0001,falling,gcc_75,2009-10-05,2009-09-23,2009-08-27,2009-10-11,2009-09-29,2009-09-05,2009-10-02,2009-09-20,2009-08-24,0.34005,0.34736,0.36151,0.33449,0.38385
ahwahnee,GR,0001,falling,gcc_50,2011-09-05,2011-08-18,2011-07-28,2011-09-14,2011-08-30,2011-08-09,2011-08-30,2011-08-15,2011-07-25,0.36409,0.36927,0.37665,0.36096,0.39004
ahwahnee,GR,0001,falling,gcc_50,2010-11-07,2010-10-08,2010-09-08,2010-11-16,2010-10-20,2010-09-17,2010-10-17,2010-09-29,2010-09-05,0.33649,0.34354,0.36117,0.33062,0.38155
ahwahnee,GR,0001,falling,gcc_50,2009-10-05,2009-09-23,2009-08-30,2009-10-11,2009-09-29,2009-09-08,2009-10-02,2009-09-20,2009-08-27,0.33774,0.3458,0.35865,0.33238,0.38164
ahwahnee,GR,0001,falling,gcc_mean,2011-08-15,2011-08-06,2011-07-19,2011-09-05,2011-08-12,2011-07-28,2011-08-09,2011-07-31,2011-07-16,0.3638,0.36715,0.37654,0.36086,0.38572
ahwahnee,GR,0001,falling,gcc_mean,2010-11-10,2010-10-14,2010-09-11,2010-11-16,2010-10-20,2010-09-20,2010-10-17,2010-10-05,2010-09-08,0.33505,0.34241,0.35794,0.32936,0.37924
ahwahnee,GR,0001,falling,gcc_mean,2009-10-05,2009-09-23,2009-08-30,2009-10-11,2009-09-29,2009-09-08,2009-10-02,2009-09-20,2009-08-27,0.33759,0.3452,0.35716,0.3324,0.37832
