#
# Transition date estimate for alligatorriver
#
# Site: alligatorriver
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:24
# Spline RMSE gcc_mean: 0.05302
# Spline RMSE gcc_50: 0.04919
# Spline RMSE gcc_75: 0.04185
# Spline RMSE gcc_90: 0.04216
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
alligatorriver,DB,0001,rising,gcc_90,2013-04-17,2013-04-20,2013-04-26,2013-04-14,2013-04-14,2013-04-17,2013-04-20,2013-04-23,2013-04-29,0.38733,0.40058,0.41837,0.37455,0.43175
alligatorriver,DB,0001,rising,gcc_90,2014-04-02,2014-04-08,2014-04-20,2014-03-30,2014-04-05,2014-04-14,2014-04-05,2014-04-11,2014-04-23,0.34411,0.35859,0.40244,0.33218,0.43476
alligatorriver,DB,0001,rising,gcc_90,2015-04-05,2015-04-11,2015-04-20,2015-04-02,2015-04-08,2015-04-14,2015-04-08,2015-04-14,2015-04-23,0.34315,0.36035,0.39878,0.33183,0.43955
alligatorriver,DB,0001,rising,gcc_75,2013-04-17,2013-04-20,2013-04-26,2013-04-14,2013-04-14,2013-04-17,2013-04-20,2013-04-23,2013-04-29,0.38228,0.39549,0.41345,0.37011,0.42508
alligatorriver,DB,0001,rising,gcc_75,2014-04-02,2014-04-11,2014-04-20,2014-03-30,2014-04-05,2014-04-14,2014-04-05,2014-04-14,2014-04-23,0.34068,0.3635,0.3976,0.3298,0.43024
alligatorriver,DB,0001,rising,gcc_75,2015-04-05,2015-04-11,2015-04-20,2015-04-02,2015-04-08,2015-04-14,2015-04-08,2015-04-14,2015-04-23,0.34101,0.35781,0.39457,0.32944,0.43307
alligatorriver,DB,0001,rising,gcc_50,2013-04-17,2013-04-20,2013-04-26,2013-04-14,2013-04-14,2013-04-17,2013-04-20,2013-04-23,2013-04-29,0.37662,0.38899,0.40614,0.36536,0.41424
alligatorriver,DB,0001,rising,gcc_50,2014-04-02,2014-04-11,2014-04-20,2014-03-30,2014-04-05,2014-04-14,2014-04-05,2014-04-14,2014-04-23,0.33672,0.35846,0.39003,0.32558,0.42235
alligatorriver,DB,0001,rising,gcc_50,2015-04-05,2015-04-11,2015-04-20,2015-03-30,2015-04-08,2015-04-14,2015-04-08,2015-04-14,2015-04-23,0.3369,0.35263,0.38664,0.32518,0.42221
alligatorriver,DB,0001,rising,gcc_mean,2013-04-17,2013-04-20,2013-04-26,2013-04-14,2013-04-17,2013-04-20,2013-04-20,2013-04-23,2013-04-29,0.36934,0.38133,0.39779,0.36524,0.40501
alligatorriver,DB,0001,rising,gcc_mean,2014-04-05,2014-04-11,2014-04-20,2014-03-30,2014-04-05,2014-04-14,2014-04-08,2014-04-14,2014-04-23,0.33873,0.35384,0.38446,0.32421,0.41187
alligatorriver,DB,0001,rising,gcc_mean,2015-04-08,2015-04-11,2015-04-20,2015-04-02,2015-04-08,2015-04-14,2015-04-11,2015-04-14,2015-04-23,0.33821,0.3465,0.37763,0.32394,0.4108
alligatorriver,DB,0001,falling,gcc_90,2015-10-17,2015-10-11,2015-09-23,2015-10-20,2015-10-14,2015-10-02,2015-10-14,2015-10-08,2015-09-20,0.34912,0.3632,0.3913,0.33492,0.43955
alligatorriver,DB,0001,falling,gcc_90,2014-10-20,2014-10-14,2014-09-20,2014-10-26,2014-10-17,2014-09-29,2014-10-17,2014-10-11,2014-09-17,0.34747,0.35853,0.38941,0.33183,0.43476
alligatorriver,DB,0001,falling,gcc_90,2013-10-23,2013-10-14,2013-09-14,2013-10-26,2013-10-20,2013-09-23,2013-10-20,2013-10-11,2013-09-11,0.34441,0.35792,0.38798,0.33218,0.43175
alligatorriver,DB,0001,falling,gcc_90,2012-10-19,2012-10-07,2012-09-13,2012-10-25,2012-10-13,2012-09-22,2012-10-16,2012-10-04,2012-09-10,0.34415,0.36137,0.38826,0.33322,0.43276
alligatorriver,DB,0001,falling,gcc_75,2015-10-17,2015-10-11,2015-09-23,2015-10-20,2015-10-14,2015-10-02,2015-10-14,2015-10-08,2015-09-20,0.34607,0.35924,0.38575,0.33335,0.43307
alligatorriver,DB,0001,falling,gcc_75,2014-10-20,2014-10-14,2014-09-20,2014-10-26,2014-10-17,2014-09-29,2014-10-17,2014-10-11,2014-09-17,0.34465,0.35614,0.38507,0.32944,0.43024
alligatorriver,DB,0001,falling,gcc_75,2013-10-23,2013-10-14,2013-09-14,2013-10-29,2013-10-20,2013-09-23,2013-10-20,2013-10-11,2013-09-11,0.34144,0.35449,0.38438,0.3298,0.42508
alligatorriver,DB,0001,falling,gcc_75,2012-10-19,2012-10-07,2012-09-13,2012-10-25,2012-10-13,2012-09-22,2012-10-16,2012-10-04,2012-09-10,0.34228,0.35794,0.38414,0.3312,0.42678
alligatorriver,DB,0001,falling,gcc_50,2015-10-17,2015-10-11,2015-09-23,2015-10-20,2015-10-14,2015-10-02,2015-10-14,2015-10-08,2015-09-20,0.34206,0.35359,0.37836,0.32992,0.42221
alligatorriver,DB,0001,falling,gcc_50,2014-10-20,2014-10-14,2014-09-23,2014-10-26,2014-10-20,2014-10-02,2014-10-17,2014-10-11,2014-09-20,0.3407,0.35295,0.37727,0.32518,0.42235
alligatorriver,DB,0001,falling,gcc_50,2013-10-23,2013-10-14,2013-09-17,2013-10-29,2013-10-20,2013-09-26,2013-10-20,2013-10-11,2013-09-14,0.3377,0.35082,0.37398,0.32558,0.41424
alligatorriver,DB,0001,falling,gcc_50,2012-10-19,2012-10-07,2012-09-13,2012-10-28,2012-10-13,2012-09-22,2012-10-16,2012-10-04,2012-09-10,0.33893,0.35276,0.37718,0.32882,0.41858
alligatorriver,DB,0001,falling,gcc_mean,2015-10-17,2015-10-11,2015-09-26,2015-10-20,2015-10-14,2015-10-05,2015-10-14,2015-10-08,2015-09-23,0.33898,0.35044,0.37375,0.32857,0.4108
alligatorriver,DB,0001,falling,gcc_mean,2014-10-20,2014-10-14,2014-09-23,2014-10-26,2014-10-20,2014-10-02,2014-10-17,2014-10-11,2014-09-20,0.3365,0.34788,0.37334,0.32394,0.41187
alligatorriver,DB,0001,falling,gcc_mean,2013-10-23,2013-10-17,2013-09-17,2013-10-29,2013-10-23,2013-09-26,2013-10-20,2013-10-14,2013-09-14,0.3358,0.34499,0.36737,0.32421,0.40501
alligatorriver,DB,0001,falling,gcc_mean,2012-10-22,2012-10-07,2012-09-16,2012-11-15,2012-10-13,2012-09-25,2012-10-16,2012-10-04,2012-09-13,0.33624,0.35301,0.3752,0.32646,0.41689
