#
# Transition date estimate for arbutuslake
#
# Site: arbutuslake
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2012
# Year max: 2014
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:24
# Spline RMSE gcc_mean: 0.02524
# Spline RMSE gcc_50: 0.02609
# Spline RMSE gcc_75: 0.02545
# Spline RMSE gcc_90: 0.02015
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
arbutuslake,DB,0002,rising,gcc_90,2012-05-07,2012-05-10,2012-05-16,2012-05-01,2012-05-07,2012-05-10,2012-05-10,2012-05-13,2012-05-19,0.36818,0.3793,0.4094,0.35653,0.41932
arbutuslake,DB,0002,rising,gcc_90,2013-04-29,2013-05-08,2013-05-17,2013-04-23,2013-05-02,2013-05-11,2013-05-02,2013-05-11,2013-05-20,0.36434,0.37801,0.40385,0.3581,0.4198
arbutuslake,DB,0002,rising,gcc_90,2014-05-11,2014-05-17,2014-05-23,2014-05-05,2014-05-11,2014-05-17,2014-05-14,2014-05-20,2014-05-26,0.3677,0.38322,0.40655,0.35915,0.42082
arbutuslake,DB,0002,rising,gcc_75,2012-05-04,2012-05-07,2012-05-16,2012-05-01,2012-05-04,2012-05-10,2012-05-07,2012-05-10,2012-05-19,0.36293,0.37069,0.40215,0.35472,0.41192
arbutuslake,DB,0002,rising,gcc_75,2013-04-29,2013-05-08,2013-05-17,2013-04-20,2013-05-02,2013-05-08,2013-05-02,2013-05-11,2013-05-20,0.36299,0.37513,0.40021,0.35604,0.41327
arbutuslake,DB,0002,rising,gcc_75,2014-05-11,2014-05-17,2014-05-23,2014-05-05,2014-05-11,2014-05-17,2014-05-14,2014-05-20,2014-05-26,0.36563,0.38035,0.40119,0.3575,0.41564
arbutuslake,DB,0002,rising,gcc_50,2012-05-04,2012-05-07,2012-05-16,2012-05-01,2012-05-04,2012-05-10,2012-05-07,2012-05-10,2012-05-19,0.35965,0.3673,0.39404,0.35198,0.40269
arbutuslake,DB,0002,rising,gcc_50,2013-04-29,2013-05-05,2013-05-17,2013-04-20,2013-05-02,2013-05-08,2013-05-02,2013-05-08,2013-05-20,0.36,0.36742,0.39544,0.35342,0.40609
arbutuslake,DB,0002,rising,gcc_50,2014-05-11,2014-05-14,2014-05-23,2014-05-05,2014-05-11,2014-05-17,2014-05-14,2014-05-17,2014-05-26,0.36224,0.36771,0.39346,0.35454,0.40522
arbutuslake,DB,0002,rising,gcc_mean,2012-05-04,2012-05-07,2012-05-16,2012-05-01,2012-05-04,2012-05-10,2012-05-07,2012-05-10,2012-05-19,0.3577,0.36512,0.39176,0.35152,0.40045
arbutuslake,DB,0002,rising,gcc_mean,2013-04-29,2013-05-05,2013-05-17,2013-04-23,2013-05-02,2013-05-08,2013-05-02,2013-05-08,2013-05-20,0.35877,0.36599,0.39316,0.35304,0.4031
arbutuslake,DB,0002,rising,gcc_mean,2014-05-11,2014-05-17,2014-05-23,2014-05-08,2014-05-11,2014-05-17,2014-05-14,2014-05-20,2014-05-26,0.36101,0.3743,0.39183,0.35435,0.40376
