#
# Transition date estimate for armoklahoma
#
# Site: armoklahoma
# Veg Type: AG
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2004
# Year max: 2010
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:05:56
# Spline RMSE gcc_mean: 0.22748
# Spline RMSE gcc_50: 0.22955
# Spline RMSE gcc_75: 0.22946
# Spline RMSE gcc_90: 0.22908
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
armoklahoma,AG,0001,rising,gcc_90,2004-02-19,2004-02-25,2004-03-08,2004-02-16,2004-02-19,2004-02-28,2004-02-22,2004-02-28,2004-03-11,0.37825,0.39813,0.43961,0.36523,0.47338
armoklahoma,AG,0001,rising,gcc_90,2007-02-25,2007-03-06,2007-03-18,2007-02-22,2007-02-28,2007-03-09,2007-02-28,2007-03-09,2007-03-21,0.36732,0.39704,0.4448,0.35313,0.49079
armoklahoma,AG,0001,rising,gcc_90,2008-04-13,2008-04-28,2008-05-25,2008-04-04,2008-04-22,2008-05-16,2008-04-16,2008-05-01,2008-05-28,0.3555,0.3714,0.4054,0.34315,0.45064
armoklahoma,AG,0001,rising,gcc_90,2010-02-19,2010-02-25,2010-03-12,2010-02-13,2010-02-22,2010-03-06,2010-02-22,2010-02-28,2010-03-15,0.3783,0.3913,0.42933,0.36215,0.47815
armoklahoma,AG,0001,rising,gcc_75,2004-02-19,2004-02-25,2004-03-08,2004-02-16,2004-02-19,2004-02-28,2004-02-22,2004-02-28,2004-03-11,0.37825,0.39813,0.43961,0.36522,0.47338
armoklahoma,AG,0001,rising,gcc_75,2007-02-25,2007-03-06,2007-03-18,2007-02-22,2007-02-28,2007-03-09,2007-02-28,2007-03-09,2007-03-21,0.36732,0.39704,0.4448,0.35313,0.49079
armoklahoma,AG,0001,rising,gcc_75,2008-04-13,2008-04-28,2008-05-25,2008-04-04,2008-04-22,2008-05-16,2008-04-16,2008-05-01,2008-05-28,0.3555,0.3714,0.4054,0.34315,0.45064
armoklahoma,AG,0001,rising,gcc_75,2010-02-19,2010-02-25,2010-03-12,2010-02-13,2010-02-22,2010-03-03,2010-02-22,2010-02-28,2010-03-15,0.37821,0.39116,0.42938,0.36215,0.47276
armoklahoma,AG,0001,rising,gcc_50,2004-02-19,2004-02-25,2004-03-08,2004-02-16,2004-02-19,2004-02-28,2004-02-22,2004-02-28,2004-03-11,0.37825,0.39813,0.4396,0.36522,0.47338
armoklahoma,AG,0001,rising,gcc_50,2007-02-25,2007-03-06,2007-03-18,2007-02-22,2007-02-28,2007-03-09,2007-02-28,2007-03-09,2007-03-21,0.36732,0.39704,0.4448,0.35313,0.49079
