#
# Transition date estimate for asa
#
# Site: asa
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2011
# Year max: 2013
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:25
# Spline RMSE gcc_mean: 0.01792
# Spline RMSE gcc_50: 0.01962
# Spline RMSE gcc_75: 0.0196
# Spline RMSE gcc_90: 0.02283
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
asa,DB,0001,rising,gcc_90,2011-04-08,2011-04-23,2011-05-14,2011-03-30,2011-04-17,2011-05-05,2011-04-11,2011-04-26,2011-05-17,0.30508,0.31095,0.32476,0.30007,0.34236
asa,DB,0001,rising,gcc_90,2012-05-01,2012-05-10,2012-05-22,2012-04-25,2012-05-04,2012-05-16,2012-05-04,2012-05-13,2012-05-25,0.31119,0.31825,0.32839,0.30639,0.34411
asa,DB,0001,rising,gcc_90,2013-04-29,2013-05-11,2013-05-23,2013-04-20,2013-04-20,2013-04-20,2013-07-07,2013-07-07,2013-07-07,0.3072,0.31308,0.32767,0.30272,0.34193
asa,DB,0001,rising,gcc_75,2011-04-11,2011-04-26,2011-05-14,2011-03-24,2011-04-23,2011-05-05,2011-04-17,2011-04-29,2011-05-17,0.30293,0.30943,0.32285,0.29834,0.34044
asa,DB,0001,rising,gcc_75,2012-05-04,2012-05-10,2012-05-22,2012-04-28,2012-05-07,2012-05-16,2012-05-07,2012-05-13,2012-05-25,0.30981,0.3147,0.32771,0.30476,0.34142
asa,DB,0001,rising,gcc_75,2013-04-29,2013-05-08,2013-05-20,2013-04-20,2013-04-20,2013-04-20,2013-07-07,2013-07-07,2013-07-07,0.30504,0.31219,0.32535,0.30089,0.33897
asa,DB,0001,rising,gcc_50,2011-04-02,2011-04-26,2011-05-11,2011-03-21,2011-04-20,2011-05-05,2011-04-17,2011-04-29,2011-05-14,0.30084,0.30756,0.31887,0.29659,0.33667
asa,DB,0001,rising,gcc_50,2012-05-04,2012-05-10,2012-05-22,2012-04-28,2012-05-04,2012-05-13,2012-05-07,2012-05-13,2012-05-25,0.30811,0.31304,0.3259,0.30292,0.33807
asa,DB,0001,rising,gcc_50,2013-04-20,2013-05-05,2013-05-17,2013-04-08,2013-04-20,2013-04-20,2013-04-23,2013-07-07,2013-07-07,0.30289,0.30942,0.3208,0.2991,0.33538
asa,DB,0001,rising,gcc_mean,2011-03-30,2011-04-26,2011-05-11,2011-03-21,2011-04-20,2011-05-05,2011-04-14,2011-04-29,2011-05-14,0.30038,0.30835,0.31911,0.29624,0.33703
asa,DB,0001,rising,gcc_mean,2012-05-04,2012-05-10,2012-05-22,2012-04-28,2012-05-04,2012-05-13,2012-05-07,2012-05-13,2012-05-25,0.30835,0.31309,0.32577,0.30298,0.3379
asa,DB,0001,rising,gcc_mean,2013-04-14,2013-05-05,2013-05-17,2013-04-05,2013-04-20,2013-04-20,2013-04-23,2013-07-07,2013-07-07,0.30264,0.30934,0.32053,0.29893,0.33559
asa,DB,0001,falling,gcc_90,2013-10-14,2013-10-05,2013-09-20,2013-10-20,2013-10-08,2013-09-29,2013-10-11,2013-10-02,2013-09-17,0.30993,0.31531,0.32775,0.3058,0.3419
asa,DB,0001,falling,gcc_90,2012-10-31,2012-10-13,2012-09-22,2012-11-09,2012-10-19,2012-10-01,2012-10-25,2012-10-10,2012-09-19,0.30721,0.31355,0.32612,0.30267,0.34411
asa,DB,0001,falling,gcc_90,2011-10-20,2011-10-05,2011-09-17,2011-10-26,2011-10-11,2011-09-26,2011-10-14,2011-10-02,2011-09-14,0.31014,0.3163,0.32736,0.30639,0.34236
asa,DB,0001,falling,gcc_75,2013-10-08,2013-10-02,2013-09-20,2013-10-14,2013-10-08,2013-09-29,2013-10-05,2013-09-29,2013-09-17,0.30877,0.31452,0.32818,0.3045,0.33896
asa,DB,0001,falling,gcc_75,2012-11-15,2012-10-10,2012-09-25,2012-11-24,2012-10-16,2012-10-04,2012-10-22,2012-10-07,2012-09-22,0.30544,0.31298,0.32552,0.30081,0.34142
asa,DB,0001,falling,gcc_75,2011-10-20,2011-10-05,2011-09-17,2011-10-29,2011-10-11,2011-09-26,2011-10-14,2011-10-02,2011-09-14,0.30841,0.31378,0.32687,0.30476,0.34044
asa,DB,0001,falling,gcc_50,2013-10-08,2013-10-02,2013-09-23,2013-10-14,2013-10-08,2013-09-29,2013-10-05,2013-09-29,2013-09-20,0.3072,0.313,0.32347,0.30278,0.33537
asa,DB,0001,falling,gcc_50,2012-11-18,2012-10-13,2012-09-28,2012-11-27,2012-10-16,2012-10-04,2012-11-12,2012-10-10,2012-09-25,0.30378,0.30926,0.32165,0.29908,0.33807
asa,DB,0001,falling,gcc_50,2011-10-23,2011-10-05,2011-09-20,2011-11-01,2011-10-14,2011-09-26,2011-10-17,2011-10-02,2011-09-17,0.30643,0.31257,0.32303,0.30292,0.33667
asa,DB,0001,falling,gcc_mean,2013-10-08,2013-10-02,2013-09-23,2013-10-14,2013-10-08,2013-09-29,2013-10-05,2013-09-29,2013-09-20,0.30782,0.31345,0.32366,0.30313,0.33559
asa,DB,0001,falling,gcc_mean,2012-11-21,2012-10-13,2012-09-28,2012-11-27,2012-10-19,2012-10-04,2012-11-15,2012-10-10,2012-09-25,0.30289,0.30948,0.32164,0.29892,0.3379
asa,DB,0001,falling,gcc_mean,2011-10-20,2011-10-05,2011-09-20,2011-10-29,2011-10-11,2011-09-26,2011-10-17,2011-10-02,2011-09-17,0.30717,0.31261,0.32313,0.30298,0.33703
