#
# Transition date estimate for asa
#
# Site: asa
# Veg Type: GR
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2011
# Year max: 2013
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:25
# Spline RMSE gcc_mean: 0.02151
# Spline RMSE gcc_50: 0.02336
# Spline RMSE gcc_75: 0.02338
# Spline RMSE gcc_90: 0.02183
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
asa,GR,0001,rising,gcc_90,2011-05-02,2011-05-14,2011-05-29,2011-04-26,2011-05-08,2011-05-23,2011-05-05,2011-05-17,2011-06-01,0.31305,0.32318,0.34114,0.30544,0.36579
asa,GR,0001,rising,gcc_90,2012-05-01,2012-05-10,2012-05-28,2012-04-25,2012-05-07,2012-05-19,2012-05-04,2012-05-13,2012-05-31,0.31152,0.31911,0.33978,0.30597,0.35799
asa,GR,0001,rising,gcc_90,2013-05-08,2013-05-14,2013-05-26,2013-04-20,2013-04-20,2013-04-20,2013-07-07,2013-07-07,2013-07-07,0.31318,0.31879,0.33681,0.30608,0.35605
asa,GR,0001,rising,gcc_75,2011-04-29,2011-05-11,2011-05-29,2011-04-23,2011-05-08,2011-05-20,2011-05-02,2011-05-14,2011-06-01,0.31074,0.31878,0.33861,0.30398,0.36237
asa,GR,0001,rising,gcc_75,2012-05-01,2012-05-10,2012-05-28,2012-04-25,2012-05-07,2012-05-19,2012-05-04,2012-05-13,2012-05-31,0.31071,0.3181,0.33757,0.30495,0.35539
asa,GR,0001,rising,gcc_75,2013-05-08,2013-05-14,2013-05-26,2013-04-20,2013-04-20,2013-04-20,2013-07-07,2013-07-07,2013-07-07,0.31146,0.31755,0.33483,0.30482,0.35255
asa,GR,0001,rising,gcc_50,2011-04-26,2011-05-11,2011-05-29,2011-04-20,2011-05-08,2011-05-20,2011-04-29,2011-05-14,2011-06-01,0.30809,0.31705,0.33573,0.3023,0.35841
asa,GR,0001,rising,gcc_50,2012-05-01,2012-05-10,2012-05-25,2012-04-22,2012-05-07,2012-05-19,2012-05-04,2012-05-13,2012-05-28,0.3094,0.31662,0.33154,0.30325,0.35191
asa,GR,0001,rising,gcc_50,2013-05-05,2013-05-14,2013-05-26,2013-04-20,2013-04-20,2013-04-20,2013-07-07,2013-07-07,2013-07-07,0.3087,0.31647,0.33321,0.30322,0.34874
asa,GR,0001,rising,gcc_mean,2011-04-26,2011-05-11,2011-05-29,2011-04-20,2011-05-05,2011-05-20,2011-04-29,2011-05-14,2011-06-01,0.30808,0.31707,0.33556,0.30156,0.35769
