#
# Transition date estimate for ashburnham
#
# Site: ashburnham
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 1
# Year min: 2012
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:05:56
# Spline RMSE gcc_mean: 0.03479
# Spline RMSE gcc_50: 0.03184
# Spline RMSE gcc_75: 0.02808
# Spline RMSE gcc_90: 0.02779
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
ashburnham,DB,0002,rising,gcc_90,2012-04-19,2012-04-25,2012-05-10,2012-04-13,2012-04-22,2012-05-04,2012-04-22,2012-04-28,2012-05-13,0.33187,0.33655,0.35666,0.32509,0.37013
ashburnham,DB,0002,rising,gcc_90,2013-05-02,2013-05-08,2013-05-14,2013-04-29,2013-05-02,2013-05-08,2013-05-05,2013-05-11,2013-05-17,0.32548,0.33569,0.34706,0.32083,0.36119
ashburnham,DB,0002,rising,gcc_90,2014-05-08,2014-05-11,2014-05-20,2014-05-02,2014-05-08,2014-05-14,2014-05-11,2014-05-14,2014-05-23,0.32733,0.33211,0.35043,0.32181,0.36237
ashburnham,DB,0002,rising,gcc_90,2015-05-05,2015-05-08,2015-05-17,2015-05-02,2015-05-05,2015-05-08,2015-05-08,2015-05-11,2015-05-20,0.33161,0.33751,0.35542,0.3243,0.36545
ashburnham,DB,0002,rising,gcc_75,2012-04-16,2012-04-25,2012-05-10,2012-04-13,2012-04-22,2012-05-01,2012-04-19,2012-04-28,2012-05-13,0.32877,0.3354,0.3553,0.32432,0.36726
ashburnham,DB,0002,rising,gcc_75,2013-05-02,2013-05-05,2013-05-14,2013-04-26,2013-05-02,2013-05-08,2013-05-05,2013-05-08,2013-05-17,0.32576,0.32966,0.34482,0.31944,0.35826
ashburnham,DB,0002,rising,gcc_75,2014-05-08,2014-05-11,2014-05-20,2014-05-02,2014-05-08,2014-05-14,2014-05-11,2014-05-14,2014-05-23,0.32752,0.33204,0.34824,0.32085,0.36074
ashburnham,DB,0002,rising,gcc_75,2015-05-05,2015-05-08,2015-05-17,2015-04-29,2015-05-05,2015-05-08,2015-05-08,2015-05-11,2015-05-20,0.33205,0.33732,0.35318,0.32356,0.36351
ashburnham,DB,0002,rising,gcc_50,2012-04-16,2012-04-25,2012-05-07,2012-04-10,2012-04-22,2012-05-01,2012-04-19,2012-04-28,2012-05-10,0.32723,0.33331,0.34809,0.32287,0.36217
ashburnham,DB,0002,rising,gcc_50,2013-04-29,2013-05-05,2013-05-14,2013-04-23,2013-05-02,2013-05-08,2013-05-02,2013-05-08,2013-05-17,0.32191,0.32813,0.34144,0.31741,0.3533
ashburnham,DB,0002,rising,gcc_50,2014-05-05,2014-05-11,2014-05-20,2014-05-02,2014-05-08,2014-05-14,2014-05-08,2014-05-14,2014-05-23,0.3237,0.33063,0.34557,0.31927,0.35751
ashburnham,DB,0002,rising,gcc_50,2015-05-02,2015-05-08,2015-05-14,2015-04-29,2015-05-02,2015-05-08,2015-05-05,2015-05-11,2015-05-17,0.32628,0.33611,0.34712,0.32246,0.35954
ashburnham,DB,0002,rising,gcc_mean,2012-04-13,2012-04-25,2012-05-07,2012-04-10,2012-04-19,2012-05-01,2012-04-16,2012-04-28,2012-05-10,0.32416,0.33058,0.34437,0.32039,0.35771
ashburnham,DB,0002,rising,gcc_mean,2013-04-29,2013-05-05,2013-05-14,2013-04-26,2013-05-02,2013-05-08,2013-05-02,2013-05-08,2013-05-17,0.3198,0.32583,0.33813,0.31601,0.34964
ashburnham,DB,0002,rising,gcc_mean,2014-05-08,2014-05-11,2014-05-20,2014-05-02,2014-05-08,2014-05-14,2014-05-11,2014-05-14,2014-05-23,0.32423,0.32825,0.342,0.31807,0.35416
ashburnham,DB,0002,rising,gcc_mean,2015-05-05,2015-05-08,2015-05-14,2015-04-29,2015-05-02,2015-05-08,2015-05-08,2015-05-11,2015-05-17,0.32929,0.33421,0.34449,0.32138,0.35614
ashburnham,DB,0002,falling,gcc_90,2015-10-08,2015-10-08,2015-09-29,2015-10-14,2015-10-11,2015-10-08,2015-10-05,2015-10-05,2015-09-26,0.3343,0.3343,0.35392,0.32268,0.36545
ashburnham,DB,0002,falling,gcc_90,2014-10-02,2014-09-26,2014-09-17,2014-10-05,2014-10-02,2014-09-26,2014-09-29,2014-09-23,2014-09-14,0.32971,0.33793,0.35273,0.3243,0.36237
ashburnham,DB,0002,falling,gcc_90,2013-09-29,2013-09-26,2013-09-17,2013-10-05,2013-09-29,2013-09-26,2013-09-26,2013-09-23,2013-09-14,0.32989,0.33472,0.34775,0.32181,0.36119
ashburnham,DB,0002,falling,gcc_90,2012-09-28,2012-09-25,2012-09-16,2012-10-04,2012-09-28,2012-09-25,2012-09-25,2012-09-22,2012-08-26,0.32958,0.3356,0.35154,0.32084,0.37013
ashburnham,DB,0002,falling,gcc_75,2015-10-08,2015-10-08,2015-09-29,2015-10-14,2015-10-11,2015-10-08,2015-10-05,2015-10-05,2015-09-26,0.33251,0.33251,0.35301,0.32161,0.36351
ashburnham,DB,0002,falling,gcc_75,2014-10-02,2014-09-29,2014-09-20,2014-10-05,2014-10-02,2014-09-26,2014-09-29,2014-09-26,2014-09-17,0.32827,0.33343,0.34645,0.32356,0.36074
ashburnham,DB,0002,falling,gcc_75,2013-09-29,2013-09-26,2013-09-17,2013-10-05,2013-10-02,2013-09-26,2013-09-26,2013-09-23,2013-09-14,0.32956,0.33406,0.34635,0.32085,0.35826
ashburnham,DB,0002,falling,gcc_75,2012-09-28,2012-09-25,2012-09-16,2012-10-04,2012-09-28,2012-09-25,2012-09-25,2012-09-22,2012-08-26,0.3282,0.33393,0.34571,0.31945,0.36726
ashburnham,DB,0002,falling,gcc_50,2015-10-08,2015-10-08,2015-09-29,2015-10-14,2015-10-11,2015-10-08,2015-10-05,2015-10-05,2015-09-26,0.33055,0.33055,0.3512,0.32003,0.35954
ashburnham,DB,0002,falling,gcc_50,2014-10-02,2014-09-29,2014-09-20,2014-10-05,2014-10-02,2014-09-26,2014-09-29,2014-09-26,2014-09-17,0.32673,0.33181,0.34454,0.32246,0.35751
ashburnham,DB,0002,falling,gcc_50,2013-09-29,2013-09-26,2013-09-20,2013-10-05,2013-10-02,2013-09-26,2013-09-26,2013-09-23,2013-09-17,0.32755,0.33199,0.34043,0.31927,0.3533
ashburnham,DB,0002,falling,gcc_50,2012-09-28,2012-09-25,2012-09-16,2012-10-04,2012-09-28,2012-09-25,2012-09-25,2012-09-22,2012-08-26,0.3255,0.33135,0.34322,0.31748,0.36217
ashburnham,DB,0002,falling,gcc_mean,2015-10-08,2015-10-08,2015-09-29,2015-10-14,2015-10-11,2015-10-08,2015-10-05,2015-10-05,2015-09-26,0.32833,0.32833,0.34834,0.31757,0.35614
ashburnham,DB,0002,falling,gcc_mean,2014-10-02,2014-09-29,2014-09-20,2014-10-05,2014-10-02,2014-09-26,2014-09-29,2014-09-26,2014-09-17,0.32499,0.33005,0.34253,0.32138,0.35416
ashburnham,DB,0002,falling,gcc_mean,2013-09-29,2013-09-29,2013-09-20,2013-10-05,2013-10-02,2013-09-26,2013-09-26,2013-09-26,2013-09-17,0.32616,0.32616,0.33875,0.31807,0.34964
ashburnham,DB,0002,falling,gcc_mean,2012-09-28,2012-09-25,2012-09-16,2012-10-01,2012-09-28,2012-09-25,2012-09-25,2012-09-22,2012-08-26,0.32255,0.32865,0.33981,0.31604,0.35771
