#
# Transition date estimate for bartlett
#
# Site: bartlett
# Veg Type: DB
# ROI ID Number: 0003
# Aggregation period: 3
# Year min: 2007
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:26
# Spline RMSE gcc_mean: 0.0329
# Spline RMSE gcc_50: 0.03236
# Spline RMSE gcc_75: 0.04836
# Spline RMSE gcc_90: 0.05486
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bartlett,DB,0003,rising,gcc_90,2007-05-05,2007-05-08,2007-05-17,2007-04-29,2007-05-05,2007-05-11,2007-05-08,2007-05-11,2007-05-20,0.35366,0.36217,0.39215,0.34098,0.41324
bartlett,DB,0003,rising,gcc_90,2008-05-07,2008-05-10,2008-05-19,2008-05-01,2008-05-07,2008-05-13,2008-05-10,2008-05-13,2008-05-22,0.35578,0.36372,0.38902,0.3443,0.41102
bartlett,DB,0003,rising,gcc_90,2009-05-02,2009-05-08,2009-05-17,2009-04-26,2009-05-02,2009-05-08,2009-05-05,2009-05-11,2009-05-20,0.35474,0.36928,0.3963,0.34512,0.41796
bartlett,DB,0003,rising,gcc_90,2010-04-26,2010-04-29,2010-05-08,2010-04-23,2010-04-26,2010-05-02,2010-04-29,2010-05-02,2010-05-11,0.35762,0.36687,0.39856,0.34545,0.41751
bartlett,DB,0003,rising,gcc_90,2011-05-05,2011-05-08,2011-05-17,2011-05-02,2011-05-05,2011-05-11,2011-05-08,2011-05-11,2011-05-20,0.35546,0.36478,0.39574,0.3455,0.41514
bartlett,DB,0003,rising,gcc_90,2012-04-28,2012-05-04,2012-05-13,2012-04-25,2012-05-01,2012-05-07,2012-05-01,2012-05-07,2012-05-16,0.35398,0.3674,0.39509,0.3457,0.41304
bartlett,DB,0003,rising,gcc_90,2013-05-02,2013-05-05,2013-05-14,2013-04-29,2013-05-02,2013-05-05,2013-05-05,2013-05-08,2013-05-17,0.35761,0.36777,0.40156,0.34581,0.41801
bartlett,DB,0003,rising,gcc_90,2014-05-11,2014-05-14,2014-05-20,2014-05-05,2014-05-08,2014-05-14,2014-05-14,2014-05-17,2014-05-23,0.36189,0.37166,0.3959,0.34531,0.41647
bartlett,DB,0003,rising,gcc_90,2015-05-05,2015-05-08,2015-05-17,2015-05-02,2015-05-05,2015-05-08,2015-05-08,2015-05-11,2015-05-20,0.3561,0.36628,0.39827,0.34514,0.41335
bartlett,DB,0003,rising,gcc_75,2007-05-05,2007-05-08,2007-05-17,2007-04-29,2007-05-05,2007-05-11,2007-05-08,2007-05-11,2007-05-20,0.35274,0.36064,0.38946,0.34086,0.41093
bartlett,DB,0003,rising,gcc_75,2008-05-07,2008-05-10,2008-05-19,2008-05-01,2008-05-07,2008-05-13,2008-05-10,2008-05-13,2008-05-22,0.35508,0.36291,0.38793,0.34384,0.40849
bartlett,DB,0003,rising,gcc_75,2009-05-02,2009-05-08,2009-05-17,2009-04-29,2009-05-02,2009-05-08,2009-05-05,2009-05-11,2009-05-20,0.35346,0.36756,0.3946,0.34464,0.41486
bartlett,DB,0003,rising,gcc_75,2010-04-26,2010-04-29,2010-05-08,2010-04-23,2010-04-26,2010-05-02,2010-04-29,2010-05-02,2010-05-11,0.35683,0.36587,0.39681,0.34488,0.41505
bartlett,DB,0003,rising,gcc_75,2011-05-05,2011-05-08,2011-05-17,2011-05-02,2011-05-05,2011-05-11,2011-05-08,2011-05-11,2011-05-20,0.35412,0.36304,0.39334,0.3449,0.41258
bartlett,DB,0003,rising,gcc_75,2012-04-28,2012-05-04,2012-05-13,2012-04-25,2012-05-01,2012-05-07,2012-05-01,2012-05-07,2012-05-16,0.35329,0.36669,0.39416,0.34514,0.41171
bartlett,DB,0003,rising,gcc_75,2013-05-02,2013-05-05,2013-05-14,2013-04-29,2013-05-02,2013-05-08,2013-05-05,2013-05-08,2013-05-17,0.35596,0.36548,0.39761,0.3452,0.41594
bartlett,DB,0003,rising,gcc_75,2014-05-11,2014-05-14,2014-05-20,2014-05-05,2014-05-08,2014-05-14,2014-05-14,2014-05-17,2014-05-23,0.35983,0.36919,0.39283,0.3447,0.4148
bartlett,DB,0003,rising,gcc_75,2015-05-05,2015-05-08,2015-05-17,2015-05-02,2015-05-05,2015-05-08,2015-05-08,2015-05-11,2015-05-20,0.35481,0.36491,0.39653,0.34456,0.41053
bartlett,DB,0003,rising,gcc_50,2007-05-08,2007-05-11,2007-05-17,2007-05-02,2007-05-05,2007-05-11,2007-05-11,2007-05-14,2007-05-20,0.35562,0.36699,0.38766,0.34034,0.40804
bartlett,DB,0003,rising,gcc_50,2008-05-07,2008-05-10,2008-05-19,2008-05-04,2008-05-07,2008-05-13,2008-05-10,2008-05-13,2008-05-22,0.35156,0.3605,0.38687,0.34308,0.40663
bartlett,DB,0003,rising,gcc_50,2009-05-02,2009-05-08,2009-05-17,2009-04-29,2009-05-05,2009-05-11,2009-05-05,2009-05-11,2009-05-20,0.35051,0.36473,0.39008,0.34352,0.41037
bartlett,DB,0003,rising,gcc_50,2010-04-29,2010-05-02,2010-05-08,2010-04-23,2010-04-29,2010-05-02,2010-05-02,2010-05-05,2010-05-11,0.35809,0.37117,0.39557,0.34394,0.41345
bartlett,DB,0003,rising,gcc_50,2011-05-08,2011-05-11,2011-05-20,2011-05-05,2011-05-08,2011-05-11,2011-05-11,2011-05-14,2011-05-23,0.35589,0.36551,0.39512,0.34392,0.40913
bartlett,DB,0003,rising,gcc_50,2012-05-01,2012-05-04,2012-05-13,2012-04-25,2012-05-01,2012-05-07,2012-05-04,2012-05-07,2012-05-16,0.35495,0.36186,0.39192,0.34426,0.40935
