#
# Transition date estimate for bartlettir
#
# Site: bartlettir
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 3
# Year min: 2008
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:27
# Spline RMSE gcc_mean: 0.07507
# Spline RMSE gcc_50: 0.0789
# Spline RMSE gcc_75: 0.05787
# Spline RMSE gcc_90: 0.05605
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bartlettir,DB,0001,rising,gcc_90,2009-05-02,2009-05-05,2009-05-14,2009-04-26,2009-05-02,2009-05-08,2009-05-05,2009-05-08,2009-05-17,0.38203,0.39245,0.43237,0.36901,0.46092
bartlettir,DB,0001,rising,gcc_90,2010-04-26,2010-04-29,2010-05-05,2010-04-20,2010-04-26,2010-04-29,2010-04-29,2010-05-02,2010-05-08,0.38575,0.40098,0.43009,0.36652,0.46346
bartlettir,DB,0001,rising,gcc_90,2011-05-05,2011-05-11,2011-05-17,2011-05-02,2011-05-05,2011-05-11,2011-05-08,2011-05-14,2011-05-20,0.37629,0.39999,0.43,0.36532,0.46194
bartlettir,DB,0001,rising,gcc_90,2012-04-25,2012-05-04,2012-05-13,2012-04-13,2012-05-01,2012-05-07,2012-04-28,2012-05-07,2012-05-16,0.37403,0.39311,0.43451,0.3638,0.45728
bartlettir,DB,0001,rising,gcc_90,2013-05-02,2013-05-05,2013-05-11,2013-04-26,2013-05-02,2013-05-05,2013-05-05,2013-05-08,2013-05-14,0.38567,0.3997,0.43173,0.36437,0.46673
bartlettir,DB,0001,rising,gcc_90,2014-05-08,2014-05-14,2014-05-20,2014-05-05,2014-05-08,2014-05-14,2014-05-11,2014-05-17,2014-05-23,0.37873,0.40922,0.44496,0.36708,0.47245
bartlettir,DB,0001,rising,gcc_90,2015-05-05,2015-05-08,2015-05-14,2015-04-29,2015-05-05,2015-05-08,2015-05-08,2015-05-11,2015-05-17,0.38996,0.40717,0.44213,0.3709,0.47159
bartlettir,DB,0001,rising,gcc_75,2009-05-02,2009-05-05,2009-05-14,2009-04-26,2009-05-02,2009-05-08,2009-05-05,2009-05-08,2009-05-17,0.3794,0.38961,0.42873,0.36691,0.45764
bartlettir,DB,0001,rising,gcc_75,2010-04-26,2010-04-29,2010-05-08,2010-04-20,2010-04-26,2010-04-29,2010-04-29,2010-05-02,2010-05-11,0.38246,0.39735,0.4415,0.36464,0.46152
bartlettir,DB,0001,rising,gcc_75,2011-05-08,2011-05-11,2011-05-17,2011-05-02,2011-05-05,2011-05-11,2011-05-11,2011-05-14,2011-05-20,0.38354,0.39573,0.42641,0.36302,0.45821
bartlettir,DB,0001,rising,gcc_75,2012-04-25,2012-05-04,2012-05-13,2012-04-13,2012-05-01,2012-05-07,2012-05-01,2012-05-07,2012-05-16,0.37209,0.38952,0.43148,0.36224,0.45459
bartlettir,DB,0001,rising,gcc_75,2013-05-02,2013-05-05,2013-05-14,2013-04-26,2013-05-02,2013-05-05,2013-05-05,2013-05-08,2013-05-17,0.38248,0.39589,0.4403,0.36248,0.46324
bartlettir,DB,0001,rising,gcc_75,2014-05-08,2014-05-14,2014-05-20,2014-05-05,2014-05-08,2014-05-14,2014-05-11,2014-05-17,2014-05-23,0.37603,0.40499,0.43967,0.36564,0.46834
bartlettir,DB,0001,rising,gcc_75,2015-05-05,2015-05-08,2015-05-14,2015-04-29,2015-05-05,2015-05-08,2015-05-08,2015-05-11,2015-05-17,0.38732,0.40387,0.43797,0.36861,0.46841
bartlettir,DB,0001,rising,gcc_50,2009-04-29,2009-05-05,2009-05-17,2009-04-26,2009-05-02,2009-05-08,2009-05-02,2009-05-08,2009-05-20,0.37281,0.38879,0.43322,0.36357,0.45483
bartlettir,DB,0001,rising,gcc_50,2010-04-20,2010-04-26,2010-05-05,2010-04-17,2010-04-23,2010-04-29,2010-04-23,2010-04-29,2010-05-08,0.3718,0.38882,0.42396,0.36106,0.45817
bartlettir,DB,0001,rising,gcc_50,2011-05-05,2011-05-11,2011-05-20,2011-05-02,2011-05-05,2011-05-11,2011-05-08,2011-05-14,2011-05-23,0.36885,0.39292,0.43199,0.35921,0.45188
bartlettir,DB,0001,rising,gcc_50,2012-04-25,2012-05-01,2012-05-13,2012-04-13,2012-04-28,2012-05-04,2012-04-28,2012-05-04,2012-05-16,0.36839,0.38202,0.42554,0.35693,0.4493
bartlettir,DB,0001,rising,gcc_50,2013-04-29,2013-05-02,2013-05-14,2013-04-23,2013-04-29,2013-05-05,2013-05-02,2013-05-05,2013-05-17,0.37356,0.38357,0.43242,0.35733,0.45746
bartlettir,DB,0001,rising,gcc_50,2014-05-08,2014-05-14,2014-05-20,2014-05-02,2014-05-08,2014-05-14,2014-05-11,2014-05-17,2014-05-23,0.3792,0.40023,0.43175,0.3623,0.46553
bartlettir,DB,0001,rising,gcc_50,2015-05-02,2015-05-08,2015-05-14,2015-04-26,2015-05-02,2015-05-08,2015-05-05,2015-05-11,2015-05-17,0.38032,0.40094,0.43171,0.36585,0.46405
bartlettir,DB,0001,rising,gcc_mean,2009-04-29,2009-05-05,2009-05-14,2009-04-23,2009-05-02,2009-05-08,2009-05-02,2009-05-08,2009-05-17,0.37287,0.38901,0.42018,0.36164,0.45327
bartlettir,DB,0001,rising,gcc_mean,2010-04-20,2010-04-26,2010-05-05,2010-04-14,2010-04-23,2010-04-29,2010-04-23,2010-04-29,2010-05-08,0.37132,0.38811,0.42296,0.36033,0.4575
bartlettir,DB,0001,rising,gcc_mean,2011-05-05,2011-05-11,2011-05-20,2011-05-02,2011-05-05,2011-05-11,2011-05-08,2011-05-14,2011-05-23,0.36978,0.39286,0.43092,0.35873,0.45159
bartlettir,DB,0001,rising,gcc_mean,2012-04-25,2012-05-01,2012-05-13,2012-04-19,2012-04-28,2012-05-04,2012-04-28,2012-05-04,2012-05-16,0.36809,0.38194,0.42523,0.35737,0.44936
bartlettir,DB,0001,rising,gcc_mean,2013-04-29,2013-05-02,2013-05-14,2013-04-23,2013-04-29,2013-05-05,2013-05-02,2013-05-05,2013-05-17,0.37371,0.38368,0.43266,0.3578,0.45848
bartlettir,DB,0001,rising,gcc_mean,2014-05-08,2014-05-11,2014-05-20,2014-05-02,2014-05-08,2014-05-14,2014-05-11,2014-05-14,2014-05-23,0.37849,0.38743,0.43077,0.36102,0.46459
bartlettir,DB,0001,rising,gcc_mean,2015-05-02,2015-05-08,2015-05-14,2015-04-26,2015-05-02,2015-05-08,2015-05-05,2015-05-11,2015-05-17,0.37874,0.39953,0.4307,0.36403,0.46281
bartlettir,DB,0001,falling,gcc_90,2015-10-05,2015-10-02,2015-09-20,2015-10-08,2015-10-05,2015-09-29,2015-10-02,2015-09-29,2015-09-17,0.38638,0.39795,0.43459,0.3697,0.47159
bartlettir,DB,0001,falling,gcc_90,2014-10-11,2014-09-23,2014-09-14,2014-10-17,2014-09-29,2014-09-20,2014-10-08,2014-09-20,2014-09-11,0.3815,0.40245,0.43663,0.3709,0.47245
bartlettir,DB,0001,falling,gcc_90,2013-10-02,2013-09-26,2013-09-14,2013-10-08,2013-09-29,2013-09-23,2013-09-29,2013-09-23,2013-09-11,0.3781,0.39271,0.43275,0.36708,0.46673
bartlettir,DB,0001,falling,gcc_90,2012-09-25,2012-09-22,2012-09-13,2012-10-01,2012-09-25,2012-09-19,2012-09-22,2012-09-19,2012-09-10,0.38125,0.39316,0.4247,0.36437,0.45728
bartlettir,DB,0001,falling,gcc_90,2011-10-08,2011-09-29,2011-09-14,2011-10-14,2011-10-02,2011-09-23,2011-10-05,2011-09-26,2011-09-11,0.37548,0.39022,0.42782,0.3638,0.46194
bartlettir,DB,0001,falling,gcc_90,2010-10-05,2010-09-29,2010-09-14,2010-10-11,2010-10-02,2010-09-23,2010-10-02,2010-09-26,2010-09-11,0.37969,0.39034,0.42625,0.36532,0.46346
bartlettir,DB,0001,falling,gcc_90,2009-09-29,2009-09-26,2009-09-14,2009-10-02,2009-09-29,2009-09-23,2009-09-26,2009-09-23,2009-09-11,0.37856,0.39012,0.42804,0.36652,0.46092
