#
# Transition date estimate for bitterootvalley
#
# Site: bitterootvalley
# Veg Type: DB
# ROI ID Number: 0003
# Aggregation period: 1
# Year min: 2011
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:05:57
# Spline RMSE gcc_mean: 0.03074
# Spline RMSE gcc_50: 0.03034
# Spline RMSE gcc_75: 0.0306
# Spline RMSE gcc_90: 0.03443
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bitterootvalley,DB,0003,rising,gcc_90,2012-04-19,2012-04-25,2012-05-10,2012-04-13,2012-04-22,2012-05-04,2012-04-22,2012-04-28,2012-05-13,0.34549,0.35428,0.37982,0.33414,0.41036
bitterootvalley,DB,0003,rising,gcc_90,2013-05-05,2013-05-14,2013-05-26,2013-05-02,2013-05-08,2013-05-20,2013-05-08,2013-05-17,2013-05-29,0.3384,0.35109,0.36912,0.33191,0.39381
bitterootvalley,DB,0003,rising,gcc_90,2014-04-26,2014-05-05,2014-05-20,2014-04-20,2014-05-02,2014-05-11,2014-04-29,2014-05-08,2014-05-23,0.33689,0.34571,0.3703,0.32893,0.39428
bitterootvalley,DB,0003,rising,gcc_90,2015-04-23,2015-05-02,2015-05-14,2015-04-17,2015-04-29,2015-05-08,2015-04-26,2015-05-05,2015-05-17,0.3373,0.34609,0.3658,0.33026,0.38889
bitterootvalley,DB,0003,rising,gcc_75,2012-04-16,2012-04-25,2012-05-10,2012-04-13,2012-04-22,2012-05-04,2012-04-19,2012-04-28,2012-05-13,0.34051,0.35297,0.37729,0.33294,0.40812
bitterootvalley,DB,0003,rising,gcc_75,2013-05-05,2013-05-14,2013-05-26,2013-05-02,2013-05-08,2013-05-20,2013-05-08,2013-05-17,2013-05-29,0.33729,0.34998,0.36706,0.33004,0.39125
bitterootvalley,DB,0003,rising,gcc_75,2014-04-26,2014-05-05,2014-05-20,2014-04-20,2014-05-02,2014-05-11,2014-04-29,2014-05-08,2014-05-23,0.33607,0.34455,0.36848,0.3282,0.39142
bitterootvalley,DB,0003,rising,gcc_75,2015-04-23,2015-05-02,2015-05-14,2015-04-17,2015-04-29,2015-05-08,2015-04-26,2015-05-05,2015-05-17,0.33589,0.34473,0.3643,0.32935,0.38582
bitterootvalley,DB,0003,rising,gcc_50,2012-04-19,2012-04-28,2012-05-10,2012-04-13,2012-04-22,2012-05-04,2012-04-22,2012-05-01,2012-05-13,0.3419,0.35433,0.37411,0.33155,0.40554
bitterootvalley,DB,0003,rising,gcc_50,2013-05-05,2013-05-11,2013-05-26,2013-05-02,2013-05-08,2013-05-17,2013-05-08,2013-05-14,2013-05-29,0.3367,0.34423,0.36543,0.32933,0.38834
bitterootvalley,DB,0003,rising,gcc_50,2014-04-23,2014-05-05,2014-05-20,2014-04-20,2014-05-02,2014-05-14,2014-04-26,2014-05-08,2014-05-23,0.33342,0.34324,0.36569,0.32723,0.38858
bitterootvalley,DB,0003,rising,gcc_50,2015-04-23,2015-05-02,2015-05-14,2015-04-17,2015-04-29,2015-05-08,2015-04-26,2015-05-05,2015-05-17,0.33486,0.34339,0.3623,0.3283,0.38263
bitterootvalley,DB,0003,rising,gcc_mean,2012-04-19,2012-04-25,2012-05-10,2012-04-16,2012-04-22,2012-05-04,2012-04-22,2012-04-28,2012-05-13,0.34093,0.35025,0.374,0.33129,0.40504
bitterootvalley,DB,0003,rising,gcc_mean,2013-05-05,2013-05-14,2013-05-26,2013-05-02,2013-05-08,2013-05-17,2013-05-08,2013-05-17,2013-05-29,0.33609,0.3491,0.36593,0.32913,0.38873
bitterootvalley,DB,0003,rising,gcc_mean,2014-04-23,2014-05-05,2014-05-20,2014-04-20,2014-05-02,2014-05-14,2014-04-26,2014-05-08,2014-05-23,0.33345,0.3432,0.36642,0.32697,0.38874
