#
# Transition date estimate for bostoncommon
#
# Site: bostoncommon
# Veg Type: DB
# ROI ID Number: 0001
# Aggregation period: 1
# Year min: 2010
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:05:58
# Spline RMSE gcc_mean: 0.06022
# Spline RMSE gcc_50: 0.06078
# Spline RMSE gcc_75: 0.05546
# Spline RMSE gcc_90: 0.05602
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bostoncommon,DB,0001,rising,gcc_90,2011-04-29,2011-04-29,2011-05-05,2011-04-23,2011-04-26,2011-04-29,2011-05-02,2011-05-02,2011-05-08,0.42807,0.42807,0.45512,0.41394,0.45607
bostoncommon,DB,0001,rising,gcc_90,2012-03-23,2012-04-04,2012-04-19,2012-03-20,2012-04-01,2012-04-13,2012-03-26,2012-04-07,2012-04-22,0.39468,0.40539,0.43337,0.38587,0.46195
bostoncommon,DB,0001,rising,gcc_90,2013-04-17,2013-04-23,2013-05-02,2013-04-14,2013-04-20,2013-04-26,2013-04-20,2013-04-26,2013-05-05,0.39365,0.40638,0.43619,0.38456,0.46155
bostoncommon,DB,0001,rising,gcc_90,2014-04-20,2014-05-02,2014-05-11,2014-04-11,2014-04-26,2014-05-05,2014-04-23,2014-05-05,2014-05-14,0.39287,0.41074,0.44448,0.38426,0.46556
bostoncommon,DB,0001,rising,gcc_90,2015-04-29,2015-05-02,2015-05-08,2015-04-23,2015-04-29,2015-05-02,2015-05-02,2015-05-05,2015-05-11,0.40385,0.41332,0.44284,0.39033,0.45535
bostoncommon,DB,0001,rising,gcc_75,2011-04-29,2011-04-29,2011-05-05,2011-04-23,2011-04-26,2011-04-29,2011-05-02,2011-05-02,2011-05-08,0.42401,0.42401,0.45049,0.41041,0.45142
bostoncommon,DB,0001,rising,gcc_75,2012-03-23,2012-04-04,2012-04-19,2012-03-20,2012-04-01,2012-04-13,2012-03-26,2012-04-07,2012-04-22,0.39145,0.40218,0.43049,0.38334,0.45761
bostoncommon,DB,0001,rising,gcc_75,2013-04-17,2013-04-23,2013-05-02,2013-04-14,2013-04-20,2013-04-26,2013-04-20,2013-04-26,2013-05-05,0.3909,0.40341,0.43278,0.38205,0.458
bostoncommon,DB,0001,rising,gcc_75,2014-04-20,2014-05-02,2014-05-11,2014-04-11,2014-04-26,2014-05-05,2014-04-23,2014-05-05,2014-05-14,0.39021,0.40774,0.44104,0.38165,0.46107
bostoncommon,DB,0001,rising,gcc_75,2015-04-26,2015-05-02,2015-05-08,2015-04-23,2015-04-26,2015-05-02,2015-04-29,2015-05-05,2015-05-11,0.3944,0.41128,0.44037,0.38686,0.45111
bostoncommon,DB,0001,rising,gcc_50,2011-04-29,2011-04-29,2011-05-05,2011-04-23,2011-04-26,2011-04-29,2011-05-02,2011-05-02,2011-05-08,0.42025,0.42025,0.44527,0.40687,0.44656
bostoncommon,DB,0001,rising,gcc_50,2012-03-23,2012-04-04,2012-04-19,2012-03-17,2012-04-01,2012-04-13,2012-03-26,2012-04-07,2012-04-22,0.38904,0.39914,0.42668,0.38032,0.45304
bostoncommon,DB,0001,rising,gcc_50,2013-04-17,2013-04-23,2013-05-02,2013-04-11,2013-04-20,2013-04-26,2013-04-20,2013-04-26,2013-05-05,0.38763,0.39995,0.42885,0.37861,0.45293
bostoncommon,DB,0001,rising,gcc_50,2014-04-20,2014-05-02,2014-05-11,2014-04-11,2014-04-26,2014-05-02,2014-04-23,2014-05-05,2014-05-14,0.38719,0.40445,0.43703,0.37835,0.45662
bostoncommon,DB,0001,rising,gcc_50,2015-04-26,2015-05-02,2015-05-08,2015-04-23,2015-04-26,2015-05-02,2015-04-29,2015-05-05,2015-05-11,0.39129,0.40797,0.43662,0.38343,0.44684
bostoncommon,DB,0001,rising,gcc_mean,2011-04-26,2011-04-29,2011-05-05,2011-04-23,2011-04-26,2011-04-29,2011-04-29,2011-05-02,2011-05-08,0.40451,0.41478,0.43754,0.39916,0.43848
bostoncommon,DB,0001,rising,gcc_mean,2012-03-26,2012-04-07,2012-04-19,2012-03-20,2012-04-01,2012-04-13,2012-03-29,2012-04-10,2012-04-22,0.38488,0.39699,0.41957,0.37787,0.44302
bostoncommon,DB,0001,rising,gcc_mean,2013-04-20,2013-04-23,2013-05-02,2013-04-14,2013-04-20,2013-04-26,2013-04-23,2013-04-26,2013-05-05,0.38644,0.39388,0.42195,0.37598,0.44414
bostoncommon,DB,0001,rising,gcc_mean,2014-04-23,2014-05-02,2014-05-11,2014-04-17,2014-04-29,2014-05-05,2014-04-26,2014-05-05,2014-05-14,0.38422,0.39846,0.42984,0.37643,0.44874
bostoncommon,DB,0001,rising,gcc_mean,2015-04-29,2015-05-02,2015-05-08,2015-04-23,2015-04-29,2015-05-02,2015-05-02,2015-05-05,2015-05-11,0.39296,0.40188,0.42928,0.38151,0.43889
bostoncommon,DB,0001,falling,gcc_90,2015-11-01,2015-10-26,2015-10-02,2015-11-07,2015-10-29,2015-10-14,2015-10-29,2015-10-23,2015-08-30,0.40981,0.41721,0.42924,0.40233,0.45535
bostoncommon,DB,0001,falling,gcc_90,2014-11-28,2014-11-19,2014-10-20,2014-12-07,2014-11-22,2014-10-29,2014-11-25,2014-11-16,2014-10-17,0.39946,0.40929,0.43242,0.39033,0.46556
bostoncommon,DB,0001,falling,gcc_90,2013-11-19,2013-11-07,2013-10-17,2013-11-22,2013-11-13,2013-10-26,2013-11-16,2013-11-04,2013-10-14,0.39277,0.40684,0.42772,0.38426,0.46155
bostoncommon,DB,0001,falling,gcc_90,2012-12-06,2012-11-18,2012-10-19,2012-12-09,2012-11-24,2012-10-28,2012-12-03,2012-11-15,2012-10-16,0.39267,0.40515,0.42736,0.38456,0.46195
bostoncommon,DB,0001,falling,gcc_90,2011-12-04,2011-11-16,2011-10-29,2011-12-10,2011-11-22,2011-11-07,2011-12-01,2011-11-13,2011-10-26,0.39356,0.40532,0.42701,0.38587,0.45607
bostoncommon,DB,0001,falling,gcc_90,2010-11-28,2010-11-19,2010-10-23,2010-12-04,2010-11-22,2010-10-29,2010-11-25,2010-11-16,2010-10-20,0.38933,0.39935,0.42123,0.37996,0.45417
bostoncommon,DB,0001,falling,gcc_75,2015-11-01,2015-10-26,2015-10-02,2015-11-07,2015-10-29,2015-10-14,2015-10-29,2015-10-23,2015-09-14,0.40726,0.41401,0.42621,0.39988,0.45111
bostoncommon,DB,0001,falling,gcc_75,2014-11-28,2014-11-16,2014-10-20,2014-12-04,2014-11-22,2014-10-29,2014-11-25,2014-11-13,2014-10-17,0.39472,0.40802,0.42721,0.38686,0.46107
bostoncommon,DB,0001,falling,gcc_75,2013-11-19,2013-11-07,2013-10-17,2013-11-25,2013-11-13,2013-10-26,2013-11-16,2013-11-04,2013-10-14,0.39068,0.40413,0.42474,0.38165,0.458
