#
# Transition date estimate for bostonu
#
# Site: bostonu
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2013
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:28
# Spline RMSE gcc_mean: 0.03681
# Spline RMSE gcc_50: 0.04181
# Spline RMSE gcc_75: 0.04759
# Spline RMSE gcc_90: 0.05028
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bostonu,DB,0002,rising,gcc_90,2014-05-08,2014-05-08,2014-05-14,2014-05-02,2014-05-05,2014-05-08,2014-05-11,2014-05-11,2014-05-17,0.34537,0.34537,0.36661,0.33143,0.37833
bostonu,DB,0002,rising,gcc_90,2015-05-05,2015-05-05,2015-05-14,2015-04-29,2015-05-02,2015-05-05,2015-05-08,2015-05-08,2015-05-17,0.33826,0.33826,0.36966,0.32458,0.37884
bostonu,DB,0002,rising,gcc_75,2014-05-08,2014-05-08,2014-05-14,2014-05-05,2014-05-05,2014-05-08,2014-05-11,2014-05-11,2014-05-17,0.33974,0.33974,0.36103,0.32733,0.37313
bostonu,DB,0002,rising,gcc_75,2015-05-05,2015-05-05,2015-05-14,2015-04-29,2015-05-02,2015-05-05,2015-05-08,2015-05-08,2015-05-17,0.33366,0.33366,0.36548,0.31959,0.37486
bostonu,DB,0002,rising,gcc_50,2014-05-08,2014-05-08,2014-05-14,2014-05-05,2014-05-05,2014-05-08,2014-05-11,2014-05-11,2014-05-17,0.33386,0.33386,0.35635,0.3216,0.36858
bostonu,DB,0002,rising,gcc_50,2015-05-05,2015-05-08,2015-05-14,2015-04-29,2015-05-02,2015-05-05,2015-05-08,2015-05-11,2015-05-17,0.32494,0.33846,0.35967,0.31105,0.36936
bostonu,DB,0002,rising,gcc_mean,2014-05-08,2014-05-08,2014-05-14,2014-05-05,2014-05-05,2014-05-08,2014-05-11,2014-05-11,2014-05-17,0.33382,0.33382,0.35577,0.322,0.36777
bostonu,DB,0002,rising,gcc_mean,2015-05-05,2015-05-08,2015-05-14,2015-04-29,2015-05-02,2015-05-05,2015-05-08,2015-05-11,2015-05-17,0.32557,0.33834,0.35861,0.31157,0.36806
bostonu,DB,0002,falling,gcc_90,2015-10-26,2015-10-23,2015-10-14,2015-11-01,2015-10-29,2015-10-23,2015-10-23,2015-10-20,2015-10-11,0.32807,0.33596,0.35314,0.31273,0.37884
bostonu,DB,0002,falling,gcc_90,2014-10-29,2014-10-26,2014-10-17,2014-11-04,2014-11-01,2014-10-26,2014-10-26,2014-10-23,2014-09-20,0.33733,0.34428,0.35578,0.32458,0.37833
bostonu,DB,0002,falling,gcc_90,2013-10-26,2013-10-23,2013-10-11,2013-10-29,2013-10-26,2013-10-20,2013-10-23,2013-10-20,2013-10-08,0.32655,0.33509,0.35182,0.32091,0.37348
bostonu,DB,0002,falling,gcc_75,2015-10-29,2015-10-23,2015-10-14,2015-11-01,2015-10-29,2015-10-23,2015-10-26,2015-10-20,2015-10-11,0.31637,0.33353,0.34794,0.30948,0.37486
bostonu,DB,0002,falling,gcc_75,2014-10-29,2014-10-26,2014-10-17,2014-11-04,2014-11-01,2014-10-26,2014-10-26,2014-10-23,2014-09-29,0.33115,0.33767,0.349,0.31959,0.37313
bostonu,DB,0002,falling,gcc_75,2013-10-26,2013-10-23,2013-10-11,2013-10-29,2013-10-26,2013-10-20,2013-10-23,2013-10-20,2013-09-20,0.32314,0.33185,0.34697,0.31663,0.36947
bostonu,DB,0002,falling,gcc_50,2015-10-29,2015-10-26,2015-10-14,2015-11-01,2015-10-29,2015-10-23,2015-10-26,2015-10-23,2015-10-11,0.30836,0.31913,0.34302,0.30064,0.36936
bostonu,DB,0002,falling,gcc_50,2014-10-29,2014-10-29,2014-10-20,2014-11-04,2014-11-01,2014-10-26,2014-10-26,2014-10-26,2014-10-17,0.32683,0.32683,0.3442,0.31105,0.36858
bostonu,DB,0002,falling,gcc_50,2013-10-26,2013-10-23,2013-10-14,2013-10-29,2013-10-26,2013-10-23,2013-10-23,2013-10-20,2013-10-11,0.31742,0.32668,0.34187,0.3093,0.36382
bostonu,DB,0002,falling,gcc_mean,2015-10-29,2015-10-26,2015-10-14,2015-11-01,2015-10-29,2015-10-23,2015-10-26,2015-10-23,2015-10-11,0.30788,0.31858,0.34233,0.30052,0.36806
bostonu,DB,0002,falling,gcc_mean,2014-10-29,2014-10-29,2014-10-17,2014-11-04,2014-11-01,2014-10-26,2014-10-26,2014-10-26,2014-10-14,0.32707,0.32707,0.34411,0.31157,0.36777
bostonu,DB,0002,falling,gcc_mean,2013-10-26,2013-10-23,2013-10-14,2013-10-29,2013-10-26,2013-10-23,2013-10-23,2013-10-20,2013-10-11,0.31758,0.32668,0.3412,0.30965,0.36298
