#
# Transition date estimate for boundarywaters
#
# Site: boundarywaters
# Veg Type: DB
# ROI ID Number: 0002
# Aggregation period: 3
# Year min: 2014
# Year max: 2015
# Final Processing Date: 2016-10-17
# Final Processing Time: 08:13:28
# Spline RMSE gcc_mean: 0.01615
# Spline RMSE gcc_50: 0.01436
# Spline RMSE gcc_75: 0.01398
# Spline RMSE gcc_90: 0.01641
#
sitename,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
boundarywaters,DB,0002,rising,gcc_90,2014-04-29,2014-05-23,2014-06-01,2014-04-14,2014-05-20,2014-05-26,2014-05-08,2014-05-26,2014-06-04,0.3407,0.35052,0.37514,0.33454,0.3949
boundarywaters,DB,0002,rising,gcc_90,2015-04-14,2015-05-17,2015-05-29,2015-04-02,2015-05-02,2015-05-23,2015-04-26,2015-05-20,2015-06-01,0.34373,0.3515,0.37459,0.33816,0.39125
boundarywaters,DB,0002,rising,gcc_75,2014-04-26,2014-05-23,2014-06-01,2014-04-14,2014-05-20,2014-05-26,2014-05-05,2014-05-26,2014-06-04,0.33876,0.34867,0.3714,0.3328,0.39199
boundarywaters,DB,0002,rising,gcc_75,2015-04-14,2015-05-17,2015-05-29,2015-04-05,2015-05-05,2015-05-23,2015-04-26,2015-05-20,2015-06-01,0.34218,0.3503,0.37223,0.33695,0.38837
boundarywaters,DB,0002,rising,gcc_50,2014-04-26,2014-05-23,2014-06-04,2014-04-14,2014-05-20,2014-05-26,2014-05-02,2014-05-26,2014-06-07,0.33772,0.34652,0.37604,0.33144,0.38857
boundarywaters,DB,0002,rising,gcc_50,2015-04-20,2015-05-17,2015-05-29,2015-04-05,2015-05-02,2015-05-23,2015-04-26,2015-05-20,2015-06-01,0.34057,0.34856,0.36747,0.33544,0.38367
boundarywaters,DB,0002,rising,gcc_mean,2014-04-29,2014-05-23,2014-06-01,2014-04-14,2014-05-17,2014-05-26,2014-05-05,2014-05-26,2014-06-04,0.33774,0.34801,0.36718,0.33155,0.3857
boundarywaters,DB,0002,rising,gcc_mean,2015-04-17,2015-05-11,2015-05-29,2015-04-05,2015-05-02,2015-05-23,2015-04-26,2015-05-20,2015-06-01,0.33998,0.3466,0.36676,0.33503,0.38088
boundarywaters,DB,0002,falling,gcc_90,2015-10-02,2015-09-26,2015-09-17,2015-10-05,2015-10-02,2015-09-23,2015-09-29,2015-09-23,2015-09-14,0.34843,0.35778,0.37196,0.34258,0.39125
boundarywaters,DB,0002,falling,gcc_90,2014-11-01,2014-09-26,2014-09-14,2014-11-07,2014-10-02,2014-09-20,2014-10-29,2014-09-23,2014-09-11,0.34548,0.35328,0.37368,0.33816,0.3949
boundarywaters,DB,0002,falling,gcc_75,2015-10-02,2015-09-26,2015-09-17,2015-10-05,2015-10-02,2015-09-23,2015-09-29,2015-09-23,2015-09-14,0.34577,0.35526,0.36949,0.33975,0.38837
boundarywaters,DB,0002,falling,gcc_75,2014-10-29,2014-09-23,2014-09-14,2014-11-07,2014-09-29,2014-09-20,2014-10-14,2014-09-20,2014-09-11,0.34359,0.35399,0.37043,0.33695,0.39199
boundarywaters,DB,0002,falling,gcc_50,2015-10-02,2015-09-26,2015-09-17,2015-10-05,2015-10-02,2015-09-23,2015-09-29,2015-09-23,2015-09-14,0.34285,0.35161,0.36558,0.33724,0.38367
boundarywaters,DB,0002,falling,gcc_50,2014-10-29,2014-09-26,2014-09-14,2014-11-07,2014-09-29,2014-09-20,2014-10-14,2014-09-23,2014-09-11,0.34166,0.34876,0.36753,0.33544,0.38857
boundarywaters,DB,0002,falling,gcc_mean,2015-10-02,2015-09-26,2015-09-17,2015-10-08,2015-10-02,2015-09-26,2015-09-29,2015-09-23,2015-09-14,0.34366,0.35223,0.36563,0.33739,0.38088
boundarywaters,DB,0002,falling,gcc_mean,2014-11-01,2014-09-26,2014-09-14,2014-11-07,2014-10-02,2014-09-20,2014-10-26,2014-09-23,2014-09-11,0.34063,0.3494,0.36677,0.33503,0.3857
